Script,Meaning
それは私には全く新たな状況だ。,It's a whole new ball game for me.
新たに始める。,I will begin anew.
新たな事実が明らかになった。,New facts have been brought to light.
彼女は記憶を新たにするためにその写真を見た。,She looked at the picture to refresh her memory.
彼は私の研究にアドバイスしてくれた。,He advised me on my study.
当時私は研究のことで頭がいっぱいだった。,My study absorbed me in those days.
彼女は音楽研究のためにイタリアへ行った。,She went to Italy with a view to studying music.
あなたのご研究は、いかがですか。,How are your studies going?
彼は家を買う可能性を研究していた。,He was looking into the possibility of buying a house.
成長期で、元気のない子供は医者に手当してもらう必要があろう。,A growing child who doesn't seem to have much energy perhaps needs medical attention.
成長期の子供が１時間もじっとしていることは不可能だ。,It is impossible for a growing child to keep still for an hour.
私たちの彼女に対する考えはかわっていない。,We haven't changed how we think of her.
それが彼女に対する彼の気持ちを十分に明らかにした。,That threw adequate light on his feelings toward her.
このニュースに対する彼女の反応はどうでしたか。,What was her reaction to the news?
このニュースに対する彼の反応はどうでしたか。,What was his reaction to this news?
私は彼女の他の人々に対する愛に感動した。,I was moved by her love for other people.
子供はいろいろな影響を受けやすい。,Children are open to various influences.
私、人に影響されやすいタイプなんです。,I'm easily influenced.
テレビは子供に悪い影響を与えてしまうと思うか。,You think that TV is bad for kids?
そのニュースは彼に影響を与えた。,The news had an impact on him.
彼から大きな影響を受けた。,He was a great influence on me.
調査の対象はなんですか。,What are you going to make a survey of?
彼はさらに問題を調査した。,He looked into the matter further.
この会社はFTCの調査を受けています。,This company is under investigation by the FTC.
彼はその問題について調査している。,He is investigating the problem.
あなたは家を買う時は調査しなければならない。,You should go over a house before buying it.
結果だけが必要だ。,The result is all that matters.
結果はどうなりましたか。,How did it come out?
結果は良い。,The results are good.
テストの結果なんて気にすんなよ。,Don't worry about the results of your test.
その結果はどうなったのか。,What happened in consequence?
父は健康状態を取り戻した。,My father got well again.
彼は近ごろ健康状態がよくないらしい。,I hear he is in bad health these days.
医師は父の健康状態のことで私を安心させた。,The doctor reassured me about my father's condition.
彼の健康状態はよくない。,He is in a poor state of health.
彼は健康状態を取り戻した。,He got well again.
私は６０ページ読んだが、一方彼は１０ページしか読んでいない。,"I have read sixty pages, while he has read only ten."
もう一方は駄目です。,The other one is no good.
一方は赤で、また一方は白である。,One is red and the other is white.
コインの一方は「表」で、もう一方は「裏」と呼ばれる。,One side of a coin is called 'heads' and the other side is called 'tails'.
人口が益々増える一方です。,The population just keeps growing and growing.
トムとジムは身長が同じだ。,Tom and Jim are the same height.
私は彼と同じ身長です。,I'm the same height as he is.
身長何センチ？。,How many centimeters tall are you?
ジムはビルとほとんど身長が同じです。,Jim is about as tall as Bill.
私はあなたと同じ身長です。,I'm as tall as you.
彼女はいつも低い声で話す。,She always speaks in a low voice.
その男は低い声で話した。,The man spoke in a low voice.
ラジオの音を低くして下さい。,Please turn down the radio.
トムは声が低い。,Tom has a low-pitched voice.
水は低きに流れる。,Water finds its level.
彼女は一生涯勉強を続けた。,She continued studying all her life.
彼は一生涯貧乏だった。,He has been poor all his life.
私は一生涯彼の大ファンでした。,I have been his greatest fan all my life.
ここ数年にわたって彼らの製品の質は落ちてきた。,The quality of their products has gone down over the years.
私の日記は２５年にわたっている。,My diaries cover twenty-five years.
生徒の年齢は１８歳から２５歳にわたっている。,The students range in age from 18 to 25.
道路は数マイルにわたってまっすぐ続いていた。,The road ran straight for several miles.
スキーをしたら、足を骨折したんだ。,I broke my leg skiing.
スキーをしていて脚を骨折した。,I broke my leg skiing.
彼は事故にあって脚を骨折した。,He had an accident and fractured his leg.
彼女は彼の足の骨折を治療した。,She treated him for a broken leg.
彼はサッカーの競技中に腕を骨折した。,He got his arm broken while he was playing soccer.
でも高いよ。,It's expensive though.
ピアノは高いです。,A piano is expensive.
それは高くなかった。,It wasn't expensive.
それは高い。,That's tall.
そのピアノは高い。,The piano is expensive.
本を読み続けた。,I continued reading the book.
続けろ。,Go on.
僕はこの仕事を続けることにした。,I have decided to carry on the work.
続けたかった。,I wanted to continue.
あなたは現在の仕事を続けた方がいいと思います。,I think you had better stick to your present job.
彼はスパイだと判明した。,He proved to be a spy.
噂はうそであることが判明した。,The rumor turned out false.
そのニュースは本当だと判明した。,The news proved to be true.
彼が私に話してくれたことは本当であると判明した。,What he told me proved true.
彼の推測は結局正しいことが判明した。,His guess turned out to be right.
医学では日本は欧米に追いつきました。,Japan has caught up with Europe and America in medicine.
欧米では犬を家族の一員とみなす。,In Europe and America they regard the dog as a member of the family.
時間を厳守することは、欧米では当然のことと考えられている。,Punctuality is thought to be a matter of course in Europe and America.
欧米では時間厳守は当然の事と考えられている。,"In Europe and America, people regard punctuality as a matter of course."
それは赤川太郎によって書かれた。,That was written by Taro Akagawa.
モナリザはレオナルド・ダヴィンチによって描かれた。,The Mona Lisa was painted by Leonardo da Vinci.
この写真は彼によって撮影された。,This picture was taken by him.
彼によって何が言われましたか。,What was said by him?
6月5日は世界環境デーです。,June fifth is World Environment Day.
６４ビットのソフトは３２ビット環境では動かないだろう。,Sixty-four-bit software will not run on 32-bit architecture.
昨日、アメリカから帰ってきたので、まだ頭の中が英語環境だ。,"I just got back from the States yesterday, so I'm still thinking in English."
ネット環境がないと、トムは仕事ができないんだよ。,Tom can't do his job without an internet connection.
新しい環境に生活を合わせてゆかなければならなかった。,We had to gear our lives to the new circumstances.
スポーツブランドとアニメのコラボレーションが発表された。,A sports brand and anime collab has been announced.
彼はすぐにやってきてその問題を調べると発表した。,He announced that he would come at once and investigate the matter.
この製品を発表するときが来た。,I think the time is right to introduce this product.
日本の車のニューモデルは普通春に発表される。,New models of Japanese cars usually come out in the spring.
意外な結果が発表された。,Unexpected results were announced.
トムさんはメアリさんの演技にがっかりしました。,Tom was disappointed in Mary's performance.
トムがやらないのなら僕はがっかりするだろう。,"If Tom doesn't do that, I'll be disappointed."
私の母は私の失敗にがっかりした。,My mother was disappointed by my failure.
私が出した高価な寿司を誰も食べなかったのにはがっかりした。,It was disappointing that nobody ate the expensive sushi I had served.
彼は招かれなかったのでがっかりした。,He was disappointed at not being invited.
中国と日本は多くの点で異なっている。,China and Japan differ in many points.
あなたが何を意味したいかによって使用する言葉は異なる。,The word you use depends on your intended meaning.
個人はそれぞれ異なっている。,Each individual is different.
私の意見は彼と異なる。,My opinion differs from his.
人によって意見が異なる。,Opinions vary from person to person.
このモジュールを使用すると、エンターキーでイベントを生成することができます。,With this module you can make the Enter key generate an event.
私たちは毎日多くの水を使用する。,We use a lot of water every day.
私たちは多くの水を使用する。,We use a lot of water.
それはナイフとしても使用されます。,It can be used as a knife.
この車は過去１０年間使用されてきた。,This car has been used for the past ten years.
そのテレビのメーカーは日本の企業である。,The manufacturer of the television set is a Japanese company.
その薬を作っているのは日本の企業である。,The manufacturer of the medicine is a Japanese company.
私はその企業に仕事を申し込むつもりだ。,I will make an application to that firm for employment.
現地企業でのインターンシップを体験する。,I'm going to do an internship at a local company.
この企業はコンピューター・チップを製造している。,This company manufactures computer chips.
目の検査を受けた。,I had my eyes checked.
検査の結果が出たら電話します。,I'll call you when I get the results of the examination.
私は眼の検査をしてもらった。,I got my eyes tested.
レントゲンの検査結果では何も問題はありません。,"According to the X-ray, everything is all right."
２ヶ月に１度メーターを検査します。,We read the meter once every two months.
その商品はテレビで広告された。,The goods were advertised on TV.
その会社は広告にたくさんのお金を使ってます。,The company spends a lot of money on advertising.
彼は家を売る広告を出した。,He advertised his house for sale.
その会社は広告にたくさんお金をかけている。,The company spends a lot of money on advertising.
車を売りますという広告を出した。,I advertised my car for sale.
彼は巨大な家に住んでいる。,He lives in an enormous house.
その新しい建物は巨大だ。,The new building is enormous.
巨大だ。,It's enormous!
ニューヨークは巨大な都市だ。,New York is a huge city.
東京は巨大な都市です。,Tokyo is a huge city.
私が話をしている時は邪魔しないで下さい。,Don't interrupt me while I'm speaking.
彼女の邪魔をするな。,Do not disturb her.
トムが本を読んでいる間は邪魔をしてはいけない。,Don't bother Tom while he's reading.
君は僕の邪魔をしている。,You are in my way.
私の邪魔をしないでくれ。,Leave me alone.
彼は他人の機嫌を損ねないように気をつけている。,He is chary of offending people.
上司、今日は機嫌いいかな？。,Is the boss in a good mood today?
ジョンは朝から機嫌が悪かった。,John has been moody since this morning.
今日のボスの機嫌はいいかな？。,Is the boss in a good mood today?
トム、とっても機嫌がよかったよ。,Tom was in a very good mood.
彼の悪口はやめろよ。,Stop bad mouthing him.
ジムのいないところで悪口を言ってはいけない。,Don't speak ill of Jim in his absence.
彼は他人の悪口は決して言わないことにしている。,He makes it a rule never to speak ill of others.
トムはいつもメアリーの悪口を言ってるんだ。,Tom is always bad-mouthing Mary.
彼は、とても優しく、他人の悪口を言いません。,He is very nice. He never speaks ill of others.
あらゆるものは自然の法則を受けている。,Everything is subject to the laws of nature.
あらゆる物は自然の法則に従う。,Everything is subject to the laws of nature.
全ての自然の法則が正しいわけではない。,Not all the laws of nature are correct.
その法則はこの場合当てはまらない。,The law does not apply to this case.
今晩のおかずは魚だ。,Today's dinner is fish.
今晩のおかずはもう決めてあります。,I've decided what to cook for dinner.
五時前にお出かけのときは、ちょっと知らせてください。,"In case you go out before 5, just let me know."
旅行にお出かけですか。,Will you go on a trip?
いつお出かけになりますか。,When will you go out?
散歩にお出かけになりませんか。,Won't you go for a walk?
明日の午後、いつでもお出かけください。,"Go any time you want, tomorrow afternoon."
来週の初めに、ボストンでトムに会うつもりなんです。,I'll be meeting Tom in Boston early next week.
初めに、我々には今お金がない。,"To begin with, we have no money now."
初めに、言葉があった。,In the beginning was the Word.
初めに、みなさんに感謝します。,"To start with, I want to thank you all."
事件の説明はいろいろあるように思えたが、警察が初めに正しい説明を思いついた。,"There seemed to be several explanations of the case, but the police hit on the right one the first time."
６時に写真を受け取りに行きます。,I'll pick up the photographs at six o'clock.
例えば、宅配便の受け取りには、判子は必要有りません。,"For example, you don't need a personal seal to collect a parcel."
手荷物受取所で待っています。,I will be waiting for you at baggage claim.
彼女は金の受け取りを拒絶した。,She refused to take the money.
招待状お受け取りをお知らせください。,Please respond at your earliest convenience.
トムが、通訳としてメアリーを雇ったんだ。,Tom hired Mary as an interpreter.
その会合で私は通訳を務めた。,I acted as interpreter at the meeting.
私たちは通訳の助けなしで話した。,We talked without the aid of an interpreter.
叔父は僕に通訳をやらせた。,My uncle made me serve as interpreter.
トムには通訳が必要よ。,Tom needs an interpreter.
コンピューターがこの会社に導入されつつあります。,Computers are being introduced into this company.
いまだにインターネットの導入を検討している会社がある。,Some companies are still debating whether to get Internet access.
新しい税の導入は経済全体に影響を与えるものと見られる。,The introduction of the new tax is expected to affect the entire economy.
会社は時差通勤を導入しようとしています。,The company is attempting to stagger work hours.
その国へ民主的な考えを導入するには時間がかかるだろう。,Introducing democratic ideas into that country will be a slow process.
そのチームは準決勝に勝って決勝に進出した。,The team won the semifinals and advanced to the finals.
決勝まで残った走者は５人だった。,Five runners reached the finals.
過去を志向する社会では、人々は過去と伝統にいつまでもこだわり続ける。,"In a past-oriented society, people dwell on the past and on tradition."
先生は生徒たちにプリントを配布した。,The teacher distributed the handouts to the students.
先生はチラシを配布した。,The teacher distributed the leaflets.
その文章は全ての部長に配布された。,The document was distributed to all department heads.
政府提案の一つは高等学校にコンドームを配布するというものである。,One of the government's proposals is to give out condoms in high schools.
健康の観点から見れば、東京は生活するのにそんなによい場所ではない。,"From the viewpoint of health, Tokyo is not such a good place to live."
私は違った観点からその問題を見ています。,I am looking at the matter from a different viewpoint.
母は何でもお金の観点から考える。,My mother thinks of everything in terms of money.
その問題を別の観点から見てみましょう。,Let's look at the problem from a different point of view.
その問題をあらゆる観点から考えなければならない。,We must consider the question from every aspect.
その町の住人は全滅した。,The population of the town was wiped out.
部隊は全滅した。,The troop was altogether destroyed.
その町の住民は全滅した。,The population of the town was wiped out.
失敗のさいの危険を考慮しながら、彼は相手との対決を要求した。,"Calculating the risk which is involved in the event of failure, he demanded a show-down with the other party."
経営側と労働者側との対決があるでしょう。,There is going to be a show-down between management and labor.
相反する理想を抱いた二つの強力な勢力が対決するのは、最終手段の時である。,"When two powerful forces with opposite ideals come face to face, it's time for a showdown."
首相が政敵の挑戦と真っ向から対決しました。,The prime minister directly confronted the challenges of his political opponents.
追われた敗残兵は、どうやら対決のときがきたと、腹をきめた。,The pursued remnant of soldiers decided it was high time for a show-down one way or another.
はもっと一生懸命働かないと職を失う危機がある。,He is in danger of losing his position unless he works harder.
危機の時は落ち着かなければならない。,In a crisis you must keep your head.
人々が危機は去ったと言っています。,People are saying that the crisis is over.
彼は危機にあっても冷静であった。,He was cool in the crisis.
深刻な危機が生じれば、政府は迅速な行動をとらなければならない。,"Were a serious crisis to arise, the government would have to act swiftly."
ミルクからチーズが作られる。,Cheese is made from milk.
ミルクからバターやチーズが作られる。,Milk is made into butter and cheese.
チーズはミルクから作られる。,Cheese is made from milk.
このチーズは山羊乳で作られている。,This cheese is made from goat's milk.
チーズを食べちゃった。,I ate the cheese.
ルバーブタルトの方がアプリコットタルトより好きだ。,I like rhubarb tarts more than apricot tarts.
ブルーベリーをとった後、タルトを作る。,"After I pick some blueberries, I make a tart."
ブルーベリータルトが大好きなんだ。,I love blueberry tarts.
そのブルーベリータルトが大好き。,I love the blueberry tarts.
メアリーが無花果タルトを焼いたよ。,Mary baked a fig tart.
ハーブの専門店を聞いたことがありませんか。,Do you know a good specialty store dealing in herbs?
近くに帽子の専門店はありますか？。,Is there a hat shop nearby?
シュークリームを１ダース下さい。,Please give me a dozen cream puffs.
シュークリーム買ってきたけど食べる？。,I've bought some cream puffs. Do you want one?
1/4カットの白菜を太めの千切りにザクザク切る。,Cut the quartered Chinese cabbage into wide strips.
彼の夢はアナウンサーとしてテレビに登場することであった。,His ambition was to break into television as an announcer.
彼は時の人として今日の新聞に登場した。,He has appeared as the man of the day in today's paper.
毎年およそ４５００種のポピュラーのＬＰが登場する。,Each year some 4500 different Pop LPs appear.
そこでベス下手より登場！。,"Now Beth enters, stage right!"
次の歌手が登場したとき、雨が降り出した。,"When the next singer came on, it began to rain."
この生地はアイロンがよくきく。,This cloth irons well.
この生地でスカートを作ろうと思っています。,I'm going to make this material into a skirt.
その生地を自分の目で見た方がいい。,You had better see the cloth with your own eyes.
このカーテンはすばらしい生地で出来ている。,This curtain is made of fine material.
ロングドレスを作るのに生地がたくさんいるんです。,I need a lot of cloth to make a long dress.
「再現」を英語でなんて言うの？。,"What is the English for ""Saigen""?"
さいたま市を再現してみた。,Saitama city is seeing a return.
日本を再現してみた。,Japan tried to revive itself.
ドーナツが一つ欲しい。,I want a donut.
ドーナツを３個食べたよ。,I ate three donuts.
シナモンドーナツを３個おねがいします。,Could I have three cinnamon donuts?
ドーナツ、３つも食べちゃった。,I ate three donuts.
ドーナツのおかわりある？。,Are there any more donuts?
このスープはいい味だ。,This soup tastes good.
味はいかがですか。,How's the taste?
スペシャルというのはどんな味ですか。,What does the special taste like?
いろいろな味の糖菓を送ってくれた。,He sent me sweets with different flavor.
そのスープの味は好きですか？。,Do you like how the soup tastes?
実際にファースーツは持ってないよ。,I don't actually own a fursuit.
それは実際にあった事だ。,That is an actual fact.
これは実際に可能なんですか？。,Is this really possible?
僕は実際にこれを使う。,I actually use this.
トムは今実際に何が起きているのか知らないでいる。,Tom doesn't know what's really going on.
ボーイフレンドに何を買ってあげましたか。,What did you buy for your boyfriend?
トムはハイブリッドカーを買った。,Tom bought a hybrid car.
私はそれをデパートで買った。,I bought it at a department store.
それ買うよ。,I'll buy it.
サンダルを買った。,I bought a pair of sandals.
パンを食べません。,I don't eat bread.
サラダを食べますか。,Do you eat salad?
ポップコーンが食べたくなってきた。,I feel like eating popcorn.
それを食べたくありません。,I won't eat it.
このパン食べてもいい？。,May I eat this bread?
私は沖縄のあたりの暖かい海が好きだ。,I like the warm sea around Okinawa.
あなたは沖縄へ行った事がありますか。,Have you ever been in Okinawa?
沖縄に行ったことはありますか？。,Have you ever been to Okinawa?
沖縄ではたくさん雨が降る。,It rains a lot in Okinawa.
彼は今まで沖縄へ行ったことがない。,He has never been to Okinawa before.
私は酒を止めるつもりだ。,I mean to stop drinking.
彼は酒によっています。,He is drunk.
彼は健康のために酒をやめた。,He gave up drinking for the sake of his health.
私たちは彼がこれ以上酒を飲むのを止めさせなければならない。,We have to stop him from drinking any more.
彼は以前は酒を飲まなかった。,He didn't use to drink.
私はギリシャ文化について学んだ。,I learned about Greek culture.
彼は日本の文化に詳しい。,He is familiar with Japanese culture.
彼女は昨年はじめて日本の文化に触れた。,She first came into contact with Japanese culture last year.
私は自分の家の料理と文化を経験したい。,I long to experience the food and culture of my home.
彼女は昨年始めて日本文化に触れた。,She first came into contact with Japanese culture last year.
モダンジャズに何を求めて聞けばいいのかわかると、私はそれを味わえるようになった。,"Once I learned what to listen for, I came to appreciate modern jazz."
こんなおいしいスープを味わったことがありますか。,Have you ever tasted such a good soup?
日本のあるインドカレー屋のカレーの味って、やっぱり日本人の口に合わせて作られているよね。,The curry they serve in Japan is milder than real Indian curry. They adapt it to Japanese tastes.
私は口で味わい、食べ、そして飲む。,"I taste, eat and drink with my mouth."
彼はそのチーズケーキを味わってみた。,He tasted the cheesecake.
私の知る限りでは、これが最新版です。,"As far as I know, this is the latest edition."
来月、その百科事典の最新版がでる。,An up-to-date edition of the encyclopedia will come out next month.
トムはアルコールアレルギーである。,Tom is allergic to alcohol.
わたしはアルコールを飲みません。,I abstain from alcohol.
トムはまったくアルコールを飲まない。,Tom doesn't drink alcoholic drinks at all.
トムはアルコールを一切飲まない。,Tom never drinks alcohol.
彼はアルコールを一切飲まない。,He never drinks alcohol.
ＮＴＴは３００度数以上のテレホンカードを廃止した。,NTT cancelled telephone cards with over 300 units.
エアコンを強くして下さい。,Please turn up the air conditioner.
トムが強いって知ってる。,I know that Tom is strong.
トムが強いのは分かってる。,I know that Tom is strong.
このロープは強いですね。,"This rope is strong, isn't it?"
トムが一番強い。,Tom is the strongest.
トムはすぐにヒステリーを起こすので、みんなが敬遠する。,Tom loses his temper so easily that everybody avoids him.
彼は一番大事な問題を敬遠したように思えた。,I felt that he skirted around the most important issues.
彼はそのバッターを敬遠した。,He walked the batter intentionally.
君は彼を敬遠する方がよい。,You had better keep him at a respectful distance.
