Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
彼には知識があり、また経験もある。,昨日、アメリカから帰ってきたので、まだ頭の中が英語環境だ。,医学では日本は欧米に追いつきました。,決勝まで残った走者は５人だった。,わたしはアルコールを飲みません。,じゃーな、楽しめよ。,彼女のあたたかい人柄が美貌を一層際立たせている。,この訳合ってますか？。,真子がこの手紙をかいたはずはない。,藪をつついてヘビを出す。
彼は知識も経験も持っている。,ネット環境がないと、トムは仕事ができないんだよ。,欧米では犬を家族の一員とみなす。,過去を志向する社会では、人々は過去と伝統にいつまでもこだわり続ける。,トムはまったくアルコールを飲まない。,パーティーは楽しめた？。,その二つの考えの対照は非常に際立っている。,このスーツに合うネクタイを選んでください。,彼はピストルの扱いに注意を欠いた。,彼は私をつついて先に行けと合図した。
彼女は新しい知識を学ぶことに興味がある。,新しい環境に生活を合わせてゆかなければならなかった。,時間を厳守することは、欧米では当然のことと考えられている。,先生は生徒たちにプリントを配布した。,トムはアルコールを一切飲まない。,パーティー楽しめた？。,彼女は淑女の中でも際立った淑女である。,このブローチはあなたのセーターによく合う。,コップを欠いてしまった。,鳥たちが地面をつついている。
彼女は仕事に興味を失った。,美の認識は倫理の検査となり得る。,欧米では時間厳守は当然の事と考えられている。,先生はチラシを配布した。,彼はアルコールを一切飲まない。,今のチャンスを楽しめ！。,自分の領域外にある。,言いたくないな。,君は行動に慎重さを欠いていた。,彼はひじで私の脇腹をつついた。
私は自分の仕事に興味を失った。,たくさんの人々が倫理の面から遺伝子治療に反対した。,それは赤川太郎によって書かれた。,その文章は全ての部長に配布された。,ＮＴＴは３００度数以上のテレホンカードを廃止した。,ゲームは楽しめましたか。,君は危険な領域に踏み込んでいるよ。,トムには言わないでね。,彼は人間としての感情を欠いていた。,彼女はテーブルの上のカップにコーヒーを注いだ。
彼女は、すべての希望を失った。,倫理の面で、たくさんの人々が遺伝子治療に反対している。,モナリザはレオナルド・ダヴィンチによって描かれた。,政府提案の一つは高等学校にコンドームを配布するというものである。,エアコンを強くして下さい。,データはまだまとめていません。,かかわってくる問題は経済学の領域をはるかに越えている。,思ったことをズバズバ言うタイプ。,この建物は調和を欠いている。,ケイトが演技を磨くために注ぐ力を邪魔する物は、何もありませんでした。
トムは仕事へのモチベーションを失っている。,健康の観点から見れば、東京は生活するのにそんなによい場所ではない。,この写真は彼によって撮影された。,健康の観点から見れば、東京は生活するのにそんなによい場所ではない。,トムが強いって知ってる。,彼女はスタッフをまとめていけると思いますか。,自然はあらゆる領域で侵されている。,トムにデブって言われた。,彼は納豆の匂いを嗅ぐと気分が悪くなる。,彼女はブランデーをグラスに注いだ。
彼はそのために仕事を失った。,私は違った観点からその問題を見ています。,彼によって何が言われましたか。,私は違った観点からその問題を見ています。,トムが強いのは分かってる。,私はこの提案をまとめた。,民間機が軍事的領域を侵犯したとのことです。,言わせて下さい。,その犬は地面をくんくん嗅いだ。,彼女は時間を全部その研究に注いだ。
彼女は仕事に興味を失った。,母は何でもお金の観点から考える。,6月5日は世界環境デーです。,母は何でもお金の観点から考える。,このロープは強いですね。,私はペンを取る前に考えをまとめなければならない。,いつも考えていたわ、そして、結婚した方がいいという結論に達したの。,私は仕事に追われています。,僕は匂いを嗅いだ。,彼女はカップにミルクを注いだ。
私は自分の仕事に興味を失った。,その問題を別の観点から見てみましょう。,６４ビットのソフトは３２ビット環境では動かないだろう。,その問題を別の観点から見てみましょう。,トムが一番強い。,我々はすべてのデータを一つにまとめた。,私は君と同じ結論に達した。,心の痛みを感じたおまえを追うのが怖かった。,私は私の鼻で臭いを嗅ぐ。,彼女はロング氏に次ぐ最高のピアニストです。
彼女は、すべての希望を失った。,その問題をあらゆる観点から考えなければならない。,昨日、アメリカから帰ってきたので、まだ頭の中が英語環境だ。,その問題をあらゆる観点から考えなければならない。,トムはすぐにヒステリーを起こすので、みんなが敬遠する。,シーフードが好きだな。,彼の声は私たちの耳まで達した。,彼は何を追っているのですか。,犬は棒の匂いを嗅いでいた。,私は次ぎのバスを待つよりむしろ歩きたい。
トムは仕事へのモチベーションを失っている。,御注目ください。,ネット環境がないと、トムは仕事ができないんだよ。,その町の住人は全滅した。,彼は一番大事な問題を敬遠したように思えた。,シーフードが好きです。,彼を首にすべきだと言う結論に達した。,エイズ調査の分野におけるすべての変化を追い続けることはできない。,ニュースをお聞きになったでしょう。,会合は次ぎの日曜日に行われる。
彼はそのために仕事を失った。,ご注目下さい。,新しい環境に生活を合わせてゆかなければならなかった。,部隊は全滅した。,彼はそのバッターを敬遠した。,私たちはロブスターや他のシーフードでお腹いっぱいになった。,あなたはどのようにしてこの結論に達したのですか。,今日は時間に追われていてね。,私はラジオを聞いています。,当店のパイは、夜のうちに焼き上げて、次ぎ日にお出しする焼き立てです。
ご指摘ありがとうございます。,こちらにご注目ください。,スポーツブランドとアニメのコラボレーションが発表された。,その町の住民は全滅した。,君は彼を敬遠する方がよい。,ここは、この地域では飛び抜けて最高のシーフードレストランだ。,彼女はきれいなだけでなく頭もよい。,この決定はあなたの提案に負うところ大であった。,トムはラジオを聞いている。,きれい好きは敬神に次ぐ美徳。
ケネディ氏は、私達のミスを指摘しました。,彼はいつもボスの動きに注目しています。,彼はすぐにやってきてその問題を調べると発表した。,失敗のさいの危険を考慮しながら、彼は相手との対決を要求した。,麻薬はどんなものでも敬遠しておいたほうがいい。,私たちは海老やその他のシーフードで腹いっぱいになった。,ジルはかわいいだけでなく頭もよい。,せっかく骨を負ったのに、彼は失敗した。,トム、聞いて！。,枝が伸び、実が成ることを想定して接ぐ場所を選びましょう。
どのコートがあなたのか指摘してください。,今年、注目している選手は誰ですか。,この製品を発表するときが来た。,経営側と労働者側との対決があるでしょう。,ジョーンズさんという方がお見えになりました。,豚肉は私には合わない。,彼はバイクだけでなく車も持っている。,彼は頭に傷を負った。,聞いてよ。,父親が引退すると彼は商売を継いだ。
先生はその生徒の間違いを指摘した。,何か集めていますか。,日本の車のニューモデルは普通春に発表される。,相反する理想を抱いた二つの強力な勢力が対決するのは、最終手段の時である。,スミスさんとか言う方が見えています。,この豚肉は１キロいくらですか。,この本はおもしろいだけでなく、ためにもなる。,彼は私に事故の責任を負わせた。,この薬は効くと思いますよ。,私は父の仕事を継いだ。
トムは私の間違いを指摘した。,コンピューターに関する本を全部集めなさい。,意外な結果が発表された。,首相が政敵の挑戦と真っ向から対決しました。,ガガ様のライブ一緒に行ける方いませんか？。,トムは豚肉食べないでしょ。,スポーツだけでなく、音楽も好きだ。,息子の失敗は私が責任を負います。,薬は全く効かなかった。,彼は父親の後を継いだ。
どんな種類のスポーツが好きですか。,その広告はたいへん注目を集めていた。,トムさんはメアリさんの演技にがっかりしました。,追われた敗残兵は、どうやら対決のときがきたと、腹をきめた。,このバスじゃ、違う方にいきますよ。,トムって、豚肉は食べないんだよね。,ここ品物は高いけど、その分アフターサービスが充実してるから。,ボーイフレンドに何を買ってあげましたか。,この部屋はエアコンが効いている。,彼はその会社の社長として父親の後を継いだ。
ハミングバードには３４０種類がある。,私は、それについてさらに情報を集めた。,トムがやらないのなら僕はがっかりするだろう。,はもっと一生懸命働かないと職を失う危機がある。,伊藤さんという方がお会いしたいそうです。,メアリーって、豚肉は食べないんだよね。,彼はその公式を知らなかったのかもしれない。,トムはハイブリッドカーを買った。,この薬はあなたの病気に効くでしょう。,彼はその会社を継いだ。
それは私の探している種類のものではない。,トムはコーヒーカップを集めてるんだ。,私の母は私の失敗にがっかりした。,危機の時は落ち着かなければならない。,ゴルフではスコアが少ないほど良い。,ビール６缶パックは、おいくらですか？。,この報道は公式のものだ。,私はそれをデパートで買った。,この薬は大変よく効く。,彼は社長のすべての責任から解かれた。
どんな種類のワインがいいと思いますか。,あなたは新たな人生を始めるべきだ。,私が出した高価な寿司を誰も食べなかったのにはがっかりした。,人々が危機は去ったと言っています。,そう思っている人が少ない。,仕事から帰る途中に、ビール６缶パックを１つ買ったよ。,アメリカ大統領が中国を公式に訪問した。,それ買うよ。,彼らは川を舟をこいで上った。,誰もそのなぞを解くことができなかった。
どんな種類のビールがありますか。,それは私には全く新たな状況だ。,彼は招かれなかったのでがっかりした。,彼は危機にあっても冷静であった。,５は８より少ない。,この缶は空だ。,首相は公式にホワイトハウスを訪問した。,サンダルを買った。,ひでおは自転車をこいでいた人を避けるためにハンドルをきった。,その問題を解くのは簡単ではない。
少数民族たちは多くの困難に直面している。,新たに始める。,中国と日本は多くの点で異なっている。,深刻な危機が生じれば、政府は迅速な行動をとらなければならない。,何の心配もない人は少ない。,缶を開けてもいいですか。,彼は必要な数学の公式を完全にマスターしていた。,彼女は小さな黒い犬を飼っている。,ボートをこぎに湖に出かけた。,彼女はそのパズルを簡単に解いた。
少数民族たちは偏見や貧困など、いろいろなことと戦っている。,新たな事実が明らかになった。,あなたが何を意味したいかによって使用する言葉は異なる。,ミルクからチーズが作られる。,９０歳まで生きる人は少ない。,ビールをもう１缶いただけますか。,私は日本語を学びたい。,何かペットとか飼ってたりするの？。,ボートをこいでいる少年は私の友人です。,私はその問題を解くことができた。
少数民族は偏見、貧困、抑圧と戦っている。,彼女は記憶を新たにするためにその写真を見た。,個人はそれぞれ異なっている。,ミルクからバターやチーズが作られる。,ベートーベンはある？。,トム、そこの醤油取って。,メアリーは日本語をゆっくりと話しました。,私は猫を飼っていない。,交替でボートをこごう。,砂糖は水に溶ける。
少数民族達は偏見や貧困と戦っている。,彼は私の研究にアドバイスしてくれた。,私の意見は彼と異なる。,チーズはミルクから作られる。,スプーンがありません。,同社は醤油その他の食品を生産する。,日本語を話すことができます。,苦労しても犬の訓練方法を身につけたいという気持ちがなければ、犬を飼ってはいけない。,ワシントンでは今桜が咲いている。,氷が溶けると水になる。
我々は少数民族の権利を守らなければならない。,当時私は研究のことで頭がいっぱいだった。,人によって意見が異なる。,このチーズは山羊乳で作られている。,ローマであった。,アボカドに醤油をかけた事なんて一度もないよ。,私は日本語の先生です。,彼は犬を飼っている。,春が来ると、木の花が咲きます。,氷は日にあたると溶ける。
そのどちらの言語も勉強しなかった。,彼女は音楽研究のためにイタリアへ行った。,このモジュールを使用すると、エンターキーでイベントを生成することができます。,チーズを食べちゃった。,フォークがありません。,ジャン、そのカードは何？。,私は日本語を勉強しなければなりません。,彼はわたしに赦しを請うた。,ある花は春に咲き、またある花は秋に咲く。,砂糖は湯に入れると溶ける。
僕は言語を勉強するのが好きだ。,あなたのご研究は、いかがですか。,私たちは毎日多くの水を使用する。,ルバーブタルトの方がアプリコットタルトより好きだ。,ダブリンはアイルランドにあります。,カードを入れてください。,本当にこれ対応できるの？。,どうして謝って彼の許しを請わないんだ。,光が刺激となって花が咲く。,氷は溶けて水になる。
英語は、ご存知の通り、今も確実に生きている言語である。,彼は家を買う可能性を研究していた。,私たちは多くの水を使用する。,ブルーベリーをとった後、タルトを作る。,私は先入観に縛られている。,このカードでトラベラーズチェックが買えますか。,トムはこの問題にどう対応すれば良いのか全く分からない。,犯人は裁判官に慈悲を請うた。,桜が咲いてるよ。,彼はコーヒーに砂糖を溶かした。
すべての言語は話されている限りは変化する。,成長期で、元気のない子供は医者に手当してもらう必要があろう。,それはナイフとしても使用されます。,ブルーベリータルトが大好きなんだ。,肉は桃色をしているといったことについてのすべての慨世観念や先入観。,私のカードにつけておいてくれ。,ちなみにホイールマウスのホイールにも対応しているんだ。,恩恵を請うのは私の威厳に関わる。,彼は本をばらばらに裂いてしまった。,ポップコーンに溶かしバターをかけてください。
他言語を学ぶことは、新たな世界を知ることを意味する。,成長期の子供が１時間もじっとしていることは不可能だ。,この車は過去１０年間使用されてきた。,そのブルーベリータルトが大好き。,テーブルマナーがわからないとしても、実際には問題でありません。,カードは使えますか。,デパートでとても感じのいい若い女性が対応してくれた。,彼女は涙を頬に伝わせながら情けを請うた。,彼はその新聞を半分に裂いた。,バターをシチュー鍋で溶かし、刻んだ玉ねぎと合わせます。
そのチームは準決勝に勝って決勝に進出した。,私たちの彼女に対する考えはかわっていない。,そのテレビのメーカーは日本の企業である。,メアリーが無花果タルトを焼いたよ。,しかし、実際にはそうではない。,その話は、ある日曜日の午後も遅くなった頃、奥深い森の中で始まったんだ。,その日本語に対応する英語はない。,タバコ吸ったことある？。,なぜはさみで布を切らずに裂いたの。,砂糖をお湯で溶かしなさい。
決勝まで残った走者は５人だった。,それが彼女に対する彼の気持ちを十分に明らかにした。,その薬を作っているのは日本の企業である。,ハーブの専門店を聞いたことがありませんか。,実際私はそれを知らなかった。,年が過ぎていきました。,実際にファースーツは持ってないよ。,以前はタバコを吸っていましたね。,彼はその紙を二つに裂いた。,太陽が雪を溶かした。
彼は会社を代表して、私に話してくれた。,このニュースに対する彼女の反応はどうでしたか。,私はその企業に仕事を申し込むつもりだ。,近くに帽子の専門店はありますか？。,実際には、彼女はそのスキャンダルとは関係がなかった。,トムは３０過ぎてるよ。,それは実際にあった事だ。,父は酒も飲まなければ煙草も吸わない。,その少女はその布を裂いた。,彼を説いてその計画をやめさせようとしたが無駄だった。
彼はクラスを代表して会場に出た。,このニュースに対する彼の反応はどうでしたか。,現地企業でのインターンシップを体験する。,シュークリームを１ダース下さい。,実際感じたままを話してよい。,１０年が過ぎた。,これは実際に可能なんですか？。,彼は煙草を吸わない。,母はベッドに綺麗なシーツを敷いた。,彼は私達に健康の重要性を説いた。
彼を私たちの代表として選ぶ。,私は彼女の他の人々に対する愛に感動した。,この企業はコンピューター・チップを製造している。,シュークリーム買ってきたけど食べる？。,トムはキウイを食わず嫌いしている。,それは高過ぎる。,僕は実際にこれを使う。,タバコは吸いません。,彼女はベッドにきれいなシーツを敷いた。,彼は説いて同意させた。
私はアルジェリアからの代表と部屋を共にした。,子供はいろいろな影響を受けやすい。,目の検査を受けた。,1/4カットの白菜を太めの千切りにザクザク切る。,チキンは食べられない、というけど、単なる食わず嫌いじゃないの。,私がここに来てから１０年が過ぎた。,トムは今実際に何が起きているのか知らないでいる。,私は垣根に沿った小道を歩いた。,机のしたにカーペットを敷いた。,どいてもらえませんか。
彼の行動は友達の行動を代表している。,私、人に影響されやすいタイプなんです。,検査の結果が出たら電話します。,彼の夢はアナウンサーとしてテレビに登場することであった。,尿量がとても多いです。,その会社の急速な成長はその独特な戦略によるものだった。,私達が遊ぶのに充分な場所がある。,ご期待に添いかねます。,床にカーペットを敷いた。,どいてろ。
私はチャンピオンと対戦した。,テレビは子供に悪い影響を与えてしまうと思うか。,私は眼の検査をしてもらった。,彼は時の人として今日の新聞に登場した。,ラテンアメリカには、アニメ好きな人が多い。,我々の外交と戦略はあきらかに矛盾していた。,子供が遊んでいるのを見るのが好きです。,その試験の結果は我々の期待に添わなかった。,カーペットを敷き変えさせたら、トムのマンションはすごくいい感じになった。,どいてください。
テニスで君に対戦したい。,そのニュースは彼に影響を与えた。,レントゲンの検査結果では何も問題はありません。,毎年およそ４５００種のポピュラーのＬＰが登場する。,ラテンアメリカでは、アニメが好きな人が多い。,今度の商売は、損して得取れ、という戦略でやろうよ。,マリーはトムと遊びに行った。,実験の結果は我々の期待に添わなかった。,これがお米の炊き方です。,「どいてください」「やんのか？あんちゃん」。
私の祖父は第二次世界対戦で戦死しました。,彼から大きな影響を受けた。,２ヶ月に１度メーターを検査します。,そこでベス下手より登場！。,その本はページが多かった。,その会社の強さは未来志向の戦略によって生みだされている。,トニー君は遊んでいます。,君の仕事は私たちの期待に添わなかった。,まだ玄米を炊いてる途中です。,ちょっとどいて。
彼はあしたヘビー級チャンピオンと対戦する。,調査の対象はなんですか。,その商品はテレビで広告された。,次の歌手が登場したとき、雨が降り出した。,この本は写真が多い。,革命評議委員会は戦略の計画を立てるために集まった。,一緒に遊ばない？。,彼の演技は期待に添わなかった。,お米2合炊いといて。,猫が柱でつめを研いでいた。
わが校はあす南高校と対戦する。,彼はさらに問題を調査した。,その会社は広告にたくさんのお金を使ってます。,この生地はアイロンがよくきく。,コストコは今回は行かなくてもいい？。,その会社の急速な成長はその独特な戦略によるものだった。,彼はその仕事にぴったりだ。,彼にもう一杯いかがかと問う。,炊飯器でご飯を炊くよ。,彼はナイフを研いでいました。
２人の候補者が首位を争っている。,この会社はFTCの調査を受けています。,彼は家を売る広告を出した。,この生地でスカートを作ろうと思っています。,今回問題になってるのは何？。,我々の外交と戦略はあきらかに矛盾していた。,彼女のスカートはぴったり合っている。,人間は狂っていれば行動の責任は問われない。,とろ火で時間をかけて豆を炊いてください。,つらいときは泣きたいだけ泣けばいいと思うよ。
相手チームと首位を分けた。,彼はその問題について調査している。,その会社は広告にたくさんお金をかけている。,その生地を自分の目で見た方がいい。,スキーは今回が初めて？。,今度の商売は、損して得取れ、という戦略でやろうよ。,このドレスは私にぴったりです。,知らずば人に問え。,寒かったので、私たちは火を焚きました。,泣いてたの？。
この船はジブラルタル海峡を通過します。,あなたは家を買う時は調査しなければならない。,車を売りますという広告を出した。,このカーテンはすばらしい生地で出来ている。,今回はだめなのです。,その会社の強さは未来志向の戦略によって生みだされている。,このジャケットはぴったり合う。,あなたの人種、年齢、宗教は問いません。,風呂を焚く。,今泣きたい気分です。
通過する車に気をつけなさい。,結果だけが必要だ。,彼は巨大な家に住んでいる。,ロングドレスを作るのに生地がたくさんいるんです。,これが起こったのは、今回が初めてではない。,革命評議委員会は戦略の計画を立てるために集まった。,その言葉がそれを説明するにはぴったりだね。,警察は彼を、隣国に情報を流したという罪に問った。,焚くものが何もない。,彼は泣いていた。
私たちの通った列車は長いトンネルを通過した。,結果はどうなりましたか。,その新しい建物は巨大だ。,「再現」を英語でなんて言うの？。,その町には市場がある。,彼はいつもよいプレーをする。,頂上を雲で覆われた山。,彼は私にドレスを縫ってくれた。,火を焚いてあたる。,トムは学校が終わった後、泣きながら家に帰ってきた。
私達の乗った列車は長いトンネルを通過した。,結果は良い。,巨大だ。,さいたま市を再現してみた。,市場に行く。,彼はなんとうまくプレーしたことでしょう。,頂を雪に覆われた山。,船は島の間を縫うように進んだ。,パンはオーブンで焼いて作られる。,彼はよく食事を抜いていた。
その列車は元町駅を通過します。,テストの結果なんて気にすんなよ。,ニューヨークは巨大な都市だ。,日本を再現してみた。,私は市場に行きます。,彼はテニスが上手にプレイできる。,地面を厚く覆っている落ち葉。,これ手で縫ったの？。,パンを焼くためのオーブンはキッチンにある。,トムはよく食事を抜く。
我が軍は敵の防御を突破した。,その結果はどうなったのか。,東京は巨大な都市です。,ドーナツが一つ欲しい。,この新しい型は市場で手に入りますか。,トムはサッカーのプレイ中にケガをした。,氷で覆われた路面。,彼女の母親は彼女のためにスカートを縫った。,「誰がケーキを焼くの？」 「アレサンドラが焼くんだよ。」。,歯を抜いてもらったんだ。
敵の防御は強力だったが我々は突破しようと試みた。,父は健康状態を取り戻した。,私が話をしている時は邪魔しないで下さい。,ドーナツを３個食べたよ。,彼女は毎日市場に買い物に行きます。,彼は今日の試合でプロとしてはまずいプレーをした。,空は一面厚い雲に覆われていた。,母は縫う手を止めて、本を拾った。,彼女はケーキを３個焼いた。,彼女は歯を抜いてもらった。
第一の難関はどうにか突破した。,彼は近ごろ健康状態がよくないらしい。,彼女の邪魔をするな。,シナモンドーナツを３個おねがいします。,メアリーは中にいます。,満開をチョイ過ぎた感はありましたが、それでも、美しい桜を満喫してきました。,太陽は厚い雲に覆われていた。,赤ちゃんは部屋に這ってきた。,母は私達によくアップルパイを焼いてくれる。,彼は歯を抜いてもらった。
アメリカの対外債務は５０００億ドルを突破しましたよ。,医師は父の健康状態のことで私を安心させた。,トムが本を読んでいる間は邪魔をしてはいけない。,ドーナツ、３つも食べちゃった。,このモールの中にスーパーマーケットはありますか。,私はしばしば絶望感に襲われた。,あの部屋の窓はいつも厚いカーテンで覆われている。,彼らの赤ちゃんはちょうど這い始めたところです。,明日の午後７時に羽田に着きます。,トム抜きでは出発しない。
私は持ち前の頑張りの精神で難関を突破した。,彼の健康状態はよくない。,君は僕の邪魔をしている。,ドーナツのおかわりある？。,トムは中にいると思うよ。,動物に道徳感はない。,選挙の結果は大方の予想を覆した。,我々は山道をまるでアリが這うように進んだ。,いつ中国に着いたの？。,アルコール抜きの飲物がありますか。
