Script,Meaning
こちらのお店で、人気の和食ランチが『宇治丸弁当』です。30種類ものおかずと、シンプルなおむすびが入っています。見た目も華やか、ボリュームも満点です。まるで昔話に出てきそうな、和を感じられる京都のお弁当ランチです。,"A popular Japanese lunch at this restaurant is the Ujimaru Bento, which contains 30 different side dishes and simple omusubi. It looks gorgeous and is full of volume. It looks like something out of an old tale, and is a lunch box lunch in Kyoto that gives you a sense of harmony."
いかがでしたか？ここまで京都のお洒落な和食ランチを7選、ご紹介してきました。どれも京都らしい上品で美しく、美味しそうなものばかりでしたね。京都には美味しくて、見た目も華やかなグルメが溢れています。迷ったらぜひ参考にしてみてくださいね！（なお情報は記事掲載時点のものになります。詳細は公式サイトなどから事前確認することをおすすめします。）,"What did you think? I've introduced seven stylish Japanese lunches in Kyoto so far. All of them are elegant, beautiful, and delicious, just like Kyoto. Kyoto is full of delicious and gorgeous looking gourmet food. If you have any doubts, please refer to the following list! (Information is current at the time of publication. (Information is current as of the date of this article; it is recommended to check the official website for details in advance."
地球上に存在する言語は、英語やフランス語などのメジャーなものから少数民族によって話されているマイナーなものまで、数千もの種類があると考えられています。ところが、少数の人々しか話さない言語は消滅の危機にあり、これらの言語が消滅することで「貴重な医学的知識」が失われてしまうと指摘されています。,"It is believed that there are thousands of languages on the planet, ranging from major ones such as English and French to minor ones spoken by ethnic minorities. It has been pointed out, however, that languages spoken by only a few people are in danger of disappearing, and that the disappearance of these languages will result in the loss of ""valuable medical knowledge."
EURO2020決勝トーナメント1回戦が29日に行われ、イングランド代表とドイツ代表が対戦した。　グループD首位通過のイングランドと“死の組”グループF2位突破のドイツが、イギリスのロンドンで激突した。EUROでの両チームの対決といえば、イングランドで開催された1996年大会。当時は準決勝で対戦し、1－1のまま迎えたPK戦をドイツが制してイングランドの母国開催の夢を打ち砕いた。,"The first round of the EURO 2020 finals took place on the 29th of January, with England and Germany facing each other.　The last time these two teams faced each other in the EURO tournament was in England in 1996. The last time these two teams met in the EURO was in England in 1996, when they met in the semifinals, and Germany won the penalty shootout after a 1-1 draw, shattering England's dream of hosting the tournament in their home country."
"ヴィーガン食は子どもを不健康にするのか？ 肉や魚を食べないというのが菜食主義者(ベジタリアン)ですが、ヴィーガンは肉や魚に加えて卵や乳製品までをも食べないというライフスタイルです。近年欧米ではヴィーガンの食生活が健康・環境・倫理上の観点から注目を集めていますが、新たな研究で成長期の子どもに対する影響を調査した結果、心血管の健康状態には良い一方で、身長や骨密度が低くなり、一生涯にわたって骨折のリスクが高り続けてしまうことが判明しました。","Does a vegan diet make children unhealthy? While vegetarians do not eat meat or fish, vegans do not eat eggs or dairy products in addition to meat and fish. In recent years, vegan diets have gained attention in Europe and the United States from health, environmental, and ethical perspectives, but a new study examining the effects of veganism on growing children found that while it is good for cardiovascular health, it reduces height and bone density, and increases the risk of bone fractures over a lifetime."
"ミスドがBAKE CHEESE TART＆クロッカンシュー ザクザクとコラボした「misdo meets BAKE＆ZAKUZAKU」の新作ドーナツ6種を全制覇せいはしてみた ミスタードーナツが、チーズタルト専門店「BAKE CHEESE TART」とシュークリーム専門店「クロッカンシュー ザクザク」と共同開発した「misdo meets BAKE ＆ ZAKUZAKU」が2021年7月2日(金)から登場しています。オールドファッション生地をタルトに見立ててチーズタルトを再現した「ベイク チーズタルトドーナツ」や、シュードーナツとアーモンドクランチでクロッカンシューをイメージした「ザクザク クロッカンシュードーナツ」の味が気になったので、実際にミスタードーナツで買って食べてみました。","Mr. Donut has collaborated with BAKE CHEESE TART and Croquant Choux ZAKUZAKU to create ""misdo meets BAKE & ZAKUZAKU,"" a series of six new donuts. The ""misdo meets BAKE & ZAKUZAKU"" was developed by Mr. Donut in collaboration with the cheese tart specialty store ""BAKE CHEESE TART"" and the cream puff specialty store ""Croquant Choux ZAKUZAKU"" and has been available since Friday, July 2, 2021. I was curious about the taste of the ""Bake Cheese Tart Donut,"" which recreates a cheese tart by using old fashioned dough as a tart, and the ""Zaku Zaku Croquant Choux Donut,"" which is a choux donut and almond crunch to resemble a croquant choux, so I actually bought some at Mister Donut and tried them. I actually bought one at Mister Donut and tried it."
"「泡盛」おすすめ5選　沖縄の酒文化を味わえる【2021年最新版】 沖縄を代表するお酒が「泡盛」です。“アルコール度数が高い”“クセが強い”などと敬遠される方も少なくありませんが、先入観にとらわれすぎていて、実際には食わず嫌いだったという人も多いようです。今回はAmazonや楽天市場で買える泡盛の中から、初心者でも飲みやすい銘柄をご紹介します。","Five Recommended Awamori: A Taste of Okinawa's Sake Culture [Latest 2021 Edition Awamori is one of Okinawa's most popular alcoholic beverages. ""There are many people who shy away from Awamori because of its high alcohol content and strong taste, but there are also many people who are too preoccupied with their preconceived notions and actually dislike it. In this article, I will introduce some of the brands of Awamori available on Amazon and Rakuten Market that are easy to drink, even for beginners."
"和から洋まで 小松菜レシピまとめ！「小松菜にんじんくるみ和え」「小松菜チーズサラダ」など 和風から洋風まで楽しめる小松菜レシピをまとめました。「小松菜とシーフードのペペロン風」「小松菜にんじんくるみ和え」「豚肉と小松菜の和風炒め」「小松菜チーズサラダ」「さば缶と小松菜のおかか醤油和え」の5つ。","A collection of komatsuna recipes from Japanese to Western! Komatsuna with carrot and walnut"", ""Komatsuna cheese salad"", etc. We have compiled recipes for komatsuna that can be enjoyed from Japanese to Western style. There are 5 recipes: ""Komatsuna and seafood with pepperon"", ""Komatsuna with carrot and walnut"", ""Stir-fried pork and komatsuna in Japanese style"", ""Komatsuna cheese salad"", and ""Canned mackerel and komatsuna with bonito and soy sauce""."
"ローグライク×カードバトルで奥深すぎる戦略性が「詰将棋」的プレイ感を生み出す「Quantum Protocol」プレイレビュー 「遊☆戯☆王」に代表されるタイプのカードゲームをベースに、キャラクターごとのとがったカードを織り交ぜることでパズルのようなプレイ感を実現しているデッキ構築型カードゲームが「Quantum Protocol」です。カードバトル×ローグライクなゲームの中でもパズル要素が際立っていて詰将棋の領域に達しているというだけでなく、美麗グラフィックのADVパートまで充実しているという本作が公式に日本語に対応したということで、実際に遊んでみました。","Review of Quantum Protocol, a roguelike and card battle game with a deep strategy that creates a Tsume-Shogi-like play experience. Quantum Protocol is a deck-building card game based on a card game like Yu-Gi-Oh! The game is based on the card battle and roguelike games, but the puzzle elements are so outstanding that it has reached the realm of Tsume-shogi, and it even has an ADV part with beautiful graphics."
"新型コロナのインド変異株「デルタ株」のさらなる進化形「デルタプラス株」とは？ 2021年6月末、新型コロナウイルスのインド型変異株「デルタ株」に関してインド政府が「感染力の向上」などのさらなる変異を果たした「デルタプラス株」を確認しました。インドでも感染が増えつつあるとされるデルタプラス株について、ウイルスに関する専門家であるバナーラスヒンドゥー大学免疫学科部のスニット・K・シン教授が解説しています","What is the ""delta plus strain,"" a more advanced form of the Indian variant of the new coronavirus ""delta strain""? At the end of June 2021, the Indian government confirmed a further mutation of the Indian variant of the new coronavirus, the ""delta-plus strain,"" which has ""increased infectivity. Professor Sunit K. Singh of the Department of Immunology at Banaras Hindu University, who is an expert on the virus, explains about the delta plus strain, which is said to be increasingly infecting people in India."
"今日は何の日？【７月６日】 1月1日は元日、5月5日はこどもの日、7月の第3月曜日は海の日など、国民の祝日と定められている日以外にも、1年365日（うるう年は366日）、毎日何かしらの記念日なんです。日本記念日協会には、2021年2月時点で約2,200件の記念日が登録されており、年間約150件以上のペースで増加しているそう。その記念日の中から、旅や地域、グルメに関するテーマを中心に注目したい日をピックアップして紹介していきます。","January 1 is New Year's Day, May 5 is Children's Day, the third Monday in July is Marine Day, etc. In addition to the days that are designated as national holidays, 365 days a year (366 days in leap years), every day is an anniversary of some kind. As of February 2021, about 2,200 anniversaries have been registered with the Japan Anniversary Association, and the number of anniversaries is increasing at a rate of about 150 per year. From among these anniversaries, we will pick up days that we want to focus on, focusing on themes related to travel, regions, and gourmet food."
"釣と魚料理好き必見！釣りたての魚を味わえる会員制割烹料理店がオープン「割烹 波勢」【神戸・三ノ宮】  自分で釣った魚をシェフが調理し、その料理をお店で味わえる、日本初の会員制システム「釣り人のためのシェフシェアリング“釣り人”」。六本木のイタリアン「リストランテ ペスカトーレ」に続く2号店、神戸・三ノ宮「割烹 波勢」が2021年7月2日にオープンしました。釣りをせずに料理だけをいただくこともできます。釣れたての魚介類を活かした割烹料理を堪能させていただきました！","A must-see for fishing and fish lovers! Kappo Hase, a new members-only kappo restaurant where you can enjoy freshly caught fish [Sannomiya, Kobe]. The first membership system in Japan, ""Chef Sharing ""Tsurinjin"" for Fishermen"", allows you to enjoy fish you have caught and prepared by a chef at the restaurant. The second restaurant, ""Kappo Hase"" in Sannomiya, Kobe, opened on July 2, 2021, following the Italian restaurant ""Ristorante Pescatore"" in Roppongi. You can also enjoy only the food without fishing. We enjoyed the kappo cuisine that makes use of freshly caught seafood!"
"任天堂は、2021年7月6日、Nintendo Switch本体のアップデートとなる、更新データ“システムバージョン12.1.0”の配信を開始した。

今回の更新では、ゲームソフトの更新データをダウンロードする際、本体保存メモリーやmicroSDカードの空き容量が不足していたら、先にそのソフトの古いデータを消去してから新しいデータをダウンロードできるようになった。なお、古いデータを消去した場合、新しいデータのダウンロードが完了するまで、そのゲームソフトをプレイできなくなる。

　そのほかにも、いくつかの問題の修正、動作の安定性や利便性を向上させたとのこと。

　Nintendo Switch本体の更新データは、Nintendo Switchをインターネットに接続していると、自動的にダウンロードが始まる。ダウンロードが完了していれば、ソフトを始める前に本体更新の案内が表示される。

　また、自動ダウンロードだけでなく、ホームメニューの“設定”内の最下部にある“本体”を選んで、“本体更新”を選択すれば、手動でアップデートも可能だ。","On July 6, 2021, Nintendo began distributing an update to the Nintendo Switch console called ""System Version 12.1.0"".

In this update, when downloading updates for game software, if there is not enough free space in the console's storage memory or microSD card, the old data for that software can now be deleted before downloading the new data. If you delete the old data, you will not be able to play the game until the new data has been downloaded.

　In addition, the company has also fixed some other issues and improved the stability and convenience of the operation.

　The update data for the Nintendo Switch console will start downloading automatically when the Nintendo Switch is connected to the Internet. If the download is complete, the console update information will be displayed before starting the software.

　In addition to the automatic download, you can also update manually by selecting ""Main Unit"" at the bottom of ""Settings"" in the home menu and selecting ""Main Unit Update""."
"熱帯暴風雨「エルサ」、キューバに上陸　米フロリダ州に接近
熱帯暴風雨「エルサ」がキューバ南部に上陸し、カリブ海の島国で死者が出ている。米国立ハリケーンセンターによると、エルサはメキシコ湾を北上し、６日には風速２７～２９メートルの強風を伴ってフロリダ州西部沖に到達する見通し。
エルサは米東部標準時の５日午後２時ごろ、キューバ南部に上陸した。上陸時の風速は約２７メートル。この影響でキューバ中部は豪雨に見舞われ、大規模な鉄砲水や土砂崩れが発生している。","Tropical Storm Elsa Makes Landfall in Cuba, Approaches U.S. State of Florida
Tropical Storm Elsa has made landfall in southern Cuba, causing deaths on the Caribbean island nation. According to the U.S. National Hurricane Center, Elsa is moving northward across the Gulf of Mexico and is expected to reach the coast of western Florida on April 6 with winds of 27 to 29 meters per hour.
Elsa made landfall in southern Cuba at around 2 p.m. EST on May 5. The wind speed at the time of landfall was about 27 meters. As a result, central Cuba has been hit by heavy rains, causing massive flash floods and landslides."
"厚切り神戸牛をガツガツ食べられる「神戸牛旨辛つけうどん＆神戸牛焼肉丼」試食レビュー
すき焼き風に味付けした神戸牛＆うどんを特製旨辛だしにつけて楽しむ「神戸牛旨辛つけうどん」と香ばしく焼き上げた神戸牛をたっぷりのせた「神戸牛焼肉丼」が2021年7月6日(火)から丸亀製麺に登場しています。これまでの神戸牛シリーズと比べて厚切りにカットされた神戸牛を楽しめるとのことで、実際に2品とも食べて味を確かめてみました。","Tasting review of ""Kobe Beef Umami Spicy Udon & Kobe Beef Yakiniku Donburi"" that lets you gobble up thick slices of Kobe beef
The ""Kobe Beef Umami Spicy Tsuke-udon"" (udon noodles with Kobe beef seasoned like sukiyaki and udon noodles dipped in special umami-spicy broth) and the ""Kobe Beef Yakiniku-don"" (bowl of rice topped with grilled Kobe beef) have been available at Marugame Seimen since Tuesday, July 6, 2021. Compared to the previous Kobe beef series, the thicker cut Kobe beef can be enjoyed, and I actually tried both products to see how they tasted."
"個人的ソウルフード探訪記：「ラーメンスタンドとん平食堂」の辛口ホルモンメン（茨城県龍ケ崎市）
「他人の個人的ソウルフードを教えてもらう」という玉置標本さんの新シリーズをはじめます。その人のソウルフードを訊くことで、未開の食にまだまだ出会うことができるのでは？その答えは第一回から撮れ高十分でした。第一回は茨城県龍ケ崎市在住の成斗さんが熱く推す、「ラーメンスタンドとん平食堂」（茨城県龍ケ崎市馴馬町2518）の辛口ホルモンメンだ。ホルモンメンというから豚の腸を想像していたら、「パイカ」という謎の部位を使用しているとのこと。そのビジュアルは玉置さんのソウルも沸き立つ強烈さだったようです。ぜひお腹をすかせてごらんください。","Personal Soul Food Exploration: Spicy Hormone Men at Ramen Stand Tonpei Shokudo (Ryukesaki City, Ibaraki Prefecture)
I'm going to start a new series by specimen Tamaki, ""Ask me about other people's personal soul food"". It's a great way to get to know the people behind the food. The answer to this question was well captured in the first installment. In the first installment, Mr. Seito, who lives in Ryukesaki City, Ibaraki Prefecture, passionately recommends the spicy hormone-men at Ramen Stand Tonpei Shokudo (2518, Jimacho, Ryukesaki City, Ibaraki Prefecture). I was expecting to find pork intestines, but instead I was told that they use a mysterious part called ""paika"". The visuals seemed to be so intense that even Tamaki's soul was boiling. Please come hungry and try it."
"【涼を呼ぶ夏の絶景】九州・沖縄地域の美しい滝５選
気象庁の発表によると、2021年の夏（7月～9月）の気温は平年並か平年よりやや高く、全国的に暑い夏になりそうとの予報が出ています。湿気の高い日本の夏は、体力も気力も奪われるもの。「自然の雄大なシャワー」「夏のベストな避暑地」といえば、高みから天然水を降り注いでくれる「滝」ですね。涼しい滝に行くと、ひんやりとした空気に頭も冴え、身も心も潤います。涼を呼ぶ素晴らしい日本の滝絶景を、連載でご紹介いたします。今回は、九州・沖縄地域の美しい滝です。","The most beautiful waterfalls in Kyushu and Okinawa
According to the Japan Meteorological Agency (JMA), the forecast for the summer of 2021 (July to September) is on par or slightly higher than normal, and it is expected to be a hot summer nationwide. The humid summer in Japan can take a toll on your strength and energy. The best place to get away from it all in the summer is a waterfall that pours down natural water from a great height. When you visit a cool waterfall, the cool air will refresh your mind and moisturize your body and soul. In this series of articles, we will introduce some of the most beautiful waterfalls in Japan that will bring you coolness. This time, I would like to introduce beautiful waterfalls in the Kyushu and Okinawa regions."
"奈良・御杖村の絶景スポット！岡田の谷の半夏生園と不動の滝｜奈良県｜トラベルjp 旅行ガイド
奈良県御杖村の「岡田の谷の半夏生園」では、例年7月上旬から下旬にかけて「半夏生（はんげしょう）」の群生が見られます。またそこから車で30分ほどのところには、落差21メートルの美しい滝「不動の滝」があります。夏の御杖村で、白い絨毯を敷いたような半夏生と清廉な流れの不動の滝で、極楽浄土のような風景と、下界の暑さから開放されたような涼しさを満喫してみませんか？","A spectacular spot in Mikue Village, Nara! Okada no Tani no Hankejoen and Fudo no Taki Waterfall｜Nara Prefecture｜Travel Japan Travel Guide
The ""Okada-no-Tani-no-Hange-Shoen"" (Okada Valley Garden) in Mikue-mura, Nara Prefecture, is a place where you can see a colony of ""hange-sho"" (Japanese apricot seedlings) from early to late July every year. About a 30-minute drive away is Fudo-no-taki, a beautiful waterfall with a drop of 21 meters. In summer, why don't you visit Mikue Village and enjoy the white carpet of ""hange-shou"" and the clear flow of Fudo Falls, which will make you feel like you are in paradise and cool as if you are free from the heat of the world below?"
"教えます。「作業できるおしゃれカフェ、ぶっちゃけどこですか？」
カフェで作業すると捗りますよね。だけど設備バッチリかつお洒落な場所って案外知らないという方も多いのでは？今回は、都内で作業できるおしゃれカフェをご紹介します。電源、無料Wi-Fiもちろんあります！（なお情報は記事掲載時点のものです。詳細は公式サイトなどでも事前確認することをおすすめします。）","I'll tell you. What's the best place to work?
It's a great way to get some work done. It's a great way to get to know the people around you. This time, we'll introduce you to some of the most stylish cafes in Tokyo where you can work. Of course, they have power and free Wi-Fi! (Information is current at the time of publication. (Information is current at the time of publication; we recommend you check the official website for details)"
