Time,Subtitle,Translation
4:18,（小泉） んー 水産研の先輩らが来てて 何回か遊びに,I visited when senior members of the Aquaculture Club attended.
4:22,（美波） 水産研…あっ 学祭で水族館作ってた？,The club that built the aquarium at the school festival?
4:25,それ！ （美波）えー！ サークルは水産研　趣味は釣り バイトは寿司屋,"Exactly! The Aquaculture Club, fishing for fun, and a part-time sushi-bar job."
4:30,（小泉）魚づくし （美波）ガチやなぁ,-I'm all about fish. -That's hardcore!
4:32,あっ そうや！,Before I forget…
4:34,お母さんがな “合宿なら夜は飲むやろ～”って,"My mom said at camp, students usually drink at night."
4:39,（美波）おつまみ 魚づくし～ （小泉）お～,So I brought some fish-based snacks to go with the booze!
4:42,マグロ煎餅 ウツボジャーキー,"Tuna rice crackers, eel jerky…"
4:45,（細野(ほその)）すごい　ありがとう （美波）うん,"This is great, thanks! -Thanks!"
4:47,あっ なぁなぁ 釣り教えてや,Teach me how to fish!
4:49,（小泉） おう 今度みんなで海行こ （美波）えー 行きたい （小泉）よしっ,"-Sure, let's all go. -I can't wait!"
4:52,ちょっ なんか ええビーチないの？,Is there a beach?
4:54,（小泉）えー メジャーなんは （美波）うん （小泉）ここやけど （美波）うんうんうん,"The most popular place is here, but I recommend this spot."
4:57,（小泉）お勧めスポットはここ （美波）え なんで？,"The most popular place is here, but I recommend this spot. Why's that?"
5:00,（小泉） 地元の人しか知らん穴場でな 泳げるし 釣れるし,Only the locals know about it. You can swim and fish.
5:03,（美波） うわ～ いいやん そこ,-Sounds great! -See you later.
5:04,（晶(あきら)）お疲れ様 （美波）えーどんなん釣れるん？,What do you catch?
5:05,（小泉）えー キスとかチヌとか （細野）お疲れ様,"-Smelt, sea bream… -See you."
5:07,（美波）うわっ 最高やん,Sounds amazing!
5:09,や はるばる串本まで 来たんやし 楽しまんとな～,"I came all the way here to Kishimoto, so I gotta have some fun!"
5:13,（小泉） な！　そやんな　ほんまやな,"Yeah, I totally agree!"
5:22,（美波）あかん…重い 重い,This is way too heavy.
5:26,（笹倉）はい 止まらな～い,Keep it moving.
5:28,（美波）はい,"Yes, sir."
5:32,（笹倉） はいはい 落とさな～い,Don't drop anything.
5:34,（美波）はい,"Yes, sir."
5:36,はぁはぁ　重い,It's so heavy.
5:38,（笹倉） はいはいはい ヨロヨロしな～い,Steady on your feet.
5:44,（美波）なんなん これ,Why are we doing this?
5:47,研究合宿ゆうけど うちら単なる労働力やん,"They said this was a research camp, but this is just hard labor."
5:52,運び屋やん　助っ人やん,I didn't sign up for this.
5:55,ああ 腰にくる　肩こるわ,My back and shoulders are are killing me.
5:59,わ わ 危ない 危ない （細野）大丈夫？,-Look out! -You okay?
6:02,（晶）高山さん 静かにしてくれん？,Takayama… you mind keeping it down?
6:05,（美波）え？,What?
6:07,（晶） 遊ぶ気まんまん 文句たらたら 迷惑やわ,All you do is play around and complain. It's annoying.
6:11,網も水槽も この餌も 飼育に必要やん,"They need nets, tanks, and this fish feed to raise the fish."
6:15,“魚の研究は魚の飼育から”て 樋口教授の話 もう忘れたん？,"Did you forget what Prof. Higuchi said? ""Fish research starts with raising fish."""
6:23,あ 遅刻したから…,"She came late, so…"
6:26,あー そっか　ごめん　 聞いてへんわ　はは,"Right! Sorry, I missed that part!"
6:31,まぁまぁ 黒田(くろだ)さん イラつかんと,"Come on, Kuroda, don't be a grouch."
6:34,うちが悪いん？,This is my fault?
6:35,高山さん やる気ゼロやん,She has zero motivation.
6:37,（美波）あるよ　やる気 え めっちゃ研究したいで,I'm motivated. I wanna do a ton of research.
6:41,めっちゃ興味あるよ マグロ,I'm totally into tuna.
6:43,（晶）どこが？ （美波）中トロ！,-Like what? -Medium fatty tuna!
6:47,（美波）“ハ”やて　“ハ”て （携帯電話の振動音）,She humphed me.
6:51,聞いた？　あれ？,You hear that?
6:56,（美波）は～ん 女やな （小泉）どうした？,-What's wrong? -It's a girl.
6:59,（細野）そうなの？ （美波）知らんけど,-Really? -Just guessing.
7:01,（小泉）大丈夫？,You okay?
7:08,すいません　渡します （笹倉） おーい ちょっと 待て待て待て待て,"-Here, it's all yours! -No, wait!"
7:13,（笹倉）えさー！ （美波）すいませーん,-The fish feed! -I'm so sorry!
7:19,(須藤） 実験で よく水槽を交換します,We often switch tanks during tests.
7:22,水を抜いて魚をすくい 別の水槽に移し替えます,We drain the water and move the fish to another tank.
7:26,ホースを ちょっと吸って,Suck the hose a little…
7:32,こうです,and it drains.
7:36,どうぞ （小泉）はい,-You try it. -Okay.
7:44,（小泉）はい キター （細野）すごい,-I did it. -Nice.
7:53,（細野）難しい,That's hard.
8:04,やりまーす！,Here goes!
8:14,しょっぱ,It's so salty!
8:16,うえっ　これ あかん 無理や 私,No way I can do this.
8:21,（須藤） 寄生虫の研究では ゴカイを採取します,We gather rag worms to study parasites.
8:25,生け簀のロープに 付着した海綿などから ゴカイを取り出します,The sea sponges on the cage ropes are a good place to find them.
8:40,（細野）大丈夫だよ,It's all right.
8:41,いやっ　もう 無理 無理 無理 無理,"No, get that away from me!"
8:45,マグロ育てに来たのに もう,I just came here to raise tuna.
8:49,この後は マグロの獲り上げです,"After this, we'll go harvest a tuna."
8:51,マグロ？,Tuna?
9:10,はーい,Hello?
9:11,（省吾(しょうご)） 美波 貧血で早退ってどしたん？,"Minami, you left early because you felt faint?"
9:15,あー 今日マグロの 獲り上げ見学して,I had to watch a tuna harvest.
9:19,もう血ドバーッ 内臓ドローン,It was all blood and guts.
9:23,流血の大惨事,A real gore-fest.
9:26,私 ここ向いてへんかも,Maybe I'm not cut out for this.
9:28,（省吾）えー？ “就職活動でＰＲできるから 近大マグロ育てるー”って,But you said raising Kindai Tuna would look great on your résumé.
9:33,張り切ってたやん？,You were so excited.
9:34,そうやけど～,"I know, but…"
9:37,飼育の作業もしんどいし,Raising tuna is exhausting work.
9:40,ってか もうキモイし コワイし デカイし マグロ無理！,"They're gross, scary, and huge. I can't handle tuna!"
9:44,（省吾）はぁ？,Huh?
9:45,なんかもう わざわざ マグロ養殖せんでも ないならないで 他の魚 食べりゃええやんって気ぃしてきた,Why even bother raising tuna? People can eat other fish.
9:53,（省吾） はぁ もう合宿やめて大阪帰り 土曜 ボウリング大会やで,"Then forget it, and come back to Osaka. There's a bowling tournament Saturday."
9:58,イベント同好会の 10周年やから賞品も… （美波）あ～,"It's the event club's 10th anniversary, so there will prizes."
10:02,でも 辞めたら マイナス評価つくかな～,But it might look bad if I quit.
10:05,（省吾）は？ （美波）就職に響くかなぁ,Would it affect my job prospects?
10:10,耐えるわ　うん,I'll grin and bear it.
10:11,頑張るわ （省吾）は？,I'll stick with it.
10:13,ありがとう 省吾 また電話する～,"-Thanks, Shogo. Talk to you later. -No, wait--"
10:18,（須藤）アカマンボウ （美波）うわわっ,Moonfish.
10:21,ア…アカマンボウ？,Moonfish?
10:24,マグロの代替魚として 寿司やネギトロに使われている,It's used as a tuna substitute for sushi and negitoro.
10:28,“マグロがなければ 他の魚を食べればいい”は そこそこのレベルで 実現済みだが,"You said, ""People can eat other fish."" Well, it's possible to a certain extent."
10:33,驚いたよ,But I'm shocked.
10:35,マグロ養殖の意義も分からず 研究合宿に来るなんて,You came here ignorant of the importance of tuna farming.
10:39,すいません,Sorry.
10:41,（須藤） 江戸時代 マグロは 捨てられていた,"In the Edo period, tuna were thrown out."
10:44,赤身は痛みやすく 嫌われていて,"Its red meat spoiled easily, so no one liked it."
10:46,猫もまたいで通る “猫またぎ”と呼ばれていた,"Even cats would pass over it, so it was called neko matagi."
10:48,（美波）えぇっ （須藤）しかし―,"Even cats would pass over it, so it was called neko matagi. But with changing tastes and advances in refrigeration and transport,"
10:50,嗜(し)好の変化 冷凍技術  運搬技術の発達により,"But with changing tastes and advances in refrigeration and transport,"
10:53,マグロ人気は上昇,tuna became more popular.
10:55,日本の食産業に 欠かせない食材となった,It's become a key ingredient in Japan's food industry.
10:58,（美波）はぁ （須藤）クロマグロ ミナミマグロ メバチ キハダ  ビンナガ コシナガ,"Pacific bluefin, southern bluefin, bigeye,"
11:01,タイセイヨウマグロ,"yellowfin, albacore, longtail, blackfin."
11:02,和食ブームの影響もあり 世界のマグロ消費量は右肩上がりだ,"Global tuna demand is soaring, partly due to the Japanese food boom."
11:07,乱獲も進んで 今や絶滅危惧種となっている,They're now an endangered species due to overfishing.
11:10,（美波）で ですよね～,"I know, right?"
11:12,（須藤） 日本は世界のマグロ類の 約40％を消費し,Japan consumes about 40% of the world's tuna.
11:15,高級魚の クロマグロについては 実に80％を消費している,"And when it comes to top-grade bluefin, it consumes about 80%."
11:20,つまり―,In short…
11:22,クロマグロの完全養殖は 日本人の義務だ,fully farmed Pacific bluefin tuna is Japan's sacred duty.
11:26,と僕は思う,Or so I believe.
11:28,し…失礼しました,I'm so sorry!
11:31,いやその…ちょっと愚痴っただけで あの やる気がないわけでは,I was just venting a bit. It's not like I lack motivation.
11:35,（須藤）可愛いよ （美波）えっ？,How adorable…
11:37,海のダイヤは,The diamonds of the sea.
11:43,海の… ダイヤ？,Diamonds… of the sea?
11:50,ダーッとしゃべって （小泉）うん,-He went on and on. -Yeah?
11:52,（美波） “可愛いよ　海のダイヤは”,"Then said, ""How adorable… The diamonds of the sea."""
11:55,なんじゃ これ （笑い声）,What the heck?
11:57,（小泉）やー 須藤さんなぁ,That's Sudo for you.
12:00,優秀で信頼も厚いけど 変わりもん,He's brilliant and trustworthy but kind of weird.
12:03,（美波）あ～,Yeah.
12:04,（小泉）ガチの魚オタク （美波）フフフ,A total fish nerd.
12:06,（小泉） 魚がトモダチ　人間のトモダチ無し,He's got fish for friends instead of people.
12:09,（美波）いや 無して,He must have some.
12:11,（小泉） 先輩ら 言うとったもん 休みの日も遊ばんと,An older classmate told me he doesn't hang out on days off.
12:14,１人で魚の世話して １人で論文読んで １人で釣り　一人で食事,"He tends to the fish, reads, goes fishing, and eats… alone."
12:19,ほら 寮にもほとんどおらんやろ？ （美波）うん （小泉）研究所に入り浸りや,Hardly ever leaves the dorm. Spends all his time here.
12:23,（美波）ガチやな （小泉）うん,That's hardcore.
12:25,（細野） ねえねえ ダイヤって？,What was that about diamonds?
12:28,（晶） クロマグロは“海のダイヤ”って 呼ばれてんねん,Pacific bluefin are called the diamonds of the sea.
12:31,なかなか獲れんし 高値が付くから,It's because they're expensive and rare.
12:37,（美波）“可愛いよ　海のダイヤは”,"""How adorable… The diamonds of the sea."""
12:40,（笑い声） （美波）謎のロマンや （晶）失礼やで,-A true fish lover! -That's rude.
12:43,（美波） あれ　え？ もしかして 好み？,"Wait, is he your type?"
12:48,（美波） あはは　アリちゃう？ 真面目やし　イケメンやし,"He is, right? He's serious and handsome."
12:52,うまく育てたら ええ彼氏になる,"Raise him right, and he'll make a fine boyfriend."
12:56,“ダイヤの原石”かも～ うふふ,A real diamond in the rough.
12:59,（小泉）デートおもんなさそー,I bet dates would be a snooze-fest.
13:01,（美波） デートがおもろい チャラい男は浮気する,Shallow guys who make fun dates are playboys.
13:04,（小泉） サ…サンプルデータ 偏ってへんか？,Your data sample must be skewed.
13:07,（美波）黒田さん 頑張り～,"Good luck, Kuroda!"
13:09,（晶） やめて　うちは優良魚種の 遺伝子の研究に来たんや,Stop it. I came here to study the genetics of the finest fish.
13:14,（美波）ゆ…？,What?
13:14,ザッツ バイオテクノロジー！ 俺も遺伝子研究,You mean biotechnology. I'm studying genetics too.
13:18,（晶）そうなん？,Really?
13:19,え 細野くんは？,"And you, Hosono?"
13:21,（細野） うん　僕は病気と寄生虫を,Fish diseases and parasites.
13:24,（小泉） んで ゴカイに興味津々やってんな （細野）そうそうそう,-Then you love rag worms. -Sure do.
13:27,（晶） 高山さんも真面目に研究しぃ,You should get serious about your work too.
13:31,（美波）や…やるよっ やったるわ　ははは,Of course! I already am!
13:38,て 何をや？,What am I studying?
13:41,（樋口） マグロはね 静止すると エラ呼吸ができません,Tuna can't breathe unless they're moving.
13:45,泳ぐことによって 海水が口から入ってって,"When they swim, water enters the mouth and passes through the gills."
13:49,エラを通過して 水中の酸素が 体内に取り込まれる,The gills take the water's oxygen and sends it throughout the body.
13:53,これをね ラムジェット換水法 という呼吸法です,This respiration method is known as ramjet ventilation.
13:57,気持ち悪っ,Gross.
14:01,止まると死んでまうんでねぇ マグロは一生泳ぎ続けなあきません,"Tuna must swim their entire life. If they stop, they die."
14:06,あっ 夜も寝ませんよ,And they don't even sleep at night.
14:09,代謝を低くして ゆーっくり ゆーっくり,They lower their metabolism and move ever so slowly.
14:14,ほんま健気なもんですわー,They really are busy little beavers.
14:21,あっ そうそう高山さん （美波）はい,"-Before I forget, Takayama? -Yes?"
14:23,あのー 研究したい ジャンルとかありますか？　 班を決めないと,Anything you want to study? That'll decide your team.
14:29,小泉くんと黒田さんが バイテク班,Koizumi and Kuroda are on the biotech team.
14:32,で 細野くんが魚病班で寄生虫を,And Hosono is on the disease team studying parasites.
14:35,うん 高山さんは何か興味ある ジャンルありますか？,Are you interested in any special area?
14:38,え あ はい　えーと 興味？,My area of interest?
14:40,はい,Yes.
14:41,（美波）えー興味　興味は…,I'm interested in…
14:45,なんか そのぉ～,you know…
14:48,養殖の… （樋口）はい,-Fish farming… -Yes?
14:51,養殖を… （樋口）はい,-Fish farming… -Go on.
14:53,養殖で…,Fish farming…
14:55,はい,Yes?
15:01,じゃあ飼育班にしましょう　ね？,"Okay, let's put you on the fish raising team."
15:04,須藤くんに 色々相談して下さい,Talk to Sudo if you have questions.
15:07,じゃあ 講義ここまでです お疲れ様でした,"That's it for today's lecture. Well done, everyone."
15:10,（学生たち）お疲れ様でした,Thank you.
15:15,（須藤）君が…飼育班？,You're on… the fish raising team?
15:19,よ…よろしくお願いしまーす,I look forward to working with you.
15:25,飼育班は様々な魚種を ケアするが,Our team cares for a variety of fish.
15:27,クロマグロの完全養殖の ウェイトが大きい,But fully farmed bluefin are the most prevalent.
15:31,デリケートな魚だから 繊細さが必要だ,"They're delicate, so you need a fine touch."
15:34,それを… “キモイし コワイし デカイし マグロ無理”,"But… ""They're gross, scary, and huge. I can't handle tuna."""
15:38,と言ってた君が？,Your exact words.
15:42,む…向いてませんかねぇ？,Maybe I'm not cut out for this.
15:45,（須藤） と自覚するなら魚病班で 寄生虫の研究はどうかな？,Then how about studying parasites with the fish disease team?
15:50,エラの血管に びっしり詰まった 住血吸虫や,Blood flukes clog fish gills and skin flukes ravage their bodies.
15:53,魚をボロボロにする ハダムシを駆除するのは,Blood flukes clog fish gills and skin flukes ravage their bodies. Removing them gives you a sense of accomplishment--
15:56,成果が見えるので 達成感が…,Removing them gives you a sense of accomplishment--
15:57,（美波） 飼育班で　マグロ頑張ります！ あっ 研究テーマ どうしましょ？,I'll stick with tuna on the raising team! But what about my research area?
16:02,何かあります？　旬のテーマとか,Any ideas? Maybe a hot topic or…?
16:06,（須藤）旬？,A hot topic?
16:08,（美波） ああ 今 注目の～とか 話題の～とか,"Yeah, like something everyone is talking about."
16:12,オススメ的な？,Any recommendations?
16:17,クエの浮袋は,How long does it take the longtooth grouper's swim bladder
16:20,ふ化後どれぐらいで開くのか,How long does it take the longtooth grouper's swim bladder to develop after hatching?
16:24,クエ？,Longtooth grouper?
17:02,（美波）あの…,Excuse me…
17:05,死骸ばっかりキツいです,They're all dead. I can't do this.
17:08,潰さな浮袋 見えへんし,I can't see the swim bladders without crushing them.
17:12,キツいです,I can't do this.
17:15,（須藤） ３時間おきの調査で48時間,You must study them every three hours for 48 hours.
17:18,やめるなら今だね,Now's the time to quit.
17:20,（美波） やめたら研究テーマは？,What else can I study?
17:24,（須藤） 魚病班でビブリオ病の 研究はどうかな？,How about vibriosis with the disease team?
17:28,ウロコがベロベロにはがれて 肉が見えて出血する病気で…,"Scales fall off, exposing flesh and causing bleeding."
17:32,（美波）あ クエで！,"No, wait!"
17:34,クエ 頑張ります,I'll stick with longtooth grouper.
18:41,（須藤） ペース上げないと 次の調査時間 来るよ,Better pick up the pace before the next observation.
18:47,（美波） なんか死骸だらけで 辛くて,It's hard looking at all the dead fish.
18:53,（須藤） やめたら ここまでの死は 無駄になるね,"If you quit, all of these will have died in vain."
19:00,（美波）頑張ります,I'll try my best.
19:34,はっ ヤバい 調査の時間や,"Oh, no, the observation time…"
19:36,うわっ もう どうしよう もうもう ああ もう ほんまに,What am I gonna do now? I blew it.
19:39,もう どうしよう （須藤）サンプル集めてきたから,What am I gonna do now? I blew it. I collected a sample.
19:41,わっ　すいませ～ん,I'm so sorry.
19:48,あれ？,Wait…
19:51,もしかして須藤さん 私が寝過ごさへんように ずっとここに？,"Did you stay here all night, so I wouldn't oversleep?"
19:58,（須藤） 別に…やることは 色々あるから,Not really. I had other things to do.
20:01,（美波）あ　はい,I see.
20:06,あの…,Listen…
20:09,ありがとうございます,Thank you so much.
20:32,いやもう最っ悪な 研究やったわー 死骸だらけの48時間,That was the worst research ever! Forty-eight hours of little dead fish.
20:39,（小泉）ハードやなぁ （美波）うん,Sounds hard.
20:41,まあ 須藤さんが 助けてくれたけどさぁ,"At least Sudo helped me, but…"
20:44,いや あの人ほんまにスゴイわ 起きっぱなしやねん,He's amazing. I don't think he slept a wink.
20:48,で 私の実験が終わった後も,"After my test, he said, ""Now I need temperature data for raising Japanese horse mackerel."""
20:50,“マアジの水温別飼育のデータを 取るんだ”って,"""Now I need temperature data for raising Japanese horse mackerel."""
20:53,次の実験始めて いや もう眠らんマグロかって （笑い声）,Then got right to it. And they say tuna never sleep!
20:58,（細野）タフだね～ （美波）うん,He's a tough one.
21:00,ま もうちょい とっつきやすかったらなぁ,I just wish he'd lighten up a bit.
21:03,もう ダーッて説明するから 全然 入ってけーへん,You can't get a word in while he's explaining stuff.
21:06,クエの浮袋も調べて どないやねーんって感じ,"It's like, why am even studying grouper swim bladders?"
21:09,（小泉） おっとっと 美波ちゃん そこはマグロと一緒やで,"Hold on, Minami. That applies to tuna as well."
21:23,（小泉） あー ありがとう,Thanks.
21:26,よっし　クロマグロはな （細野･美波）うん,"With bluefin,"
21:30,（小泉） ふ化してしばらくは 浮上死が多いねん,there are many surface deaths after they hatch.
21:34,（小泉）泳ぐ力が弱いから ポンプの水流とかで上いくと,"They aren't yet strong swimmers, so the pump's current pushes them up."
21:39,表面張力に負けて 降りれなくなって死ぬんや,"The surface tension traps them there, and they die."
21:42,（美波）うんうん,SURFACE DEATHS
21:44,（小泉） この対策は 表面張力を弱める― 油膜を張る,"To combat this, oil is applied, creating a film that weakens this tension."
21:51,（小泉） せやけど しばらくすると 今度は,"However, as time goes by…"
21:54,沈降死が増えるんや,sinking deaths start mounting.
21:57,浮袋が開いてへんから うっかり沈んで 傷ついて死んでまう,"If their swim bladders don't inflate, they sink and die."
22:02,（美波）うん,SINKING DEATHS
22:03,（小泉）そこでや,Here's the key.
22:06,クロマグロの浮袋が できるタイミングの ふ化後３日目だけ,"On the third day after they hatch, right when their swim bladders develop,"
22:11,油膜をね どけて,the oil film is removed.
22:15,（小泉）空気吸わせて 浮袋を 膨らませたんねん,This allows them to take in the air needed to inflate their swim bladders.
22:22,（小泉） で まだ浮上死の 可能性もあるから,But there's still a risk of surface deaths.
22:25,（美波）うん （小泉）４日目は油膜を閉じんねや,"So on the fourth day, oil is reapplied."
22:29,（小泉）ザッツ “沈降死対策”,That's the sinking-death solution.
22:33,（細野）じゃあ高山さんは,"So, Takayama,"
22:34,クエの沈降死対策のための データを取ってたんだね,you were collecting data for preventing longtooth grouper sinking deaths.
22:40,いや スゴイ,That was amazing. So easy to understand.
22:42,わかりやすい　 いや 小泉くん 先生なれる,That was amazing. So easy to understand. You could totally be a teacher.
22:45,（小泉）マジ？ （美波）うん,Seriously?
22:46,（小泉） 俺 海外で養殖  教えたいねんな,I'd like to teach fish farming overseas.
22:49,（美波）海外？,Overseas?
22:52,（小泉） 今な 〝肉厚マダイ〞の 研究してんねや,We're trying to raise meatier red sea bream.
22:55,筋肉の成長を抑制する,"The myostatin gene prevents excess muscle growth,"
22:57,ミオスタチン遺伝子を壊して 肉を増やすやつ,"The myostatin gene prevents excess muscle growth, so we destroy it to get more meat."
23:02,ローコストで効率ええ 養殖技術やんか,"It's an efficient, low-cost farming technique."
23:05,途上国に広まったら 天然資源の乱獲も減りそうやろ,It might reduce overfishing in developing countries.
23:09,は～ しっかりした目標やな,You have a really clear-cut goal.
23:13,（晶） バイテクの教授も褒めてたわ,Even the biotech professor praised him.
23:15,チャラいのに 案外 骨がある,"""He looks glib, but he's the real deal."""
23:18,（小泉） 晶ちゃん　“チャラい”が余計,"Akira, I could do without the ""glib"" part."
23:21,（晶）その呼び方やめて,We're not on a first-name basis.
23:23,（細野） 黒田さんは 確か優良魚種を？,"Kuroda, aren't you studying top quality fish?"
23:26,（晶） マダイのヒレでＤＮＡ検査して 発育のいい親を特定してる,We're testing red sea bream fin DNA to identify fast-growing adults.
23:30,（細野） 掛け合わせて 更に品質を高めるんだね,"By having them mate, you create even better fish."
23:35,（晶） 識別用のタグ お腹に打つん辛くて,Injecting the ID tag into their stomach is hard work.
23:38,（小泉） うわ わっかる～ 大変やな～,I know exactly what you mean.
23:41,（晶） そっちも大変やん 時間との戦いで,It's a race against time.
23:43,（細野）時間？,How so?
23:44,（小泉） ゲノム編集は ダッシュやねん,Genome editing is like a mad dash.
23:46,受精後15分以内に処理せな 細胞が分裂してまうから,Cells rupture if you don't finish within 15 minutes of fertilization.
23:51,バイテクは最先端だねー,That's high tech. Really cutting edge.
23:55,僕はゴカイを育てる毎日だよ,All I do is raise rag worms.
23:59,（３人）ゴカイを？,Rag worms?
24:05,(大戸(おおと)）育ったねー　うん,"They've grown. PROF. OTO, DEPT. OF FISHERIES KINDAI UNIV."
24:09,育った 育った,"They've sure grown. Yes, indeed."
24:13,（細野） 僕…ずっとゴカイの世話ばっかり,All I've done is raise rag worms.
24:19,ここ 魚の研究所ですよね？,Doesn't this institute study fish?
24:23,ゴカイ製造工場じゃ ないですよね？,"It's not a rag worm farm, is it?"
24:27,（大戸）細野くん,Hosono…
24:31,大きなゴールを思い出そう,Try to remember the larger goal.
24:34,（細野）ゴール？,What goal?
24:36,（大戸） ゴカイの生態が わかると…,Once we understand rag worm ecology…
24:38,（細野） ゴカイの繁殖を 止められる,We can stop them from breeding.
24:41,（大戸） ゴカイで増殖する 住血吸虫が減ると…,And if there are less blood flukes infesting rag worms…
24:45,（細野） 生け簀のマグロが 健康に育つ,Our farm-raised tuna will be healthier.
24:49,（大戸） マグロの供給と 価格が安定すると…,When the price and supply of tuna is stable…
24:53,（細野） 養殖マグロが普及する 天然マグロが保護される,"There will be more tuna to go around, we'll protect wild tuna,"
24:56,食料危機が回避される,and we'll avoid a food crisis.
24:58,（大戸）最終的には…,And ultimately?
25:00,（細野･大戸）世界平和,World peace.
25:05,（大戸）育てよう （細野）やりましょう,-Back to the rag worms. -Okay.
25:08,（晶）コンビ芸,Now that's a team.
