Time,Subtitle,Translation
7:39,何をやってますか？ （ｴﾋﾞｱﾝ）今は,"What do you do? Right now, I work at 88 Tees, a T-shirt company in Waikiki."
7:42,えっと「88Tees」っていう （ﾛｰﾚﾝ）あっ 分かる （ｴﾋﾞｱﾝ）ワイキキのＴシャツの,"Right now, I work at 88 Tees, a T-shirt company in Waikiki."
7:46,ショップ 私のお母さんのなんですけど お手伝いして,"-I know it! -It's my mom's shop, but I help out."
7:51,（ﾛｰﾚﾝ）えー すごい （侑哉）いいな まあ ショップの店員として やったり,I work as a shop employee...
7:55,まあ いろいろやってるんですけど ウェブのこととか はい （ﾛｰﾚﾝ）いいね いいね,"Well, I do other things there, too. Like things on the web and stuff."
8:00,何歳？ （ｴﾋﾞｱﾝ）25… あっ 26です （ﾛｰﾚﾝ）オーケー オーケー,"-How old are you? -I'm 25--I mean, 26."
8:03,誕生日あって はい,I just had my birthday.
8:05,もう見ました？ 全部,Have you seen everything already?
8:07,全部 見てないっす （ｴﾋﾞｱﾝ）見てないですか？,"-No, not yet. -You haven't yet?"
8:08,プールしか見てないっす まだ あっ 見たんですか？ プール （ﾛｰﾚﾝ）私は結構 見たけど,"-Just the pool. -Oh, you saw the pool?"
8:11,見に行こう （侑哉）結構 見た？ 行こう 行こう,"-Want to go see it? -Yeah, let's go."
8:16,（侑哉）ここ キッチンね,"Oh, this is the kitchen."
8:18,これ すげえ,-Wow. -Beautiful. I love white.
8:19,（ｴﾋﾞｱﾝ）ステキ 白 大好き （ﾛｰﾚﾝ）全部 白,-Wow. -Beautiful. I love white. -It's all white. -It's fully equipped.
8:22,（ｴﾋﾞｱﾝ）ある？ もう,-It's all white. -It's fully equipped.
8:23,（侑哉）えー 住みやすそう,Feels comfortable to live in.
8:27,えー ここいいね 何か リラックスできそうで,This is nice. Looks relaxing.
8:32,（侑哉）ふーん （ｴﾋﾞｱﾝ）本当だ プール おー！,"You're right, the pool..."
8:36,（ｴﾋﾞｱﾝ）ステキ,It's beautiful.
8:44,ハーイ,Hi.
8:46,（ｴﾘｯｸ）こんにちは （３人）こんにちは,-Hello. -Hello.
8:49,（ｴﾘｯｸ）どうも エリックです,"Hi, I'm Eric."
8:51,（ｴﾘｯｸ）初めまして （侑哉）初めまして,-Nice to meet you. -Nice to meet you.
8:54,あっ ここに座る…,I'll sit here.
8:56,いいかな？,Is that all right?
8:59,（侑哉）初めまして （ｴﾘｯｸ）初めまして,-Nice to meet you. -Nice to meet you.
9:01,出身は？ ハワイ？ （ｴﾘｯｸ）出身は,Where are you from? Hawaii? I'm from Nishinomiya in the Hyogo prefecture in Kansai.
9:03,関西の… 兵庫県の 西宮(にしのみや)っていうところ,I'm from Nishinomiya in the Hyogo prefecture in Kansai.
9:09,英語もしゃべれる？,Can you speak English as well?
9:10,しゃべれる （ﾛｰﾚﾝ）おっ いいね （ｴﾘｯｸ）でも日本語のほうが得意 （ﾛｰﾚﾝ）そうなんだ,"-I can, but my Japanese is better. -Oh, nice."
9:15,何やってますか？,What do you do?
9:16,仕事ですか？ 今 一応,-For work? -Yes.
9:18,家具職人というか,I build furniture...
9:21,大工みたいな感じで 仕事やってるんですけど,"A craftsman, I guess. That kind of work."
9:25,それと もう１つ カフェの 立ち上げる仕事も今 友達と,I'm also starting a café with a friend.
9:32,こっちでやってるんですか？ （ｴﾘｯｸ）こっちで,"-Out here? -Yes, out here."
9:34,どこのカフェですか？,Which café is it?
9:36,まだ場所… 場所とかも決まってるんですけど,"We've decided on a location,"
9:40,これから （ﾛｰﾚﾝ）これから 頑張って,-but we've only just started. -You've just started?
9:42,内装とか全部 （ﾛｰﾚﾝ）頑張って,"Yes, on the interior and everything."
9:44,えっと 私はモデルと イラストレーターやってます,I'm a model and illustrator.
9:48,まだ プロではないんだけど それは私の夢です,"I'm not a professional yet, but it's my dream."
9:51,（ｴﾋﾞｱﾝ）へえー （ﾛｰﾚﾝ）何か いつか アニメーションの映画とか,One day I'd like to work with a company
9:57,ビデオゲームとかの スタジオの 所属になりたいと思います,that makes animated films or video games.
10:02,モデルが終わったら,-When I'm done with modeling. -Nice.
10:03,（侑哉）いいね （ﾛｰﾚﾝ）モデルも すごい好きだから,"-When I'm done with modeling. -Nice. -I enjoy modeling, too. -I see."
10:05,（ｴﾘｯｸ）なるほど なるほど,"-I enjoy modeling, too. -I see."
10:13,（奈緒美(なおみ)）こんにちは （４人）こんにちは,-Hello. -Hello.
10:15,（奈緒美）初めまして （ｴﾋﾞｱﾝ･ﾛｰﾚﾝ）初めまして,-Nice to meet you. -Nice to meet you.
10:19,（ｴﾘｯｸ） だんだん増えてきましたね,We're expanding.
10:21,（侑哉）どんどん どんどん,Slowly.
10:25,（奈緒美）初めまして （４人）初めまして,-It's nice to meet you. -Nice to meet you.
10:27,わー フランク奈緒美ロレイン っていいます,-It's nice to meet you. -Nice to meet you. I'm Naomi Lorraine Frank. It's nice to meet you.
10:30,よろしくお願いします （ﾛｰﾚﾝ）お願いします,I'm Naomi Lorraine Frank. It's nice to meet you. Nice to meet you.
10:33,ちなみに どこのハーフですか？ （奈緒美） アメリカと日本のハーフです,"-What's your background, by the way? -I'm half American and half Japanese."
10:37,出身は日本？,Are you from Japan?
10:39,いや 出身がアメリカで,"No, I was born in America, but I've lived in Japan since I was seven."
10:41,７歳以降は ずっと 日本にいたんで,"No, I was born in America, but I've lived in Japan since I was seven. So I'm totally Japanese."
10:44,全然もう めっちゃ 日本人な感じですね,So I'm totally Japanese.
10:48,じゃあ 日本から来たんですか？ （奈緒美）日本から,"-So you came from Japan? -Yes, I came from Japan."
10:50,今日 来て 今 来てっていう感じで （ｴﾋﾞｱﾝ）そうなんですか？,-I landed today and immediately came here. -Today?
10:53,そうです さっき空港着いて （ｴﾋﾞｱﾝ）えー すごい,"Yes, I was just at the airport."
10:55,（侑哉）すげえ （奈緒美）そのまま こっちに来た感じ,-Wow. -And pretty much came right here.
10:58,（奈緒美）純日本… じゃない えっと 純どっかですか？ ハーフとかですか？,Are you entirely Japanese or half Japanese?
11:03,えっと私は あの…,Are you entirely Japanese or half Japanese? I'm half Chinese and half European.
11:05,中国とヨーロッパのハーフです,I'm half Chinese and half European.
11:08,（奈緒美）はあー （ﾛｰﾚﾝ）日本は入ってないんだけど アジアのハーフって感じ,"I'm not Japanese, but part Asian."
11:12,日本語すごい上手ですね,You speak Japanese really well.
11:14,15歳の時に日本で 留学して 広島で,"When I was 15, I studied abroad in Japan, in Hiroshima."
11:19,６週間ぐらい広島で留学して （奈緒美）へえー,I was in Hiroshima for six weeks.
11:22,日本に引っ越したいなと思って 日本語 勉強して,"It made me want to move to Japan, so I studied Japanese."
11:26,じゃあ ほぼ独学っていう 感じなんですね 自分で勉強して,So you pretty much learned on your own.
11:29,テラスハウスみたいな番組を見ながら サブタイトル見て,I'd watch shows like Terrace House and read the subtitles.
11:33,結構 勉強になる,It helps a lot.
11:36,すごい いいと思う,It really helps.
11:37,（ｴﾋﾞｱﾝ） 言葉は そうやって覚えますよね （ﾛｰﾚﾝ）うん （侑哉）そうだね,-That's the best way to learn languages. -Yes.
11:50,日本人のママと ずっと一緒に暮らしてたんで 日本語しか話す機会が なくなっちゃって,"I lived with my Japanese mom, so I only spoke Japanese."
11:56,英語を全然使わなくなっちゃったら ちょっと… （悠介(ゆうすけ)）失礼します （奈緒美）っていう感じですね,"So I stopped using English, and now it's a little..."
12:03,（奈緒美）来た （ｴﾘｯｸ）おっ,Someone's here.
12:04,（侑哉）何か すげえな （ｴﾘｯｸ）ミュージシャン？,"-Oh, wow. -A musician?"
12:06,（悠介）重い,It's heavy.
12:09,（悠介）こんにちは （５人）こんにちは,-Hello. -Hello.
12:12,えっと 鮎澤(あいざわ)悠介です,I'm Yusuke Aizawa.
12:14,初めまして よろしくお願いします （５人）初めまして お願いします お願いします,-It's nice to meet you. -Nice to meet you.
12:21,エリックです （悠介）よろしくお願いします,-I'm Eric. -Excuse me.
12:25,（ｴﾘｯｸ）ミュージシャンですか？ （悠介）そうですね 一応 音楽,"-Are you a musician? -Yes, I'm into music."
12:29,（ｴﾋﾞｱﾝ）ウクレレもあって あれ ウクレレですよね？,"You've got a ukulele. That's a ukulele, right?"
12:32,（悠介）そうです ウクレレとギター,"Yes, a ukulele and a guitar."
12:33,ハワイの人ですか？,Are you from Hawaii?
12:35,そうですね 一応 東京都出身で 今 ハワイ在住してる感じなんで ちょっと,"I currently live in Hawaii, but I'm originally from Tokyo."
12:42,いつまでハワイ… いつからハワイにいた？ ３年ぐらい前から,-When did you relocate to Hawaii? -About three years ago.
12:45,３年か （侑哉）長い 日本で何やってたんですか？,-That's long. -What did you do in Japan?
12:49,（悠介）日本でも本当に 音楽とか,I was playing music in Japan as well.
12:51,それ以外はもう普通に学生 まだ自分 学生なんですけど,"Apart from that, I was just a student. I'm currently still a student."
12:55,（ｴﾋﾞｱﾝ）こっちでですか？ （悠介）はい,-Over here? -Yes.
12:56,（ﾛｰﾚﾝ）何歳？ （悠介）おととい18になったばっかりです （奈緒美）えー！,-I turned 18 the day before yesterday. -What?
12:59,（ﾛｰﾚﾝ）一緒 あの… 18　18　18 （ｴﾋﾞｱﾝ）ここ ここ,"-Oh, we're the same. We're 18. -I'm 18."
13:02,（侑哉）18　18 （悠介）あっ そうなんですか？,"-Oh, we're the same. We're 18. -I'm 18. -Oh, really? -You're so young!"
13:04,（奈緒美）若ー！ （ﾛｰﾚﾝ）ごめんなさい,"-Oh, really? -You're so young! I apologize."
13:07,俺 27やで　ヘヘヘ,I'm 27.
13:08,（悠介）全然見えないですよ 本当に （ﾛｰﾚﾝ）27で 20…？ （ｴﾋﾞｱﾝ）26,-You're 27 and she's 26. -I'm 26.
13:13,23歳 （ﾛｰﾚﾝ）23,I'm 23.
13:14,（侑哉）ってことは ９月で卒業？,So that means you're graduating in September?
13:18,来年の５月ですね （侑哉）そう ５月か,"-Next May. -Oh, May, that's right."
13:20,卒業して そのあとは もうギター？,"And after you graduate, you're going to pursue a music career?"
13:25,まず音楽続けて,I'd like to continue with music.
13:27,やっぱり世界に通用する アーティストになれたらなって,I'd like to become a top-level artist.
13:32,（ｴﾘｯｸ）じゃあ ハワイとかで ライブとか…,So do you perform in Hawaii?
13:36,しますか？ （悠介）ライブも呼ばれたら あちこち へえー すごい （悠介）行ってるような感じですね,I'll go wherever I'm asked to.
13:41,予定はあったりする？ 近々,Any plans right now?
13:43,（悠介）そうですね 今 あの… ハワイ･ミュージック･ アワード･ジャパンっていうのが,"Right now, I'll be going to an award ceremony"
13:48,授賞式みたいのがありまして （ﾛｰﾚﾝ）分かる,for Hawaiian Music Awards Japan.
13:51,（悠介） すごい いきなりなんですけど 29ぐらいから もう 多分 数日 いなくなっちゃうんですよね,"It's sudden, but I'll be gone for a few days starting on the 29th."
13:57,おお さみしい　もうすぐ （侑哉）あっ そういうことか,"How sad, so soon?"
14:00,去年にアルバムを出してまして （奈緒美）えー！,I released an album last year.
14:03,そのアルバムが ファイナルまで残ったので,That album made it to the finals.
14:07,最近までオンラインで 投票が行われて,There was an online vote that only recently closed.
14:10,優勝できるかどうかっていう その結果を,I was waiting for the results.
14:14,銀座であるんですよね,The ceremony's actually in Ginza.
14:17,すげえ めっちゃ本格的,"Wow, that sounds serious."
14:19,（ｴﾋﾞｱﾝ）すごい （ｴﾘｯｸ）すごいな （悠介）いえいえ…,"-Wow, that's amazing. -It's amazing."
14:23,楽しそうやね このメンバー,This group seems like fun.
14:26,（侑哉）絶対 面白い （ｴﾘｯｸ）みんな やってること違うし,Everybody does something different.
14:28,（ｴﾋﾞｱﾝ）そうだね （侑哉）絶対 面白い,This is definitely gonna be fun.
14:30,（侑哉）行きますか？ （ｴﾘｯｸ）見にいってみよう,-Shall we? -Let's go see.
14:35,（侑哉）すげえ これ本当に （ｴﾘｯｸ）ヤバいな,This is really amazing.
14:37,（侑哉）ここから飛び込めるよ,-You could jump in from here. -It's beautiful.
14:41,（侑哉）こっから飛び込めるよね （奈緒美）ヤバーい,"-See, you could jump from here. -That's crazy."
14:42,（ｴﾋﾞｱﾝ）すごい あっ そこ 座れるとこもあるんだ,"There are places to sit, too."
14:45,（ｴﾘｯｸ）いつも あそこらへん サーフィンしてる （侑哉）あそこの裏らへんですか？,-I always surf around there. -Behind that area?
14:48,（ｴﾘｯｸ）そうそう… あそこも一応できる,"Yeah. You can surf over there, too."
14:51,（奈緒美）そことかに座って ウクレレ弾いたら すごい いい感じですよね （侑哉）結構 感じ出そうっすよね,"If you sat there and played your ukulele, it'd be perfect."
14:55,（ｴﾘｯｸ）海パンだけで （奈緒美）キャンドルとか たいて （侑哉）海パンだけ買おう （ｴﾋﾞｱﾝ）ここでもできるし （奈緒美）いい,"-We can light candles... -You could play here, too."
15:00,（悠介）カッコいい （侑哉）すげえな,-It's so cool. -Wow.
15:04,（ｴﾋﾞｱﾝ） これが毎日 見れるなんて幸せだね,We're so lucky that we can see this view every day.
15:53,（奈緒美）いろいろ見たい （ｴﾋﾞｱﾝ）ティータイムみたい,-I want to see everything! -It's like teatime!
15:55,（ﾛｰﾚﾝ）オーマイガー （奈緒美）ヤバい,"-Insane! -Oh, my God!"
15:57,（奈緒美）何これ　ヤバい,What's this? This is insane!
15:59,（侑哉）すごい （奈緒美）ヤバい （ﾛｰﾚﾝ）えっ おしゃれ,"Wow, so stylish."
16:02,（ｴﾘｯｸ）ヤバいな （侑哉）すげえ,-Isn't it? -It's insane.
16:04,（奈緒美）うわっ プール （ｴﾋﾞｱﾝ）うわー！,"Wow, the pool!"
16:08,（奈緒美） うわー ハンモックがある,There's a hammock! I totally want to nap here.
16:10,（奈緒美）めっちゃ寝たい （ｴﾋﾞｱﾝ）え？ ここで？ アハハ…,"There's a hammock! I totally want to nap here. -There? -Yeah, here!"
16:13,（ｴﾋﾞｱﾝ）しかも これ何かついてるし （奈緒美）あっ すごい！,"-There? -Yeah, here! -It's cushioned and everything. -Wow!"
16:17,（侑哉）すげえ （ｴﾘｯｸ）最高やん （ｴﾋﾞｱﾝ）はい 乗って （奈緒美）よいしょ,-Amazing. -This is perfect!
16:20,おほほ… ヤバ ヤバ （ﾛｰﾚﾝ）いいね,Insane!
16:23,（奈緒美）ハハハ… （ｴﾋﾞｱﾝ）ここで本読んだり,Wow.
16:25,（侑哉）冷たいですか？ （ｴﾘｯｸ）ぬるい （奈緒美）いや これいい （ｴﾋﾞｱﾝ）ひっくり返らないように,-Is it cold? -It's warm.
16:30,（侑哉）いや 本当すごいな （ｴﾘｯｸ）いいな （奈緒美）ハハハハ,This is really amazing.
16:34,（ｴﾘｯｸ）こんなプールある家とか 俺 住んだことないわ,I've never lived in a house with a pool.
16:37,（ｴﾋﾞｱﾝ）本当　超豪華,Super fancy.
16:41,（ｴﾋﾞｱﾝ）私たちの部屋 （奈緒美）ヤバい,-Our room. -Crazy!
16:44,めっちゃ かわいい （ｴﾋﾞｱﾝ）うわっ すごーい,-It's so cute! -Wow!
16:47,（ﾛｰﾚﾝ）えっ えー！ （奈緒美）かわいい （ﾛｰﾚﾝ）何これ 何これ （奈緒美）かわいい,-It's so cute! -What's this?
16:52,（ｴﾋﾞｱﾝ）すごーい （ﾛｰﾚﾝ）これは夢みたい 何か 子供の夢みたい （奈緒美）えっ すごい,"This is like a dream, like a kid's dream."
16:56,（奈緒美）ちょっとこれ みんな どこのベッド使おうかな？,"Wait, which bed does everyone want?"
16:59,すごい気持ちいい ここ （奈緒美）気持ちいい,"Wait, which bed does everyone want? -Wow, it feels so nice. -It does!"
17:03,（奈緒美）眺め めっちゃいい,The view is super nice!
17:05,誰が どのベッドにします？,Which bed do we each want?
17:07,（３人）最初はグー じゃんけんぽい,"Rock, paper, scissors!"
17:11,最初はグー　じゃんけんぽい,"Rock, paper, scissors!"
17:15,いや 一番,"Oh, no, you're first."
17:16,どうしよう… 私 じゃあ上　ここ,What should I do? I'll take the top then!
17:19,上で いいんですか？ ここ,"-You're okay with the top? -Yeah, this one."
17:22,え… 下… じゃあ 私… （ｴﾋﾞｱﾝ）上？ （ﾛｰﾚﾝ）オーケー,"-I want the bottom. -Okay, I'm the opposite. Okay!"
17:26,（奈緒美）うわー すごい （ﾛｰﾚﾝ）トイレもすごい （ｴﾋﾞｱﾝ）ウオークインクローゼット,"-Wow, the bathroom's crazy, too! -A walk-in closet!"
17:31,（ｴﾋﾞｱﾝ）うわー すごーい （奈緒美）うおー,Wow!
17:36,海 見ながら入れる,"-You can see the ocean! -Oh, yeah!"
17:38,（ｴﾋﾞｱﾝ）本当だ （ﾛｰﾚﾝ）あー これは本当に,"-You can see the ocean! -Oh, yeah! -It's really like a hotel. -Amazing!"
17:40,ホテルみたい （奈緒美）すごい,-It's really like a hotel. -Amazing!
17:43,（奈緒美）しかも バブルバス,And there's even a spa bath!
17:44,（ｴﾋﾞｱﾝ）うちら３人では 入れないか これ,-It could fit the three of us. -Could it?
17:46,（奈緒美）３人 これ入れる？ （ｴﾋﾞｱﾝ）入ってみる？,-It could fit the three of us. -Could it? -Let's try. -We can totally fit!
17:49,（ﾛｰﾚﾝ）いける いける…,-Let's try. -We can totally fit!
17:51,えー ちょっとキツい （奈緒美）いい いい… 私も中で ちっちゃく入るから （ｴﾋﾞｱﾝ）ハハハ！,"-It's a little tight. -It's okay, I'm small."
17:59,（ｴﾘｯｸ）おお… ヤバ,Insane!
18:05,（侑哉）すげえ （ｴﾘｯｸ）すごいよ,-Amazing. -It's amazing.
