Script,Translation
今日の両替のレートはいくらですか,What is the exchange rate today?
大きく変動する,fluctuate widely
交通量は曜日によって大きく変動する,The amount of traffic varies greatly according to the day of the week
周期的に変動する,fluctuate periodically
為替相場の動向により価格は変動する,Prices vary under the influence of movements in the exchange rate
技術上の変革,a technical innovation
制度の変革,reform of the system
変革を試みる,attempt a reform
彼の努力が教育界に変革をもたらした,His efforts have brought change to the education world
それは金銭には換算できない,It cannot be converted into money
ドルを円に換算する,Convert dollars to yen
当たり券を景品と交換する,exchange a winning ticket for a prize
情報を交換する,exchange information
腕時計の電池を交換する,Replace the watch battery
患部のガーゼを交換する,Change the gauze on the affected area
泳ぎ方を教えてください,Please teach me how to swim
青空は次第に夕焼け空に変わった,The blue sky gradually turned into a sunset sky
こんなおいしいスープを味わったことがありますか,Have you ever tasted such a delicious soup?
彼はそのチーズケーキを味わってみた,He tasted the cheesecake.
子供たちが大きな雪の玉を転がしていた,The kids were rolling big snowballs
そのボールを僕の方に転がしてください,Please roll that ball towards me
自然に親しむ,get close to nature
野鳥に親しむ,Familiarize yourself with wild birds
酒に親しむようになる,Become familiar with alcohol
指揮官は軍を率いて敵地に入った,The commander has led his troops into enemy territory
人々の祈りがかなえられた,The prayers of the people were answered
息子の夢をかなえてやりたい,I want my son's dream to come true
なんでも君の望みをかなえてあげよう,"Anything you want, I'll give it to you"
手足が凍えてしまった,My hands and feet were freezing
寒くて体が凍るようだ,"It's so cold, my body is freezing"
道路はかちかちに凍っている,The road is frozen to a crisp
水道のコックが凍って動かない,The water faucet froze and wouldn't start
凍結した滝,a frozen waterfall
海が凍結する,the sea freezes
人事を凍結する,Freeze the personnel
凍結資産,frozen assets
魚を冷凍にする,Freeze the fish
急速冷凍する,Quick freeze
工事の完成を伝える報道,a report of the completion of the construction
情報を伝える,"convey [report, deliver, provide] information"
私は二つの文を抜かした,I left out two sentences
どうして試験で最初の問題を抜かしたの？,Why did you skip the first question on the exam?
彼は留守宅を荒らされた,He ransacked the house
片づいていた引き出しの中を荒らす,mess up (the contents of) a drawer that had been tidied up
海が荒れている,The sea is rough
あの地域の天候は毎年今ごろ荒れる,The weather in that area is rough around this time every year
庭は荒れて草がぼうぼうとしている,"The garden is in disarray, the grass is overgrown"
蛇口から水がぽたぽた漏れている,Water is leaking from the faucet
座礁した船から重油が漏れ出した,Heavy oil leaked from the stranded ship
秘密が漏れた,The secret's out
木の間から漏れてくる月あかり,Moonlight leaking through the trees
情報が漏れる,Information leaks
天井の数か所から雨が漏った,Rain leaked from several places on the ceiling
袋から何かぽたぽた漏っていますよ,Something's leaking out of the bag
不満を漏らす,express one's dissatisfaction
彼は自分の計画を仕事仲間に漏らした,He leaked his plans to his business associates
本心を漏らさないように口に気をつけなさい,Be careful what you say so that you don't give away your true intentions
本心を漏らさないように気をつけなさい,Be careful not to reveal your true intentions
スープが冷めてしまった,The soup is cold
冷めないうちに食べなさい.,Eat (it) before it gets cold
競技場の興奮はまだ冷めていない,The excitement of the athletic stadium still hasn't subsided
興奮するな,Keep calm
非常に興奮している,be extremely excited
興奮が冷めると彼女は急に恥ずかしくなった,When she calmed down she was suddenly overcome with embarrassment
機会をねらう,watch for a chance
彼は次期社長のいすをねらっている,He's aiming to be the next president of the company
あいつは私の財産をねらっているんだ,He has his eye on my property
この民謡は大漁を祝って歌われる歌です,This is a folk song sung to celebrate a large catch of fish
彼女のうそが見抜けなかった,I wasn't able to see through her lie
偽善者であることを見抜く,spot a hypocrite
物事の本質を見抜く,Seeing through the essence of things
一目でにせ物だと見抜いた,I could tell at a glance it was a fake
本心を見抜かれないようにする,Don't let them see through your true intentions
悪い意味で言ったのではない,I didn't mean it in a bad way
一般的な意味で,in a general sense
真の意味で,In a true sense
漠然とした意味で,In a vague sense
広い意味で,In a broad sense
別の意味で,In another sense
狭い意味で,In a narrow sense
ある意味で,In one sense
あらゆる意味で,In any sense
厳密な意味において,In a strict sense
彼女の言ったことはある意味で正しい,"She was right, in a way"
彼女はあらゆる意味で素晴らしい女性だ,She's a wonderful woman in every sense of the word
この言葉は意味がはっきりしない,I'm not clear on the meaning of this word
この語句は意味がはっきりしない,The meaning of this phrase is not clear
その語には二重の意味がある,That word has a double meaning
彼女の発言はよい意味にも悪い意味にも取れる,Her statement can be taken in both good and bad ways
どういう意味だよ,What do you mean?
言外の意味,implicit meaning
彼女は意志が強い,She's strong-willed
冒険旅行には強靭な意志と体力が必要だ,Adventure travel requires a strong will and stamina
"まず, 本人の意志を尊重したい","First, I want to respect his will"
意志の力,willpower
意志に反して,against one's will
僕は歌手になる意志で東京に出てきた,I came to Tokyo with the intention of becoming a singer
自分の欠点を意識する,Be aware of your flaws
彼は他の選手の記録を意識するまいと努めた,He made a strong effort not to be conscious of other players' records
だれにもわかるまいと思っていました,I thought no one would ever know
私は動揺したがそれを顔に見せまいとした,"I was upset, but I tried not to let it show on my face"
まさか！そんなことですねるような年齢じゃあるまい,No way! You're not old enough to sulk over something like that
医師たちは、彼はとうてい長くは生きられまいと言った,The doctors said he wouldn't live very long at all
それにはもう耐えられない,I can't stand that anymore
激痛に耐える,endure intense pain
長年の風雪に耐えてきた建物,A building that has withstood the elements for many years
費用の負担増に耐える,Withstand increased costs
まだ使用に耐える機械,Machines that can still be used
厳しい環境の変化に耐える植物,Plants that can withstand severe environmental changes
敵の猛攻に耐える, Withstand the onslaught of the enemy
だってさ,You know what?..
逆にね,On the contrary.
そんなの本当に食べるって思えなくて,I can't believe I'm actually eating that
でもこれさ、嫌がんないと面白くないのかな,"But you know what, if you don't like it, it's not funny"
言葉に出来ないってこういう事を言うんだ,That's what I mean when I say I can't put it into words
英語って難しいね,English is so difficult
鈴木さんって優しいね,"You're so kind, Mr. Suzuki"
宮城県ってどこだっけ？,Where was Miyagi Prefecture?
理学療法士ってどんなことするの？,What does a physical therapist do?
子育てって大変だけど楽しい,"Raising children is hard work, but fun"
日本語って奥が深いな,The Japanese language is so profound
日本語って難しいな,Japanese is so difficult
英語に堪能である,Fluent in English
名演奏を心ゆくまで堪能した,I enjoyed the great performance to my heart's content
新しい季節が訪れた,A new season has come
京都を訪れたいという外国人観光客は多い,Many foreign tourists want to visit Kyoto
大雨災害に厳重に警戒が必要といます,Heavy rains are expected to cause severe damage
