Words,Translation
働いています。旅行会社に勤めています,I'm working. I work for a travel agency.
お仕事はなんですか,What is your job?
お国はなんです,What is your country?
お住居はどこですか,Where do you live?
何歳ですか,How old are you?
いくつですか,How old are you?
何されてるんですか？,What do you do for a living?
私は会社員です   ,I'm an office worker.   
僕は今年で23です,I'm 23 this year.
私は大学４年生です,I'm a senior in college.
私の趣味は世界中を旅することです,My hobby is to travel around the world.
はい、レストランみやこでございます　,"Yes, I'm from Restaurant Miyako　"
あのう、予約お願いしたいんですが..,"Um, I'd like to make a reservation..."
かしこまりました。いつの予約ですか,"Yes, of course. When is the reservation?"
20日の7時に2名でお願いします,"The 20th, 7:00 p.m., for two people, please."
いらっしゃいませ　,Welcome.　
マイク・ジョンソンです。7時2名で予約しました,"I'm Mike Johnson, and I have a reservation for two at 7:00."
マイク様ですね。お待ちしておりました。こちらへどうぞ,"You must be Mike. I've been expecting you. This way, please."
このレストランのおすすめ料理はなんですか　,What is the best dish in this restaurant?　
豚骨ラーメンでございます,"Pork bone ramen, sir."
いいですね。ではそれをお願いします,"That sounds good. I'll have that, please."
かしこまりました,"Yes, sir."
いらっしゃいませ。何名様ですか,Welcome to the restaurant. How many people are in your party?
えーっと。6人あのう、できれば、個室がいいんですが..,"Well, I'd prefer a private room if possible..."
かしこまりました。少々お待ちください,"Yes, thank you. Please wait a moment."
すみません。メニューお願いします,"Excuse me. Menu, please."
はい、かしこまりました,"Yes, thank you very much."
あ、英語のメニューはありますか,Do you have a menu in English?
はい、ございます。今、お持ちします,"Yes, we do. I'll bring it to you now."
この料理に豚肉入っていますか,Is there any pork in this dish?
いいえ、入っていません。それは鶏肉です,"No, there is no pork. It's chicken."
そうですか。では、これをお願いします,"I see. Then, this one please."
すみません。「板わさ」ってなんですか,"Excuse me. What's ""itawasa""?"
かまぼこですよ。醤油とわさび召し上がってください,It's fish paste. Please enjoy it with soy sauce and wasabi.
「かまぼこ」って肉ですか,"Is ""kamaboko"" meat?"
いいえ、違います。魚です,"No, it's not. It's fish."
すみません。ビール4つとウーロン茶2つ、お願いします,"Excuse me. Four beers and two oolong teas, please."
ビールを4つとウーロン茶を2つですね,"Four beers and two oolong teas, please."
それから、焼き鳥の盛り合わせとサラダ、お願いします,"And assorted grilled chicken and salad, please."
焼き鳥の盛り合わせとサラダですね。かしこまりました,"Assorted grilled chicken and salad, please. Yes, sir."
 母は本を読む時めがねをかけます, My mother wears glasses when she reads.
私が結婚した時祖母は泣きました,"When I got married, my grandmother cried."
嬉しい時も寂しい時も私はよくこの音楽を聞きます,"When I am happy or sad, I often listen to this music."
地震の時はすぐに火を消しなさい,"In case of an earthquake, put out the fire immediately."
子供の時田舎の小さな村に住んでていた,"When I was a child, I lived in a small village in the countryside."
暇な時にはどんなことをして過ごしますか,What do you do in your spare time?
東京にいた時はいろいろ楽しい経験をした,"When I was in Tokyo, I had a lot of fun experiences."
家を出た時に忘れ物気がついた,"When I left home, I realized I forgot something."
韓国へ行く時成田ででカメラを買いました,I bought a camera at Narita Airport when I went to Korea.
韓国へ行った時南山タワーの前で写真を撮りました,"When I went to Korea, I took a picture in front of the Namsan Tower."
 私はいつも料理の本を見ながら料理を作ります, I always cook from a cookbook.
毎晩父はビルを飲みながらテレビを見ます,"Every night, my father drinks beer and watches TV."
私はこれからも医者の仕事をしながらこの子を育てます,I will continue to work as a doctor and raise this child.
私はアルナイトをしながら日本語学校に通っていた,I went to Japanese language school while working as an alnite.
寝ながら小説を読むのが好きだ,I like to read novels in my sleep.
その辺でお茶でも飲みながら話しましょう,Let's have a cup of tea around there and talk.
母は鼻歌を歌いながら夕飯の用意をしている,My mother is humming to herself as she prepares dinner.
よそ見をしながら運転するのは危険です,It's dangerous to drive while looking over your shoulder.
食事の前に手を洗いましょう,Wash your hands before you eat.
寝る前に歯を磨きなさい,Brush your teeth before going to bed.
私は日本へ行く前に少し日本語を勉強しました,I studied a little Japanese before I went to Japan.
昨日会社に行く前に歯医者に行った,I went to the dentist yesterday before going to work.
旅行の前に風邪を引いた,I caught a cold before my trip.
食事の前に軽く飲みませんか,Would you like to have a drink before dinner?
伺う前にお電話します,I'll call you before I come.
試験の前に映画を見に行った,I went to see a movie before the exam
食事の後で少し算法しませんか,Would you like to do some arithmetic after your meal?
この薬は食べた後で飲みませんか,Would you like to take this medicine after you eat?
このビデオあなたが見た後で私にも貸してください,Can I borrow this video after you've watched it?
祭りの後ゴミがいっぱいだった,There was a lot of garbage after the festival.
祖父はみんなとお茶を飲んだ後ずっと本を読んでいます,My grandfather is reading a book after having tea with everyone.
食事の前に軽く飲みませんか,Let's have a quick drink before dinner.
伺う前にお電話します,I'll call you before I come.
試験の前に映画を見に行った,We went to see a movie before the exam.
この仕事を全部やってからビルを飲みます,I'll drink Bill after I've done all this work.
 新しい家を買うときはよく調べてから買いましょう," When you buy a new house, do your research well before you buy it."
先にお金を払ってから3番窓口に行ってください,Please pay first and then go to window #3
バスが止まってから席を立ってください,Get up from your seat when the bus stops.
先に風呂に入ってから食事にしおう,"Take a bath first, then eat."
仕事が終わってから遊びに行く,Go out to play after work
日本に来てから経済の勉強を始めた,I started studying economics after I came to Japan
夏休みになってから一度も学校に行っていない,I haven't been to school since the summer vacation
私が日本に来てからもう３年たちました,It's been three years since I came to Japan
林さんがこの会社に入ってから会社の中が明るくなった,"Since Mr. Hayashi joined this company, the company has become more cheerful"
タバコをやめてから体重が急に増えた,"Since I quit smoking, my weight has suddenly increased."
赤ちゃんが生まれてから私は毎日とても忙しいです,"Since the baby was born, I've been very busy every day."
いいえ、これからするところです,"No, I'm just getting started."
ちょうど会議が始まるところだ,The meeting is just about to start.
会場の用意をしているところです,I'm preparing the venue.
今、手紙を買いているところなので後で飲みます,"I'm buying a letter now, I'll drink it later."
ええ、今ファックスを送ったところです,"Yes, I just sent you a fax."
今、帰ってきたところなの,I just got home.
私もちょうどあなたに電話しよう持っていたところです,I was just about to call you too.
三章まで読んだところで寝てしまった,I've read three chapters and fell asleep.
ご飯食べ終わったところにまり子が訪ねて来た,I had just finished eating when Mariko came to visit me.
今うちに帰ってきたばかりなのでもう見ましたか,"I just got home, so I hope you've seen it."
入社したばかりなのに毎日とても忙しいです,"I've just joined the company, but I'm very busy every day."
日本に来たばかりの頃は日本語全然わかりませんでした,"When I first came to Japan, I didn't understand a word of Japanese."
うちには生まれたばかりの子犬が三匹います,I have three newborn puppies at home.
さっき着いたばかりです,I just arrived.
この間買ったばかりなのにテレビが壊れてしまった,"We just bought a new TV the other day, but it broke."
まだ3時になったばかりなのに外は暗くなってきた,It's getting dark outside even though it's only 3 o'clock.
昼ごはんを食べたばかりです,I've just had lunch.
私は夏の間ずっと北海道にいました,I've been in Hokkaido all summer.
両親が旅行をしている間僕は毎日食事を作りました,"While my parents were traveling, I cooked meals every day."
兄がゲームしている間弟はそばで見ています,"While my brother was playing video games, I was watching him."
夏休みに隣の家が賑やかな間は私も楽しい気分になる,"During the summer vacation, while the neighbor's house is busy, I feel happy too."
夏休みの間に引っ越ししたいです,I want to move out during the summer vacation.
日本にいる間に1度富士山に登りたい,I want to climb Mount Fuji once while I'm in Japan
暇な間に本棚を片付けてしまおう,I'll clean out my bookshelves while I'm away
私がいない間に誰か来たのでしょうか,I wonder if anyone came while I was gone
独身のうちに、いろいろなことをやってみたいです ,I want to do a lot of things while I'm still single 
体が丈夫なうちに、1度富士山に登ってみたい,I want to climb Mt. Fuji once while I'm still physically strong
タンさんが東京にいるうちにぜひ3人で食事をしませんか,Why don't the three of us have dinner together while Mr. Tan is still in Tokyo?
暗くならならないうちに家に帰らなければなりません ,I have to get home before dark. 
ふと外を見ると気がつかないうちに雨が降り出していた,I looked outside and noticed that it had started to rain.
今は上手に話せなくても練習を重ねるうちに上手になる,"You may not be able to speak well now, but you'll get better with practice."
今日はきのうより暖かいです,It's warmer today than yesterday.
このアパートは前のアパートより便利です,This apartment is more convenient than the last one.
水は空気より重い,Water is heavier than air
かたかなの言葉は漢字の言葉より易しいですか,Are words in katakana easier than words in kanji?
父は家族の中でだれよりも早く起きます ,My father wakes up earlier than anyone else in the family. 
人間の命は何よりたいせつです,Human life is more important than anything else
僕はステーキより魚の方が好きだ,I like fish better than steak.
今年の冬は昨年よりも寒い,This winter is colder than last year
仕事は思ったよりも大変だった,Work was harder than I expected.
デパートの品物よりスーパーの品物の方が安い ,Goods in the supermarket are cheaper than those in the department store. 
私は海より山の方が好きです ,I prefer the mountains to the sea. 
私は日本酒よりビールの方をよく飲みます,I drink more beer than sake.
この店は日曜日より月曜日や火曜日の方がお客さんが多いです,There are more customers in this store on Monday and Tuesday than on Sunday.
やらずに後悔するよりは無理にでもやってみた方がいい,It's better to force yourself to try than to not try and regret it
一人で食べるよりみんなと一緒に食べる方が楽しいです,It's more fun to eat with others than alone.
東京駅に行く時はバスで行くより電車で行くほうが早いです,It's faster to go to Tokyo Station by train than by bus.
このシャツの方がさっき見たより色がきれいだ,This shirt is more colorful than the one I saw earlier.
この町の歴史について調べてみようと思っている,I'm thinking of doing some research on the history of this town.
あの人について私は何も知らない,I don't know anything about that man.
この日本文化史について話します,I'm going to talk about this Japanese cultural history.
今夜は国の教育制度について考えてみましょう,Tonight we're going to look at the country's education system.
この日本文化史についてのレポートは大変できている,This report on the history of Japanese culture is very well done.
その点については全面的に賛成は出来ない,I don't fully agree with you on that.
事故の原因について究明する,I'm going to find out what caused the accident.
将来についての夢を語った,You talked about your dreams for the future.
この問題に関してもう少し考える必要がある,I need to think more about this issue.
その事件に関して学校から報告があった,The school has reported on the incident.
本件に関しては現在調査しております,We are currently investigating the matter.
その問題に関して質問したいことがある,I'd like to ask you some questions about the problem.
コンピュータに関する彼の知識は相当なものだ,His knowledge of computers is quite impressive.
その事件に関しての報告はまだ受けていない,I haven't received a report on the incident yet.
地質学に関しての本を読んでいる,I'm reading a book on geology.
車の修理に関してどうしましたか,What did you do about the car repairs?
私の質問に対して何も答えてくれなかった,He didn't answer any of my questions.
彼は女性に対しては親切に指導してくれる,He's very kind to women.
私の発言に対して彼は猛烈に攻撃を加えてきた,He was very aggressive in his attack on my statement.
砂3に対して1の割合で土を混ぜます,Mix the soil in the ratio of one to three sand.
学生一人に対して20平米のスペースが確保されている,Twenty square meters of space is allotted for each student.
子供に対して短気を起こしてはいけない,Don't throw a temper tantrum at a child.
私の疑問に対する答えはなかなか得られない,Answers to my questions are hard to come by.
書画に対する造詣が深い,I have a deep knowledge of calligraphy and painting.
店員さんはお客様に対して丁寧な言葉を使います,The clerk uses polite words for customers.
お年寄りに対してもっと親切にするべきです,I should be more kind to the elderly.
両親の期待に応えて私はイギリスに留学した,"In response to my parents' expectations, I went to England to study."
社員の要求に応えて労働時間を短縮した,I shortened my working hours to meet the demands of my employees.
消費者のニーズに応えてわが社は新製品を開発した,"In response to the needs of consumers, my company has developed new products."
私の要望に応えて父はお昼ご飯にラーメンを作った,"In response to my request, my father made ramen noodles for lunch"
カワウソちゃん、怒ってる？,"Otter, are you angry?"
勢いよくジャンプ,Jump with vigor!
お見事！,Well done!
ここは四国香川県高松市の高松駅です,"This is Takamatsu Station in Takamatsu City, Kagawa Prefecture, Shikoku."
今から水族館に行きます。電車でいきます,I'm going to the aquarium now. I'm going by train.
歩いていると（おとくな）切符を発見しました,"While walking, I found a (bargain) ticket!"
電車に乗ります,I'm getting on the train!
かっこいいですね？笑,Isn't it cool? lol
あまり人が乗ってません田舎なので,"There aren't many people on the train, since it's in the countryside."
はい座りましょう,Let's sit down.
ガラガラです empty という意味です,It's empty. It means empty.
はい,Okay.
ここからは田舎の景色を楽しんでください,Enjoy the view of the countryside from here.
すごく晴れて空が青いですね,The sky is so clear and blue.
〜機内アナウンス〜,〜In-flight announcement.
盆栽が有名な町なんです（町の名前 -鬼無）,It's a town famous for bonsai (the name of the town - Oninashi)
さっきの鬼無っていう場所は日本の盆栽の80%90%ちょっと正確な数字はわかんないんですけど,"I don't know the exact number, but there are many bonsai trees in this place."
盆栽が多く作られている場所です,"I don't know the exact number, but it is a place where a lot of bonsai are produced."
香川県には小さな山がたくさんあります,There are many small mountains in Kagawa Prefecture.
田んぼも多いです,There are also many rice paddies.
ほとんどの人は車を持っています,Most people have a car.
でも時々電車で旅行するのもいいですね,But sometimes it's nice to travel by train.
目的地の宇多津駅に着きました,"We have arrived at our destination, Utatsu Station."
今から歩いて,Walking now.
水族館に向かいます,We're heading to the aquarium.
みんなマスクをしてますね,Everyone is wearing a mask.
地図があります,Here's a map.
大きなタワーが見えました,I see a big tower.
でもこれは水族館じゃないです,But this is not the aquarium.
もっと歩きます。,More walking.
海沿いの方に。海が見えました,Towards the seaside. I can see the ocean!
水族館です,The aquarium!
カップルが多いです。ね？（私は一人旅）,There are many couples here. Right? (I'm traveling alone.)
ここでチケットを買って体温測定をします,You can buy a ticket here and take your temperature.
何でしょうか何がいるんだろう？,What's there?
イルカですね,Dolphins.
イルカです。気持ちよさそうに泳いでいます,It's a dolphin. They seem to be swimming comfortably.
癒されますね,It's soothing.
小さいフグ のような魚です,It looks like a small puffer fish.
メニーリングパイプフィッシュ？タツノオトシゴみたいです。,Meniling pipefish? It looks like a seahorse.
神秘的ですね,"Mysterious, isn't it?"
ここから本館に入ります,We'll enter the main building from here.
カラフル,Colorful
不思議なかたち,Mysterious shapes!
おいしそう,Looks delicious!
やめて,Stop it!
でもおいしそう,But it looks delicious!
これはカニです。さっきのはエビでした。美味しそうって言ったのが聞こえましたか？私じゃないですよ。笑,This is a crab. The one before was a shrimp. Did you hear what I said about it being delicious? It's not me. LOL.
はい、ここからあーすごい,"Yes, from here."
タイミングよく餌の時間でした 食べ物を奪い合っています,Just in time for feeding time. They're fighting for food.
魚を見ていると本当に癒されますね,It's really soothing to watch the fish.
餌はエビですかね,I guess the food is shrimp.
生きた化石と呼ばれていました なんかラブラブですね,They call them living fossils. They seem to be in love with each other.
天気が良かったのでテラスに出てみました,"It was a nice day, so I went out to the terrace."
あれはペンギンえんですかねペンギンですね、かわいい,Is that a penguin?
あーイルカもいます,There's also a dolphin.
こんな仕事いいですね,I like this kind of work.
イルカと遊ぶ仕事 大変なまぁ知ってるんですけど楽しそうです,"I know it's hard work playing with dolphins, but it looks fun!"
ペンギンとかイルカの絵が付いたラテもありました,There are also lattes with pictures of penguins and dolphins on them.
飲んでないですけど（笑）じゃあ、まあ、 私の休日はすごく楽しかったです,"I didn't drink any of them (laughs), but well, my holiday was really fun!"
見てくれてありがとうございます。じゃーね,Thank you for watching. Bye.
すみません、大丈夫ですか。,"Excuse me, are you okay?"
今日は、「すみません」の使い方を紹介します。,"Today, I'd like to introduce how to use ""excuse me""."
日本語のすみませんには、いろいろな意味があります。,"The Japanese word ""Sumimasen"" has various meanings."
ごめんなさい、あのう、ありがとうございます。,"I'm sorry, um, thank you."
すみませんの使い方をマスターして,"Mastering the usage of ""Excuse me"
日本人のような自然な会話ができるようになりましょう！,"Let's master the usage of ""Excuse me"" so that we can have a natural conversation like the Japanese!"
あのう,Excuse me
すみません。,Excuse me.
店員を呼ぶときはすみませーん,Excuse me when calling a waiter.
東京駅までどうやって行ったらいいですか？,How do I get to Tokyo Station?
東京駅ですか？東京駅はあちらの道をまっすぐ行って…,Tokyo Station? Tokyo Station is straight ahead on that road...
1つ目です。例えば道を聞きたい時,"That's the first one. For example, when you want to ask for directions."
歩いている人に声をかけるとき「すみません」と言います。,"Say ""Excuse me"" when talking to someone walking by."
声をかける「あのう」、それから、「すみません」。,"You say, ""Um,"" and then, ""Excuse me."
あのう、すみません。,"Um, excuse me."
そして、場所「まで」例えば、,"And ""until"", for example"
駅まで、しぶやまで、学校まで、どうやって行ったらいいですか,"How do I get to the station, to Shibuya, to the school?"
と言います。,I'll tell you.
では、一緒に言ってみましょう。,"Now, let's say it together."
私が読みます、皆さんも読んでください。,"I'll read it, and you can read it too."
あのう、すみません。東京駅までどうやって行ったらいいですか？,"Um, excuse me. How do I get to Tokyo Station?"
どうぞ！,Go ahead!
すみませーん。,I'm sorry.
はい、注文はお決まりですか。,"Yes, have you decided what to order?"
はい、このピザを一つとサラダを一つお願いします。,"Yes, I'd like one of these pizzas and one salad, please."
ピザとサラダですね。かしこまりました。,"Pizza and salad, right? Yes, ma'am."
店員さんを呼ぶとき、ちょっと大きい声で,"When you call the waiter, say in a loud voice"
すみませーんと言います。,"When you call the waiter, say ""Excuse me."
いってみましょう。「すみませーん」,"Let's try it. ""Excuse me."""
じゃあ、次を見ましょう！,Let's see what's next!
あ！すみません！大丈夫ですか？,Oh! Excuse me! Are you okay?
大丈夫です。,I'm fine.
はい、ぶつかってしまった時ですね。,"Yes, it's when you bump into someone."
ごめんなさいの意味で「すみません」,"I mean ""I'm sorry."""
そして「大丈夫ですか？」ときづかいましょう。,"And ""Are you okay?"" and ""Are you okay?"
では、言ってみましょう。,"Then, let's say it."
すみません、大丈夫ですか？,"Excuse me, are you okay?"
どうぞ,Here you go.
はい、ＯＫです。次を見ましょう！,"Yes, it's okay. Let's see what's next!"
これ、間違えてるよ！,You got this one wrong!
あ！すみません…。,Ah! Sorry...
はい。自分が失敗したり、間違えたり、ミスをしてしまったとき,"Yes. When you make a mistake, a mistake, or a mistake"
「すみません」と言います。,"Say ""excuse me""."
会話で小さな間違いの時、そしてちょっと恥ずかしい時に使います。,It is used in conversation when you make a small mistake and when you are a little embarrassed.
一つ注意なんですが、大きな間違いとか,One thing to keep in mind is that if you make a big mistake or
大きな失敗の時には,When you make a big mistake or a big mistake
あまり「すみません」は使わないほうがいいです。,"If you make a big mistake or a big mistake, don't use ""Sumimasen"" too often."
あと、メールにも書かないほうがいいですね。,"Also, don't write it in emails."
メールとか、お客様との会話,In emails or conversations with customers.
そして大きな失敗をしてしまった時は,And when you have made a big mistake
すみませんじゃなくて,"Don't use ""I'm sorry."
申し訳ございませんを使うのがいいです。,"It's better to use ""I'm sorry."
では、言ってみましょう。,"So, let's say it."
すみません...。,Sorry...
これどうぞ,Here you go.
うわ！カステラ！,Wow! Castella!
長崎に行ってきたんだ。みんなでどうぞ。,"I've been to Nagasaki. Please, everyone."
すみません。いただきます。,Excuse me. I'll take it.
ありがとうございます。,Thank you very much.
おみやげをもらったとき、「すみません」と使う日本人も多いです。,"Many Japanese people use ""Excuse me"" when they receive a souvenir."
この最後の「すみません」は「ごめんなさい」,"The last word ""Sumimasen"" does not mean ""I'm sorry."
じゃなくて「ありがとう」の意味があります。,"It means ""thank you"", not ""I'm sorry""."
では、言ってみましょう。,So let's try saying it.
すみません。いただきます。,I'm sorry. Itadakimasu.
どうぞ,Go ahead.
もう一度、5個の「すみません」を復習しましょう。,"Let's review the five ""Excuse me"" again."
道を聞くときは「あの、すみません」,"When asking for directions, ""Um, excuse me."
ぶつかってしまったとき「あ！すみません！！」,"When you bump into someone, ""Ah! Excuse me!"
小さい間違いの時「すみません…」,"When you make a small mistake: ""Excuse me..."""
おみやげをもらったとき「すみません」,"When you receive a souvenir, ""Excuse me."
いかがでしたか。,What did you think?
すみませんとっても便利な言葉でしたね。,"Excuse me is a very useful word, isn't it?"
ぜひ、会話の中でチャンスがあったら、使ってみてください。,Please try to use them in your conversations whenever you have a chance.
そして、日本人との会話を楽しんでいきましょう！,And let's enjoy talking with Japanese people!
それでは、また次の動画でお会いしましょうー！,See you in the next video!
こんにちはさゆりです,"Hello, I'm Sayuri."
皆さんお元気ですか,How are you all doing?
もうすっかり春になりました,It's already spring!
今日は家の近くの公園,Today I went to a park near my house.
栗林公園っていう日本庭園を歩きながら,I was walking in a Japanese garden called Ritsurin Park.
最近思ったこと,I'd like to talk about what I've been thinking
考えたことを話したいと思います,I'd like to talk about what I've been thinking lately.
今、切符買ってますね。入園料・・・入園券を買ってます。,"You're buying a ticket now, aren't you? I'm buying a ticket to the park."
春といえば,Speaking of spring
日本では新しいことを始める季節・時期です,"In Japan, spring is the season to start something new."
学校だと卒業式があったり,"In schools, there are graduation ceremonies"
入学式があります,There are entrance ceremonies.
私はかなり新しいことが好きなんですよ,I'm quite fond of new things.
で、いつも新しいことをしたくて,And I always want to do something new.
でも今年は特に新しいことを,"But this year, I don't think I'm going to do anything new."
この春に始めそうにないんで,I don't think I'm going to start anything new this spring.
少し落ち込んでいました,I've been feeling a little depressed.
周りの友達は新しい仕事が決まって就職したり,My friends around me have found new jobs and are working.
ワーキングホリデーのビザが取れて,Some of my friends got new jobs and got working holiday visas.
また海外に行くことになったり,and going abroad again.
他の人と比べてしまって,I was comparing myself to others.
正直ちょっと落ち込んでしまいました,"To be honest, I was a little depressed."
でも考えてみると,But when I thought about it
特に新しいこと、今したくないんですね,I don't really want to do anything new right now.
今の生活がすごく楽しいし,I'm really enjoying my current life.
今の場所でやりたいこともたくさんあるし,There are many things I want to do in my current place.
だから私と同じように考えている人,So I'm wondering if there are any people who think the same way I do.
同じような考えがある人は,If you have similar thoughts
別に新しいことを始めなくてもいいと思います,I don't think you have to start something new.
無理してなんか春だからとか,You don't have to force yourself to do something because it's spring.
他の人がやってるからとか言っても始めなくてもいいと思います,I think you don't have to force yourself to start something new just because it's spring or because other people are doing it.
多分何か始めたいなって,I think the time to start is when you feel like you want to start something.
思った時が始めるタイミングだと思うので,I think the time to start is when you feel like it.
人と比べたり,You don't have to compare yourself with others.
そういう時期（季節・タイミング）だからって言って,You don't have to rush to start just because it's the right time of the year.
焦って始めなくてもいいかなって思ってます,I don't think you need to be in a hurry to start.
はい、でもこれから新しいことを始める人は,"Yes, but if you are starting something new"
頑張って欲しいです,I want you to do your best.
新しいことをするっていうのは,It takes a lot of energy and strength to start something new.
すごくエネルギー、体力がいることなので,It takes a lot of energy and stamina.
結構大変ですね,It's quite difficult.
楽しいぶん。（大変）なので,It's fun. (It's hard.) So
頑張って充実させて欲しいなあと思ってます,I hope you'll do your best and make the most of it.
はい、新しいことを始めなくても,Even if you don't start something new
普段の生活を楽しくさせるコツもあると思います,"Even if you don't start something new, I think there are some tips to make your daily life more enjoyable."
例えば私だとよく本を読みます,"For example, for me, I often read books."
あと、行ったことのないカフェとか入ったことのない住宅街にいって。。。,"For example, I often read books, go to cafes I've never been to, and go to residential areas I've never been to."
ちょっと怪しい人なんですけど　笑,I'm a little bit of a suspicious person.
散歩したりします,I go for a walk.
写真とかは撮らないですよ,I don't take pictures or anything.
あとは私は料理が好きなんで,"Also, I like to cook."
今まで作ったことのない料理を作ったりしてます,"I like to cook, so I try to make new dishes that I've never made before."
例えば,For example
ベトナムのオムレツめちゃくちゃ好きなんですよ,"For example, I like Vietnamese omelets very much."
カナダで見つけて,I found it in Canada.
なんだっけな名前、名前ちょっとすいません忘れちゃったんですけど。,"I don't know what it's called, I forgot the name."
エビとかもやしとかが入ってるオムレツがすごく好きで、,"I forgot the name, but I really like omelets with shrimp and bean sprouts."
それを作りました,I made it.
あとアップルパイとか,And apple pie.
まあ買おうと思えば,If you want to buy something
すぐに買えるものなんですけど,"If you want to buy something, you can buy it right away."
やっぱり自分で作ると面白いので,But it's fun to make them by yourself.
そういう遊びをしてます,I've been playing with them.
多分外に出る機会が少なくなったと思うので,I guess I don't get to go out much anymore.
そういう、なんですかね。,"I don't know, I guess."
クリエイティブなこと,Creative things
創作的な活動,Creative activities
っていうのが増えたかなと思います,I think I've been doing more of that.
皆さんは好きですか？,Do you like it?
なんかパンを作ったり,Making bread?
わからない。,I don't know.
レゴを組み立てたり,Building Legos.
何か自分で考えて自分で作るとか,I think it's fun to think and make something by yourself.
自分で練習するとか、そういうのって楽しいですよね。,"It's fun to practice on your own, isn't it?"
消費するだけじゃなくて,It's not just about consuming.
自分で作るっていうのは、かなり時間もかかるし,It takes a lot of time to make something by yourself.
面倒くさいといえば面倒くさいんですけど,"It's a hassle to say the least, but"
その作る過程が,But the process of making it is
とても楽しいと思っています,I think it's really fun!
私のこのyoutubeもそうなんですけど,This is also the case with my Youtube.
まぁyoutubeを見るのって,"Well, watching youtube is pretty easy, isn't it?"
結構簡単じゃないですか,"It's pretty easy, isn't it?"
見ればいいだけなので,All you have to do is watch it.
でも作るってなると、見てる人のことを考えたり,"But when it comes to making a video, you have to think about the audience."
自分の考えをまとめたりしなきゃいけないので,"You have to think about the people who are watching, and you have to put your thoughts together."
結構大変だと思うんですね,I think it's a lot of work.
なのでそういう創作活動するのが,That's why I like doing creative work like that.
私は好きです,I like that kind of creative work.
でもその今youtubeをやってて,But I'm having a little trouble with youtube right now.
ちょっと悩んでいると言うか,I don't like perfectionism.
嫌なのがが完璧主義っていうことなんですね,I don't like the fact that I'm a perfectionist.
別に自分は完璧じゃないってわかってるんですけど,"I know I'm not perfect, but"
どうしても,But I really want to
その動画のクオリティとかをあげたいなと思ってたくさん動画を撮ったけど,"I want to improve the quality of my videos, so I've made a lot of videos"
使ってないものもたくさんあります,But there are many that I haven't used.
それはきっと自分に対してのハードルが高いんだと思います,I think that's because I'm too hard on myself.
実は、去年の7月頃は毎日podcastをアップロードしていました,"Actually, around July last year, I was uploading podcasts every day."
その時は質・クオリティというよりも,"At that time, I was more concerned about quantity than quality."
量を重視していました,I was more concerned with quantity.
