Word,Reading,Meaning
行動,こうどう,"action, conduct, behaviour, behavior, mobilization, mobilisation"
国家,こっか,"state, country, nation"
国会,こっかい,"National Diet, parliament, congress"
作業,さぎょう,"work, operation, manufacturing, fatigue duty"
使用,しよう,"use, application, employment, utilization, utilisation"
自動,じどう,"① automatic, self-motion ② intransitive verb"
重大,じゅうだい,"serious, important, significant, grave, weighty"
正午,しょうご,"noon, mid-day"
青年,せいねん,"youth, young man"
代理,だいり,"representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
大会,たいかい,"convention, tournament, mass meeting, rally"
知事,ちじ,prefectural governor
地方,ちほう,"① area, locality, district, region, province ② countryside, rural area ③ coast (esp. as seen from the water) ④ person singing ballads in Noh, person in charge of music in a Japanese dance performance"
中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
注目,ちゅうもく,"notice, attention, observation"
発見,はっけん,"discovery, detection, finding"
発行,はっこう,"① issue (publications), publishing ② raising an event (software)"
不正,ふせい,"injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud"
不足,ふそく,"insufficiency, shortage, deficiency, lack, dearth"
立場,たちば,"standpoint, position, situation"
安定,あんてい,"stability, equilibrium"
委員,いいん,committee member
外交,がいこう,diplomacy
活動,かつどう,"action, activity"
期間,きかん,"period, term, interval"
期待,きたい,"expectation, anticipation, hope"
記事,きじ,"article, news story, report, account"
記者,きしゃ,reporter
記録,きろく,"① record, minutes, document ② a record (e.g. in sports), results, score ③ to record, to document ④ to set a record (e.g. in sports), to show a result, to reach a value"
決定,けってい,"decision, determination"
合計,ごうけい,"sum total, total amount"
今回,こんかい,"now, this time, lately"
参加,さんか,participation
市場,いちば,① (town) market ② (the) marketplace
指導,しどう,"① leadership, guidance, coaching ② shido (disciplinary action for a minor infringement of the rules of judo)"
事実,じじつ,"fact, truth, reality"
事情,じじょう,"circumstances, consideration, conditions, situation, reasons"
時期,じき,"time, season, period"
実行,じっこう,"practice, practise, performance, execution (e.g. program) (programme), realization, realisation, implementation"
首相,しゅしょう,"Prime Minister, Chancellor (Germany, Austria, etc.), Premier"
出身,しゅっしん,"① person's origin (town, city, country, etc.) ② institution from which one graduated ③ director in charge of employee relations"
書類,しょるい,"documents, official papers"
正式,せいしき,"due form, official, formality"
組合,くみあい,"association, union"
相当,そうとう,"① befitting, becoming, worthy of, proportionate, in keeping with, suitable ② considerable, substantial ③ to be worthy of, to be proportionate to ④ to correspond to (in meaning, function, etc.), to be equivalent ⑤ extremely, considerably"
代表,だいひょう,"representative, representation, delegation, type, example, model"
地区,ちく,"district, section, sector"
中央,ちゅうおう,"centre, central, center, middle"
鉄道,てつどう,railroad
都市,とし,"town, city, municipal, urban"
同様,どうよう,"identical, equal to, same (kind), like, similarity"
農家,のうか,"farmer, farm family"
農業,のうぎょう,agriculture
発表,はっぴょう,"announcement, publication"
犯人,はんにん,"offender, criminal"
部分,ぶぶん,"portion, section, part"
平和,へいわ,"peace, harmony"
目的,もくてき,"purpose, goal, aim, objective, intention"
野球,やきゅう,baseball
予算,よさん,"estimate, budget"
留学,りゅうがく,studying abroad (usu. at university level)
列車,れっしゃ,train (ordinary)
全国,ぜんこく,"country-wide, nation-wide, whole country, national"
協力,きょうりょく,"cooperation, collaboration"
違反,いはん,"violation (of law), transgression, infringement, breach"
一般,いっぱん,"general, liberal, universal, ordinary, average"
演説,えんぜつ,"speech, address"
可能,かのう,"possible, practicable, feasible"
解決,かいけつ,"settlement, solution, resolution"
解散,かいさん,"breakup, dissolution"
確認,かくにん,"affirmation, confirmation, validation"
完成,かんせい,"① complete, completion ② perfection, accomplishment"
完全,かんぜん,"perfection, completeness"
完了,かんりょう,"① completion, conclusion ② perfective (form, aspect)"
管理,かんり,"control, management (e.g. of a business)"
関心,かんしん,"concern, interest"
希望,きぼう,"hope, wish, aspiration"
記念,きねん,"commemoration, memory"
議会,ぎかい,"Diet, congress, parliament"
議長,ぎちょう,"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)"
許可,きょか,"permission, approval, authorization"
競技,きょうぎ,"game, match, contest"
教師,きょうし,teacher (classroom)
傾向,けいこう,"tendency, trend, inclination"
経営,けいえい,"management, administration"
建設,けんせつ,"construction, establishment"
建築,けんちく,"construction, architecture"
見解,けんかい,"opinion, point of view"
現金,げんきん,"cash, ready money, mercenary, self-interested"
現在,げんざい,"now, current, present, present time, as of"
誤解,ごかい,misunderstanding
国民,こくみん,"nation, nationality, people, citizen"
困難,こんなん,"difficulty, distress"
最高,さいこう,"highest, supreme, the most"
最低,さいてい,"① least, lowest, worst ② nasty, disgusting, horrible, yuck!"
支店,してん,branch store (office)
事件,じけん,"event, affair, incident, case, plot, trouble, scandal"
事務,じむ,"business, office work"
失業,しつぎょう,unemployment
実現,じつげん,"implementation (e.g. of a system), materialization, materialisation, realization, realisation"
実際,じっさい,"① practicality, practical ② reality, actuality, actual conditions ③ bhutakoti (limit of reality)"
住宅,じゅうたく,"residence, housing, residential building"
重要,じゅうよう,"important, momentous, essential, principal, major"
出席,しゅっせき,"① attendance, presence, appearance ② to attend, to be present, to appear"
処理,しょり,"processing, dealing with, treatment, disposition, disposal"
承認,しょうにん,"recognition, acknowledgement, acknowledgment, approval, consent, agreement"
職業,しょくぎょう,"occupation, business"
職場,しょくば,"one's post, place of work, workplace"
制限,せいげん,"restriction, restraint, limitation, limit"
制度,せいど,"system, institution, organization, organisation"
成績,せいせき,"results, record, grades"
政府,せいふ,"government, administration"
生産,せいさん,"production, manufacture"
責任,せきにん,"① duty, responsibility (incl. supervision of staff) ② liability, onus"
増加,ぞうか,"increase, increment, addition"
対象,たいしょう,"target, object (of worship, study, etc.), subject (of taxation, etc.)"
大臣,だいじん,cabinet minister
団体,だんたい,"organization, organisation, association"
地域,ちいき,"area, region"
調査,ちょうさ,"investigation, examination, inquiry, enquiry, survey"
直接,ちょくせつ,"direct, immediate, personal, firsthand"
程度,ていど,"degree, amount, grade, standard, of the order of (following a number)"
努力,どりょく,"great effort, exertion, endeavour, endeavor, effort"
内容,ないよう,"subject, contents, matter, substance, detail, import"
農民,のうみん,"farmers, peasants"
販売,はんばい,"sales, selling, marketing"
被害,ひがい,damage
非常,ひじょう,"emergency, extraordinary, unusual"
婦人,ふじん,"woman, lady, adult female"
報告,ほうこく,"report, information"
方針,ほうしん,"objective, plan, policy"
訪問,ほうもん,"call, visit"
優勝,ゆうしょう,"overall victory, championship"
要求,ようきゅう,"demand, firm request, requisition, requirement, desire"
平均,へいきん,"① average, mean ② balance, equilibrium"
支払い,しはらい,payment
手続き,てつづき,"procedure, (legal) process, formalities"
労働,ろうどう,"① manual labor, manual labour, toil, work ② Labour Party"
維持,いじ,"maintenance, preservation, improvement"
影響,えいきょう,"influence, effect"
援助,えんじょ,"assistance, aid, support"
汚染,おせん,"pollution, contamination"
価格,かかく,"price, value, cost"
監督,かんとく,"① supervision, control, superintendence, direction ② director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
企業,きぎょう,"enterprise, undertaking, corporation, business"
基本,きほん,"foundation, basis, standard"
教授,きょうじゅ,"① professor ② teaching, instruction"
金融,きんゆう,"financing, credit transacting, loaning of money, circulation of money"
契約,けいやく,"contract, compact, agreement"
結果,けっか,"① result, consequence, outcome, effect ② coming to fruition, bearing fruit"
結局,けっきょく,"after all, eventually, in the end"
結論,けつろん,conclusion
憲法,けんぽう,constitution
検査,けんさ,"inspection (e.g. customs, factory), examination, scan (e.g. MRI, PET, etc.)"
検討,けんとう,"consideration, examination, investigation, study, scrutiny, discussion"
考慮,こうりょ,"consideration, taking into account"
裁判,さいばん,"trial, judgement, judgment"
事業,じぎょう,"project, enterprise, business, industry, operations"
実施,じっし,"enforcement, implementation, putting into practice (practise), carrying out, operation, working (e.g. working parameters), enactment"
主義,しゅぎ,"doctrine, rule, principle"
主張,しゅちょう,"claim, request, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
修正,しゅうせい,"amendment, correction, revision, modification, alteration, retouching, update, fix"
出張,しゅっちょう,"official tour, business trip"
条件,じょうけん,"condition, conditions, term, terms, requirement, requirements"
状態,じょうたい,"current status, condition, situation, circumstances, state"
食糧,しょくりょう,"provisions, rations, food supply"
整理,せいり,"sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation"
製品,せいひん,"manufactured goods, finished goods, product"
組織,そしき,"① organization, organisation ② structure, construction ③ tissue ④ system"
態度,たいど,"attitude, manner, behaviour"
逮捕,たいほ,"arrest, apprehension, capture"
提案,ていあん,"proposal, proposition, suggestion"
提出,ていしゅつ,"① to present, to submit (e.g. a report or a thesis), to hand in, to file, to turn in ② presentation, submission, filing"
徹底,てってい,"thoroughness, completeness, consistency"
投票,とうひょう,"voting, poll"
博士,はかせ,"① doctorate, PhD, Dr (as a title) ② expert, learned person"
物価,ぶっか,"prices of commodities, prices (in general), cost-of-living"
模様,もよう,"pattern, figure, design"
目下,もっか,"at present, now"
目標,もくひょう,"mark, objective, target"
工事,こうじ,"construction work, construction, work (related to construction, e.g. painting, concrete-pouring, etc.)"
死体,したい,"dead body, corpse, cadaver"
出場,しゅつじょう,"(stage) appearance, participation, performance"
人事,じんじ,"personnel affairs, human affairs, human resources, HR"
同時,どうじ,"simultaneous(ly), concurrent, same time, synchronous, together"
年度,ねんど,"year, fiscal year, school year, term"
回答,かいとう,"reply, answer"
強化,きょうか,"strengthen, intensify, reinforce, solidify, enhancement"
合同,ごうどう,"combination, incorporation, union, amalgamation, fusion, congruence"
指定,してい,"designation, specification, assignment, appointment, pointing at"
重点,じゅうてん,"important point, lay stress on, colon, emphasis"
水準,すいじゅん,"① level, standard ② water level"
対立,たいりつ,"confrontation, opposition, antagonism"
追加,ついか,"addition, supplement, append (e.g. to a file), appendix"
定員,ていいん,"fixed number of regular personnel, capacity (of boat, hall, aeroplane, airplane, etc.)"
農村,のうそん,"agricultural community, farm village, rural"
方面,ほうめん,"① direction, district, area ② field (e.g. of study)"
本部,ほんぶ,"headquarters, head office, main office"
役所,やくしょ,"government office, public office"
可決,かけつ,"approval, adoption (e.g. motion, bill), passage"
改正,かいせい,"revision, amendment, alteration"
各地,かくち,"every place, various places"
機関,きかん,"① engine ② agency, organisation, organization, institution, organ ③ system, facility, facilities"
給与,きゅうよ,"pay, salary, wages, allowance, grant, supply"
漁業,ぎょぎょう,fishing (industry)
候補,こうほ,"① candidate, contender, prospect, pick, choice, list ② candidacy, candidature, nomination"
公共,こうきょう,"public, community, public service, society, communal"
公務,こうむ,"official business, public business"
児童,じどう,"children, juvenile"
自治,じち,"self-government, autonomy"
成立,せいりつ,"① coming into existence, arrangements, establishment, conclusion, completion ② to come into existence, to be true, to hold (i.e. hold true)"
政党,せいとう,political party
超過,ちょうか,"excess, being more than"
通信,つうしん,"correspondence, communication, transmission, news, signal"
付近,ふきん,"neighbourhood, neighborhood, vicinity, environs"
民間,みんかん,"private, civilian, civil, popular, folk, unofficial"
輸送,ゆそう,"transport, transportation"
予報,よほう,"forecast, prediction"
連合,れんごう,"① union, alliance, combination ② RENGO (Japanese Trade Union Confederation)"
共同,きょうどう,"doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association"
水産,すいさん,"marine products, fisheries"
為替,かわせ,"① money order, draft ② exchange (e.g. foreign)"
一応,いちおう,"once, tentatively, in outline, for the time being, just in case"
姿勢,しせい,"attitude, posture"
対策,たいさく,"counter-plan, counter-measure"
調整,ちょうせい,"regulation, coordination, adjustment, tuning, modification, alteration"
統一,とういつ,"unity, consolidation, uniformity, unification, compatible"
評論,ひょうろん,"criticism, critique"
保健,ほけん,"health preservation, hygiene, sanitation"
臨時,りんじ,"temporary, special, extraordinary"
基準,きじゅん,"standard, basis, criterion, norm, reference, datum"
女子,おなご,"woman, girl"
一部,いちぶ,"① one part, one portion, one section, some ② one copy (e.g. of a document)"
実情,じつじょう,"real condition, actual circumstances, actual state of affairs"
戸,こ,counter for houses
委託,いたく,"consign (goods (for sale) to a firm), entrust (person with something), commit"
運営,うんえい,"management, administration, operation"
運輸,うんゆ,transportation
会見,かいけん,"interview, audience"
会談,かいだん,"conversation, conference, discussion, interview"
改革,かいかく,"reform, reformation, innovation"
開催,かいさい,"holding a meeting, open an exhibition"
開拓,かいたく,"① reclamation (of wasteland), cultivation ② pioneering, pathfinding, trail-blazing"
外相,がいしょう,Foreign Minister
確保,かくほ,"guarantee, maintain, ensure, insure, secure, reservation"
確立,かくりつ,"① establishment, settlement ② to establish, to settle"
勧告,かんこく,"advice, counsel, remonstrance, recommendation"
官僚,かんりょう,"bureaucrat, bureaucracy"
幹部,かんぶ,"management, (executive) staff, leaders, leadership, top brass, upper echelons"
機構,きこう,"mechanism, organization, organisation"
規定,きてい,"regulation, provisions"
拒否,きょひ,"denial, veto, rejection, refusal"
協会,きょうかい,"association, society, organization, organisation"
協議,きょうぎ,"conference, consultation, discussion, negotiation"
協定,きょうてい,"arrangement, pact, agreement"
業者,ぎょうしゃ,"① trader, merchant ② manufacturer, contractor"
業務,ぎょうむ,"business, affairs, duties, work, procedure, task, action, function"
勤務,きんむ,"service, duty, work"
緊急,きんきゅう,"urgent, pressing, emergency"
決議,けつぎ,"resolution, vote, decision"
決勝,けっしょう,"decision of a contest, finals (in sports)"
結成,けっせい,"formation, combination"
検事,けんじ,public prosecutor
原則,げんそく,"principle, general rule"
交渉,こうしょう,"① negotiations, discussions ② connection"
公団,こうだん,public corporation
行為,こうい,"act, deed, conduct"
行政,ぎょうせい,administration
再建,さいけん,"rebuilding, reconstruction, rehabilitation"
財政,ざいせい,"financial affairs, public finance"
指令,しれい,"orders, instructions, directive, command"
支持,しじ,"support, maintenance"
施設,しせつ,"① institution, establishment, facility ② (army) engineer"
資金,しきん,"funds, capital"
辞職,じしょく,resignation
主権,しゅけん,"sovereignty, supremacy, dominion"
主食,しゅしょく,staple food
収容,しゅうよう,"① accommodation, reception, housing ② seating ③ custody ④ admission ⑤ entering (in a dictionary)"
従来,じゅうらい,"up to now, so far, traditional, existing (e.g. equipment)"
所得,しょとく,"income, earnings"
証人,しょうにん,witness
情勢,じょうせい,"state of things, state of affairs, condition, situation, circumstances"
条約,じょうやく,"treaty, pact"
職員,しょくいん,"staff member, personnel"
審議,しんぎ,deliberation
審査,しんさ,"judging, inspection, examination, investigation"
診療,しんりょう,"medical examination and treatment, diagnosis"
人民,じんみん,"people, public"
勢力,せいりょく,"influence, power, might, strength, potency, force, energy"
政権,せいけん,"(political) administration, political power"
政策,せいさく,"political measures, policy"
声明,せいめい,"declaration, statement, proclamation"
赤字,あかじ,"① deficit, (being in or going into) the red ② red text, red letters"
設置,せっち,"establishment, institution"
繊維,せんい,"fibre, fiber, textile"
選挙,せんきょ,election
措置,そち,"measure, measures, step"
捜査,そうさ,"search (esp. in criminal investigations), investigation, inquiry, enquiry"
総会,そうかい,general meeting
促進,そくしん,"promotion, acceleration, encouragement, facilitation, spurring on"
打開,だかい,break in the deadlock
対抗,たいこう,"opposition, antagonism"
退職,たいしょく,retirement (from office)
地元,じもと,"① home area, home town ② local"
調停,ちょうてい,"arbitration, conciliation, mediation"
長官,ちょうかん,"secretary (government), director, chief"
賃金,ちんぎん,wages
当選,とうせん,"① being elected ② being selected (to win a prize, etc.) ③ winning (in a lottery, raffle, etc.)"
統制,とうせい,"regulation, control"
内閣,ないかく,"cabinet, (government) ministry"
農地,のうち,agricultural land
廃止,はいし,"abolition, repeal"
発生,はっせい,"① outbreak, spring forth, occurrence, incidence, origin ② ontogeny, development of complex multicellular structures from cell(s) in a simple state"
判決,はんけつ,"judicial decision, judgement, judgment, sentence, decree"
不当,ふとう,"injustice, impropriety, unreasonableness, undeserved, unfair, invalid"
負担,ふたん,"burden, charge, responsibility"
復興,ふっこう,"revival, renaissance, reconstruction"
物資,ぶっし,"goods, materials"
弁護,べんご,"defense, defence, pleading, advocacy"
補給,ほきゅう,"supply, supplying, replenishment"
補助,ほじょ,"assistance, support, aid, auxiliary"
報道,ほうどう,"information, report, journalism"
法案,ほうあん,bill (law)
防衛,ぼうえい,"defense, defence, protection, self-defense, self-defence"
野党,やとう,"opposition party, political opposition, opposition"
有力,ゆうりょく,"① influential, prominent ② strong, likely, plausible, potent"
融資,ゆうし,"financing, loan"
要請,ようせい,"claim, demand, request, application"
要望,ようぼう,"demand for, request"
連盟,れんめい,"league, union, alliance"
意向,いこう,"intention, idea, inclination"
総合,そうごう,"① synthesis, coordination, putting together, integration, composite ② comprehensive"
取引,とりひき,"transactions, dealings, business"
同盟,どうめい,"alliance, union, league"
見込み,みこみ,"forecast, prospects, expectation, hope"
割当,わりあて,"① allotment, assignment, allocation, quota, rationing ② binding"
衣類,いるい,"clothes, clothing, garments"
出火,しゅっか,outbreak of fire
本年,ほんねん,this (current) year
会長,かいちょう,"president (of a society), chairman"
公安,こうあん,"public safety, public welfare"
行使,こうし,"use, exercise"
人員,じんいん,"number of persons, personnel"
本社,ほんしゃ,"① head office, main office, headquarters ② main shrine ③ this company, this shrine"
理事,りじ,"director, board of directors"
見通,みとおし,"perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility"
引き上げ,ひきあげ,"① pulling up, drawing up, salvage, re-floatation ② raising, increase, upward revision"
局長,きょくちょう,"bureau director, office chief"
具体,ぐたい,"concrete, tangible, material"
県下,けんか,prefecture
県内,けんない,within the prefecture
言明,げんめい,"declaration, statement, assertion"
合理,ごうり,rational
国内,こくない,"internal, domestic"
昨年,さくねん,last year
市長,しちょう,mayor
市内,しない,"(within a) city, local"
書記,しょき,"clerk, secretary"
商工,しょうこう,commerce and industry
全焼,ぜんしょう,"burned down, entirely destroyed"
村長,そんちょう,village headman
多数,たすう,"① great number ② countless, majority"
町村,ちょうそん,towns and villages
投手,とうしゅ,(baseball) pitcher
当局,とうきょく,① authorities ② this office
当事,とうじ,matter under concern
農林,のうりん,agriculture and forestry
部落,ぶらく,"① hamlet, subunit of village ② burakumin area"
文部,もんぶ,"Ministry of Education, Culture, Sports, Science and Technology"
役員,やくいん,"officer, official, executive, staff"
予選,よせん,"nomination, primary, preliminary contest"
両日,りょうじつ,"both days, two days"
和平,わへい,peace
取調,とりしらべ,"investigation (e.g. by police or prosecutors), examination, inquiry, enquiry"
申入,もうしいれ,"proposal, offer, report, proposition, notice"
楽団,がくだん,"orchestra, band"
議院,ぎいん,congress or parliament
共産,きょうさん,① communism ② Communist Party
現場,げんじょう,"actual spot, scene, scene of the crime"
公判,こうはん,"public hearing, trial"
厚生,こうせい,"① welfare, public welfare, social welfare ② (former) Ministry of Health and Welfare"
国務,こくむ,affairs of state
再開,さいかい,"reopening, resumption, restarting"
支部,しぶ,"branch, subdivision"
次官,じかん,"vice-minister, undersecretary"
諸国,しょこく,various countries (often used as suffix)
新制,しんせい,new system
税務,ぜいむ,taxation business
争議,そうぎ,"dispute, quarrel, strike"
総務,そうむ,"general business (affairs), manager, director, adjutant general (mil)"
代議,だいぎ,representing others in a conference
大蔵省,おおくらしょう,(former) Ministry of Finance (succeeded by zaimushou in 2000)
届出,とどけで,"report, notification"
被告,ひこく,"defendant, the accused"
民主,みんしゅ,"① democracy, popular sovereignty ② democratic"
無職,むしょく,without an occupation
容疑,ようぎ,"suspect, charge"
労組,ろうくみ,"labor union, labour union"
値上げ,ねあげ,"price hike, mark-up"
戦後,せんご,"postwar period, period after Second World War"
輸入量,ゆにゅうりょう,import volume
閣議,かくぎ,cabinet meeting
閣僚,かくりょう,cabinet ministers
官房,かんぼう,government secretariat
既存,きそん,existing
起訴,きそ,"prosecution, indictment"
教諭,きょうゆ,teacher
警視,けいし,"police superintendent, metropolitan police"
検挙,けんきょ,"arrest, roundup"
検察,けんさつ,"examination, prosecutor"
拘留,こうりゅう,"detention, hold a person in custody"
鋼鉄,こうてつ,steel
懇談,こんだん,informal talk
執行,しっこう,"① enforcement, performance, execution, exercise, service ② pursuit of knowledge, studying, learning, training, ascetic practice (practise), discipline"
出納,すいとう,receipts and expenditure (disbursements)
総裁,そうさい,president
総統,そうとう,"① supreme ruler, generalissimo ② president (of Taiwan) ③ fuhrer, fuehrer"
送検,そうけん,sending the person accused to the prosecutor
懲役,ちょうえき,"penal servitude, imprisonment with hard labor (hard labour)"
添削,てんさく,"correction, looking over, touching up"
闘争,とうそう,"strife, conflict"
同郷,どうきょう,"same village, same town, same province"
両氏,りょうし,both persons
取締,とりしまり,"control, management, supervision"
引き揚げる,ひきあげる,"① to pull up, to drag up, to lift up ② to increase, to raise (e.g. taxes) ③ to withdraw, to leave, to pull out, to retire ④ to return home"
保守的,ほしゅてき,conservative
