Sentence,Translation
・私は将来、大きな家が欲しいです。,I want a big house in the future.
・家に帰ると誰もいないのに、エアコンがついていた。,"When I came home, the air conditioner was on even though no one was home."
・うわぁ、とっても辛そうなカレーですね。,"The curry looks very spicy, doesn't it?"
・彼女とは別れたきり、一度も会っていない。,I haven't seen my girlfriend since we broke up.
・すみません、このあたりに小林という名前の人は住んでいますか。,"I'm sorry, but is there a person named Kobayashi living around here?"
・無理をした結果、体を壊してしまった。,"As a result of overworking, I broke my body."
・友達に会う前に、シャワーを浴びます。,Take a shower before meeting friends.
・一生懸命頑張ったのに、行きたかった大学に合格できませんでした。,"I worked really hard, but I couldn't get into the university I wanted to go to."
・さっき、山田って人から電話あったよ。,I just got a call from a guy named Yamada.
・こんなにも暑いのに、トムさんは涼しげな顔をして教室に入ってきた。,"Even though it was so hot, Tom walked into the classroom with a cool face."
・今回の災害で、どれほどの人が亡くなったことか。本当に悲しいニュースですね。,I wonder how many people died in this disaster. It's really sad news.
・昨日はレポートを書いていたから、４時間しか寝れなかった。,I only slept for four hours last night because I had to write a report.
・医者：今日はお風呂に入らないでください。,Doctor: Please don't take a bath today.
・嬉しいことに、来年から日本の会社で働けるようになった。,"To my delight, I will be able to work for a Japanese company from next year."
・靴を買う前に、サイズが合うかどうか履いてみます。,Do you know if you have a boyfriend?
・私はサラダを食べるとき、ドレッシングをかけないで食べます。,"When I eat salad, I don't put dressing on it."
・今日は先生の体調が悪いので、自習にします。,"The teacher is not feeling well today, so we will study by ourselves."
・ワンさんはジャニーズのこととなると、とてもうるさい。,Mr. Wang is very noisy when it comes to Japanese people.
・キッチンの方から変な音がする。何かいるようだ。,There's a strange sound coming from the kitchen. I think there's something in there.
・危ないから、その道には行かないほうがいいですよ。,"It's dangerous, so you'd better not go that way."
・会わないうちに、すっかり大きくなりましたね。,You've grown so much in such a short time.
・先生、もう少し字を大きく書いていただけませんか。,"Excuse me, but could you please help me a little?"
・電子書籍や音楽のダウンロードサービスの普及により、店舗での売り上げは下がる一方だ。,"With the spread of e-book and music download services, sales at stores have been declining."
・７０点以上だと合格です。,"If you get a score of 70 or above, you will pass."
・初めてなら、浅草とか東京タワーに行けばいいんじゃない？,"If it's your first time, why don't you go to Asakusa or Tokyo Tower?"
・あと10分でテストが終わる。もっと時間が欲しいなあ。,I have a test in 10 minutes. I want more time.
・私は家族の生活費を稼ぐために、日本へ働きに来ました。,I came to Japan to work in order to earn money for my family.
・マレーシアでは数学のテストの時、電卓を使ってもいいことになっている。,"In Malaysia, you are allowed to use a calculator for math tests."
・ジョンさん、間違いが多すぎるので、やり直してください。,"Mr. John, there are too many mistakes, please start over."
・春になると桜が咲きます。,"In spring, cherry blossoms bloom."
・ワンさんはたくさんの国の言葉を話せるし、頭もいいし、羨ましいよね。,I envy you because you speak many languages and you're smart.
・仕事が早く終わったので、ちょっと同僚と飲みに行こうと思います。,"I finished my work early, so I'm going out for a drink with my colleagues."
・ジョンさんの踊り方はちょっと変ですね。,Mr. John's dancing style is a little strange.
・勉強している間に、疲れて寝てしまった。,I'm tired and fell asleep while studying.
・今年は5回も台風が来ました。,There have been five typhoons this year.
・この部屋には靴を履いたまま入らないでください。,Please do not enter this room without shoes on.
・必要じゃないものは、安くても買いません。,"I don't buy things I don't need, even if they are cheap."
・現状から言って、直ちにその計画を実行するのは無理だ。,"Given the current situation, it's impossible to implement that plan immediately."
・また間違えてる。ここは間違えやすいから気をつけてって何度言ったことだろう。,You're wrong again. How many times have I told you to be careful here because it's easy to make mistakes?
・天候のいかんに関わらず、明日の試合は行います。,Tomorrow's game will be held regardless of the weather.
・ジョンさんはいきなり怒り出した。,Mr. John suddenly became angry.
・日本へ留学に来ました。,I am coming to Japan to study.
・JLPT N1に合格した時は、何度も飛び跳ねるぐらい嬉しかった。,I was so happy when I passed the JLPT N1 exam that I jumped up and down many times.
・未成年はお酒を飲んではいけません。,Minors are not allowed to drink alcohol.
・子供たちが学校から帰ってくるまでに洗濯と買い物を済ませなきゃ。,I need to finish my laundry and shopping before the kids get home from school.
・Facebookの広告が鬱陶しいので、使うのをやめました。,I've stopped using Facebook because the ads are annoying.
・私の仕事は給料はあまりよくないけど、とてもやりがいがあります。,"My job is not very well paid, but it is very rewarding."
・６時になったら、帰ります。,I go home at six o'clock.
・ロンさんは老けて見えますが、実は26歳だそうです。,"Mr. Ron looks old, but he is actually 26 years old."
・田中さんは１０km以上、泳ぐことができます。,Mr. Tanaka can swim more than 10km.
・私はたくさん食べても、太らない体質なんです。,I have a constitution that allows me to eat a lot and not get fat.
・この漢字は書けなくてもいいです。読めればいいです。,You don't need to be able to write these kanji. It is fine if you can read them.
・トムさんとジェームさんはいつもテストの点を競い合っている。,Tom and Jame are always competing with each other for test scores.
・この飲みかけのビールって私の？,Is this beer mine?
・息子はやりかけの宿題をおいて、遊びに出かけてしまった。,My son left his unfinished homework and went out to play.
・ジェシカさんの字は綺麗で読みやすいです。,Jessica's handwriting is beautiful and easy to read.
・すみませんが、黄色い線の内側には入らないでください。,"I'm sorry, but please don't go inside the yellow line."
・明日、試験があるので、今晩復習しておきます。,"I have an exam tomorrow, so I'll review this evening."
・バスに乗る前に、酔い止め薬を飲んでおきます。,I will take anti-sickness medicine before taking the bus.
・シートベルトをしていたおかげで、一命を取りとめました。,"Thanks to my seat belt, I survived."
・将来、日本で働きたいので、日本へ留学することにしました。,"I want to work in Japan in the future, so I decided to come to Japan to study."
・電車を降りた後で、財布がないことに気がつきました。,I noticed that my wallet was missing after I got off the train.
・今日はこのテーマについて話し合いましょう。,Let's discuss this topic today.
・本田選手はパスをもらうが早いか、次の瞬間にはシュートをうっていた。,"The next moment, he was shooting the ball."
・映画を見ている最中にうるさくされると腹が立つ。,I get angry when people make too much noise while I'm watching a movie.
・バスは15分おきに来ます。,The bus comes every 15 minutes.
・履歴書の書き方がわからなくて、インターネットで調べました。,"I didn't know how to write a resume, so I looked it up on the Internet."
・キムさんは昨日12時間も寝たそうです。,Kim said she slept 12 hours last night.
・キムさんはあくびばかりしている。昨日あまり寝ていないようだ。,Mr. Kim is yawning all the time. I don't think he slept much last night.
・トラブル対応で、朝まで休むことなく働き続けた。,"He kept on working until morning, dealing with problems."
・彼にお金を貸したきり、返ってこない。,"I lent him some money, but he hasn't returned it."
・ほら、ちゃんと野菜も食べなさい。,"Eat your vegetables, too."
・大掃除をしていたら、昔の写真が出てきて、妻はそれを懐かしげに眺めていた。,"When I was cleaning up, I found some old photos, and my wife looked at them nostalgically."
・早く病気を治したいなら、薬を飲んでゆっくり休むことだ。,"If you want to get well quickly, take your medicine and get some rest."
・まだレポート書きかけだから、これが終わったら家に帰ります。,"I still have a report to write, so I'll go home after I finish it."
・利根さんはいつも怒っているような顔をしているから、話しにくいです。,"Mr. Tone always looks angry, so it's hard for me to talk to him."
・よかったら、私が案内しましょうか。,I'll show you around if you like.
・コーヒーを飲むときは砂糖を入れないで飲みます。,"When I drink coffee, I don't put sugar in it."
・海外に住んだからこそ、自分の国の良さがわかるんだ。,It's only when you live abroad that you can understand the goodness of your own country.
・もし予定通りに仕事が終われば、飲み会が始まる時間に間に合います。,"If I finish my work on time, I can make it in time for the drinking party."
・食事の前に、手を洗いなさい。,Wash your hands before you eat.
・ジェームスさん、なんだか元気じゃなさそうですね。何かあったのかなぁ。,"Mr. James, you don't seem to be well. I wonder if something happened to him."
・もし宝くじで１００万円当たったら、何をしますか？,"If you won one million yen in the lottery, what would you do?"
宿題は来週の火曜日までに提出すること。,Homework is due by Tuesday of next week.
・授業中にジョンさんがいきなり大きな声で笑い出した。,"During the class, John suddenly started laughing out loud."
・タバコを吸いすぎるとガンになるおそれがあります。,"If you smoke too much, you may get cancer."
・可愛い犬ですね。写真を撮ってもいいですか。,It's a cute dog. Can I take a picture of it?
・田中、なんか言いたげだな。意見があるなら言ってみろ。,"Tanaka, you seem to have something to say. If you have an opinion, say it."
・あ〜、明日までに家賃を払わなくちゃ。,"Oh, I have to pay the rent by tomorrow."
・コンタクトレンズをつけたまま寝てしまった。,I fell asleep with my contact lenses on.
・政府の対応いかんで、日本経済がより悪くなるかもしれない。,"Depending on the government's response, the Japanese economy may get worse."
・１回だけですが、街で芸能人を見たことがあります。,"I have seen celebrities on the street, but only once."
・もっと考えてから、言いなさい。,Think more before you say it.
・大型の台風が近づいてきているので、今日は休みにします。,"A big typhoon is approaching, so I'll take today off."
・１０分以上考えているんですが、なかなか答えが出ません。,"I've been thinking about it for more than 10 minutes, but I can't come up with an answer."
・驚きのあまり、声も出なかった。,He was so surprised that he could not speak.
・困ったときはみんなで相談しましょう。,"If you have any problems, let's discuss them together."
・田中さんは寝るとき、電気を消さないで寝るそうです。,"I was in a hurry, so I came here without brushing my teeth. ・Mr. Tanaka said he sleeps without turning off the lights."
・いくらお金持ちでも、死んでしまったらそれまでだ。,"It doesn't matter how rich you are, if you're dead, you're dead."
・ちょっと散歩がてら、コンビニにでも行ってこよ。,I'm going to go to a convenience store for a walk.
・それなら保証があるはずだから、無料で直せるんじゃない？,"I'm sure you have a warranty on it, so you can fix it for free."
・田中さんはいつも肉ばかり食べているよね。野菜もしっかり食べたほうがいいよ。,"You always eat too much meat, don't you? You should eat vegetables as well."
・この漢字アプリとても便利だから、ジェームスさんにも紹介してもいいですか。,"This kanji application is very useful, can I introduce it to Mr. James?"
・先生がどこにいるか、わかりません。,I don't know where my teacher is.
・休みの間に、日本語を復習するつもりです。,I am going to review Japanese during my vacation.
・日本の若い人の数は減り続けている。,The number of young people in Japan continues to decrease.
・食べやすい大きさに切ってください。,Please cut it into bite-sized pieces.
・日本へ観光に来ました。,I came to Japan for sightseeing.
・いくら忙しいからといって、家族との時間を大切にしないのはよくないよ。,"No matter how busy you are, it's not good not to spend time with your family."
・今、何が欲しいですか。,What do you want now?
・海外のトイレではトイレットペーパーがないことがあるから持ち歩いていた方が良いよ。,"Sometimes there is no toilet paper in foreign toilets, so it is better to carry some with you."
・こんなに暑いと、外に出たくないですね。,I don't want to go outside when it's so hot.
・代わりに私がやりましょうか。,Can I do it for you?
・雨で床が濡れていたので、滑って転びかけた。,"The floor was wet from the rain, so I slipped and almost fell."
・子供が触らないように、高いところに置いておきます。,I will put them in a high place so that children will not touch them.
・それ美味しいんですか。ちょっと飲ませてください。,Is it good? Can I have a drink?
・いつでも出発できるように、もう準備してあります。,I've already prepared the food so that we can leave any time.
・先生、すみませんがこの漢字の読み方を教えてください。,"Excuse me, teacher, but can you tell me how to read this kanji?"
・ドラマを見た後で、お風呂に入ります。,"After watching a drama, I take a bath."
・何度も映画を見ているうちに、自然と日本語が上手になりました。,I've been watching the movie so many times that my Japanese has naturally gotten better.
・もしトムさんに会ったら、先生が探してたよって言っておいて。,"If you see Mr. Tom, tell him that the teacher was looking for him."
・今日は体調がよくないので、早く寝ることにします。,"I'm not feeling well today, so I'm going to bed early."
・先に自分で考えてから、先生に質問します。,I'll think about it first and then ask the teacher.
・地震の影響による、津波のおそれはありません。,There is no threat of a tsunami due to the earthquake.
・最近の携帯電話は、多機能な上に、カメラの質も良い。,Recent cell phones are multifunctional and have good quality cameras.
・今度の交流会、トムさんも行きませんか。,Why don't you go to the next social event?
・こちらの営業時間は朝の１０時から夜１１時までです。,Our office hours are from 10:00 in the morning to 11:00 at night.
・父は今週から、週２でジムに通い始めた。,My father started going to the gym twice a week this week.
・勉強のやり方がわからないなら、まずは先生に相談してみることね。,"If you don't know how to study, you should consult your teacher first."
・ちょっとコンビニで水を買ってきます。,I'm going to the convenience store to get some water.
・「ベルーズ」ってレストラン知ってる？,"Do you know a restaurant called ""Belle's""?"
・私は一人で旅行するのが好きです。,I like to travel by myself.
・わからないことがあったら、先輩に聞くんじゃんなくて、まず自分で調べたほうがいいですよ。,"If you have a problem, you should report it to your boss immediately."
・あまりの面白さに、しばらくの間、笑いが止まらなかったほどだ。,She was so funny that I couldn't stop laughing for a while.
・前回のテストはみんなあまりできませんでしたから、今回は簡単にしました。,"We made it easy this time, because everyone didn't do so well in the last test."
・二人はケンカしてから、話さなくなりました。,I don't speak Japanese anymore because I haven't studied Japanese since I returned to my country.
・あれ、机の上にメモが置いてあるなあ。,There's a memo on my desk.
・私は漫画を読んだり、アニメを見たりするのが好きです。,I like to read manga and watch anime.
・友達は家に入ると、すぐにゲームをし出した。,"When my friend entered the house, he immediately started playing games."
・まだ新しいパソコンを買って１週間も経っていないのに、壊れてしまった。,"I bought a new computer less than a week ago, but it broke down."
・どうぞ、椅子に座ってください。,Please take a seat.
・京都に行ったら、着物を着てみたいです。,"If I go to Kyoto, I want to try on a kimono."
・クリスマスパーティーではプレゼントを交換し合った。,We exchanged gifts at the Christmas party.
・運動不足や食べ過ぎにより、体重は増える一方だ。,Lack of exercise and overeating will only lead to weight gain.
・毎日練習すれば、上手になるものだ。,"If you practice every day, you will get better."
・さっきホラー映画を見てしまって、寝られない。,"I saw a horror movie a while ago, and I can't sleep."
・この魚は骨が多くて、食べにくいです。,"This fish has a lot of bones, so it's hard to eat."
・タイの物価は安いし、料理も美味しいし、私はいつかタイで生活してみたい。,"I want to live in Thailand someday, because the prices are cheap and the food is delicious."
・雨が降るかもしれないので、傘を持っていきます。,"It might rain, so I'll bring an umbrella."
・あの時、好きって言っていれば僕の人生は変わっていたのかもしれない。,Maybe my life would have been different if I had said I liked him back then.
・先生は面白いし、かっこいいし、私はこのクラスが好きです。,"The teachers are funny and cool, and I like this class."
・給料がいい会社で働きたい。,I want to work for a company that pays good wages.
・訪日外国人数は年々増える一方で、ホテル不足の問題が浮上している。,"The number of foreign visitors to Japan is increasing every year, and the problem of hotel shortages is emerging."
・私は冗談を言われるのが嫌いです。,I don't like to be told jokes.
・私はバンドンという町で生まれました。,I was born in a town called Bandung.
・たくさんの人の前で歌ったり、踊ったりしたことがありますか。,Have you ever sung or danced in front of a lot of people?
・海外でパスポートをなくしてしまったら、どうしますか。,What would you do if you lost your passport overseas?
・洗濯は１週間ごとにしています。,Laundry is done every week.
・アメリカではチップをあげなければならない習慣がある。,"In the U.S., it is customary to give a tip."
・早めに試験の準備を始めたかいあって、試験前日に慌てることもなかった。,"Thanks to my early preparation, I didn't panic the day before the exam."
・このような事態になるとは、誰も予測し得ないことだった。,No one could have foreseen that this would happen.
・実際に故障した商品を見てからでないと、修理費用がいくらになるかわかりません。,You can't know how much the repair cost will be until you actually see the broken product.
・私が通訳しましょうか。,Would you like me to translate for you?
・ほら、早く準備しなさい。,"Come on, get ready."
・同僚と今の会社を辞めて、新しい会社を作ることにしました。,My colleague and I decided to quit our current company and start a new one.
・まだ乾杯してないのに、田中さんが急にビールを飲み出した。,Mr. Tanaka suddenly started drinking beer even though we hadn't toasted yet.
・木村さんは１年留学したのに、留学する前と全然変わっていない。,"Mr. Kimura has studied in Japan for a year, but he hasn't changed at all."
・若いうちに、好きなことをしておかないと、後々後悔することになるよ。,"If you don't do what you want while you're young, you'll regret it later."
・一人暮らしの男子大学生は、野菜を不足しがちだ。,Male college students who live alone tend to be lacking in vegetables.
・スマホを見ながらご飯を食べるのは行儀がよくないですよ。,It's not polite to eat while looking at your phone.
・毎朝ジョギングをした結果、１ヶ月で3kg痩せました。,"As a result of jogging every morning, I lost 3kg in a month."
・この漢字は画数が多くて、覚えにくいです。,This kanji has so many strokes that it's hard to remember.
・最近喧嘩ばかりなので、彼女と別れるかどうか真剣に話し合った。,"We have been fighting a lot lately, so I had a serious talk with my girlfriend about whether we should break up or not."
・このような結論に至ったのは、相応の理由があってのことだろう。,There must have been a good reason for me to come to this conclusion.
・診断の結果いかんで、近々手術をすることになるかもしれない。,"Depending on the results of my diagnosis, I may have to have an operation soon."
・ニュースの日本語が少しずつ聞き取れるようになってきました。,I am gradually able to understand Japanese on the news.
・タワポンさんの実力からすると、次のJLPTは余裕で合格できるでしょう。,"I'm sure you can pass the next JLPT with ease, given your ability."
・あ、もしもし。今？今はジョンさんと家でゲームしてるよ。,"Oh, hello. Now? I'm playing a game at home with John."
・ジュースばかりじゃなくて、もっと水や牛乳も飲んだほうがいいですよ。,"You should drink more water and milk, not just juice."
・800ページもあったけど、なんとか１ヶ月で読みきった。,"It was 800 pages long, but I managed to finish it in a month."
・私はタブレットを３台持っています。,I have three tablets.
・この会社では、出勤したらタイムカードを押すことになっている。,"In this company, you are supposed to press your time card when you come to work."
・来週から１週間、会社を休むつもりです。,I'm going to take a week off from work next week.
・今、料理教室で日本料理の作り方を習っています。,I'm learning how to make Japanese dishes at a cooking class.
・大学を卒業してから、田中さんに１度も会っていない。,I haven't seen Mr. Tanaka since I graduated from university.
・子供が外で遊んでいる間に、晩御飯を作ります。,I cook dinner while my children are playing outside.
・明日は８時の便に乗りますから、６時までに空港に着かなければいけません。,I have to be at the airport by 6:00 a.m. because I have an 8:00 a.m. flight tomorrow.
・お金を入れて、食べたい料理のボタンを押すと食券が出ますよ。,You can get a meal ticket by inserting money and pressing the button for the food you want to eat.
・朝５時に起きるつもりだったのに、目覚まし時計が鳴らなくて寝坊してしまった。,"I was supposed to wake up at 5:00 a.m., but my alarm clock didn't go off and I overslept."
・早く治療をしないと、手遅れになるおそれがある。,"If you don't get medical treatment soon, it may be too late."
・スマホのおかげで、私たちの生活はとても便利になりました。,"Thanks to smart phones, our lives have become very convenient."
・このレストランではクレジットカードで支払うことができますか。,Can I pay with a credit card at this restaurant?
・4月から中国語の学校に通うことにしました。,I decided to attend a Chinese language school in April.
・ゴミや人ごみの問題で、来年以降、この町で花火大会は行わないことになりました。,I'm a little sad that the coffee shop I used to frequent is closing.
・子供は子供らしくもっと外で遊んだらどうなの？,Why don't children play outside more like children?
・部長は普段怖いですが、息子さんのこととなると、とても優しい顔になる。,"The director is usually scary, but when it comes to his son, he becomes very kind."
・家へ忘れ物を取りに帰ります。,I'm going home to pick up something I forgot.
・それに触っちゃいけないよ。,Don't touch it.
・冷蔵庫に昼ごはんは用意してあるから、チンして食べてね。,"The lunch have been prepared in the fridge, so just chill and eat."
・私は学校に通いながらアルバイトもしている。,I'm going to school and working part-time.
・車を買ったから、もう電車で通勤しなくてもいいです。,"I bought a car, so I don't have to take the train to work anymore."
・このレストランはお洒落な上に、料理も安く人気があります。,This restaurant is stylish and the food is cheap and popular.
・納豆って美味しいの？,Is natto good?
・フィリピンでは一度結婚したら、２度と離婚できないことなになっている。,"In the Philippines, once you get married, you can't get divorced again."
・あれ、動かない。どうやた壊れているようだ。,It's not working. It seems to be broken.
・今年の夏こそ海へ行こう！,Let's go to the beach this summer!
・食べる前に手を洗いなさい。,Wash your hands before you eat.
・日本の生活にも慣れてきたことだし、そろそろアルバイトでも始めようかな。,"Now that I've gotten used to life in Japan, I think I'll start a part-time job."
・先に片付けさせてください。,Please let me clean up first.
・子供は少なくても３人は欲しいですね。,I want to have at least three children.
・彼は遅刻した上に、財布まで忘れて私が彼の分まで払うことになった。,"He was late and forgot his wallet, so I had to pay for him."
・私の会社はスーツを着なくてもいいと言うことになっている。,My company doesn't require me to wear a suit.
・両親が出かけている間に、ゲームをします。,I will play games while my parents are out.
・山本さんって本当に男らしくて、かっこいいよね。,"Mr. Yamamoto is really manly and cool, isn't he?"
・兄が出かけているうちに、こっそりケーキを食べちゃおう。,I'll sneak a piece of cake while my brother is out.
・このきゅうり、ちょっと色が変だし腐りかけてるんじゃない？,These cucumbers are a little strange in color and may be rotten.
・今日は休みの人が多くて、３人しかいません。,"Many people are absent today, so there are only three of us."
・皆さんは徹夜したことがありますか。,Have you ever stayed up all night?
・暑いですね。エアコンをつけましょう。,It's hot. Let's turn on the air conditioner.
・明日の就職面談を控えて、息子はすでに緊張気味だ。,My son is already nervous about his job interview tomorrow.
・トムさんは金曜日のパーティーに参加しないつもりです。,Mr. Tom is not going to attend the party on Friday.
・図書館では大きな声を出さないでください。,Please do not shout in the library.
・海外へ旅行してみようと思っているが、どこに行くか決めかねている。,"I'm thinking of traveling abroad, but I can't decide where to go."
・私はバイクに乗るのが好きです。,I like to ride a motorcycle.
・優勝できるように、一生懸命頑張ります。,I will try my best to win the championship.
・赤ちゃんが寝ているから、今のうちに洗い物を済ませておこう,"The baby is sleeping, so let's finish the dishes while we can."
・海外に住んでいると、国へ帰りたいと思うこともあります。,He is always cheerful but sometimes depressed.
・いい天気なんだから、外で遊んだらどう？,"It's a beautiful day, why don't you go outside and play?"
・もし夢が叶うなら、たくさんのお金と永遠の命とどちらが欲しいですか。,"If your dream came true, what would you want: lots of money or eternal life?"
・今の働き方について、支社ごとにアンケートを行った。,A questionnaire was given to each branch office regarding the current work style.
・申し訳ございませんが、座席の変更はいたしかねます。,"We are sorry, but we cannot change your seat."
・あまり人の悪口は言わないほうがいいですよ。,Don't say too many bad things about people.
・教師の観点からすると、すべての生徒は平等に扱われるべきだ。,"From a teacher's point of view, all students should be treated equally."
・薬を飲んだのに、全然良くなりません。,"I've taken the medicine, but I don't feel any better."
・（電話で）申し訳ありません。電車が遅れているので、到着が遅れそうです。,"I'm sorry to call you. The train is running late, so I'll be arriving late."
・スターバックスでコーヒーを飲みながら本を読むのが私の習慣です。,It is my habit to read a book while having a cup of coffee at Starbucks.
・夏休みは国へ帰るつもりです。,I plan to go back to my country during the summer vacation.
・私は日本語の勉強するとき、「duolingo 」というアプリを利用します。,"When I study Japanese, I use an app called ""duolingo""."
・世の中は金じゃないという人もいるが、正直、金があっての幸せでしょ。,"Some people say that the world is not about money, but honestly speaking, money is the key to happiness."
・給料がいい仕事が見つかっても、自分がしたい仕事じゃなかったらその会社で働きません。,"Even if I find a job that pays well, I won't work there if it's not what I want to do."
・マークさんは母を亡くして以来、笑わなくなった。,I have been living in this city since I came to Japan.
・息子は部屋にこもりっきりで、全然出でこないのよ。,My son stays in his room and doesn't come out at all.
・先生、すみませんがもう一度説明していただけませんか。,"Excuse me, teacher, but could you please explain again?"
・日本では家に入るとき、靴を脱がなければなりません。,"In Japan, you have to take off your shoes when you enter a house."
・１年に１度、健康診断を受けることになっている。,I am supposed to have a medical checkup once a year.
・暇な間に、宿題をちゃちゃっと終わらせよう。,I'll finish my homework quickly while I'm free.
・青いボールペンを忘れちゃったので、借りてもいい？,"I forgot my blue ballpoint pen, can I borrow it?"
・あぁ、食べすぎて歩けません。少し休んでから行きましょう。,"Oh, I ate so much I can't walk. Let's take a rest before going."
・この料理美味しいですね。なんていう料理ですか。,"This food is delicious, isn't it? What kind of food is it?"
・いいえ、まだ見てない。,"No, I haven't seen it yet."
・三人よれば文殊の知恵。,The three of us are the wisdom of Monju.
・フィリピン人は歌を歌うのが好きですね。,Filipinos like to sing.
・パソコンを使い終わったら、電源をきってください。,Please turn off the computer when you are done using it.
・ご飯を食べた後で、この薬を飲んでください。,Please take this medicine after eating.
・トムさんは大きな目をしています。,Tom has big eyes.
・宝くじで１億円当たれば、家を買います。,"If I win 100 million yen in the lottery, I will buy a house."
・新入社員がすぐに仕事ができるように、もうパソコンの設定はしてあります。,I've already set up the computer so that the new employee can start working right away.
・Appleはコンピューターやタブレットなどを作っています。,Apple makes computers and tablets.
・日本へ留学するからには、たくさん日本語を勉強して、いい会社に就職するつもりです。,I will study a lot of Japanese and get a job at a good company because I am going to study in Japan.
・お急ぎの場合は、特別料金をいただくことになっているのですが。,"If you are in a hurry, we will charge you a special fee."
