Words,Reading,Meaning
書く,かく,"to write, to compose, to draw, to paint"
読む,よむ,"to read, to count"
食べる,たべる,to eat
話す,はなす,"to talk, to speak, to converse, to chat, to tell, to explain, to narrate, to mention, to describe, to discuss"
上げる,あげる,"to raise, to elevate, to do up, to fly a kite, to launch, to surface, to land (a boat), to deep-fry, to show someone, to increase, to complete do"
住む,すむ,"to live, to reside, to inhabit, to dwell, to abide"
歩く,あるく,to walk
働く,はたらく,"to work, to labor, labour, to function, to operate, to be effective, to come into a play"
飲む,のむ,"to drink, to gulp, to swallow, to take (medicine)"
終わる,おわる,"to finish, to end, to close"
死ぬ,しぬ,"to die, to pass away, to lose spirit, to lose vigor"
出す,だす,"to take out, to get out, to put out, to reveal, to show, to submit, to turn in, to publish, to make public, to send, to serve (food), to start (fire), to begin to, to suddenly do"
入れる,いれる,"to put in, to let in, to take in, to bring on, to install (software), to set, to ink, to include, to cast, to make (tea, coffee)"
教える,おしえる,"to teach, to instruct, to tell, to inform, to preach"
乗る,のる,"to get on, to get in, to board, to take to embark"
着る,きる,to wear
走る,はしる,"to run, to travel, to hurry to"
忘れる,わすれる,"to forget, to leave carelessly"
見える,みえる,"to be seen, to be insight, to look, to seem, to appear"
立つ,たつ,"to stand, to rise, to stand up, to find oneself (in a difficult position), to depart (on a plain, train, etc.)"
座る,すわる,"to sit, to squat, to assume (a position), to hold steady, to hold still"
待つ,まつ,to wait
出かける,でかける,"to go out, to leave, to depart, to set out"
帰る,かえる,"to return, to come home, to go home, to go back"
寝る,ねる,"to lie down, to go to bed, to sleep"
始まる,はじまる,"to begin, to start, to commence, to happen"
見せる,みせる,"to show, to display"
笑う,わらう,"to laugh, to smile, to sneer to redicule"
入る,はいる,"to enrol, to go into, to break into, to join, to enrol, to contain, to hold, to accommodate, to have"
飛ぶ,とぶ,"to fly, to soar, to jump, to leap, to spring, to bund, to hop, to rush somewhere"
失う,うしなう,"to lose, to miss (chance), to concede"
呼ぶ,よぶ,"to call out, to call, to summon, to invoke, to invite, to designate"
売る,うる,to sell
残る,のこる,"to remain, to left"
歌う,うたう,to sing
通る,とおる,"to go by, to go past, to go along, to pass through, to take a route, to go via, to go by eat of, to run between to be ushered in, to penetrate"
頼む,たのむ,"to request, to beg, to ask, to call, to order, to reserve, to entrust to, to rely on"
降りる,おりる,"to descend, to go down, to alight, to get off, to disembark, to step down, to be issued, to be given"
渡る,わたる,"to cross over, to go across, to extend, to cove, to range, to span"
困る,こまる,"to be troubled, to have difficulty, to be at a loss, to be bothered, to be annoyed"
急ぐ,いそぐ,"to hurry, to rush, to hasten"
泳ぐ,およぐ,to swim
着く,つく,"to arrive, to reach, to sit on, to sit at"
覚える,おぼえる,"to memorize, to learn, to bear in mind, to pick up, to acquire"
切る,きる,"to cut, to cu through, to perform, to sever, to turn off, to terminate, to set a limit"
止まる,とまる,"to stop moving, to come to a stop, to alight, to perch on"
借りる,かりる,"to borrow, to rent, to hire"
喜ぶ,よろこぶ,"to be delighted, to be glad, to be pleased, to congratulate, to gratefully accept"
泣く,なく,"to cry, to weep, to sob, to howl"
増える,ふえる,"to increase, to multiply"
動く,うごく,"to move, to stir, to shift, to shake, to operate, to make a move, to take an action, to be touched, to be influenced"
戻る,もどる,"to turn back, to return, to recover, to rebound"
従う,したがう,"to obey, to abide by, to follow, to serve"
生まれる,うまれる,to be born
答える,こたえる,"to answer, to reply"
奪う,うばう,"to snatch away, to dispossess, to steal"
近づく,ちかづく,"to approach, to draw near, to get closer"
思い出す,おもいだす,"to recall, to remember, to recollect"
達する,たっする,"to reach, to get to, to arrive at"
切れる,きれる,"to break, to snap, to be cut, to split, to be injured, to wear out, to be worn out, to burst, to expire, to run out"
気を付ける,きをつける,"to be careful, to pay attention, to take care"
吹く,ふく,"to bow, to play a wind instrument, to whistle"
離れる,はなれる,"to be separated, to be apart, to be distant, to leave, to quit, to give up, to lose connection with"
手伝う,てつだう,"to help, to assist, to aid"
避ける,さける,"to avoid, , to ward off, to avert, to put aside"
遊ぶ,あそぶ,"to play, to enjoy oneself, to have a good time, to hang out"
伝える,つたえる,"to convey, to report, to transmit, to communicate, to tell, to impart, to propagate"
取れる,とれる,"to come off, to be remove, to disappear, to be caught, to be harvested, to be taken as, to be attained"
集める,あつめる,"to collect, to gater, to assemble"
優れる,すぐれる,"to surpass, to outstrip, to excel"
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken"
効く,きく,"to be effective to show effect, to do its work, to carry its function, to be possible to use"
下がる,さがる,"to come down, to go down, to fall, to drop, to sink, to get low, to hang, to dangle, to move back, to step back, to withdraw, to retire, to deteriorate, to go south"
見つかる,みつかる,"to be found, to be discover"
燃える,もえる,"to burn, to get fired up"
持ってくる,もってくる,"to bring, to take something along, to fetch, to get"
残す,のこす,"to leave behind, to bequeath, to save, to reserve"
訪ねる,たずねる,"to visit, to call, to pay a visit"
比べる,くらべる,"to compare, to make a comparison, to compete, to vie"
疲れる,つかれる,"to get tired, to tire, to be worn out, to starve"
