Words,Translation
週末は大抵家でゆっくり休む,Weekends are usually spent at home resting.
事件の意外な結末を知った,I found out the unexpected end of the case.
昨晩父が遅く帰ってきた,My father came home late last night.
午前中に出せば翌朝に届く,"If you send the package in the morning, it will arrive the next morning."
都合がいいのは火曜日だ,The best time is Tuesday.
明日期末テストが行われる,Final exam is tomorrow.
今月の末に家族が日本に遊びに来る,My family is coming to visit me in Japan at the end of this month.
昨年娘が結婚した,My daughter got married last year.
台風の翌日はいい天気だった,"The day after the typhoon, it was a beautiful day."
働ける曜日を教えてください,Please let me know which days of the week you can work.
月末までに借金を返すつもりだ,I'm going to pay off my debt by the end of the month.
年末は海外で過ごす予定だ,We're going to spend the end of the year abroad.
昨夜から熱が下がらない,My fever hasn't gone down since last night.
今週の木曜日にコンサートに行く,I'm going to a concert this Thursday.
私は三人兄弟の末っ子です,I'm the youngest of three siblings.
昨日はありがとうございます,Thank you for yesterday.
翌年彼はやっと大学を卒業した,The next year he finally graduated from college.
旅行の良イェイを決める,Deciding on a good yay for travel
父は来年定期を迎える,My father will have his term next year.
学校の規則を定める,Establishing School Regulations
子供用の椅子を買う,Buy a chair for your child
急な用事で外出する,Going out on an urgent errand
テレビの天気予報をチェックする,Check the weather forecast on TV.
彼の行き先は定かではない,We're not sure where he's going.
この機械は広く用いられている,This machine is widely used
出世のために人を利用する,Use people to get ahead.
大事な写真をしまっておく,Keep your important photos in a safe place.
毎日授業の予習を行く,Go to class prep every day
定規で線を引く,Draw a line with a ruler
ことの成り行きを見守る,Watching how things go
習い事を始める,Start learning something
彼はなかなか仕事が定まらない,He has a hard time settling on a job.
原稿用紙に作文書いた,I wrote an essay on manuscript paper
食事の準備をする,He prepares his meals.
寝室にはベッド小さな本棚しか置いていない,I only have a bed and a small bookshelf in my bedroom.
年末年始は実家に帰ってのんびりしたい,I want to go home and relax during the New Year's holiday.
天気がいいので布団を干した,"It's a nice day, so I hung out my futon."
先週この交差点で車の事故起きた,There was a car accident at this intersection last week.
四人兄弟の末っ子だったので皆に可愛がられた,"I was the youngest of four siblings, so I was loved by everyone."
母が編んでくれた手袋を今も大切にしている,I still cherish the gloves my mother knitted for me.
毎日の生活にテレビは欠かすことできない,I can't live without the TV.
きれいに洗濯物を畳むのが苦手だ,I am not good at folding laundry neatly.
熱湯を入れたらふたをして3分待ってください,"After pouring boiling water, cover the lid and wait for three minutes."
ゴミを燃やすのにたくさんの税金が使われている,A lot of tax money is spent to burn garbage.
毎朝早起きをして子供とジョギングをしている,I wake up early every morning to go jogging with my kids.
今年の夏休みは北海道に行く予定です,I'm planning to go to Hokkaido this summer vacation
このシステムは世界中で広く用いられている,This system is widely used all over the world.
汗をかいたのでシャワーを浴びてさっぱりしたい,I've been sweating and want to take a shower to refresh myself.
月に2回ボランティアでゴミ拾いをしている,I volunteer to pick up trash twice a month.
ゴミを自分勝手に捨てる人が多くて困っている,I am troubled by the many people who selfishly throw trash away.
定年で４０年間勤めた会社を退職する,Retiring from a company after 40 years of service.
毎週金曜日にスペイン語を習っている,I'm taking Spanish every Friday.
すみません。お手洗いはどちらですか,Excuse me. Where is the restroom?
大事な約束を忘れて恋人を怒らせた,I forgot an important appointment and upset my girlfriend.
ボタン押して係の人を呼ぶ,Press the button and call the attendant.
傷口をハンカチで押さえた,I put a handkerchief over the wound.
プロジェクトを強引に進める,Push the project forward.
新聞の取り材を受ける,Receiving newspaper coverage
タバコの火を消す,Put out the cigarette.
この書類にはサインと押印が必要だ,This document needs to be signed and stamped.
高いところは腰が引ける,shy away from tall places
投げたボールを取る,Take the thrown ball.
蝋燭の火が消える,The candles go out.
消防車が十台出動した,Ten fire trucks were dispatched.
