Script,Meaning
危険。この川で遊ぶな,Dangerous. Don't play in this river
その映画はとても当たった,That movie was so right
額に手を当ててみたら、熱かった,"I put my hand on my forehead, and it was hot"
またいつか集まりましょうか,Let's get together again sometime
集めたゴミを燃やしましょう,Let's burn the trash we've collected
この靴はサイズがあいません,These shoes don't fit
判断を誤ったかもしれない,I may have misjudged you
こちらでお預かりいたしまします,I'll leave them here for you
彼は子供を保育園に預けて働いている,He works with his child at a day care center
山田さんはよく上司とぶつかっている,Mr. Yamada often bumps into his boss
誰かにぶつけられた,Someone bumped into him
電話番号が違いますよ,You've got the wrong phone number
子供をストーブに近づけないでください,Please keep your children away from the stove
天気予報によると台風が近づいているそうだ,"According to the weather forecast, a typhoon is approaching"
その男のこは母親に抱かれて眠ってしまった,The boy fell asleep in his mother's arms
そんな下手な言い訳では親は騙さないでしょう,Parents won't be fooled by such lame excuses
遠慮しないで、どうぞおあがりください,"Don't be shy, please come in"
論文を書き上げたら連絡します,I'll call you when I finish my paper
明けましておめでとございます,Happy New Year
何を言われても、私はあきらめなかった,"No matter what they said, I didn't give up"
そんな説教は聞き飽きた,I'm tired of hearing you preach like that
土曜日は忙しいけど日曜日に空いています,"I'm busy on Saturday, but I'm free on Sunday"
今は一刻を争う時です,Now is the time when every second counts
自然の中にいると心が洗われるようだ,Being in nature seems to wash over me
雪が溶けて地面が現れ出しました,The snow is melting and the ground is beginning to show
彼はなくなる一年前に自伝を著しました,He wrote his autobiography a year before he died
昨夜遅くに地震がありました,There was an earthquake late last night
足が痛くて歩けません,My legs hurt so badly I can't walk
うぞ近いうちに遊びに来て下さい,Please come visit us soon
私の部屋は日が当たらない,There is no sun in my room
これはあなたにあてた手紙です,This is a letter to you
コンサートに三千人ぐらいの人が集まった,There were about three thousand people at the concert
彼女の服は周りの人の注目を集めた,Her clothes attracted the attention of the people around her
答えがあっているかどうか確かめて下さい,Please check if the answer is correct
誤って大切な書類を捨ててしまった,I accidentally threw away an important document
友達が子供を預かってくれた,A friend took care of my child
鈴木さん銀行百万円を預けている,Mr. Suzuki has a million yen in the bank
去年はクリスマスと日曜日がぶつかった,"Last year, Christmas and Sunday collided"
イライラを人にぶつけるのはやめてください,Please don't take your frustration out on others
習慣は国によって違うものです,Customs vary from country to country
悪い友人を近づけないようにしなさい,Keep your bad friends away from me
風邪をひているから近づかない方がいい,"He has a cold, so you should stay away from him"
彼は大きな夢を抱いて故郷でた,He was in his hometown with big dreams
彼女を騙すつもりはなかった,I didn't mean to deceive her
敵陣に突撃する,I'm going to charge into enemy territory
女子大生の妹の家に突撃してみた,I stormed into my college sister's house
少しでも良いと思ってもらえたら高評価おねがいします,"If you think it's any good, please give it a high rating!"
