Script,Translation
慎です,I am Makoto.
中田みのりです,I am Minori Nakada.
（みのり）お願いします （慎）多分 誰もいないっぽいっす,No one else is here.
（みのり）あっ ２人目ですか？ 私 （慎）はい,-Am I the second one? -Yes.
よいしょ,Phew.
（慎）２人目っす （みのり）２人目ですか,The second one.
（みのり）よろしくお願いします （慎）よろしくお願いします,-I look forward to living with you. -I look forward to living with you.
（みのり）えっ 慎さん？ （慎）慎です　はい,"-Uh, Makoto? -Yes, Makoto."
いくつですか？ （慎）僕は 今年22ですね,-How old are you? -I'll be 22 this year.
（みのり）今年22？ 同い年です （慎）同い年ですか,"-Oh, you're 21? -Yes. -The same age? -Same age."
よかった 同い年,I'm glad we're the same age.
（慎）ヤバいっすよ この家,This house is amazing.
プールあるし,There's a pool.
本当だ 全然 見てなかった,"Oh, I didn't see it."
（みのり）すげー！ （慎）ヤバいな,"Amazing. Yeah, it's nice."
学生っすか？,Are you a student?
学生… 大学４年生で モデルを,I'm in my fourth year in university and I'm a model too.
（慎）そうなんですね （みのり）両方やってます,"-I see. -I do both. MINORI NAKADA, 21 YEARS OLD, MODEL"
（みのり）学生ですか？ （慎）学生です 普通に,"-Are you a student? -Yes, I am."
（みのり）大学生？ （慎）大学生,"-University? -University. MAKOTO HASEGAWA, 21 YEARS OLD, 4TH YEAR AT MEIJI GAKUIN UNIVERSITY"
（慎）大４なんで （みのり）大４？,"MAKOTO HASEGAWA, 21 YEARS OLD, 4TH YEAR AT MEIJI GAKUIN UNIVERSITY -Fourth year. -The same?"
（みのり）じゃあ 一緒？ （慎）一緒っす 全く同じっす,-Fourth year. -The same? Yes. Totally the same.
大学どこ？ （慎）僕 明学です　明治学院,Which university? Mei-Gaku. Meiji Gakuin.
どこっすか？,-And where do you study? -Nichi-Dai.
（みのり）日大 （慎）日大ですか,-And where do you study? -Nichi-Dai. Nichi-Dai?
昨日とか寝れました？,Were you able to sleep last night?
昨日は あんまり寝てなくて （笑い声）,I didn't really sleep much.
（慎）そうだよな,"Yeah, that's right."
（慎）来たっぽいっすね,Someone's here.
（みのり）ドキドキ これ,I can hear.
（慎）あっ 男の子だ,It's a guy.
（慎）初めまして （雄基）こんにちは,-Nice to meet you. -Hello.
（みのり）初めまして （雄基）初めまして,-Nice to meet you. -Hello. -Nice to meet you. -Hi.
安達雄基です よろしくお願いします,I am Yuki Adachi. I look forward to living with you.
（慎）お願いします,Likewise.
中田みのりです （慎）僕は 長谷川慎です,-I am Minori Nakada. -I'm Makoto Hasegawa.
（雄基）慎君？ （慎）はい,-Makoto? -Yes.
お邪魔します,Sorry for interrupting.
何？ 何をするんだ？,What are we supposed to do? Were you guys chatting?
（雄基）しゃべってたんすか？ （慎）そうですね,"What are we supposed to do? Were you guys chatting? Yes, we were trying."
（みのり）３人目です （雄基）え？,-You're the third one. -What?
（みのり）３人目です （雄基）３人目ね,"-You're the third one. -The third one? Good, good."
いい人そうでよかった,I'm glad you seem friendly.
いくつですか？ 僕 今年で28になります,-How old are you? -I'll be 28 this year.
（みのり）28？,Twenty-eight.
お兄さんぐらいっす,Could be an older brother.
黒いけど 何をされてんですか？,You're tanned. What do you do?
（慎）僕は… （みのり）黒いけど…,I...
野球やってます （雄基）あっ 野球,-play baseball. -Baseball?
（みのり）今も？ （慎）今も続けてて,"-play baseball. -Baseball? -Still now? -Yes, I still continue to play."
（雄基）大学生？ （慎）大学野球 そうっすね,"-University student? -Yes, university baseball."
（雄基）そういうことね,I see.
社会人ですか？ （雄基）社会人…,Do you work? Work... I tap dance.
ダンス タップダンスをやっていて,Work... I tap dance.
そのインストラクターとか,I've been active as an instructor and a performer.
プレーヤーとしても 活動してたり,"I've been active as an instructor and a performer. YUKI ADACHI, 27 YEARS OLD, TAP DANCER"
すごい　初めて会った,Amazing. I've never met one before.
（雄基）今度 ぜひ見に来てください （みのり）見たいです,-Please come see my performance. -I will.
まあまあ うまいから （慎）まあまあっすか,-My dancing is all right. -All right? Just all right?
（みのり）女子 女子,A girl.
（雄基）脇汗が出ちゃってるから （慎）ヤバいっすね,"Your pit sweat is showing. Oh, damn."
（雄基）出やすい色になってるから Ｔシャツのチョイスが,It shows easily with that color shirt.
（美月）こんにちは （３人）こんにちは,-Hello. -Hello.
初めまして,Nice to meet you.
こういう感じね,So this is how it feels.
信太美月と申します,I am Mizuki Shida.
（慎･雄基）よろしくお願いします （美月）よろしくお願いします,-I look forward to living with you. -Likewise.
（雄基）まあまあ…,"Now, now..."
（美月）こっち？ こっち？ （雄基）分かんない どこでも,-Here? -I don't know. Anywhere is fine.
（みのり）やったー （美月）失礼します,Excuse me.
すごい ステキなおウチ,What an amazing house!
びっくり…,I'm surprised.
緊張します,I'm a little nervous.
私 会社員です,I'm an office worker.
会社員だ （美月）はい,-Office worker? -Yes.
新卒の23になります,I'll be 23 soon.
アパレルとかですか？,In clothing?
いや あの… 何かサッカー系の会社で,"No, it's a company related to soccer. MIZUKI SHIDA, 22 YEARS OLD, OFFICE WORKER"
（慎）サッカーか （みのり）サッカー系,-Soccer? -Yes.
でも 野球も好きですよ,But I like baseball too.
（雄基）俺 サッカーやってましたよ （美月）あっ 本当ですか？,"-I used to play soccer. -Oh, really?"
高校もサッカーで入って すぐ辞めるっていう,In high school. I joined the team but quit right away.
ダンスが忙しくなって （美月）ああ なるほどね,"I got too busy with dance. Ah, I see."
社長が いろんな会社をやってて （みのり）へえー,"The president of the company runs various enterprises,"
で カフェも１つやってるので そっちでバリスタを週２ぐらいで,and one of them is a cafe. I also work as a barista there twice a week.
バリスタって何すか？ （美月）あっ コーヒー,"What's a barista? -Oh, coffee. -Coffee?"
あっ コーヒー？ （雄基）バリスタだよ,-I make them -A barista.
（笑い声）,Just like that.
来たのかな？,Another one?
（美月）何か緊張して 入ってきたから…,-I was... a little nervous. -It's a guy.
（雄基）男だよ,It's a guy.
（達也）こんにちは （４人）こんにちは,-Hello. -Hello.
えっ ミシン？,A sewing machine?
（雄基）ナイスさわやか来たね,He seems nice and fresh.
（美月）何か持ってるよ （達也）ミシンです,He's holding something. -It's a sewing machine. -Sewing machine?
（美月）ミシン？ （雄基）ミシン持ってきた,-It's a sewing machine. -Sewing machine? He brought a sewing machine.
来た 来た,Here he is.
ここ 座って大丈夫ですか？ （雄基）どうぞ どうぞ,Is it okay if I sit here?
じゃ 失礼します,Excuse me.
（達也）よろしくお願いします （美月）お願いします,-I look forward to living with you. -Likewise.
内原達也です えーと 今23歳で,I am Tatsuya Uchihara. I'm 23 years old.
（雄基）きた （達也）何すか？,I am Tatsuya Uchihara. I'm 23 years old. What's that?
（雄基）いや 一番好きな年齢 （達也）本当ですか？,"Oh, it's my favorite age. Really?"
今 美容師やってます 代官山で,-I'm a hair stylist at Daikan-yama. -A hair stylist.
（みのり） 美容師さんなんだ,"-I'm a hair stylist at Daikan-yama. -A hair stylist. TATSUYA UCHIHARA, 23 YEARS OLD HAIR STYLIST"
何で ミシンなんですか？ ミシン めっちゃ気になるんですけど,-Why the sewing machine? -Sewing machine?
ミシンは 最近 趣味で洋服を…,I've recently got into sewing. So the machine is for clothes.
作ってる？ （達也）作ってる,"-You make them? -Yes, I make them."
仕事とは別で？ （達也）仕事とは別です,"Separate from work? Yes, aside from work. It's just a simple hobby."
もう本当に 簡単な趣味ですけど,"Yes, aside from work. It's just a simple hobby. Wow."
来た？ （みのり）来た,Someone's here.
（悠里子）重い！,It's heavy.
（達也）重いって言ってる,She said it's heavy.
（美月）助けてくる？ （慎）上がりました 今,"-Should we help? -Oh, she's up."
（悠里子）うわっ,Oh.
（美月）見た？ 見えるかな？,-Did she see us? -She hasn't.
（雄基）まず部屋への リアクションしてるから,She's reacting to the room.
（美月）そうだね そうだね,That's right.
（悠里子）あっ こんにちは （一同）こんにちは,-Hello. -Hello. Hello.
（悠里子）よいしょ　重い,Phew. It's heavy.
（美月）ほら 助けて 助けてって,"Guys, help her. Please help."
あっ よろしくお願いします （一同）よろしくお願いします,I look forward to living with you. Likewise.
失礼します,Excuse me.
早田悠里子 23歳です,I am Yuriko Hayata. I'm 23 years old.
（美月）何されてるんですか？,What do you do?
今 大学生 あっ 大学４年生です,I'm in my fourth year of university.
（美月）へえー,Ah.
何系の大学なの？ 勉強は （悠里子）医療系の大学で,What type of university? It's a medical university. Wow.
（雄基）医療だ （みのり）お医者さんに？,-Medicine. -A doctor?
（悠里子）そう 目指してる （美月）お医者さん？,"Yes, I aspire to be one. Yes. YURIKO HAYATA, 23 YEARS OLD, MED STUDENT 4TH YEAR AT TEIKYO UNIVERSITY"
（悠里子）そう （美月）すごーい,"YURIKO HAYATA, 23 YEARS OLD, MED STUDENT 4TH YEAR AT TEIKYO UNIVERSITY"
いや でも まだ なれてないけど,"YURIKO HAYATA, 23 YEARS OLD, MED STUDENT 4TH YEAR AT TEIKYO UNIVERSITY Well, I haven't become one yet."
（悠里子）目指してる （美月）すごーい,-But... -I'm going for it. Amazing.
あー すごい こんな所 来たことない,"Wow, I've never been in a place like this."
プールもあるし,"There's a pool, too."
あっ 本当だ （達也）すごいね プールあるんだ,-It's amazing. -Wow! You're right! -There's a pool. -A pool.
（悠里子）えっ 本当に泳げるやつ？ （雄基）今月中に遊びまくろうよ,What? Let's have fun this month.
（美月）絶対やる （達也）そうね そうなるね,-Of course. -Yes.
おー！ 始まりやしたね （YOU）始まりやしたね,Yes! So it begins. So it starts.
美人揃いですね 皆さん （YOU）そうなんですよ,The girls are beautiful. All of them.
（徳井）でも女子みんな こう 三者三様というか,The three girls are quite distinct from one another.
（馬場園）ねっ （山里）そうですね,"-Yes. -You think so, too?"
悠里子ちゃんは まあ あの感じの女子っぽい感じ,"Yuriko is like, you know, girlie."
で みのりちゃんは こう 活発なモデルさん,-Yes. -And Minori is the lively model.
そうですね オリエンタルな感じのね,"Yes, with the exotic look. Right?"
で 美月ちゃんは こう キャリアウーマンの感じあるし,And then Mizuki is the career woman.
（馬場園）サバサバ系の,Very frank.
バリスタとしても働く かあー,She also works as a barista. -Really. -Wow.
何となーく あの３人の中やったら,"So out of the three, you would be, more or less..."
（徳井）早田悠里子ちゃんが… （望月）ですね （徳井）気になるかな？ （望月）はい,-Yes. -...interested in Yuriko Hayata?
（馬場園）あらー モテますよね,-Yes. -I see. She is very attractive.
男で悠里子ちゃんの感じ嫌いな人… （馬場園）いてないでしょ？,Any guy would be into someone like Yuriko.
いてないですね （馬場園）絶対 いてないと思う,-Any guy. -For sure.
でも大体 最初に見た時に 男で こういう人のことを,"Generally, though, at first glance, you can say which person"
好きじゃない人いないでしょって いう人が,most guys would be into.
こう 徐々に本性を出してきて “怖っ”っていうのを見せてくる タイプでもありますけどね,But she could be the type that would slowly reveal her dark side.
確かに過去 そうやったもんな （馬場園）そうね,"-Yes, well, it was like that before. -You are right."
男子は？ 男子,What about the guys?
美容師の達也君 （ﾄﾘﾝﾄﾞﾙ）カッコよすぎる,That hair stylist... -Tatsuya. -He is so handsome.
（徳井）出た （YOU）あー トリンドル先生,-There it is. -Teacher Triendl.
何？ トリちゃん それ,What is that?
代官山の （山里）いや 無敵でしょ,He works at Daikan-yama. He's invincible.
今まで何の負けも してないですよ これ,There's nothing negative about him.
（徳井）身長もあったしな （山里）はい,"He's tall, too."
あと 服作りが 趣味っていうね,And his hobby is making clothes.
（山里）せめて そのセンスが クソほどダサかったら 笑えるんだけどな,"I hope he has bad taste, at least. Then I can laugh at him."
何 このアップリケ みたいなの作って…,"""How could you make this appliqué!"""
それぐらいないと ちょっと欠点がなさすぎて,You need something like that or he has no flaws.
取り合いになっちゃいません？,Wouldn't there be a struggle?
でも何かほら 慎君も 脇汗こそかいてたけど,"Well, Makoto had those pit stains, being anxious and all."
（山里）でも あの手のよさって,"Well, Makoto had those pit stains, being anxious and all. Doesn't that come across badly with women?"
女子に 伝わりづらくないですか？,Doesn't that come across badly with women?
（YOU）全然 全然！ （ﾄﾘﾝﾄﾞﾙ）え？ 全然いい,-No. -Not at all.
（山里）マジっすか？ （YOU）もう きてますよね,Really? He's fine.
さわやかで すごく （山里）えー そうなんすか？,He seems to be full of vigor.
山里は 相変わらず 何にも分かってへんな お前,"Yamasato, you just don't know anything."
全然 その 吸収してないな,You really haven't learned anything.
じゃ タップダンサーですかね？ ヤバいの,"Is it the tap dancer that's in trouble, then?"
（馬場園）何をそう ヤバいヤツを 探そうとしてんの？ ずっと,"What do you mean, ""in trouble""?"
標的探し お前 ずっとしてるけど,"What do you mean, ""in trouble""? Yes, that's all you're talking about."
今日 決めたいんです 僕は この18回で 誰をおとしめればいいか 決めたいんです,I want to figure out now who is going to be my target for the next 18 episodes.
（徳井）18回かけて？ （山里）はい,Throughout 18 episodes?
うわー ヤバい,"Wow, amazing."
（美月）うわっ すごーい,-Fantastic. -This is great.
（雄基）はいはい… （達也）すごいね これ,-Fantastic. -This is great. This is amazing.
（美月）何このキッチン！,Look at that kitchen!
（雄基）料理できる人？ （美月）えっ 料理できる人？,So who can cook? Who can cook?
（雄基）料理できる人いないと これ もったいないパターンだ,It would be a waste if no one can cook.
（美月）すごーい！,-Wow. -Amazing.
（雄基）料理する？ （達也）料理しないね,-Amazing. -Do you cook? I don't cook.
（美月）えー これは 料理したくなるよ,This makes me want to cook.
女性陣 頑張ってもらう感じに なんじゃないの？,I think the women can make good use of this.
（みのり）えっ 何かすごい 持て余しそう これ,The men here aren't too-- I think we've got our hands full with all of this!
（美月）おっ 食洗機,A dishwasher.
（悠里子）えっ 食器洗い機あるんだ？ うれしい,We got a dishwasher? I'm so happy.
（美月）すごーい,Amazing!
（みのり）これ やりたかった （美月）これ いいねー！,I wanted to try it. This is great.
これ いいー！,This is so nice.
（悠里子）あっ フカフカだ,It's soft.
（雄基）いいね （達也）いいね これ,-This is nice. -So nice.
（慎）ヤバいっすね,Awesome.
すごいね これ 何メートルだろ？,This is great. How many meters is it?
（慎）ヤバい （雄基）15メートルぐらい？,-Awesome. -Fifteen meters?
上が気になる,What about upstairs?
（雄基）すっげえな （悠里子）ねっ 上 気になるね,"Incredible. Yes, I wonder about upstairs."
（悠里子）何か広そう 上も,It looks very spacious.
（みのり）すごい （美月）すごい ２段ベッド,"Wow, a bunk bed."
（悠里子）すごーい,Amazing.
（美月）えっ こっちも？ （悠里子）かわいい,-The girls get bunks too? -Adorable.
（みのり）ちょっと こっち来て （美月）ねえ すごいよ,Come over here.
（みのり）洗面台 ヤバい ヤバい…,"Oh, my God! Oh, my God!"
（美月）何？ 何？ （みのり）すごい！,Wow! Wow! What is it?
（みのり）え！,Amazing!
待って 待って ジャグジーっていう？ これ,-Wow. -Is there a Jacuzzi?
（美月）ついてるよ 絶対ついてる （悠里子）くっついてるね,"-It's there for sure. -Yes, it's there."
（悠里子）ヤバーい！ （美月）テレビ？ テレビじゃない？,Is that a TV? A TV!
（美月）すごい いい！ （悠里子）ガラス張りだもん,This is awesome.
（美月）シャワー３個あるから… （美月･みのり）３人で入れる,There are three shower heads -so we can all shower together. -So we can all shower together.
（悠里子）確かに,You're right.
（みのり･美月）せーの ここ！,"Ready, go!"
（美月）なるほどね そういうかぶりね （みのり）ゲット！,We're the same. That's mine.
（美月）上 そこ そっちね,"Okay, you're over there."
ジャンケンする？ （悠里子）ジャンケンするか,"Rock, paper, scissors?"
最初はグー ジャンケン ポイ,"First time rock. Rock, paper, scissors!"
（悠里子）あっ！ （美月）じゃあ 私ここね,"Right, so I'm over here."
（悠里子）じゃあ 月で替わる？ （みのり）替わる？ （美月）月替え？ （悠里子）月替え,-Do you want to switch once a month? -Want to? Monthly.
えっ すごい,Amazing.
（美月）これは いいね,This is great.
（雄基）来た 来た 来た （慎）おおっ,"Okay, here we are."
（雄基）あっ いいね,This is nice.
（慎）３ベッド （達也）すごい形だね,Three beds. It's a cool design.
（雄基）悩むね 場所 （達也）これ 場所…,Who will go where?
もう どこが正解だか 分かんねえな これ,I'm not sure which one is the best.
でも 身長デカい的には 上 行きたいよ,I'm not sure which one is the best. -I want to go up top because I am tall. -Yeah?
（雄基）あっ 本当？,-I want to go up top because I am tall. -Yeah?
俺 どこでも… どこでもいい,-I don't really care. -Me neither.
（雄基）俺 じゃあ ここかな,"No, really."
（達也）あっさりだね いいの？,"Really, is it okay?"
（慎）全然 全然 上でいいっすよ,"Yeah, no problem."
俺ここかな じゃあ,I'll be here.
（達也）上いいの？ （慎）いいっすよ いいっすよ,"I get the top? Yes, it's all right."
（達也） でもさ 気づいたんだけどさ,"Hey, I just realized,"
天井ぶつかる ちょっとさ… あっ 痛い 痛い,I'll hit my head on the ceiling. Ouch!
やっぱ替えよう,Can we switch?
（雄基）どうするの？ どうするの？ （達也）え？,Where do you want to be?
（雄基）ここがいい？ （達也）そこがいいね,"Would you like to be here? -Yes, over there. -Right, so I'll go up."
（雄基）じゃあ俺 上行く （慎）いいっすよ どっちでも,"-Yes, over there. -Right, so I'll go up. You can take this one, too."
（達也）あっ ここがいいわ,This is fine.
（慎）しっくりきました？,Does it fit you perfectly?
（雄基）しっくりとか どこが正解かね？ ちょっと いろいろ試してみよ それぞれが,"Well, perfect or not, you need to try it to see if it works."
（慎）そうっすね （雄基）うん,Sure.
（慎）うおっ （雄基）もう１個？,The next one?
（慎）もう１つの （雄基）おお…,Another room.
（達也）すごいね ここ,This is awesome.
（慎）すごいな,Nice.
（達也）会議室みたいに なってる （雄基）収納が,-This is like a conference room. -Check out the cabinets.
（慎）すげえ （達也）すごいね これ,This is amazing.
（慎）あっ テレビ （達也）テレビもあんだね,A TV.
（雄基）本当だ,There it is.
ここは しっかり 話を持って帰ってきて,This is the place where we bring our stories and talk.
会議する場だよ 飲みながら,This is the place where we bring our stories and talk. -While we drink. -Can you drink?
酒 飲めんの？ （達也）飲めないんだ,"-While we drink. -Can you drink? No, I can't."
（雄基）まこっちゃん飲めるでしょ？ （慎）俺は飲めます,"And you, Makoto? Yes, I can."
（雄基）俺もバンバン飲むから （達也）お酒 全く飲めないね,I can drink a lot. I can't drink at all.
持ち帰って何するの？ じゃあ,What will you do instead?
持ち帰って まあ コーラでいい,I'll drink a cola instead.
（雄基）コーラね （達也）コーラでいくよ,-A cola? -I'll talk while drinking cola.
買い出し行かないと 食材はないでしょ？ だって,We need to go shopping. There's probably no food.
鍋 やかん,Pots. Kettle.
（美月）それ つきそう,I think that turns on.
（慎）女子が （雄基）え？,-The women... -Huh?
（慎）食事の…,Cooking.
（達也）何やってんの？ （雄基）飯の準備？,-What are you guys doing? -Are you cooking?
（雄基）部屋どうでした？ （美月）部屋すごかった,-I'm getting hungry. -How are your rooms? The rooms are amazing.
お腹すいた （雄基）どうしよっか？,I'm hungry.
（雄基）何 食いたい？,-Yes. -What do you want to eat?
僕 オムライスが大好き,I like omu-rice.
（悠里子）かわいいね （雄基）いいね,-How cute. -He's cute.
（美月）かわいいね,-So cute. -Omelet filled with rice?
みんなで食べれる物じゃ ないっすけどね それは,It's not something everyone can eat together.
（美月）一気にワーッて 作るもんじゃないね,-Yeah. -You can't make it in a single batch.
（雄基）でも基本 作るとしたら 女性陣にお任せする感じで,-Yeah. -You can't make it in a single batch. Can we let the women take care of the cooking?
そんなことはないぞ,"No, I don't think that will be the case."
技量は どうなんですかね？ あんま よくないじゃん,-How are your skills? -Not that good.
（達也）ここが見せどころだよね,This is where you can impress us.
（美月）えー 何かイヤだよね 審査されてる感じね,"No, I don't like this vibe of being judged or something."
（雄基）達也 上目線…,-Tatsuya looks down on people. -I'm generally strong-minded.
（達也）基本的に結構 強気だから （雄基）もう慣れてきて 上目線に,"-Tatsuya looks down on people. -I'm generally strong-minded. -Well... -It's just that we're hungry, so..."
（悠里子）お腹すいたからさ,"-Well... -It's just that we're hungry, so..."
作ることに とらわれなくても いいんじゃない？,Let's not get hung up about cooking.
手巻き寿司とか,What about hand roll sushi?
（一同）おー！ （美月）豪華だね （雄基）みんなで ちょっと作りながらね,"-Oh, that sounds nice. -Yeah, we can make them as we eat."
じゃあ スーパーへ買い出し,So we go to the supermarket?
グッとパーで分かれましょ,"Rock or paper, go!"
（美月）これで行こう,"-Oh, man. -Okay, let's go with that."
（慎）女子は何か話したの？,Did the girls talk?
（美月）何が？ （慎）何か いろいろ,"-About what? -You know, whatever."
仲良くやっていけそう？ 女子組は,Do you think you girls will get along?
（美月）いけるよね （みのり）うん,-We are fine. -Yes.
（美月）どう？ そっちは （慎）男子も全然 大丈夫だね,And you guys? We are totally fine.
でも あれ 何だっけ？ （美月）達也君？,Though I think Tatsuya is a little peculiar.
ちょっと クセありそう クセありそうっていうか…,"Though I think Tatsuya is a little peculiar. I mean, something..."
（悠里子）お腹すいた,I'm so hungry.
とりあえず達也が 何をしてるのか,What's Tatsuya up to?
えっ 長くない？,Isn't he taking a long time?
何か聞いた？ シャワー行くって言ってた？,Did he say he was taking a shower?
（悠里子）めっちゃ こうやってる,He'll be doing this a lot.
今頃？,Right now?
（達也）ただいま （悠里子）あっ おかえり,-I'm back. -Welcome back.
（達也）お風呂入ってた,I took a bath.
何するの？ 明日,What will you do tomorrow?
明日 どうしよっかな？,What shall I do?
勉強？ （達也）勉強？,-Study? -Study?
でも夏休みでしょ？,"It's summer vacation, right?"
夏休み,"Yes, it is."
料理作らない？ １人暮らし？,You don't cook? Do you live by yourself?
１人暮らし,"Yes, I do."
（悠里子）定食屋さん行ったり （達也）得意料理は？,-I sometimes eat out. -Do you have a specialty?
（悠里子）得意料理？ 何だろう 和食？,A specialty? Let's see. Traditional?
（達也）和食できんの？ （悠里子）和食っていうか 煮物とか,"You can cook traditional Japanese? Well, traditional simmered dishes."
（達也）レベル高くない？ 煮物とか （悠里子）そう？,"-Isn't that difficult? -Really? Yes, simmered dishes."
じゃ 次 煮物作ってよ,So make some for me next time.
煮物作る,Make you some simmered dishes?
（慎）何だっけ？ さっき言ってたの,What was it he said?
（美月）緑茶 シャンプー （みのり）日本酒,"Green tea, shampoo... Sake."
日本酒 分かんない でも 何がいいのか,But I don't know much about sake.
（美月）いいんじゃない？ 何でも （みのり）ガラガラ欲しい,It doesn't matter. Where is the shopping cart?
（美月）野菜？ こっち？ （みのり）野菜？ こっち？,"-Vegetables, this way? -Vegetables, this way?"
レタスとかあるよ,There's lettuce.
レタスにしよっか,Let's get some lettuce.
キュウリはいらない？,What about cucumber?
（みのり）あっ キュウリいる （美月）トマト,-Yes. Cucumber. -Tomatoes.
（慎）どっち？ どっち？,Which one? This one?
（美月）リーフでいい？ （みのり）うん,Leafy?
これ いくら？,How much?
（慎）これ 2000円でしょ？ （美月）2000円か,"-This is 2,000 yen. -2,000 yen?"
（美月）すばらしく高い 夜ご飯になりそうね,This is going to be a really expensive dinner for us.
（慎）いいんじゃない？ 最初だから （美月）そうね,-It's fine. It's the first night. -You're right.
（美月）とりあえず 乾杯するか （雄基）そうだね,-So let's have a toast. -Good idea.
（慎）では 乾杯,"So, cheers."
（笑い声）,Cheers!
（一同）乾杯！,-Cheers! -Cheers! Cheers!
うわっ これ 絶対おいしいな,This looks so good.
（雄基）サーモンいった あっ おいしいわ,"Oh, you went for the salmon. Delicious."
明日 みんな 何時に起きるんすか？,When is everyone waking up tomorrow?
明日 だって プール入るんでしょ？,Tomorrow we're going for a swim.
ゆっくり組は プール確定って言ってたよ,"-Our group is going to take it easy. -Yes. Yes, we decided on getting in the pool."
私 結構 普通の日だからさ,Tomorrow is my regular working day.
土日休みなの？ （美月）基本は土日休みなんだけど,"Are you off on weekends? Usually, yes."
