Sentence,Translation
・そう？じゃあ、頑張って５分にするよ。,Really? Then I'll do my best to make it five minutes.
・先生、箸の使い方を勉強したいです。,I want to learn how to use chopsticks.
・「バラ」の漢字の書き方を教えていただけませんか。,"Can you teach me how to write the Chinese character for ""rose""?"
・駅への行き方を教えていただけませんか。,Can you teach me how to get to the station?
・初めて見るので・・・すみませんが、食べ方を教えていただけませんか。,"I'm sorry, I've never seen it before, but can you teach me how to eat it?"
・田中先生の教え方は上手で、とてもおもしろいです。,Tanaka-sensei's teaching style is very good and very interesting.
・ジョンさんの踊り方はちょっと変ですね。,Mr. John's dancing style is a little strange.
・このソフトの使い方がわからなくて困っているんです。,"I don't know how to use this software, so I'm having trouble."
・今、料理教室で日本料理の作り方を習っています。,I'm learning how to make Japanese dishes at a cooking class.
・日本人への日本語の教え方と外国人への日本語の教え方は異なります。,How to teach Japanese to a Japanese person is different from how to teach Japanese to a foreigner.
・こっちから見たときと、あっちから見たときで、見え方は異なります。,"When looking from this side and that side, the way you see is different."
・履歴書の書き方がわからなくて、インターネットで調べました。,"I didn't know how to write a resume, so I looked it up on the Internet."
・このコースでは簡単なシステムの作り方を学びます。,"In this course, you will learn how to create a simple system."
・着物の着方を教えて欲しいです。,I want you to teach me how to wear a kimono.
・このゲームの遊び方を知っていますか。,Do you know how to play this game?
・これは上手なプレゼンのし方の本です。読んでおくと役に立ちますよ。,This is a book about how to give a good presentation. It's useful to read.
・毎日、忙しくて遊ぶ時間もないよ。あ〜、休みが欲しいなぁ。,"I'm so busy every day, I don't have time to play. Oh, I wish I had a day off."
・新しいi-phone、かっこいいよね。欲しいなぁ。,"The new i-phone is so cool, isn't it? I want one."
・私は将来、大きな家が欲しいです。,I want a big house in the future.
・外国人の彼氏が欲しいなぁ。,I want to have a foreign boyfriend.
・子供は少なくても３人は欲しいですね。,I want to have at least three children.
・今度、娘の誕生日なんだけど、何が欲しいんだろう。,"It's my daughter's birthday, but I wonder what she wants."
・今、何が欲しいですか。,What do you want now?
・お金がたくさんあったら、何が欲しいですか。,"If you had a lot of money, what would you like to have?"
・もし夢が叶うなら、たくさんのお金と永遠の命とどちらが欲しいですか。,"If your dream came true, what would you want: lots of money or eternal life?"
・あと10分でテストが終わる。もっと時間が欲しいなあ。,I have a test in 10 minutes. I want more time.
・ミルクティーが大好きだから、毎日飲みます。,"I love milk tea, so I drink it every day."
・５時になりましたから、帰りましょう。,"It's 5 o'clock, let's go home."
・お酒が飲めないのに、みんなと同じ値段を払わなければいけないから飲み会が嫌いです。,I don't like drinking parties because I have to pay the same price as everyone else even though I don't drink alcohol.
・後で使いますから、そのままでけっこうです。,"We'll use it later, so leave it as it is."
・新しく公開された映画、面白いから絶対に見たほうがいいよ。,You should definitely see the newly released movie because it's interesting.
・この音楽、本当にいいから聞いてみてよ。,"This music is really good, you should listen to it."
・ここは人が多いから、別の店にしない？,"There are so many people here, why don't we go to another restaurant?"
・納豆は臭いから、嫌いです。,I don't like natto because it smells bad.
・明日、テストがありますから、今晩しっかり復習してください。,"We have a test tomorrow, so please review well tonight."
・ちょっと疲れたから、休みましょう。,"I'm a little tired, so let's take a rest."
・昼休みは１２時から1時までです。,Lunch break is from 12:00 to 1:00.
・こちらの営業時間は朝の１０時から夜１１時までです。,Our office hours are from 10:00 in the morning to 11:00 at night.
・テストは９時から１０時までです。,Tests are from 9:00 to 10:00.
・毎週、月曜日から金曜日まで勉強します。,"I study every week, Monday through Friday."
・明日は１０時から働きます。,I'll be working from 10:00 tomorrow.
・図書館は朝９時から夕方５時までです。,The library is open from 9:00 a.m. to 5:00 p.m.
・コンサート会場には夕方５時から入場できます。,The concert hall is open from 5:00 p.m.
・学校を卒業した後も、先生に会うことがある。,I sometimes see my teachers even after I graduate from school.
・酔っ払って帰った時はお風呂に入らないで寝てしまうことがあります。,"When I get home drunk, I sometimes fall asleep without taking a bath."
・忙しいと、メールの返信が遅くなってしまうことがあります。,"When I'm busy, I sometimes take a long time to reply to e-mails."
・時々、海外へ出張することがある。,I sometimes go abroad on business trips.
・時々、テレビをつけたまま寝てしまうことがあります。,Sometimes I fall asleep with the TV on.
・海外のトイレではトイレットペーパーがないことがあるから持ち歩いていた方が良いよ。,"Sometimes there is no toilet paper in foreign toilets, so it is better to carry some with you."
・このマンションでは時々、変な音が聞こえることがある。,Sometimes I hear strange noises in this apartment.
・私はたいてい自転車で駅まで行くが、歩いて行くこともある。,"I usually ride my bicycle to the station, but sometimes I walk."
・彼はいつも明るく振舞っていますが、落ち込むこともあります。,"He is always cheerful, but sometimes he is depressed."
・海外に住んでいると、国へ帰りたいと思うこともあります。,He is always cheerful but sometimes depressed.
・ゲームに夢中になっていると、つい時間を忘れてしまうことがある。,"When he is absorbed in a game, he sometimes forgets about time."
・田中さんは授業中に寝てしまうことがある。,Mr. Tanaka sometimes falls asleep in class.
・トムさんはパーティーが好きだが、もちろん参加しないこともあります。,"Tom likes to party, but of course he sometimes doesn't participate."
・プロでも失敗することもある。,Even professionals sometimes make mistakes.
・私だって泣きたいこともあるよ。,"There are times when I want to cry, too."
・私は日本語と英語と中国語を話すことができます。,"I can speak Japanese, English, and Chinese."
・田中さんは１０km以上、泳ぐことができます。,Mr. Tanaka can swim more than 10km.
・皆さんはいくつ漢字を書くことができますか。,How many kanji can you write?
・私は子供のとき、人前で話すことができませんでした。,"When I was a child, I could not speak in public."
・最後の最後まで告白することができず、学校を卒業してしまいました。,I graduated from school without being able to confess until the very end.
・このレストランではクレジットカードで支払うことができますか。,Can I pay with a credit card at this restaurant?
・どれだけ前の彼女を忘れようとしても、忘れることができません。,"No matter how hard I try to forget my ex-girlfriend, I can't."
・館内では携帯電話を使用することができません。,Can I use my cell phone in the hotel?
・ただ今、留守にしております。電話にでることができません。,I'm not at home at the moment. I can't answer the phone.
・この飛行機ではWi-Fiを使うことができます。,You can use Wi-Fi on this plane.
・この先は工事中なので、通ることができません。,You cannot go through this area because it is under construction.
・よし、来週からダイエットを始めることにします。,"Okay, I'll start my diet next week."
・全然英語が上手にならないので、この英会話教室をやめることにしました。,"My English was not improving at all, so I decided to quit this English conversation class."
・将来、日本で働きたいので、日本へ留学することにしました。,"I want to work in Japan in the future, so I decided to come to Japan to study."
・自分の体が心配なので、もうタバコを吸わないことにしました。,"I was worried about my body, so I decided not to smoke anymore."
・今日は体調がよくないので、早く寝ることにします。,"I'm not feeling well today, so I'm going to bed early."
・毎日残業ばかりで、自分の時間がないので、会社を辞めることにしました。,"I was working overtime every day and had no time for myself, so I decided to quit the company."
・同僚と今の会社を辞めて、新しい会社を作ることにしました。,My colleague and I decided to quit our current company and start a new one.
・いつも喧嘩ばかりなので、彼とは別れることにしました。,I decided to break up with him because we were always fighting.
・次の夏休みに、海外旅行することにしました。,I've decided to travel abroad during the next summer vacation.
・4月から中国語の学校に通うことにしました。,I decided to attend a Chinese language school in April.
・健康のために、毎日野菜を食べることにしています。,I'm going to eat vegetables every day for my health.
・わからないことがあったら、まず自分で調べることにしています。,"If I don't understand something, I will look it up by myself first."
・どんなに忙しくても、毎日家族とご飯を食べることにしています。,"I try to have dinner with my family every day, no matter how busy I am."
・日本語が上手になりたいので、毎日少なくても３０分は勉強することにしています。,"I want to improve my Japanese, so I try to study for at least 30 minutes every day."
・来週のイベントは中止することになりました。,We have decided to cancel next week's event.
・火曜日に出張することになったので、今急いで飛行機のチケットを探しています。,"I have to go on a business trip on Tuesday, so I'm looking for a plane ticket as soon as possible."
・昔、よく通った喫茶店が閉店することになって少し悲しいです。,I'm a little sad that the coffee shop I used to frequent will be closing.
・ゴミや人ごみの問題で、来年以降、この町で花火大会は行わないことになりました。,I'm a little sad that the coffee shop I used to frequent is closing.
・来月から転勤で沖縄に住むことになりました。,I'm going to live in Okinawa next month due to a job transfer.
・次の会議では私が発表することになりました。,I will be the presenter at the next meeting.
・システムトラブルで急遽、出勤することになりました。,I have to go to work in a hurry due to system trouble.
・好きな子と付き合えることになって、とても嬉しいです。,I'm very happy that I'm going to go out with the girl I like.
・来月、国へ帰ることになりました。また、いつか会いましょう。,I'm going back to my country next month. Let's meet again sometime.
・誰もリーダーをやりたがらないので、結局ジャンケンで決めることになった。,"No one wanted to be the leader, so we had to decide by rock-paper-scissors."
・色々あって、離婚することになりました。,"Due to various reasons, I'm getting a divorce."
・先生すみません。金曜日に国から両親が来るので、休ませてください。,"Excuse me, Doctor. My parents are coming from Japan on Friday, so please let me rest."
・すみません、すぐに戻って来るので、ここに荷物をおかせてください。,"I'm sorry, I'll be back soon, please let me put my stuff here."
・そのプロジェクトぜひ私にやらせてください。,Please let me work on that project.
・すみません、写真を撮らせてください。,"I'm sorry, but I need to take a picture."
・お腹が痛いので、トイレに行かせてください。,"I have a stomachache, please let me go to the bathroom."
・それについては、私に説明させてください。,Please let me explain about it.
・ちょっと今すぐ決めることは難しいので、少し考えさせてください。,"It's a little difficult to decide right now, so please let me think about it."
・先生、私に答えさせてください。,"Doctor, please let me answer."
・それ美味しいんですか。ちょっと飲ませてください。,Is it good? Can I have a drink?
・すみません、昨日休んだので、ノートをコピーさせてください。,"I'm sorry, I took a day off yesterday, so let me copy your notes."
・すみません、ちょっとメモさせてください。,"I'm sorry, let me take some notes."
・先に片付けさせてください。,Please let me clean up first.
・何か手伝わせてください。,Please let me help you with something.
・日本は便利だし、綺麗だし、いつか住んでみたいです。,I want to live in Japan someday because it is convenient and beautiful.
・先生は面白いし、かっこいいし、私はこのクラスが好きです。,"The teachers are funny and cool, and I like this class."
・彼女もできたし、就職もできたし、今とても幸せです。,"I have a girlfriend and a job, I am very happy now."
・空気は汚いし、車は多いし、私はあまりこの待ちが好きではありません。,"The air is dirty, there are many cars, and I don't like waiting here very much."
・気分が悪いし、頭も少し痛いので、帰らせてください。,"I don't feel well and my head hurts a little, so please let me go home."
・タイの物価は安いし、料理も美味しいし、私はいつかタイで生活してみたい。,"I want to live in Thailand someday, because the prices are cheap and the food is delicious."
・この漫画は面白いし、キャラクターもかっこいいので、おすすめです。,"This manga is interesting and the characters are cool, so I recommend it."
・ジェシカさんは綺麗だし、背も高いし、モデルみたいですね。,"Jessica is beautiful and tall, she looks like a model."
・ワンさんはたくさんの国の言葉を話せるし、頭もいいし、羨ましいよね。,I envy you because you speak many languages and you're smart.
・トムさんはかっこいいし、スポーツもできるし、完璧だ。,"Tom is cool, he can play sports, he's perfect."
・すみません。私は日本語しか話せないんです。,I'm sorry. I can only speak Japanese.
・昨日はレポートを書いていたから、４時間しか寝れなかった。,I only slept for four hours last night because I had to write a report.
・この話は君しか知らないから、内緒だよ。,"You're the only one who knows this story, so don't tell anyone."
・今日は休みの人が多くて、３人しかいません。,"Many people are absent today, so there are only three of us."
・お腹が空いて冷蔵庫を開けたけど、水しかありませんでした。,"I was hungry and opened the refrigerator, but there was only water."
・今月は忙しくて、本を１冊しか読めませんでした。,I was so busy this month that I could only read one book.
・この学校は貧乏なので、１台しか複合機がありません。,"This school is poor, so there is only one multifunction printer."
・昨日は寝てしまったので、10分しか勉強できませんでした。,"I fell asleep last night, so I could only study for 10 minutes."
・熱もあるし、吐き気もするし、今はおかゆしか食べられません。,"I have a fever and nausea, so I can only eat porridge now."
・私は日本の音楽しか聞きません。,I only listen to Japanese music.
・私はアクション映画しか映画は見ません。,I only watch action movies.
・この店には安っぽい商品しかありません。,There are only cheap products in this store.
・せっかくイベントを開いたのに、2人しか参加しませんでした。,"I held an event, but only two people attended."
・今、財布には１００円しかありません。,I only have 100 yen in my wallet right now.
・ちょっと飲みすぎて頭が痛いです。,I drank a little too much and I have a headache.
・あぁ、食べすぎて歩けません。少し休んでから行きましょう。,"Oh, I ate so much I can't walk. Let's take a rest before going."
・買い物しすぎて、お金がなくなりました。,I've done too much shopping and I'm out of money.
・あぁゲームしすぎて、目が痛いよ。,I've been playing too many games and my eyes hurt.
・疲れすぎて、食欲もありません。,I'm too tired and I have no appetite.
・この料理が5万円ですか。料理は少ないし、味はイマイチだし、高すぎますよ。,"This dish is 50,000 yen? The food is too little, the taste is not good, and it's too expensive."
・今日のテスト難しすぎて、全然わからなかった。,"Today's test was too difficult, I couldn't understand it at all."
・なにこのコーヒー。甘すぎて飲めないよ。,What is this coffee? It's too sweet to drink.
・最近、本当に暑すぎますよ。外に出たく無いです。,It's really too hot these days. I don't want to go outside.
・このあたりは暗すぎて、私一人で歩くのは無理ですね。,It's too dark around here for me to walk alone.
・田中さんはまじめすぎて、全然おもしろくない。,Mr. Tanaka is too serious to be interesting at all.
・昨日のテストは簡単すぎて、３０分も時間が余ったよ。,Yesterday's test was so easy that I had half an hour extra time.
・私のふるさとは静かすぎて、つまらないです。,My hometown is too quiet and boring.
・綺麗すぎて、つい見とれてしまった。, It's too beautiful to look at.
・天気予報によると、午後から雨が降るそうです。,"According to the weather forecast, it was going to rain in the afternoon."
・ジョンさんは学校を卒業したら、国へ帰るそうです。,Mr. Jung said he would go back to his country after finishing school.
・もうすぐ、私の街にも空港ができるそうです。,I heard that there will be an airport in my city soon.
・ニュースによると、昨日の事故で１０名が重軽傷を負ったそうです。,"According to the news, 10 people were seriously injured in yesterday's accident."
・リーさんの国では18歳になったら、お酒が飲めるそうです。,"In Lee's country, you can drink alcohol when you turn 18."
・チンさんは今晩のパーティーに参加しないそうです。,Mr. Chin will not be attending tonight's party.
・新しく公開された映画、面白いそうですよ。,I heard that the newly released movie is very interesting.
・今、日本は寒いですが、マークさんの国は暖かいそうです。,"It's cold in Japan right now, but Mark says it's warm in his country."
・新しくできたラーメン屋、美味しいそうですよ。,I heard that the new ramen restaurant is delicious.
・ケニーさんは彼女と大ゲンカして今大変だそうです。,Kenny had a big fight with his girlfriend and now he's in trouble.
・アントンさんの国のビーチはとても綺麗だそうです。,I heard that the beaches in Mr. Anton's country are very beautiful.
・ジャンさんは日本の歌、特に演歌が好きだそうです。,"Mr. Zhang likes Japanese songs, especially Enka."
・ルイさんは５人兄弟だそうです。,Louis has five brothers and sisters.
・ジェーソンさんの国へ旅行に行くなら、ベストシーズンは5月だそうです。,The best time to travel to Mr. Jayson's country is in May.
・明日、学校は休みだそうです。,He says he has a day off from school tomorrow.
・ロンさんは老けて見えますが、実は26歳だそうです。,"Mr. Ron looks old, but he is actually 26 years old."
・このケーキは美味しそうですね。,This cake looks delicious.
・トムさんはJLPTに合格して嬉しそうだった。,Tom seemed happy to have passed the JLPT.
・妹は私のチョコレートをほしそうな顔をしている。,My sister looks like she wants some of my chocolates.
・うわぁ、とっても辛そうなカレーですね。,"The curry looks very spicy, doesn't it?"
・猫がベッドの上で気持ちよさそうに寝ている。,The cat is sleeping comfortably on the bed.
・新しい映画、若い人に人気があるけど、あまり面白くなさそうだなぁ。,"The new movie is popular among young people, but it doesn't look very interesting."
・田中さんって毎日暇そうだよね。あまり仕事がないのかなぁ。,Mr. Tanaka seems to be bored every day. I wonder if he doesn't have much work to do.
・ジョンさん、眠そうですね。昨日、何時に寝たんですか。,"John, you look sleepy. What time did you go to bed last night?"
・ジェームスさん、なんだか元気じゃなさそうですね。何かあったのかなぁ。,"Mr. James, you don't seem to be well. I wonder if something happened to him."
・ジェシカさんはまだ10歳なのに、難しそうな本を読んでいます。,"Jessica is only ten years old, but she's reading a difficult-looking book."
・何か美味しそうなもの食べてるね。それ何？,You're eating something that looks delicious. What is it?
・もっと日本語が上手になりたいです。,I want to become more fluent in Japanese.
・いつか富士山に登ってみたいです。,I would like to climb Mt.
・もしお金がたくさんあったら、何がしたい？,"If you had a lot of money, what would you like to do?"
・あぁ、あんな綺麗な子と付き合いたいなぁ。,I want to go out with a beautiful girl like her.
・毎日残業で疲れたよ。あぁ、ビールでも飲みたいなぁ。,"I'm tired of working overtime every day. Oh, I want to drink beer."
・寒い日はやっぱり鍋が食べたいね。,I'd like to eat hot pot on a cold day.
・先生、すみません。ちょっとお手洗いに行きたいんですが。,"Excuse me, Doctor. I'd like to go to the restroom."
・今日はどこにも行きたくないです。,I don't want to go anywhere today.
・こんなに暑いと、外に出たくないですね。,I don't want to go outside when it's so hot.
・死ぬまでに、一度でいいから世界一周してみたいなあ。,I'd like to go around the world at least once before I die.
・海外で働いてみたいなあ。,I want to work abroad.
・給料がいい会社で働きたい。,I want to work for a company that pays good wages.
・私は子供の時、アメリカに住んだことがあります。,I lived in the United States when I was a child.
・日本人なら、相撲を見たことがありますか。,"If you are Japanese, have you ever seen a sumo wrestler?"
・１回だけですが、街で芸能人を見たことがあります。,"I have seen celebrities on the street, but only once."
