Phrase,Translation
彼は肩に激しい痛みを感じました。,He felt a severe pain in his shoulder.
彼の態度には誠意が感じられない。,I can't sense any sincerity in his attitude.
誰かが近づいてくるのを感じて、後ろを振り返った。,He felt someone approaching and turned around.
その選手のプレーは年を感じさせない、素晴らしいものだった。,"The player's play was excellent, showing no signs of age."
友達からお金を借りました。,I borrowed some money from a friend.
この図書館では一度に十冊の本が借りられます。,You can borrow ten books at a time from this library.
電話をお借りしてもいいですか。,May I borrow your phone?
彼は東京でアパートを借りている。,He rents an apartment in Tokyo.
猫の手も借りたいくらい忙しい。,I'm so busy I need a cat's paw.
友達にお金を貸しました。,I lent some money to a friend.
鉛筆を貸していただけませんか。,Can I borrow your pencil?
ちょっと手を貸してください。,Please give me a hand.
彼女は友達の忠告に耳を貸さなかった。,She did not listen to her friend's advice.
よろしかったら、この辞書をお貸ししましょうか。,"If you don't mind, I'd like to lend you this dictionary."
机の上を片付けます。,I'll clean up the desk.
コップや皿を片付けてくれませんか。,Could you please put away the cups and plates?
この問題をできるだけ早く片付けたい。,I want to get this matter over with as soon as possible.
五時までに仕事を片付けなければなりません。,I have to finish my work by five o'clock.
あまりにも汚かったから、弟に部屋を片付けさせた。,It was so dirty that I made my brother clean up his room.
彼はテニスの試合に勝った。,He won the tennis match.
四対三で彼らのチームが勝ちました。,Their team won by four to three.
今、どっちが勝っていますか。,Who is winning now?
どうしてもチェスで父に勝てない。,I just can't beat my father at chess.
この試合に勝て。絶対に負けるな。,Win this game. Don't lose.
秋葉原でパソコンを買いました。,I bought a computer in Akihabara.
新幹線の切符はどこで買えますか。,Where can I buy a ticket for the Shinkansen?
新しい車を買おうと思っています。,I'm thinking of buying a new car.
日本語の辞書を買わなければなりません。,I have to buy a Japanese dictionary.
彼女は猫を一匹飼っています。,She has a cat.
ぬれたシャツを乾かしました。,I dried my wet shirt.
