Question,A,B,C,D
毎朝、６時に＿＿仕事に行きます。,🅰 おいて,🅱 おきて,🅲 おこして,🅳 おして
あの＿＿人はだれですか,🅰 かみは長いの,🅱 かみは長い,🅲 かみの長いの,🅳 かみの長い
田中さんは【明るい】人です。,🅰 あかるい,🅱 あきるい,🅲 あくるい,🅳 あけるい
この紙は＿＿ですが、とても丈夫です。,🅰 うすい,🅱 あつい,🅲 こい,🅳 すずしい
私はあの人を＿＿。,🅰 しません,🅱 していません,🅲 しりません,🅳 しっていません
明日の【ごご】は雨でしょう。,🅰 牛後,🅱 午後,🅲 牛前,🅳 午前
赤ちゃんの泣き声が＿＿、寝られなかった。,🅰 げんきで,🅱 うるさくて,🅲 にぎやかで,🅳 いそがしくて
近くのスーパーは夜10時まで＿＿。,🅰 あいています,🅱 あけています,🅲 あきます,🅳 あけます
がそりんが高くても【くるま】にのります,🅰 しゃ,🅱 ちゃ,🅲 かるま,🅳 くるま
明日は雪が＿＿そうですよ。,🅰 おりる,🅱 ふる,🅲 おちる,🅳 とまる
すてきなシャツですね。ありがとうございます。兄に＿＿。,🅰 もらったんです,🅱 あげんたんです,🅲 くれたんです,🅳 やったんです
【先月】、花見をしました。,🅰 せんげつ,🅱 せんがつ,🅲 さんがつ,🅳 さんげつ
このへやは、たんぼうが入っていて＿＿です。,🅰 さむい,🅱 つめたい,🅲 あたたかい,🅳 すずしい
私は先月から子どもに英語を＿＿。,🅰 教えます,🅱 教えました,🅲 教えたんです,🅳 教えています
ーか月に【いっかい】友だちと会います。,🅰 一度,🅱 一回,🅲 ー会,🅳 ー目
ここから駅までどのぐらい時間が＿＿か。,🅰 かけます,🅱 かかります,🅲 あります,🅳 すぎます
田中さん、今日も＿＿ね。まだ病気かな。,🅰 こない,🅱 きない,🅲 くない,🅳 いかない
電車で【新聞】を読みます。,🅰 しんぶん,🅱 しんむん,🅲 しんもん,🅳 しんぼん
＿＿がないから、洗えないよ。,🅰 せんざい,🅱 せんたく,🅲 キリーニング,🅳 そうじ
田中さん、今度いっしょに映画に＿＿か。,🅰 行くでしょうか,🅱 行きません,🅲 行きでしょうか,🅳 行くません
五時に学校から【かえりました】。,🅰 借りました,🅱 入りました,🅲 通りました,🅳 帰りました
あ、この車、がそりんがほとんど＿＿いないよ。,🅰 かって,🅱 入って,🅲 入れて,🅳 なくなって
まどを＿＿。はい、おねがいします。,🅰 開けましょうか,🅱 開けてもいいですか,🅲 開けなさい,🅳 開けてくれませんか
あの子は私の【妹】です。,🅰 いもと,🅱 いもうと,🅲 おとと,🅳 おとうと
明日はテストがあるから、学校へ行くのが＿＿です。,🅰 いや,🅱 ひどい,🅲 むり,🅳 きらい
のどがかわいたね。何か＿＿よ。,🅰 飲んだ,🅱 飲もう,🅲 飲みなさい,🅳 飲んでない
【英語】の歌を歌いましょう。,🅰 えご,🅱 えが,🅲 えいご,🅳 えいが
このベッドは＿＿、一人で動かせない,🅰 あつくて,🅱 おもくて,🅲 おおくて,🅳 かたくて
一年前は、ひらがなも＿＿が、今は漢字もだいぶわかります。,🅰 読めませんでした,🅱 読みませんでした,🅲 読んでいませんでした,🅳 読まなかったです
大きいからはんぶん【きって】ください。,🅰 聞いて,🅱 来って,🅲 切って,🅳 着て
新しい仕事はどうですか。うーん、あんまり＿＿。,🅰 いそががないんです,🅱 いそがしいんです,🅲 ゆっくりなんです,🅳 おもしろくないんです
