Expression,Reading,Meaning
強化,きょうか,"strengthen, intensify, reinforce"
境界,きょうかい,boundary
共産～,きょうさん～,communist ~
行事,ぎょうじ,"event, function"
恐縮,きょうしゅく,sorry to trouble
教養,きょうよう,"culture, education, sophistication"
行列,ぎょうれつ,"line, procession; matrix (math)"
漁業,ぎょぎょう,fishing (industry)
曲線,きょくせん,curve
規律,きりつ,"order, rules, law"
斬る,きる,"to behead, to murder"
～きる,～きる,"nevertheless, to carry through"
～切れ,～きれ,out of ~
気を付ける,きをつける,"to be careful, to pay attention, to take care"
金魚,きんぎょ,goldfish
区域,くいき,"zone, district, area"
空～,くう～,empty ~
偶数,ぐうすう,even number
空想,くうそう,"daydream, fantasy"
空中,くうちゅう,"sky, air"
クーラー,クーラー,air conditioner
釘,くぎ,nail
区切る,くぎる,"to punctuate, to cut off, to mark off"
櫛,くし,comb
くしゃみ,くしゃみ,sneeze
苦情,くじょう,"complaint, grievance, grumble"
苦心,くしん,"pain, trouble"
屑,くず,"waste, scrap"
崩す,くずす,"to destroy, to make change (money)"
薬指,くすりゆび,ring finger
崩れる,くずれる,"to collapse, to crumble"
砕く,くだく,"to break, to smash"
砕ける,くだける,"to break, to be broken"
くたびれる,くたびれる,"to get tired, to wear out"
くだらない,くだらない,"good-for-nothing, stupid, worthless"
～口,～くち,"~ opening; ~ entrance, ~ exit"
唇,くちびる,lip
口紅,くちべに,lipstick
くっつく,くっつく,"to adhere to, to keep close to"
くっつける,くっつける,to attach
くどい,くどい,"verbose, importunate, heavy (taste)"
句読点,くとうてん,punctuation marks
配る,くばる,"to distribute, to deliver"
工夫,くふう,"device, artifice, ingenuity"
区分,くぶん,"division, section, classification"
組合せ,くみあわせ,combination
組み立てる,くみたてる,"to assemble, to set up, to construct"
悔やむ,くやむ,"to regret, to mourn"
クリーニング,クリーニング,"cleaning, dry cleaning, laundry service"
くるむ,くるむ,"to be enveloped by, to wrap up"
くれぐれも,くれぐれも,"repeatedly, sincerely, earnestly"
～家,～け,"~'s family, the house of ~"
～形,～けい,shape of ~
～系,～けい,"~ system, ~ lineage, ~ group"
稽古,けいこ,"practice, training, study"
敬語,けいご,"honorific language (lit., respect language)"
蛍光灯,けいこうとう,fluorescent lamp
形式,けいしき,"form, formality, format"
継続,けいぞく,continuation
毛糸,けいと,knitting wool
経度,けいど,longitude
系統,けいとう,"system, genealogy"
芸能,げいのう,"public entertainment, performing arts"
競馬,けいば,horse racing
警備,けいび,"defense, guard, policing, security"
形容詞,けいようし,adjective
形容動詞,けいようどうし,"adjectival noun, quasi-adjective"
外科,げか,surgical department
毛皮,けがわ,"fur, skin, pelt"
激増,げきぞう,sudden increase
下車,げしゃ,"alighting, getting off"
下旬,げじゅん,month (last third of)
下水,げすい,"drainage, sewage, ditch, gutter, sewerage"
削る,けずる,"to cut down little by little, to take a percentage"
桁,けた,"column, beam, digit"
下駄,げた,"(Japanese footwear), wooden clogs"
血圧,けつあつ,blood pressure
月給,げっきゅう,monthly salary
傑作,けっさく,"masterpiece, best work"
月末,げつまつ,end of the month
気配,けはい,"indication, sign, hint"
下品,げひん,"vulgar, indecent, coarse"
煙い,けむい,smoky
険しい,けわしい,"steep, rugged; severe"
～圏,～けん,"bloc, sphere, area"
現～,げん～,"present, incumbent"
見学,けんがく,"tour, study by observation"
謙虚,けんきょ,"modesty, humble"
原稿,げんこう,"manuscript, copy"
原産,げんさん,place of origin
原始,げんし,"origin, primeval"
研修,けんしゅう,training
厳重,げんじゅう,"strict, severe, firm"
謙遜,けんそん,"humble, humility, modesty"
県庁,けんちょう,prefectural office
限度,げんど,"limit, bounds"
現に,げんに,"actually, really"
顕微鏡,けんびきょう,microscope
懸命,けんめい,"eagerness, strenuous"
原理,げんり,"principle, theory, fundamental truth"
原料,げんりょう,raw materials
小～,こ～,small ~
恋しい,こいしい,"dear, beloved; to miss"
高～,こう～,high (level) ~
～校,～こう,counter for school
～港,～こう,~ port
～号,～ごう,counter for magazine; the name of ship
工員,こういん,factory worker
強引,ごういん,"forcible, assertive, pushy"
公害,こうがい,"public nuisance, pollution"
高級,こうきゅう,high class; first-rate
公共,こうきょう,"public, community, communal"
工芸,こうげい,industrial arts
孝行,こうこう,filial piety
交差,こうさ,cross
講師,こうし,lecturer
工事,こうじ,construction work
公式,こうしき,"formula, formality, official"
口実,こうじつ,excuse
こうして,こうして,"like this, with this"
公衆,こうしゅう,the public
香水,こうすい,perfume
功績,こうせき,"achievements, merit"
光線,こうせん,"beam, light ray"
高層,こうそう,"tall, high rise"
構造,こうぞう,"structure, construction"
交替,こうたい,"change, relief, alteration"
耕地,こうち,arable land
交通機関,こうつうきかん,transportation facilities
校庭,こうてい,school yard
肯定,こうてい,"positive, affirmation"
高度,こうど,"altitude, height; advanced"
高等,こうとう,"high class, high grade"
合同,ごうどう,"combination, incorporation"
高等学校,こうとうがっこう,senior high school
公表,こうひょう,"official announcement, proclamation"
鉱物,こうぶつ,mineral
公務,こうむ,"official business, public business"
項目,こうもく,item
紅葉,こうよう,fall colors (of leaves)
合理,ごうり,rational
交流,こうりゅう,exchange; alternating current
合流,ごうりゅう,"confluence, merge, join"
効力,こうりょく,"effect, efficacy"
コース,コース,course
コーラス,コーラス,chorus
焦がす,こがす,"to burn, to scorch"
～国,～こく,nation of ~
国王,こくおう,king
国立,こくりつ,national
ご苦労様,ごくろうさま,Thank you for your had work
焦げる,こげる,"to burn, to be burned"
凍える,こごえる,"to freeze, to be chilled, to be frozen"
心当たり,こころあたり,"having some knowledge of, happening to know"
心得る,こころえる,"to understand, to have thorough knowledge"
腰掛け,こしかけ,"seat, bench"
腰掛ける,こしかける,to sit (down)
五十音,ごじゅうおん,the Japanese syllabary
こしらえる,こしらえる,"to make, to manufacture"
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)"
個体,こたい,an individual
ごちそうさま,ごちそうさま,Thank you for the meal
こちらこそ,こちらこそ,it is I who should say so
小遣い,こづかい,"pocket money, allowance"
コック,コック,"cook; tap, cock"
こっそり,こっそり,"stealthily, secretly"
古典,こてん,"classics, classic"
～毎,～ごと,"every ~, each ~"
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~"
言付ける,ことづける,to leave a message
言葉遣い,ことばづかい,"speech, expression, wording"
こないだ,こないだ,"the other day, lately, recently"
御無沙汰,ごぶさた,not writing or contacting for a while
ゴム,ゴム,"gum, rubber"
御免,ごめん,"declining (something); pardon, sorry"
ごめんください,ごめんください,"May I come in, Is anyone here"
小指,こゆび,little finger
堪える,こらえる,"to bear, to endure, to put up with"
娯楽,ごらく,"pleasure, amusement, recreation"
御覧,ごらん,"(hon.) look, inspection, try"
コレクション,コレクション,collection; correction
転がす,ころがす,to roll
転がる,ころがる,"to roll, to tumble"
紺,こん,"navy blue, deep blue"
今～,こん～,"this, current"
コンクール,コンクール,contest (FRE: concours)
コンクリート,コンクリート,concrete
混合,こんごう,"mixing, mixture"
コンセント,コンセント,consent; power outlet
献立,こんだて,menu
こんばんは,こんばんは,good evening
サークル,サークル,"circle, sports club (e.g., at a company)"
再～,さい～,re ~
最～,さい～,the most ~
在学,ざいがく,(enrolled) in school
再三,さいさん,"again and again, repeatedly"
祭日,さいじつ,"national holiday, festival day"
催促,さいそく,"demand, urge (action), press for"
採点,さいてん,"marking, grading"
災難,さいなん,"calamity, misfortune"
裁縫,さいほう,sewing
材木,ざいもく,"lumber, timber"
サイレン,サイレン,siren
逆さ,さかさ,"reverse, upside down"
逆様,さかさま,"reverse, upside down"
捜す,さがす,"to search, to seek, to look for"
遡る,さかのぼる,"to go back, to date back; ascend"
酒場,さかば,"bar, bar-room"
一昨昨日,さきおととい,"two days before yesterday, three days ago"
先程,さきほど,a little while ago
索引,さくいん,"index, indices"
作者,さくしゃ,"author, artist"
削除,さくじょ,"elimination, deletion"
作成,さくせい,"creation, preparation, to make"
作製,さくせい,"manufacture, production"
探る,さぐる,"to search, to look for, investigate"
囁く,ささやく,"to whisper, to murmur"
匙,さじ,spoon
座敷,ざしき,tatami room
差し支え,さしつかえ,"hindrance, impediment"
差し引き,さしひき,"deduction, balance"
刺身,さしみ,sliced raw fish
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella)
流石,さすが,"indeed, truly, as one would expect"
撮影,さつえい,photographing
雑音,ざつおん,"noise (jarring, grating)"
さっさと,さっさと,quickly
早速,さっそく,"at once, immediately, promptly"
錆,さび,rust (color)
錆びる,さびる,"to rust, to become rusty"
座布団,ざぶとん,cushion (Japanese)
妨げる,さまたげる,"to disturb, to prevent"
さようなら,さようなら,good-bye
サラリーマン,サラリーマン,salaryman; company employee
騒がしい,さわがしい,noisy
さわやか,さわやか,"fresh, refreshing"
～山,～さん,the name of mountain
～産,～さん,made in ~
三角,さんかく,"triangle, triangular"
算数,さんすう,arithmetic
産地,さんち,producing area
サンプル,サンプル,sample
山林,さんりん,mountain forest
～史,～し,history of ~
～紙,～し,"newspaper, type of paper"
～寺,～じ,the name of temple
仕上がる,しあがる,to be finished
明明後日,しあさって,two days after tomorrow
シーズン,シーズン,season (sporting)
シーツ,シーツ,sheet
寺院,じいん,temple
しいんと (する),しいんと (する),"silent (as the grave), (deathly) quiet"
自衛,じえい,self-defense
塩辛い,しおからい,salty (taste)
司会,しかい,"host, chairperson"
四角い,しかくい,square
仕方がない,しかたがない,"it can't be helped, it's inevitable"
～時間目,～じかんめ,"~th hour, ~th period"
時間割,じかんわり,"timetable, schedule"
〜(日本) 式,～(にほん) しき,"custom,"
敷地,しきち,site
敷く,しく,"to spread out, to lay out"
茂る,しげる,to grow thick
持参,じさん,"bringing, taking, carrying"
磁石,じしゃく,magnet
四捨五入,ししゃごにゅう,rounding up (fractions)
始終,しじゅう,"continuously, always, constantly"
自習,じしゅう,self-study
静まる,しずまる,"to quieten down, to calm down"
姿勢,しせい,attitude; posture
自然科学,しぜんかがく,natural science
時速,じそく,speed (per hour)
子孫,しそん,"descendant, offspring"
死体,したい,corpse
下書き,したがき,"rough copy, draft"
自宅,じたく,one's own home (same as jibun no ie)
下町,したまち,old parts of town
自治,じち,"self-government, autonomy"
室～,しつ～,room
～室,～しつ,counter for room
～日,～じつ,day
実感,じっかん,"feelings, realization"
湿気,しっき,"moisture, humidity, dampness"
しつこい,しつこい,"insistent, obstinate"
実習,じっしゅう,"practice, training"
実績,じっせき,"achievements, actual results"
執筆,しっぴつ,writing
実物,じつぶつ,an actual thing
しっぽ,しっぽ,tail (animal)
実用,じつよう,"practical use, utility"
しつれいしました,しつれいしました,"Excuse me., I'm sorry."
実例,じつれい,"example, instance"
失恋,しつれん,"broken heart, unrequited love"
指定,してい,"designation, specification, assignment"
私鉄,してつ,private railway
縛る,しばる,"to tie, to bind"
地盤,じばん,(the) ground
しびれる,しびれる,to become numb
紙幣,しへい,"paper money, notes, bills"
しぼむ,しぼむ,"to wither, to shrivel"
絞る,しぼる,"to press, to wring, to squeeze"
縞,しま,stripe
～おしまい (おわり),～おしまい (おわり),end up ~
しみじみ,しみじみ,"keenly, deeply, heartily"
氏名,しめい,full name
締切,しめきり,deadline
締め切る,しめきる,"to close, cancel"
しめた (かん),しめた (かん),"I've got it, all right, fine"
地面,じめん,"ground, earth's surface"
～車,～しゃ,~ car
～者,～しゃ,person
～社,～しゃ,counter for company
ジャーナリスト,ジャーナリスト,journalist
社会科学,しゃかいかがく,social science
しゃがむ,しゃがむ,to squat
蛇口,じゃぐち,"faucet, tap"
弱点,じゃくてん,"weak point, weakness"
車庫,しゃこ,"garage, car shed"
車掌,しゃしょう,(train) conductor
写生,しゃせい,"sketching, drawing from nature"
社説,しゃせつ,editorial
しゃっくり,しゃっくり,"hiccough, hiccup"
シャッター,シャッター,shutter
しゃぶる,しゃぶる,"to suck, to chew"
車輪,しゃりん,(car) wheel
洒落,しゃれ,"joke, pun, witticism"
じゃんけん,じゃんけん,rock-scissors-paper game
～手,～しゅ,"~ player, person who does ~"
～酒,～しゅ,kind of alcohol
～集,～しゅう,collection of ~
重～,じゅう～,heavy ~
集会,しゅうかい,"meeting, assembly"
集金,しゅうきん,money collection
集合,しゅうごう,"gathering, assembly"
習字,しゅうじ,penmanship
修繕,しゅうぜん,"repair, mending"
じゅうたん,じゅうたん,carpet
終点,しゅうてん,"terminus, last stop (e.g train)"
重点,じゅうてん,"important point, lay stress on, emphasis"
リズム,リズム,rhythm
リットル,リットル,liter
リボン,リボン,ribbon
略す,りゃくす,to abbreviate
～流,～りゅう,"fashion, manner, way"
流域,りゅういき,(river) basin
両～,りょう～,both ~
～料,～りょう,"fare, charge"
～領,～りょう,territory
両側,りょうがわ,both sides
漁師,りょうし,fisherman
領事,りょうじ,consul
領収,りょうしゅう,"receipt, voucher"
～力,～りょく,power of ~
臨時,りんじ,"temporary, special, extraordinary"
留守番,るすばん,"care-taking, caretaker, house-watching"
零点,れいてん,"zero, no marks"
冷凍,れいとう,"freezing, cold storage, refrigeration"
レインコート,レインコート,raincoat
レクリェーション,レクリェーション,recreation
レジャー,レジャー,leisure
列島,れっとう,chain of islands
リポート,リポート,"report, paper"
煉瓦,れんが,brick
連合,れんごう,"union, alliance"
レンズ,レンズ,lens
ろうそく,ろうそく,candle
ローマ字,ローマじ,"romanization, Roman letters (alphabet)"
録音,ろくおん,(audio) recording
ロッカー,ロッカー,locker
ロビー,ロビー,lobby
～論,～ろん,theory
論ずる,ろんずる,"to argue, to discuss"
和～,わ～,Japanese style
～羽,～わ,counter for rabbits; birds
和英,わえい,Japanese-English
我～,わが～,our ~
若々しい,わかわかしい,"youthful, young"
詫びる,わびる,to apologize
和服,わふく,Japanese clothes
割合に,わりあいに,"relatively, comparatively"
割算,わりざん,division (math)
割と,わりと,"relatively, comparatively"
割引,わりびき,discount
ワンピース,ワンピース,one-piece dress
アイデア; アイディア,アイデア; アイディア,idea
あいまい,あいまい,"vague, ambiguous"
扇ぐ,あおぐ,"to fan, to flap"
青白い,あおじろい,pale
呆れる,あきれる,"to be shocked, to be appalled"
アクセント,アクセント,accent
あくび,あくび,yawn
飽くまで,あくまで,"to the end, to the last, stubbornly"
明くる～,あくる～,"next, following"
明け方,あけがた,dawn
憧れる,あこがれる,"to long for, to yearn after"
朝寝坊,あさねぼう,"oversleeping, late riser"
足跡,あしあと,footprint
足元,あしもと,at one's feet
味わう,あじわう,"to taste, to savor"
あちらこちら,あちらこちら,here and there
厚かましい,あつかましい,"impudent, shameless,"
圧縮,あっしゅく,"compression, condensation, pressure"
宛名,あてな,"address, direction"
当てはまる,あてはまる,"to be applicable, to come under (a category)"
当てはめる,あてはめる,"to apply, to adapt"
暴れる,あばれる,"to act violently, to rage"
あぶる,あぶる,"to scorch, to roast"
あふれる,あふれる,"to flood, to overflow"
雨戸,あまど,sliding storm door
甘やかす,あまやかす,"to pamper, to spoil"
余る,あまる,"to be left over, to be in excess"
編み物,あみもの,knitting
編む,あむ,to knit
危うい,あやうい,"dangerous, critical"
怪しい,あやしい,"suspicious, dubious, doubtful"
荒い,あらい,"rough, rude, wild"
粗い,あらい,"coarse, rough"
粗筋,あらすじ,"outline, synopsis"
改めて,あらためて,"another time, again"
改める,あらためる,"to change, to reform, to revise"
有難い,ありがたい,"grateful, thankful, appreciated"
あれこれ,あれこれ,"one thing or another, this and that"
荒れる,あれる,"to be stormy, to be rough, to be ruined"
慌ただしい,あわただしい,"busy, hurried"
安易,あんい,easy-going
アンテナ,アンテナ,antenna
～位,～い,~th place
言い出す,いいだす,"to start talking, to suggest"
言い付ける,いいつける,"to tell, to order"
意義,いぎ,"meaning, significance"
生き生き,いきいき,"vividly, lively"
いきなり,いきなり,all of a sudden
幾～,いく～,several ~
育児,いくじ,"childcare, nursing"
幾分,いくぶん,somewhat
生け花,いけばな,flower arrangement
以後,いご,after this; from now on; hereafter
以降,いこう,"on and after, hereafter"
イコール,イコール,equal
勇ましい,いさましい,"brave, valiant"
衣食住,いしょくじゅう,"food, clothing and shelter"
～いち,～いち,No. 1 ~ (in)
いちいち,いちいち,"one by one, separately"
一応,いちおう,"tentatively, for the time being"
一段と,いちだんと,"by far, greater"
一流,いちりゅう,"first class, leading"
一昨日,いっさくじつ,day before yesterday
一昨年,いっさくねん,year before last
一斉,いっせい,"simultaneous, all at once"
一旦,いったん,"once, for a moment"
一定,いってい,"fixed, settled, regular"
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you"
行ってらっしゃい,いってらっしゃい,"have a nice day, see you"
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'"
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'"
移転,いてん,"moving, transfer"
井戸,いど,water well
緯度,いど,latitude (navigation)
威張る,いばる,"to be proud, to swagger"
嫌がる,いやがる,"reluctant, to dislike"
いよいよ,いよいよ,"more and more, increasingly, at last"
煎る,いる,to roast
炒る,いる,"to parch, to roast"
入れ物,いれもの,"container, case"
インキ,インキ,ink
引力,いんりょく,gravity
ウーマン,ウーマン,woman
ウール,ウール,wool
ウエートレス,ウエートレス,waitress
植木,うえき,"garden shrubs, trees, potted plant"
飢える,うえる,to starve
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind"
浮かべる,うかべる,to float; to express
浮く,うく,to float
承る,うけたまわる,"(humble) to hear, to be told, to know"
受取,うけとり,receipt
受け持つ,うけもつ,to take (be in) charge of
薄暗い,うすぐらい,"dim, gloomy"
薄める,うすめる,"to dilute, to water down"
打合せ,うちあわせ,"business meeting, previous arrangement"
打ち消す,うちけす,"to deny, to negate"
うどん,うどん,udon noodles (Japanese traditional noodles)
うなずく,うなずく,to nod
敬う,うやまう,"to show respect, to honor"
裏返す,うらがえす,"to turn inside out, to turn (something) over"
裏口,うらぐち,"backdoor, rear entrance"
占う,うらなう,"to predict, to divine"
恨み,うらみ,resentment
恨む,うらむ,"to curse, to feel bitter"
羨む,うらやむ,to envy
売上,うりあげ,"amount sold, proceeds"
売り切れ,うりきれ,sold-out
売り切れる,うりきれる,to be sold out
売行き,うれゆき,sales
うろうろ,うろうろ,"loitering, aimless wandering"
上～,うわ～,upper ~
運河,うんが,"canal, waterway"
うんと,うんと,"a great deal, very much"
英文,えいぶん,sentence in English
英和,えいわ,"English-Japanese (e.g., dictionary)"
ええと,ええと,"let me see, well, er..."
液体,えきたい,"liquid, fluid"
エチケット,エチケット,etiquette
絵の具,えのぐ,"colors, paints"
エプロン,エプロン,apron
偉い,えらい,"great, celebrated, remarkable,"
～園,～えん,~ garden (especially man made)
宴会,えんかい,"party, banquet"
園芸,えんげい,"horticulture, gardening"
演劇,えんげき,play (theatrical)
円周,えんしゅう,circumference
遠足,えんそく,"trip, hike, picnic"
延長,えんちょう,"extension, prolongation"
煙突,えんとつ,chimney
御～,おん～,honorific ~
追いかける,おいかける,to chase or run after someone
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip"
オイル,オイル,oil
王女,おうじょ,princess
応ずる,おうずる,"to respond, to comply with"
応接,おうせつ,reception
応対,おうたい,"receiving, dealing with"
往復,おうふく,"(col) round trip, coming and going, return ticket"
欧米,おうべい,"Europe and America, the West"
応用,おうよう,"application, put to practical use"
電波,でんぱ,electro-magnetic wave
テンポ,テンポ,tempo
電流,でんりゅう,electric current
電力,でんりょく,electric power
問い合わせ,といあわせ,inquiry
～頭,～とう,counter for animals
～等,～とう,"level, place"
～島,～とう,kind of islands
銅,どう,copper
同～,どう～,same ~
～道,～どう,"kind of path, road"
どういたしまして,どういたしまして,"you are welcome, don't mention it"
統一,とういつ,"unity, consolidation, uniformity"
同格,どうかく,"the same rank, equality, apposition"
峠,とうげ,"ridge, (mountain) pass, difficult part"
統計,とうけい,"scattering, a scatter, dispersion"
動作,どうさ,"action, movements, motions"
東西,とうざい,"East and West, whole country"
当日,とうじつ,"appointed day, very day"
投書,とうしょ,"letter to the editor, letter from a reader, contribution"
登場,とうじょう,entry (on stage)
どうせ,どうせ,"anyhow, in any case, at any rate"
灯台,とうだい,lighthouse
盗難,とうなん,"theft, robbery"
当番,とうばん,being on duty
等分,とうぶん,division into equal parts
透明,とうめい,"transparency, cleanness"
灯油,とうゆ,"lamp oil, kerosene"
童話,どうわ,fairy tale
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue"
通り掛かる,とおりかかる,to happen to pass by
溶かす,とかす,"to melt, to dissolve"
尖る,とがる,"to taper to a point, to become sharp"
どきどき,どきどき,"throb, beat (fast)"
特殊,とくしゅ,"special, unique"
特色,とくしょく,"characteristic, feature"
特定,とくてい,"specific, special, particular"
特売,とくばい,special sale
溶け込む,とけこむ,to melt into; to become a part of
退ける,どける,"to dislodge, to put something out of the way"
床の間,とこのま,alcove
～ところ,～ところ,about to do ~
所々,ところどころ,"here and there, some parts (of something)"
都心,としん,heart (of city)
戸棚,とだな,"cupboard, cabinet"
とっくに,とっくに,"long ago, already, a long time ago"
どっと,どっと,suddenly
整う,ととのう,"to be prepared, to be in order, to be arranged"
留まる,とどまる,"to be fixed; to abide, to stay (in the one place)"
怒鳴る,どなる,"to shout, to yell"
殿,どの,Mister (mostly in addressing someone on an envelope)
飛び込む,とびこむ,"to jump in, to leap in, to plunge into"
留まる,とまる,"to be fixed; to abide, to stay (in the one place)"
ともかく,ともかく,"anyhow, at any rate, anyway"
捕える,とらえる,"to seize, to capture, to arrest"
取り入れる,とりいれる,"to harvest, to take in, to adopt"
取り消す,とりけす,to cancel
取り出す,とりだす,"to take out, to pick out"
採る,とる,"to adopt (measure, proposal); to pick (fruit)"
捕る,とる,"to take, to catch (fish)"
丼,どんぶり,"porcelain bowl, bowl of rice with food on top"
～内,～ない,inside ~
内科,ないか,"internist clinic, internal medicine"
内線,ないせん,phone extension
ナイロン,ナイロン,nylon
長～,なが～,long ~
仲直り,なかなおり,"reconciliation, make peace with"
長引く,ながびく,"to be prolonged, to drag on"
中指,なかゆび,middle finger
仲良し,なかよし,"intimate friend, bosom buddy"
慰める,なぐさめる,"to comfort, to console"
為す,なす,"to accomplish, to do"
謎謎,なぞなぞ,riddle
傾らか,なだらか,"gradual, gentle"
懐かしい,なつかしい,"dear, desired, missed"
撫でる,なでる,"to brush gently, to stroke"
斜め,ななめ,"diagonal, oblique"
なにしろ,なにしろ,"at any rate, in any case"
何々,なになに,"such and such, What?"
何分,なにぶん,"by all means, please"
生意気,なまいき,"impertinent, impudent"
並木,なみき,"roadside tree, row of trees"
倣う,ならう,"to imitate, to follow, to emulate"
南極,なんきょく,"south pole, Antarctic"
なんとなく,なんとなく,"somehow or other, for some reason or another"
なんとも,なんとも,"nothing (with neg. verb), quite, not a bit"
ナンバー,ナンバー,number
南米,なんべい,South America
南北,なんぼく,south and north
匂う,におう,"to be fragrant, to smell"
逃がす,にがす,"to let loose, to set free, to let escape"
憎い,にくい,"hateful, abominable, detestable"
～難い,～がたい,hard (difficult) to do ~
憎む,にくむ,"to hate, to detest"
憎らしい,にくらしい,"odious, hateful"
にこにこ,にこにこ,"smile sweetly, smiley"
濁る,にごる,"to become muddy, to get cloudy"
虹,にじ,rainbow
日時,にちじ,date and time
日用品,にちようひん,daily necessities
日課,にっか,"daily work, daily routine"
日程,にってい,schedule
鈍い,にぶい,"dull (e.g., a knife), thickheaded, slow (opposite of fast), stupid"
入社,にゅうしゃ,entry to a company
女房,にょうぼう,wife
睨む,にらむ,"to glare at, to stare; to keep an eye on"
俄,にわか,"sudden, abrupt, unexpected"
縫う,ぬう,to sew
ねじ,ねじ,(a) screw
捩る,ねじる,to twist
ネックレス,ネックレス,necklace
熱する,ねっする,to heat
寝間着,ねまき,"sleep-wear, pajamas"
寝巻,ねまき,"sleep-wear, pajamas"
狙い,ねらい,aim
狙う,ねらう,to aim at
～年生,～ねんせい,counter for school year
年度,ねんど,"year, fiscal year"
農産物,のうさんぶつ,agricultural produce
農村,のうそん,agricultural community
濃度,のうど,"concentration, density"
農薬,のうやく,agricultural chemicals
能率,のうりつ,efficiency
のこぎり,のこぎり,saw
残らず,のこらず,"completely, without exception"
上り,のぼり,"up-train (going to Tokyo), ascent"
糊,のり,"glue, paste, starch"
乗換,のりかえ,"a transfer (e.g., trains, buses)"
乗り越し,のりこし,riding past (one's station)
鈍い,のろい,"dull (e.g., a knife), slow (opposite of fast), stupid"
のろのろ,のろのろ,"slowly, sluggishly"
呑気,のんき,"carefree, optimistic, careless"
はい (かん),はい (かん),yes
灰色,はいいろ,"grey, ashen"
俳句,はいく,haiku poetry
売店,ばいてん,"shop, stand"
バイバイ,バイバイ,bye bye
売買,ばいばい,"trade, buying and selling"
這う,はう,"to creep, to crawl"
剥す,はがす,"to tear off, to peel off, to rip off"
ばからしい,ばからしい,absurd
秤,はかり,"scales, weighing machine"
吐き気,はきけ,"nausea, sickness in the stomach"
はきはき,はきはき,clearly
～泊,～はく,"counter for staying (e.g., 2 nights)"
歯車,はぐるま,"gear, cog-wheel"
バケツ,バケツ,"bucket, pail"
挟まる,はさまる,"to get between, to be caught in"
挟む,はさむ,to pinch; to hold between; to insert
梯子,はしご,"ladder, stairs"
始めに,はじめに,"to begin with, first of all"
初めに,はじめに,"to begin with, first of all"
はじめまして,はじめまして,"How do you do, I am glad to meet you"
斜,はす,diagonal
パターン,パターン,pattern
肌着,はだぎ,underwear
果して,はたして,"as was expected, really"
鉢,はち,"a bowl, a pot"
～発,～はつ,counter for bullets
×,ばつ,cross
発揮,はっき,"exhibition, demonstration, display"
バック,バック,back
発想,はっそう,idea; way of thinking (same as 考え方 (かんがえかた))
発電,はつでん,"generation (e.g., power)"
発売,はつばい,sale
話合い,はなしあい,"discussion, talk"
話し掛ける,はなしかける,"to accost a person, to talk (to someone)"
話中,はなしちゅう,"while talking, the line is busy"
甚だしい,はなはだしい,"extreme, excessive, terrible"
花火,はなび,fireworks
花嫁,はなよめ,bride
ばね,ばね,"spring (e.g., coil, leaf)"
跳ねる,はねる,"to jump, to leap"
破片,はへん,"fragment, broken piece"
歯磨き,はみがき,"toothbrushing, toothpaste"
はめる,はめる,"(col) to get in, to insert, to put on"
早口,はやくち,fast-talking
払い込む,はらいこむ,"to deposit, to pay in"
払い戻す,はらいもどす,"to repay, to pay back"
針金,はりがね,wire
張り切る,はりきる,"to be in high spirits, to be full of vigor"
反～,はん～,"anti ~, counter ~"
反映,はんえい,"reflection, influence"
半径,はんけい,radius
判子,はんこ,seal (used for signature)
万歳,ばんざい,"banzai, Long live ~!"
判事,はんじ,"judge, justice"
番地,ばんち,"house number, address"
パンツ,パンツ,underpants
バンド,バンド,band
半島,はんとう,peninsula
ハンドル,ハンドル,"handle, steering wheel"
～番目,～ばんめ,~th
非～,ひ～,"anti~, counter~, an~, non~"
～費,～ひ,cost of ~
日当たり,ひあたり,"exposure to the sun, sunny place"
日帰り,ひがえり,day trip
比較的,ひかくてき,comparatively; relatively
日陰,ひかげ,shadow
ぴかぴか,ぴかぴか,"glitter, sparkle"
引受る,ひきうける,"to undertake, to take up, to take over"
引き返す,ひきかえす,"to turn back, to go back, reverse"
引算,ひきざん,subtraction
引き出す,ひきだす,"to pull out, to take out, to withdraw"
引き止める,ひきとめる,"to keep back, to prevent, to hold back"
卑怯,ひきょう,"cowardice, meanness, unfairness"
引分け,ひきわけ,"a draw (in competition), tie game"
陽射,ひざし,"sunlight, rays of the sun"
肘,ひじ,elbow
ピストル,ピストル,pistol
ビタミン,ビタミン,vitamin
ぴたり,ぴたり,exactly; close-fitting
引っ掛かる,ひっかかる,"to be caught in, to be stuck in"
筆記,ひっき,"note taking, writing"
引っ繰り返す,ひっくりかえす,"to turn over, to overturn, to knock over"
引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed"
引っ込む,ひっこむ,"to draw back, to sink, to cave in"
筆者,ひっしゃ,"writer, author"
必需品,ひつじゅひん,"necessities, essential"
一～,ひと～,one ~
