Script.EP1,Translation.EP1,Script.EP2,Translation.EP2
ねっ しかも この―,"Right? Moreover, considering this mild flavor which enriches the taste of the dishes…",座ってください,Please sit down.
優しい口当たりで 料理を引き立てるところを見ると…,"Moreover, considering this mild flavor which enriches the taste of the dishes…",寒かったでしょ 雨の中 大変でしたね ハァ…,I'm sure you're cold. It must have been terrible in the rain.
“満天星(まんてんせい)”,I'd say it's Mantensei.,よければ お燗(かん)でもいかがですか？,Would you like some hot sake?
どうだ！,How did I do?,いや,No.
正解,You got it right.,体も冷えてると思いますし お燗のほうが温まりますよ,I'm sure you're cold. The hot sake will help you warm up.
（シンゾウ）ほら （客）さすがですね,You're amazing.,じゃあ そうしてもらおうかな,I guess I'll have some then.
（美音）鳥取県にある 諏訪酒造のお酒です,It is from the Suwa sake brewer in Tottori Prefecture.,はい 少々お待ちください,"Yes, please wait just a bit."
（シンゾウ）これこれ これこれこれ 満天星 （馨）何で分かんの？,"-Yes, this! Mantensei. -How did you know?",前から失礼します,Pardon my reach.
そのお酒 今日 初めて出すんだよ,-Hm? -It's our first time serving it.,こちら お通しです,Here you are.
（シンゾウ）そうだよ まあ 大概 その… 色だよ,"I know, but you can generally tell by the color.",これは？,What is it?
ね？　味 香り この３つ そろえば 見当はつくんだよ,"Flavor, aroma and color are the three things to go by.",煮こごりです お酒と一緒に召し上がってください,"It's nikogori, please have it with your sake."
ね？　まずはね この…,"Flavor, aroma and color are the three things to go by. -First of all, look here. At this color. -It is different.",いただきます （美音）はい,-I'll try some. -Yes.
これこれ （客）ああ… この色だよ これ （客）変わってますよね,"-First of all, look here. At this color. -It is different.",お酒もどうぞ,Have some sake.
（トク）色？ （シンゾウ）これ！,-Color? -Look.,ハァ… うまい,It's good.
（トク）おお 黄色いな この酒,"Oh, it's yellow.",でしょ？,Right?
これが酒本来の色なんだよ,This is the true color of sake.,口の中で溶けてったよ,It melted in my mouth.
（トク）ほお～,Is that so?,はい 煮こごりと一緒に 少し熱めのお酒を飲むと―,"Yes. When you have a sip of hot sake with nikogori, it melts in your mouth."
お酒の場合は やまぶき色って言うんですって,"In the case of sake, it's called yamabuki-iro.",すっと溶けるんですよ,"When you have a sip of hot sake with nikogori, it melts in your mouth."
（トク）へえ （馨）やまぶき色？,Really? Yamabuki-iro?,これ 何の煮こごり？,What is this nikogori made of?
やまぶき色って もっとすごく黄色くない？,Isn't that a stronger yellow tone?,鶏です 手羽先の煮込みを作ると―,It's chicken. You can make nikogori when you make stewed chicken wings.
（美音）うん 私もそう思って調べてみたの,Yeah. I thought the same thing so I looked it up.,煮こごりも一緒にできちゃうんです,You can make nikogori when you make stewed chicken wings.
一番近い色は 密陀僧(みつだそう)って色だったんだけど,The closest color was called mitsudasou.,今日のおすすめが 手羽先の煮込みだったもので,And today's special was stewed chicken wings.
（馨）密陀僧？ そんな色 聞いたこともないわ,Mitsudasou? I've never heard of it.,で その手羽先の煮込みは？,And the stewed chicken wings are…?
だから 分かりやすく― やまぶき色って 言われてるんだと思うわよ,"That's probably why by it's called by the recognized color, yamabuki-iro.",残念ながら完売です,"Unfortunately, they sold out."
（馨）わざわざ色見本 調べるところとか― お姉ちゃんらしいというか めんどくさいというか…,It's just like you to do something as tedious as look up color charts--,ハァ なるほど,I see.
うるさいわね 気になったら調べるでしょ,Shut it. It's normal to look things up if you're interested in them.,この酒も うまいな,"This sake is good, too."
（馨）はいはい 私も勉強させていただいてます,"Yeah, sure. I learned something thanks to you.",“吉乃川(よしのがわ)”の厳選辛口です,It's Yoshinogawa's Gensen Karakuchi.
（シンゾウ）フフフ… なんてね,I was just kidding.,え？　それって…,What? Isn't that…
ラベルがちょこっと 見えちゃったんだよ,I got a glimpse of the label.,はい スーパーとかでよく見かける 庶民派のお酒です,"Yes, the commoner's sake often seen at supermarkets."
（美音）ずるい 反則じゃないですか,How sneaky of you. That's cheating.,あっ でも 燗にするなら ピカイチなんです,But it's a great sake to have hot.
（トク） 脇が甘いんだよ 美音坊は,"Your defense is weak, Mine-bo.",一気に香りが 強く立ちのぼるでしょう？,"The aroma rises all at once, doesn't it?"
（馨）引き分けってことだね,It's a draw then.,確かに 米というよりは 果実みたいな香り,It's true. The aroma is more fruity than rice-like.
（トク）それにしても このおでん うめえな,"Either way, this oden is delicious.",うん 余韻もいい,"Good aftertaste, too."
（シンゾウ）うん （トク）あれ？,Huh?,燗にするなら 同じ吉乃川の特別純米ですら―,Even the same Yoshinogawa's premium pure rice wine
美音坊 もしかして… あれ あるんだろ？,Mine-bo. Do you have that thing?,これにはかなわないって 言われてるほどなんです,can't beat this when it's served hot.
あれって？,What thing?,ハァ… 燗上がりって こういうことを言うのか,So this is what heating sake does…
意地悪なこと言うなよ みそ漬けだよ みそ漬け,Don't be so mean. I'm talking about misozuke.,うん ものすごく納得した,I understand now.
フッ 目ざといなあ,You have a sharp eye.,よければ どうぞ,Please have some more.
明日のおすすめにしようと 思ってたのに,I was planning on making it tomorrow's special.,肴(さかな) 何かあつらえますか？,Would you like a dish with your sake?
明日か… でも明日は予定があって 来られねえんだよ,"Tomorrow, huh? But I have plans and can't come tomorrow.",そうだな 少し腹が減ってるから―,"Yes. I'm a little hungry, so something substantial will be nice."
ん～ 今日のうち 食わせてくれよ な？ 元気をつけときたいからさ,Come on and let me have it today. I want to get some energy.,何か しっかりしたものがいいな,"I'm a little hungry, so something substantial will be nice."
いいじゃん 今日 トクさん 嫌なことあったみたいだし ねえ,"What's the big deal? It seems Toku had a rough day, right?",でしたら 揚げ物なんて いかがですか？,Then how about a deep-fried dish?
（トク）うん （馨）出してあげれば？,Let him have it.,いや さすがに この時間に―,Fried food at this hour--
（美音）まだ 食べ頃じゃないかもしれないけど,It might not be ready yet…,揚げ物は… （美音）大丈夫です あっさりめの揚げ物ですから,It'll be just fine. I'll make a light deep-fried dish.
分かった 特別にお出しします,Fine. I'll treat you to it.,え？,What?
おお やった！,That's the spirit.,（美音）お待たせしました,Here you go.
お待ちください （トク）はい,-Please wait. -I will.,おしょうゆ 好きなだけ かけてくださいね,Please use as much soy sauce as you'd like.
（馨）はい （トク）おっ はいはい はいはい,-Here you go. -Oh! -This is it. -Egg yolk misozuke.,いただきます,Thank you.
（馨）卵黄のみそ漬けね,-This is it. -Egg yolk misozuke.,はい,Yes.
（シンゾウ）う… うまそうだな,Th-That looks good.,（美音）よければ どうぞ,Would you like more?
（トク）何だよ 自分だって そのザマかい,"What? You can't resist it, either?",（要）うん,Yeah.
（馨）はーい フライング お二人目！,And another one jumps the gun!,何というか… あれだ　フッ…,How do I say this… It's…
すまねえ,Sorry.,幸せ～って感じですか？,"Something like ""happiness""?"
シンゾウさん 卵黄のみそ漬けね （シンゾウ）おわびついでに―,-One for Shinzo. -Thank you.,そうそう！ 生きててよかった… 的な感じだ,"Yes! ""I'm happy to be alive."" was on my mind."
酒 もう１杯頼むよ 美音坊,-I'll order another drink as thanks. -Oh!,フフッ 褒めすぎですよ,You're too kind.
じゃあ 今度は 軽く燗(かん)にしましょうか,Shall we go for a hot sake next?,おかげで あったまったよ 勘定を…,I feel warm thanks to you.
いいねえ おでんには冷や,That will be nice. Chilled sake for oden and hot sake for this.,あっ ちょっと待ってください,-Could I get the bill-- -Hold on.
これには燗 うん,Chilled sake for oden and hot sake for this.,炭水化物 まだ何もとってません,You haven't had any carbohydrates yet.
文句～ あるか,You gotta problem?,雑炊でもいかがですか？,How about some zosui?
はい,Thanks.,それも鶏？ あっ いえ,"-Will that be chicken as well? -Oh, no."
ちょっと早いけど コクがあってうまい,"It may be a bit soon, but it's rich and delicious.",私の賄いも兼ねてますので きのこ雑炊です,"I'm also making some for myself, so it'll be mushroom zosui."
（美音）そういえば トクさん,By the way Toku…,（美音）まあ お客さんが 食べても食べなくても― 私は作りますけどね,I'm going to make some even if you choose not to have it.
（トク）うん？,Huh?,あっ 待って,Wait!
憂さ晴らしって 何があったの？,Why do you need to blow off steam?,俺にも,I'll have some.
ああ 今日の現場,Oh that… A lot happened at work today and we couldn't finish the job.,じゃあ ２人分ですね,"Then, two servings it is."
いろいろあって終わんなくてな,A lot happened at work today and we couldn't finish the job.,ごちそうさま,Thank you.
おやおや トクさんにしては 珍しいんじゃないの 何か どうしたんだい？,That's unusual for you. What happened?,お粗末さまです,You're welcome.
手子(てこ)が来なかった,The teko didn't come.,さて おなかもあったまったし― 冷めないうちに お帰りください,"Now that your stomach has warmed up, please be on your way before you get cold."
手子？,-Oh? -Teko?,（要）すまなかった 勘定を,My apologies. Could I have the bill?
下働きする助手のことだ,It's what we call an apprentice.,はい,Sure.
（トク）うん,Right.,こちらでお願いします,Here is your bill.
トクさんの現場だと―,"At Toku's workplace,",え？　こんなに安くていいのか？,Is it really this cheap?
資材を運んだり 道具をそろえたりか？,"they do things like carry materials and gather tools, right?",（美音）初めてのご来店なので サービスです,"It's your first time, so I gave you a discount."
そうそう そうそう,"Yes, that's right.",次回からは しっかり ぼったくらせていただきます,"From next time, I'll make sure to rip you off."
新しく入った弟子が 無断で休みやがった,The new apprentice skipped work without permission.,また お越しくださいね,Please come again.
（シンゾウ）ほう,-Oh. -Here's your beer.,ああ 必ず 次は おすすめが 売り切れないうちに,Definitely. Before your specials sell out next time.
具合が悪かったとか？,Was he sick?,はい お待ちしてます,"Yes, we'll be waiting for you."
だったら まだよかったんだがな,I wish that had been the case.,（美音）おはようございます,Good morning.
嫌んなったって言いやがるんだよ （馨）え？,-He said he was fed up. -What?,（シンゾウ）おお 美音坊 おはよう （美音）おはよう,"Good morning. Mine-bo, good morning."
朝起きて 今日も一日中― 足場の柱や板 運んだりすんのが―,"Said he woke up, and just felt fed up with carrying poles and wood all day long.",いいお天気ですね,Lovely weather.
もう 急に嫌になったってよ,It came out of nowhere.,（シンゾウ）今年の冬は 寒かったもんよ,It was cold this winter.
（シンゾウ） それで現場 空けたのかい,-So he skipped work? -Yeah.,そうですね でもようやく あったまってきましたね,"It was, but it's finally getting warmer."
ありかよ そんなの,"Hey now, that's not acceptable.",（シンゾウ）これから 買い物？,Going shopping?
そんなやつには 見えなかったんだがなあ…,He didn't seem like that kind of kid…,そうです ヒロシさんとこ行ってきます,"Yes, I'm going to Hiroshi's."
じゃあ トクさん 今日 大変だったんじゃ？,"You must have had a hard day, Toku.",（シンゾウ）今日のおすすめは何？,What's today's special?
ああ 現場監督 カンカンだよ,Yeah. The site supervisor was furious.,うーん まだ考え中,Still deciding.
いつもの２倍は働いたね,I did double my usual workload.,はい キャベツ安いよ いいよ いいの入ってるよ キャベツ！,"We've got cheap and fresh cabbages. Would you like some, ma'am?"
ああ だって 明日もよ― 朝イチから クレーム現場をやっつけて―,"And tomorrow, I have to deal with a complaint at a construction site,",どうですか いかがですか 奥さん （美音）ヒロシさん こんにちは,"We've got cheap and fresh cabbages. Would you like some, ma'am? Hello, Hiroshi."
そのあとに戸建ての解体もあるしよ,then take down a house site after that.,おう こんにちは どうした？　美音坊,"-Hello, what's up Mine-bo? -Hmm?"
（馨）ああ… じゃあ 明日も大変だ,So tomorrow will be tough too!,（美音）ん？ （ヒロシ）あれ そうだそうだ！,"-Hello, what's up Mine-bo? -Hmm? Hey, we got the stuff you ordered."
大変なんだよ,It really will be.,あの 美音坊 頼んでたやつ 入ったよ,"Hey, we got the stuff you ordered."
ああ 馨ちゃん もう１本つけて,"Kaoru, give me another.",ホント？　ありがとう,Really? Thank you!
（美音）トクさん,Toku.,あれ 何の料理 作んの？,What are you making with it?
明日に響くから 今日はもう締めにしましょ,It'll affect you tomorrow so let's call it a day.,はい お待たせしました,Here you go.
（シンゾウ）おっ そうか （トク）何だよ… 卵黄のみそ漬け以外にも おまけがあったか,"Oh, does that mean the egg yolk misozuke wasn't the only giveaway?",このにおい 懐かしい ありがとう,This smell brings back memories. Thank you!
大根には葉っぱが付き物ですから,"Daikon radish do come with leaves, after all.",いただきます,I'm digging in.
（馨）はい どうぞ,Here you go.,ん～ うれしい！ やっと食べられた,I'm so happy I can finally have this dish.
（トク）ああ 鮮やかだね この緑 うん,Such a brilliant green.,（リョウ）うまっ 何すか？　これ,It's good! What is this?
元気が湧いてきそうだ,This will give me energy.,（美音）ニンジンの葉っぱよ,They're carrot leaves.
外は まだ寒いけど― 春は すぐそこまでって感じよね,"It's still cold outside but this brings a spring feel, doesn't it?",ゴマの香りがいいでしょ？,"A nice sesame aroma, right?"
冬の名残のおでんと 春の先駆けの菜めし,"Oden ends winter, and rice with greens brings spring.",ん～ めっちゃうまい！ 初めて食べた～,It's so delicious! I've never had this before.
こいつは なかなか粋な出会いだね,A rather refined matchmaking.,言っとくけど 私のおかげだからね,"By the way, this is all thanks to me."
うん 言うねえ,"Yeah, well said.",リョウ君 たまたま来れて ラッキーだったね （リョウ）うっす！ （美音と馨の笑い声）,"Ryo, you're lucky to be here today."
じゃあ 卵黄のみそ漬けは さしずめ―,Then this egg yolk misozuke…,それにしても さすが 美音ちゃんって感じの味付けだよね,"It's seasoned so well as one would expect from you, Mine."
出会いを取り持つ― 春満月ってとこだな,is our matchmaker for the full moon of spring.,大丈夫だった？,Was it alright?
いよっ エヘヘヘ （馨）おおっ,-Nice one. -Wow!,お母さんの味とは だいぶ違うとは思ったんだけど,I know it's not the same as your mother's cooking.
（美音）こんにちは,Hello.,うーん うちのは― もうちょっと ゴマが少なかったのかな？,Maybe my mother used less sesame seeds? It had less flavor.
どうも ありがとうございました またお願いします （女性）はーい,"-Thank you, please come again! -Okay!",ああ ごめんね,"Maybe my mother used less sesame seeds? It had less flavor. I'm sorry, I used sesame seed oil without thinking."
こんにちは,Hello.,ついゴマ油で炒めちゃった,"I'm sorry, I used sesame seed oil without thinking."
（ヒロシ）おお 美音坊 （美音）ああ,"-Hey, Mine-bo. -Oh!",ああ でもいいの このほうがおいしいし ウフフ,"No, it tastes better this way."
あっ 昨日の大根どうだった？,How was yesterday's daikon radish?,だけど… お母さんの味が 食べたかったんじゃない？,But you must've wanted your mother's cooking.
あっ すっごくおいしかった みずみずしくて,It was really juicy and tasty.,フフッ いいんだってば お母さんの味はお母さんの味で ちゃんと覚えてるし,"Like I said, it's fine. I clearly remember my mother's cooking."
そうでしょ いいのよ あれ,Right? It's the good stuff.,これって― 私にとっては お母さんの思い出を 引っ張り出す― タグみたいなものなんだ,I think this dish is something I use as a tag to recall memories of my mother.
今日はね これよ かき菜,Today's special is kakina.,タグ？,Tag?
わあ おいしそう （ヒロシ）これ いいから 今日,-Looks delicious. -They're great today.,付箋みたいなものか,Like a sticky note?
じゃあ 頂いてこうかな,I'll take it.,これを食べるたびに お母さんとの思い出に出会えるの,"Every time I eat this, I get to meet memories of my mother."
ホント？　持っていこうか あとで,Yeah? I can deliver it.,それなら 少しでも おいしいほうがいいじゃない？,"In that case, the tastier the better, right?"
ううん 大丈夫 ここで買ってっちゃう （ヒロシ）あっ ホント？ （美音）うん,"-It's okay, I'll buy it now. -Okay.",ふーん そっか… そうだね フフッ,I see. I agree.
あと１つぐらいもらおっかな （ヒロシ）じゃあ２つね,I'll have one more. -Two then. -Yup.,お客さんの評判がよければ また作ってくれるでしょ？,"If the customers like it, you will make it again, right?"
（美音）うん （ヒロシ）はい ありがとう,Thank you.,もちろん,Of course.
（馨）はいはいはい,Here we go.,みんなが喜んでくれるなら― たまに おすすめ料理に 入れてもいいかも,"If everyone likes it, I could put it in the specials."
はい ウメさん （ウメ）ああ （馨）かき菜のおひたしと… （ウメ）ありがと （馨）いつもの梅割り,"Ume, here is kakina ohitashi and your usual shochu with hot water.",あっ やった！,Great!
はーい,Yes.,そしたら そのたびに私― お母さんの思い出に 会えるんだ フフフフッ,I can meet memories of my mother every time it's on the menu.
ええっと ２つと いただきます,I'll put two here. Thank you for this.,大根の葉っぱとは また違ったおいしさっすね,It has a different tastiness from daikon leaves.
ん？　このかき菜… からしじゃなくて わさびあえだね,This kakina ohitashi is made with wasabi and not karashi mustard.,この独特の香りがいいの,"Yes, I love this unique aroma."
そう！　たまには 違う辛さもいいでしょ,"Yes! A change in spice is nice, isn't it?",俺 これがメニューに入ったら 注文しまくりっすよ,I'll order this all the time if this is on the menu.
私が作ったんだよ,I made it.,あんた 大食いなんだから 私の分まで食べ尽くさないでよね （リョウのせき払い） （美音と馨の笑い声）,"You eat a lot, so make sure you don't go digging into my portion."
やるねえ 馨ちゃん （馨）エヘヘ… （ウメ）ん～,"Well done, Kaoru.",早いもん勝ちっすよ,"First come, first served."
お先っす （ウメ）どうも,-I'm heading out. -Bye now.,ご飯 お代わり！ （美音）はーい,-More rice please! -Yes.
ありがとうございます また来てね はーい,Thank you very much. -Please come again. -Okay.,イテテテテ！ ちょちょちょ… 痛いっすよ,Ouch! That hurts!
（美音）いらっしゃい （馨）トクさん,-Welcome. -Toku!,まあいいわ 許してあげる,"Fine, I'll forgive you."
おっ ウメ婆 来てたか,"Ume-ba, you're here.",何でアキさんに 許してもらわなきゃいけないんすか,Why do I need you to forgive me?
何か いいことあったの？ （トク）え？ （ウメ）ご機嫌だね,Do you have good news? You're in a great mood.,私が発案者だからよ いや でも作ったのは 美音さんでしょ,-Because I thought of this dish. -But Mine made it.
今日は来られなかったはずじゃ？,I thought you couldn't come.,痛い痛い 痛い痛い… 痛いっす 痛いっす 痛いっす！,Ouch! It hurts!
ああ 連チャンですまねえな （美音）ううん,-Sorry for the trouble. -Not at all.,ほらほら もう ２人とも そのへんにしておいて,"Enough, the both of you."
現場がうまく片づいたんでな 報告がてら寄らせてもらったんだよ,It went well at work and I wanted to tell you about it.,はい ありがとうございます,-Here's your rice. -Thank you.
（馨）はい 上着 預かる （トク）おう はいはい,-I'll take your jacket. -Thanks.,しばらくは おすすめ料理に入れておくから― また食べに来てね,"I'll put it in specials for a while, so come have it again."
昨日と同じ酒な （美音）はい （トク）あと みそ漬け,-The sake from yesterday and misozuke. -Yes.,うん！　ありがと ウフフ…,"I will, thank you."
はい,Sure.,食後は ほうじ茶にかぎるねえ,Hojicha is the best after a meal.
弟子がよ 朝一番で現場に来たんだよ,My apprentice came to the work site first thing in the morning.,年寄りくさいっす,You sound old.
（馨）え？ あの逃げ出しちゃった人？,-The one that bailed on work? -Yeah.,痛っ！,Ouch.
そうそう でな,"-The one that bailed on work? -Yeah. Bracing for the possibility we'd never be hired again,",飲んだくれる日もあるけど―,There are days I drink a lot.
二度と仕事はもらえない覚悟で―,"Bracing for the possibility we'd never be hired again,",お酒に逃げるよりも― 美音ちゃんのご飯を食べたほうが 元気になれるから不思議よね,"But somehow, eating Mine's cooking cheers me up more than drinking."
現場監督のとこ ２人で謝りに行ったんだよ,we went to apologize to the supervisor.,ああ それ分かります,I know the feeling.
そしたらよ “二度とあんたらには頼まないって 言いたいところだが―”,"And he says, ""'I don't want to work with you ever again', is what I want to say,",この店で飲みたくなるのは― むしろ調子いい時っすよね （アキ）うん,I come here when I'm actually doing well.
