w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
払う,気付く,届ける,倣う,透き通る,堪える,落着く,報ずる,寄る,刺さる
跳ぶ,取り戻す,捩る,捕る,有する,徹する,治める,掻き回す,隔たる,集まる
甘える,積む,揉む,埋める,裂ける,察する,分かる,阻む,止める,打付ける
握る,締める,目指す,得る,映る,広まる,組み込む,賭ける,召す,固まる
噛む,散る,浮く,詰める,出切る,引く,折り返す,漬ける,蒸す,補う
見落とす,跡切れる,跳ねる,下る,塞がる,乱れる,剥く,破れる,支える,折れる
潜る,崩れる,放れる,敷く,継ぐ,赤らむ,臨む,取り次ぐ,掲げる,害する
逃がす,掴む,訪ねる,嫌う,据える,響く,禁ずる,駆ける,止す,巡る
遊ぶ,濁る,乗り込む,突く,害する,傾く,命ずる,楽む,逃す,広げる
溶かす,済む,怠ける,注ぐ,酌む,弾く,照り返す,勤める,老ける,入る
向かう,途絶える,逆らう,揺れる,見逃す,捻る,妬む,治す,見下ろす,失う
覚える,選ぶ,燃やす,為る,付合う,間に合う,躊躇う,指す,偏る,定まる
静まる,飲む,止む,締め切る,凝らす,載る,破る,書き取る,比べる,剥げる
送る,沿う,欠く,名付ける,施す,適する,飽きる,刺す,言い出す,混ざる
察する,歪む,出る,嵩む,悟る,脅す,報ずる,曇る,紛れる,慌てる
仕える,空く,儲かる,鳴る,荒らす,案じる,取り壊す,包む,浮ぶ,狂う
載せる,強まる,荒らす,触れる,関する,増える,支払う,通す,深める,重ねる
涸れる,為す,書く,脱する,見掛ける,挟まる,経る,異なる,因る,加わる
写す,広がる,冷やす,湿気る,照らす,頂く,曲がる,長引く,含める,気触れる
吸う,叶う,囲む,譲る,見掛ける,揉める,ほめる,隔てる,誤る,溶く
途絶える,群がる,構う,報じる,泊める,申し出る,薄める,勧める,埋まる,占う
控える,富む,増やす,拐う,戻る,背く,騒ぐ,降り出す,目覚める,構う
納まる,混む,暮らす,脅かす,跨がる,吠える,感ずる,付ける,向ける,撃つ
基づく,責める,見付かる,逆上る,張り切る,剥ぐ,気に入る,離れる,早める,育てる
出合う,当てる,防ぐ,禁じる,収める,退く,沈める,遣り通す,摘む,飛び込む
怯える,抜かす,帯びる,就く,植える,思い出す,催す,抱える,愛する,逃す
急かす,剃る,急ぐ,語る,組む,導く,信ずる,罵る,設ける,告げる
殴る,無くす,達する,恐れ入る,担ぐ,躓く,仕上げる,盛る,隠す,絶つ
助かる,担う,延びる,突く,断る,苦しむ,信ずる,湿る,叫ぶ,暴れる
負う,嵩張る,待ち望む,写る,熱する,集める,畳む,差し引く,始める,取り囲む
持つ,洒落る,拝む,漏らす,超える,泳ぐ,起きる,勤める,滅びる,絡む
唱える,逸れる,要る,建てる,迫る,留まる,開く,鈍る,退ける,静まる
仕付ける,助ける,撫でる,来る,威張る,冷える,疲れる,越す,悩む,繋げる
追う,落ちる,損なう,拗れる,盗む,飛び出す,昇る,叱る,調べる,外す
交える,交わる,掻く,降ろす,広がる,群がる,過ぎる,羨む,上る,使う
拾う,占める,描く,薄める,消える,纏まる,咎める,彫る,入れる,売り出す
着飾る,賭ける,始まる,留まる,似通う,異なる,迫る,煙る,凍える,縮まる
震える,舞う,走る,閉まる,固まる,休む,掘る,尊ぶ,散蒔く,重ねる
閉める,歌う,詰める,馴れる,吠える,縛る,向く,縮める,眺める,汚す
及ぶ,落ちる,取り返す,削る,割り込む,映える,連なる,受ける,割る,備わる
迎える,縫う,染める,持て成す,解く,拗れる,怒る,避ける,操る,取り戻す
交ざる,当たる,錆びる,跨ぐ,測る,振舞う,強める,突っ込む,謝る,担う
映す,潜る,勝る,怒鳴る,似る,見付ける,苛める,届ける,葬る,廃れる
限る,扇ぐ,掲げる,嫌がる,茹でる,褒める,表す,頼る,倒れる,追う
取り組む,込む,居る,繋がる,削る,親しむ,納める,高める,諮る,刻む
願う,塞がる,照らす,着る,定める,弾む,教わる,計る,疑う,崩す
運ぶ,覚ます,聞く,泊まる,次ぐ,達する,減る,含める,尖る,捕る
固まる,留まる,設ける,切る,越える,生える,振る,構える,捗る,例える
収まる,話す,味わう,腫れる,注ぐ,放り出す,被せる,汚す,並べる,聞き取る
