Verbs,Meaning,Reading
荒らす,"to lay waste, to devastate, to damage, to invade, to break into ",あらす
暮らす,"to live, to get along",くらす
逸らす,"to turn away, to avert ",そらす
散らす,"to scatter, to disperse, to distribute",ちらす
照らす,"to shine on, to illuminate",てらす
鳴らす,"to ring, to sound, to chime, to beat, to snort (nose)",ならす
慣らす,to accustom,ならす
馴らす,"to domesticate, to tame",ならす
濡らす,"to wet, to soak, to dip",ぬらす
減らす,"to abate, to decrease, to diminish, to shorten ",へらす
漏らす,"to let leak, to reveal",もらす
ずらす,"to put off, to delay",ずらす
降ろす,"to take down, to launch, to drop ",おろす
合わす,"to join together, to face, to unite, to be opposite, to combine, to connect",あわす
交わす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside",かわす
浮かぶ,"to float, to rise to surface, to come to mind",うかぶ
悔やむ,to mourn,くやむ
老いる,"to age, to grow old",おいる
強いる,"to force, to compel, to coerce",しいる
植える,"to plant, to grow",うえる
飢える,to starve,うえる
終える,to finish,おえる
変える,to change,かえる
替える,"to exchange, to interchange, to substitute, to replace",かえる
換える,"to exchange, to interchange, to substitute, to replace",かえる
代える,"to exchange, to interchange, to substitute, to replace",かえる
消える,to disappear,きえる
越える,"to exceed, to cross over, to cross ",こえる
超える,"to exceed, to cross over, to cross ",こえる
冴える,"to be clear, to br serene, to be cold, to be skillful",さえる
据える,"to set (table), to lay (foundation), to place (gun), to apply (moxa)",すえる
添える,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex",そえる
耐える,"to bear, to endure",たえる
絶える,"to die out, to peter out, to become extinct ",たえる
堪える,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for",たえる
煮える,"to boil, to cook, to be cooked",にえる
生える,"to grow, to spring up, to cut (teeth)",はえる
映える,"to shine, to look attractive, to look pretty",はえる
冷える,to grow cold,ひえる
増える,to increase,ふえる
殖える,"to increase, to multiply",ふえる
吠える,"to bark, to bay, to howl, to bellow, to roar, to cry",ほえる
見える,to be in sight,みえる
燃える,"to burn, to get fired up",もえる
受かる,to pass (examination),うかる
掛かる,"to take (e.g. time, only, etc), to hang",かかる
分かる,to be understood,わかる
上がる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve ",あがる
下がる,"to hang down, to abate, to retire, to fall, to step back",さがる
曲がる,"to turn, to bend",まがる
飽きる,"to get tired of, to lose interest in, to have enough",あきる
生きる,to live,いきる
起きる,to get up,おきる
尽きる,"to be used up, to be　run out, to be exhausted, to be consumed, to come to an end ",つきる
過ぎる,to exceed,すぎる
開ける,to open,あける
明ける,"to dawn, to become　daylight",あける
活ける,to arrange (flowers),いける
受ける,to take a lesson or test,うける
掛ける,to hang something,かける
欠ける,to be lacking,かける
駆ける,"to run (race esp. horse), to gallop, to canter ",かける
賭ける,"to wager, to bet, to risk, to stake, to gamble ",かける
避ける,"to avoid (physical contact), o ward off, to avert ",さける
裂ける,"to split, to tear, to burst",さける
漬ける,"to soak, to pickle ",つける
付ける,"to attach, to join, to add, to append",つける
着ける,"to attach, to join, to add, to append",つける
点ける,"to turn on, to switch on, to light up",つける
浸ける,"to dip, to soak",つける
解ける,"to come untied, to come apart",とける
溶ける,"to melt, to thaw, to fuse, to dissolve",とける
退ける,"to remove, to take away, to dislodge, to put something out of the way",どける
抜ける,"to come out, to fall out, to be omitted",ぬける
化ける,"o appear in disguise, to take the form of, to change for the worse",ばける
更ける,"to get late, to advance, to wear on",ふける
老ける,to age,ふける
負ける,to lose,まける
向ける,"to turn towards, to point",むける
焼ける,"to burn, to be roasted",やける
分ける,"to divide, to separate",わける
上げる,to give,あげる
揚げる,"to lift, to fry",あげる
挙げる,"to raise, to fly",あげる
焦げる,"to burn, to be burned",こげる
下げる,"to hang, to lower, to move back",さげる
告げる,to inform,つげる
遂げる,"to accomplish, to achieve, to carry out",とげる
投げる,to throw or cast away ,なげる
逃げる,to escape,にげる
剥げる,"to come off, to be worn off, to fade, to discolor",はげる
曲げる,"to bend, to crook, to lean",まげる
起こる,"to occur, to happen",おこる
刺さる,"to stick, to be stuck",ささる
為さる,to do,なさる
混ざる,"to associate with, to mingle with, to join",まざる
交ざる,"to be mixed, to be blended with, to associate with, to mingle with, to join",まざる
閉じる,"to close (e.g. book, eyes), to shut ",とじる
綴じる,"to bind, to file",とじる
恥じる,to feel ashamed,はじる
混じる,"to be mixed, to be blended with, to associate with ",まじる
交じる,"to be mixed, to be blended with, to associate with",まじる
化する,"to change into, to convert into, to transform, to be",かする
着せる,"to put clothes on (someone), to dress, to clothe, to cover, to coat",きせる
乗せる,"to take on board, to give a ride ",のせる
載せる,"to place on (something), to take on board. to give a ride",のせる
見せる,to show,みせる
痩せる,to become thin,やせる
寄せる,"to collect, to gather, to add, to put aside ",よせる
混ぜる,"to mix, to stir",まぜる
交ぜる,"to be mixed, to be blended with ",まぜる
当たる,"to be hit, to be successful, to be equivalent to",あたる
落ちる,to fall or drop,おちる
落ちる,"to fail (e.g. exam), to fall down, to drop",おちる
朽ちる,to rot,くちる
満ちる,"to be full, to rise (tide), to mature, to expire",みちる
当てる,"to hit, to apply a patch",あてる
宛てる,to address,あてる
捨てる,to throw away ,すてる
立てる,to stand something up,たてる
建てる,to build,たてる
果てる,"to end, to be finished, to be exhausted, to die, to perish",はてる
持てる,"to be able to possess s (hold, get, etc.), to be well liked, to be popular, to endure",もてる
撫でる,"to brush gently, to stroke",なでる
茹でる,to boil ,ゆでる
兼ねる,"to hold (position), to serve, to be unable",かねる
跳ねる,"to jump, to leap",はねる
浴びる,"to bathe, to bask in he sun, to shower ",あびる
帯びる,"to wear (sword, decoration, etc.), to carry, to be entrusted (e.g. with a mission), to take on",おびる
錆びる,"to rust, to become rusty",さびる
伸びる,"to stretch, to extend, to make progress, to grow (beard, body height) ",のびる
延びる,to be prolonged,のびる
詫びる,to apologize,わびる
食べる,to eat,たべる
述べる,"to state, to express, to mention ",のべる
決まる,"to be decided, to be settled, to look good in (clothes)",きまる
閉まる,"to close, to be closed",しまる
染まる,to dye,そまる
溜まる,"to collect, to gather, to save",たまる
詰まる,"to be blocked, to be packed",つまる
止まる,to come to a halt,とまる
泊まる,to lodge at,とまる
留まる,"to be fixed, to abide, to stay",とまる
填まる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived, to be",はまる
染みる,"to pierce, to permeate",しみる
埋める,"to bury, to fill up, to fill (a seat, a vacant position)",うめる
決める,to decide,きめる
込める,"to include, to put into",こめる
覚める,"to wake, to wake up",さめる
冷める,"to become cool, to wear off, to abate, to subside",さめる
閉める,to close something,しめる
締める,to tie,しめる
占める,"to comprise, to account for, to make up, to hold, to occupy ",しめる
責める,"to condemn, to blame, to criticize",せめる
攻める,"to attack, to assault",せめる
染める,"to dye, to colour",そめる
溜める,"to amass, to accumulate",ためる
詰める,"to pack, to shorten, to work out (details)",つめる
留める,"to fasten, to turn off, to detain ",とめる
止める,to stop something,とめる
泊める,"to give shelter to, to lodge ",とめる
嘗める,"to lick, to taste, to experience, to make fun of,  to make light of, to put down",なめる
填める,"to get in, to insert, to put on, to make love",はめる
褒める,"to praise, to admire, to speak well",ほめる
揉める,"to disagree, to dispute",もめる
止める,to stop,やめる
辞める,to retire,やめる
ほめる,to praise,ほめる
積もる,to pile up,つもる
降りる,"to get off, to descend",おりる
下りる,"to get off, to descend",おりる
借りる,to borrow,かりる
懲りる,"to to learn by experience, to be disgusted with",こりる
足りる,to enough,たりる
入れる,to put in,いれる
売れる,to be sold,うれる
折れる,to break or be folded,おれる
枯れる,"to wither, to die (plant), to be blasted (plant)",かれる
涸れる,"to dry up, to run out",かれる
切れる,"to cut well, to be sharp, to break off",きれる
暮れる,"to get dark, to come to an end",くれる
呉れる,"to give, to let one have, to do for one, to be given",くれる
擦れる,"to rub, to chafe, to wear, to become sophisticated",すれる
逸れる,"to stray (turn) from subject, to get lost, to go astray",それる
垂れる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave ",たれる
取れる,"to come off, to be taken off, to be removed",とれる
慣れる,to grow accustomed to,なれる
馴れる,"to become domesticated, to become tame",なれる
濡れる,to get wet,ぬれる
晴れる,to be sunny,はれる
腫れる,"to swell (from inflammation), to be become swollen",はれる
触れる,"to touch, to be touched, to touch on a subject, to feel, to violate (law, copyright, etc.), to perceive, t",ふれる
漏れる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted",もれる
揺れる,"to shake, to sway",ゆれる
割れる,to break,われる
植わる,to be planted,うわる
終わる,"to finish, to close",おわる
変わる,to change,かわる
代わる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take ",かわる
やっ付ける,to beat,やっつける
ぶら下げる,"to hang, to suspend, to dangle, to swing",ぶらさげる
やり遂げる,to accomplish,やりとげる
損なう,"to harm, to hurt, to injure, to damage, to fail in doing",そこなう
逆らう,"to go against, to oppose, to disobey, to defy",さからう
味わう,"to taste, to savor, to relish",あじわう
賑わう,"to prosper, to flourish, to do thriving business, to be crowded with people",にぎわう
動かす,"to move, to shift",うごかす
脅かす,"to threaten, to coerce ",おどかす
乾かす,"to dry (clothes, etc), to desiccate",かわかす
転がす,to roll,ころがす
及ぼす,"to exert, to cause, to exercise",およぼす
滅ぼす,"to destroy, to overthrow, to wreck, to ruin ",ほろぼす
悩ます,"to afflict, to torment, to harass, to molest",なやます
励ます,"to encourage, to cheer, to raise (the voice)",はげます
費やす,"to spend, to devote, to waste ",ついやす
遅らす,"to retard, to delay ",おくらす
凝らす,"to freeze, to congeal",こごらす
齎らす,"to bring, to take, to bring about",もたらす
悲しむ,"to be sad, to mourn for, to regret",かなしむ
苦しむ,"to suffer, to grain, to be worried",くるしむ
親しむ,"to be intimate with, to befriend",したしむ
楽しむ,to enjoy oneself,たのしむ
赤らむ,"to become red, to redden, to blush",あからむ
危ぶむ,"to fear, to have misgivings, to be doubtful to mistrust",あやぶむ
膨らむ,"to expand, to swell (out), to get big, to become inflated",ふくらむ
率いる,"to lead, to spearhead (a group), to command (troops)",ひきいる
用いる,"to use, to make use of",もちいる
与える,"to give, to present, to award",あたえる
甘える,"to behave like a spoiled child, to fawn on",あまえる
押える,"to stop, to restrain, to seize, to repress, to suppress, to press down",おさえる
教える,"to teach, to tell",おしえる
怯える,"to become frightened, to have a nightmare",おびえる
覚える,to remember,おぼえる
抱える,to hold or carry under or in the arms,かかえる
数える,to count,かぞえる
叶える,"to grant (request, wish)",かなえる
構える,to set up,かまえる
鍛える,"to forge, to drill, to temper, to train, to discipline",きたえる
加える,"to append, to sum up, to add up",くわえる
栄える,"to prosper, to flourish",さかえる
凍える,"to freeze, to be chilled, to be frozen",こごえる
支える,"to support, to hold, to maintain",ささえる
答える,to answer,こたえる
備える,"to furnish, to provide for, to equip, to install",そなえる
具える,to be furnished with,そなえる
聳える,"to rise, to tower, to soar",そびえる
揃える,"to put things in order, to arrange, to make uniform, to get something ready",そろえる
例える,"to compare, to liken, to speak figuratively, to illustrate, to use a simile",たとえる
違える,to change,ちがえる
仕える,"to serve, to work for",つかえる
伝える,to report,つたえる
唱える,"to recite, to chant, to call upon",となえる
捕える,"to seize, to grasp, to capture, to arrest",とらえる
控える,"to draw in, to hold back, to make notes, to be temperate in",ひかえる
震える,"to shiver, to shake, to quake",ふるえる
交える,"to mix, to converse with, to cross",まじえる
迎える,to go out to meet,むかえる
預かる,"to keep in custody, to receive on deposit, to take charge of",あずかる
助かる,"to be saved, to be rescued, to survive, to be helpful",たすかる
儲かる,"to be profitable, to yield a profit",もうかる
嫌がる,"to hate, to dislike",いやがる
転がる,"to roll, to tumble",ころがる
繋がる,"to be tied together, to be connected, to be related to",つながる
広がる,"to spread (out), to extend, to stretch, to reach to, to get around",ひろがる
塞がる,"to be plugged up, to be shut up",ふさがる
跨がる,"to extend over or into, to straddle",またがる
群がる,"to swarm, to gather",むらがる
預ける,"to give into custody, to entrust, to deposit",あずける
砕ける,"to break, to be broken, to be smashed, to collapse, to crumble",くだける
授ける,"to grant, to give, to confer, to award, to teach, to instruct",さずける
助ける,"to save, to rescue, to help, to assist, to support, to facilitate, to stimulate, to promote",たすける
続ける,"to continue, to keep up, to keep on",つづける
届ける,"to deliver, to forward, to send, to deliver, to forward, to send",とどける
蕩ける,"to melt (and become soft or liquid), to be enchanted (by), to be charmed",とろける
怠ける,"to be idle; to slacken, to neglect (e.g. one's work)",なまける
儲ける,"to profit, to get, to earn, to gain, to have",もうける
設ける,"to prepare, to provide, to set up; to establish; to organize",もうける
掲げる,.,かかげる
捧げる,.,ささげる
繋げる,.,つなげる
広げる,.,ひろげる
案じる,.,あんじる
演じる,.,えんじる
応じる,.,おうじる
感じる,.,かんじる
禁じる,.,きんじる
信じる,.,しんじる
通じる,.,つうじる
転じる,.,てんじる
報じる,.,ほうじる
命じる,.,めいじる
論じる,.,ろんじる
愛する,.,あいする
害する,.,がいする
関する,.,かんする
恋する,.,こいする
察する,.,さっする
制する,.,せいする
接する,.,せっする
即する,.,そくする
属する,.,ぞくする
対する,.,たいする
達する,.,たっする
脱する,.,だっする
適する,.,てきする
徹する,.,てっする
熱する,.,ねっする
罰する,.,ばっする
反する,.,はんする
面する,.,めんする
有する,.,ゆうする
要する,.,ようする
演ずる,.,えんずる
応ずる,.,おうずる
感ずる,.,かんずる
禁ずる,.,きんずる
信ずる,.,しんずる
報ずる,.,ほうずる
命ずる,.,めいずる
論ずる,.,ろんずる
被せる,.,かぶせる
任せる,.,まかせる
隔たる,.,へだたる
慌てる,.,あわてる
煽てる,.,おだてる
育てる,.,そだてる
隔てる,.,へだてる
重なる,.,かさなる
異なる,.,ことなる
連なる,.,つらなる
重ねる,.,かさねる
訪ねる,.,たずねる
尋ねる,.,たずねる
連ねる,.,つらねる
萎びる,.,しなびる
滅びる,.,ほろびる
比べる,.,くらべる
調べる,.,しらべる
並べる,.,ならべる
集まる,.,あつまる
埋まる,.,うずまる
収まる,.,おさまる
納まる,.,おさまる
治まる,.,おさまる
固まる,.,かたまる
定まる,.,さだまる
静まる,.,しずまる
高まる,.,たかまる
縮まる,.,ちぢまる
捕まる,.,つかまる
勤まる,.,つとまる
強まる,.,つよまる
留まる,.,とどまる
止まる,.,とどまる
挟まる,.,はさまる
始まる,.,はじまる
広まる,.,ひろまる
深まる,.,ふかまる
纏まる,.,まとまる
弱まる,.,よわまる
集める,.,あつめる
苛める,.,いじめる
痛める,.,いためる
炒める,.,いためる
薄める,.,うすめる
収める,.,おさめる
納める,.,おさめる
治める,.,おさめる
固める,.,かためる
定める,.,さだめる
沈める,.,しずめる
進める,.,すすめる
勧める,.,すすめる
高める,.,たかめる
縮める,.,ちぢめる
勤める,.,つとめる
務める,.,つとめる
努める,.,つとめる
強める,.,つよめる
咎める,.,とがめる
留める,.,とどめる
止める,.,とどめる
始める,.,はじめる
眺める,.,ながめる
広める,.,ひろめる
深める,.,ふかめる
含める,.,ふくめる
纏める,.,まとめる
丸める,.,まるめる
認める,.,みとめる
求める,.,もとめる
休める,.,やすめる
緩める,.,ゆるめる
弱める,.,よわめる
早める,.,はやめる
呆れる,.,あきれる
暴れる,.,あばれる
溢れる,.,あふれる
遅れる,.,おくれる
恐れる,.,おそれる
溺れる,.,おぼれる
隠れる,.,かくれる
崩れる,.,くずれる
汚れる,.,けがれる
拗れる,.,こじれる
零れる,.,こぼれる
壊れる,.,こわれる
痺れる,.,しびれる
優れる,.,すぐれる
廃れる,.,すたれる
倒れる,.,たおれる
縮れる,.,ちぢれる
疲れる,.,つかれる
潰れる,.,つぶれる
流れる,.,ながれる
逃れる,.,のがれる
外れる,.,はずれる
離れる,.,はなれる
放れる,.,はなれる
膨れる,.,ふくれる
紛れる,.,まぎれる
乱れる,.,みだれる
凭れる,.,もたれる
破れる,.,やぶれる
汚れる,.,よごれる
別れる,.,わかれる
忘れる,.,わすれる
教わる,.,おそわる
係わる,.,かかわる
加わる,.,くわわる
備わる,.,そなわる
伝わる,.,つたわる
交わる,.,まじわる
驚かす,"to surprise, to frighten, to create a stir",おどろかす
誂える,"to give an order, to place an order",あつらえる
出会う,"to meet by chance, to come across, to happen to encounter",であう
出合う,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date",であう
似合う,"to suit, to match, to become, to be like",にあう
背負う,"to be burdened with, to carry on back or shoulder",せおう
仕舞う,"to finish, to close, to do something completely, to put away, to put an end to",しまう
見舞う,"to ask after (health), to visit",みまう
藻掻く,"to struggle, to wriggle, to be impatient",もがく
気付く,"to notice, to recognize, to become aware of",きづく
目指す,"to aim at, to have an eye on",めざす
目立つ,"to be conspicuous, to stand out",めだつ
仕切る,"to partition, to divide, to mark off, to settle accounts, to toe the mark",しきる
出切る,"to be out of, to have no more at hand",できる
区切る,"to punctuate, to cut off, to mark off, to stop, to put an end to ",くぎる
湿気る,"to be damp, to be moist",しける
強請る,"te tease, to coax, to solicit, to demand",ねだる
怒鳴る,"to shout, to yell",どなる
真似る,"to mimic, to imitate",まねる
威張る,"to be proud, to swagger",いばる
流行る,"to flourish, to thrive, to be popular, to come into fashion",はやる
付合う,"to associate with, to keep company with, to get on with",つきあう
揶揄う,"to ridicule, to tease, to banter with, to make fun of",からかう
間違う,"to make a mistake, to be incorrect, to be mistaken",まちがう
手伝う,to assist,てつだう
振舞う,"to behave, to conduct oneself, to entertain (vt)",ふるまう
似通う,to resemble closely,にかよう
支払う,to pay,しはらう
躊躇う,to hesitate,ためらう
落着く,"to calm down, to settle down",おちつく
傷付く,"to be hurt, to be wounded, to get injured",きずつく
片付く,"to put in order, to dispose of, to solve",かたづく
近付く,"to approach, to get near, to get acquainted with, to get closer",ちかづく
長引く,"to be prolonged, to drag on",ながびく
散蒔く,"to disseminate, yo scatter, to give money freely",ばらまく
見直す,"to look again, to get a better opinion of",みなおす
見逃す,"to miss, to overlook, to leave at large",みのがす
指差す,to point at,ゆびさす
見渡す,"to look out over, to survey (scene), to take an extensive view of ",みわたす
引出す,"to pull out, to take out, to draw out, to withdraw",ひきだす
役立つ,"to be useful, to be helpful, to serve the purpose",やくだつ
微笑む,to smile,ほほえむ
裏切る,"to betray, to turn traitor to, to double-cross",うらぎる
横切る,"to cross (e.g. arms), to traverse",よこぎる
見送る,"(1) to see off, to farewell,(2) to escort,(3) to let pass",みおくる
着飾る,to dress up,きかざる
嵩張る,"to be bulky, to be unwieldy, to grow voluminous ",かさばる
片寄る,"to be one-sided, to incline, to be partial",かたよる
近寄る,"to approach, to draw near",ちかよる
洒落る,"to joke, to play on words, to dress stylishly",しゃれる
引返す,"to repeat, to send back, to bring back ",ひきかえす
裏返す,"to turn inside out, to turn (something) over",うらがえす
心得る,"to be informed, to have thorough knowledge",こころえる
引受る,"to undertake, to take up, to take over",ひきうける
物語る,"to tell, to indicate",ものがたる
逆上る,"to go back, to go upstream, to make retroactive",さかのぼる
上回る,to exceed,うわまわる
見落とす,"to overlook, to fail to notice",みおとす
蹴飛ばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",けとばす
見下ろす,"to overlook, to command a view of, to look down on something",みおろす
途絶える,"to stop, to cease, to come to an end",とだえる
見付かる,"to be found, to be discovered",みつかる
仕上がる,to be finished,しあがる
打付ける,"to knock, to run into, to nail on, to strike hard, to hit and attack",ぶつける
仕掛ける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge",しかける
仕付ける,.,しつける
手掛ける,.,てがける
出掛ける,.,でかける
名付ける,.,なづける
見掛ける,.,みかける
見付ける,.,みつける
仕上げる,.,しあげる
仕立てる,.,したてる
目覚める,.,めざめる
気触れる,.,かぶれる
仕入れる,.,しいれる
跡切れる,.,とぎれる
見慣れる,.,しつける
付き合う,"to associate with, to keep company with, to get on with",つきあう
釣り合う,"to balance, to be in harmony, to suit ",つりあう
間に合う,to be in time for,まにあう
引っ掻く,to scratch,ひっかく
追い付く,"to overtake, to catchup (with)",おいつく
受け継ぐ,"to inherit, to succeed, to take over",うけつぐ
取り次ぐ,"to act as an agent for, to announce (someone), to convey (a message)",とりつぐ
差し引く,to deduct,さしひく
取り巻く,"to surround, to circle, to enclose",とりまく
言い出す,"to start talking to speak, to tell, to propose, to suggest, to break the ice ",いいだす
売り出す,"to put on sale, to market, to become popular",うりだす
追い出す,.,おいだす
差し出す,.,さしだす
飛び出す,.,とびだす
取り出す,.,とりだす
投げ出す,.,なげだす
逃げ出す,.,にげだす
抜け出す,.,ぬけだす
降り出す,.,ふりだす
呼び出す,.,よびだす
打ち消す,.,うちけす
取り消す,.,とりけす
引っ越す,.,ひっこす
追い越す,.,おいこす
持て成す,.,もてなす
成り立つ,.,なりたつ
受け持つ,.,うけもつ
打ち込む,.,うちこむ
埋め込む,.,うめこむ
追い込む,.,おいこむ
押し込む,.,おしこむ
落ち込む,.,おちこむ
組み込む,.,くみこむ
突っ込む,.,つっこむ
溶け込む,.,とけこむ
飛び込む,.,とびこむ
取り組む,.,とりくむ
飲み込む,.,のみこむ
乗り込む,.,のりこむ
引っ込む,.,ひっこむ
割り込む,.,わりこむ
気に入る,.,きにいる
打ち切る,.,うちきる
噛み切る,.,かみきる
締め切る,.,しめきる
張り切る,.,はりきる
申し出る,.,もうしでる
受け取る,.,うけとる
書き取る,.,かきとる
乗っ取る,.,のっとる
引き取る,.,ひきとる
突っ張る,.,つっぱる
引っ張る,.,ひっぱる
立ち寄る,.,たちよる
話し合う,.,はなしあう
食い違う,.,くいちがう
取り除く,.,とりのぞく
思い付く,.,おもいつく
辿り着く,.,たどりつく
結び付く,.,むすびつく
折り返す,.,おりかえす
繰り返す,.,くりかえす
照り返す,.,てりかえす
遣り通す,.,やりとおす
思い出す,.,おもいだす
放り出す,.,ほうりだす
掻き回す,.,かきまわす
取り戻す,.,とりもどす
払い込む,.,はらいこむ
放り込む,.,ほうりこむ
申し込む,.,もうしこむ
待ち望む,.,まちのぞむ
恐れ入る,.,おそれいる
透き通る,.,すきとおる
