Words,Reading,Meaning
落とす,おとす,to drop
落ち着く,おちつく,to calm down
落ち着いた,おちついた,calm
下落,げらく,depreciation
清廉,せいれん,honesty
落ち込む,おちこむ,to feel down
見落とす,みおとす,to overlook
落ち葉,"おちば, らくよう",fallen leaves
風景,ふうけい,scenery
メートル,メートル,metre
月,がつ,month
所,ところ,place
選ぶ,えらぶ,to choose
選択,せんたく,selection
選手,せんしゅ,player (in game)
選択肢,せんたくし,choices
選び,えらび,choosing
選挙,せんきょ,election
宿,やど,lodging
採択,さいたく,adoption
選択的,せんたくてき,selective
宿泊,しゅくはく,lodging
合宿,がっしゅく,lodging together
宿題,しゅくだい,homework
全国,ぜんこく,countrywide
宿舎,しゅくしゃ,lodging house
宿泊客,しゅくはくきゃく,guest (esp. hotel)
宿泊費,しゅくはくひ,hotel charge
下宿,げしゅく,boarding
宿す,やどす,to keep (guest)
お客様,おきゃくさま,guest
顧客,"こきゃく, こかく",customer
観光客,かんこうきゃく,tourist
集客,しゅうきゃく,attracting customers
接客,せっきゃく,serving customers
観客,かんきゃく,audience
サイト,サイト,site
客観的,きゃっかんてき,objective
客室,きゃくしつ,guest room (at a hotel)
乗客,"じょうきゃく, じょうかく",passenger
高さ,たかさ,height
来客,"らいきゃく, らいかく",visitor
旅客,"りょかく, りょきゃく",passenger (transport)
客車,"きゃくしゃ, かくしゃ",passenger car
常連客,じょうれんきゃく,regular customer
旅館,りょかん,ryokan
宿泊客,しゅくはくきゃく,guest (esp. hotel)
利用客,りようきゃく,user
観客席,かんきゃくせき,audience seating
旅行客,りょこうきゃく,tourist
様々,さまざま,varied
アンケート,アンケート,questionnaire
皆様,みなさま,everyone
様子,ようす,state
仕様,しよう,way
同様,どうよう,identical
模様,もよう,"pattern, figure, design"
旅行先,りょこうさき,destination
紹介,しょうかい,introduction
こと,こと,thing
旅行,りょこう,travel
規模,きぼ,scale
模型,もけい,model
模試,もし,mock examination
模する,もする,to imitate
模擬,もぎ,imitation
模倣,もほう,imitation
参考になる,さんこうになる,to be of use as a reference
参加,さんか,participation
参考,さんこう,reference
参照,さんしょう,reference
参加者,さんかしゃ,participant
重要,じゅうよう,important
でしょうか,でしょうか,don't you think?
出かける,でかける,to go out
評価,ひょうか,valuation
際,さい,on the occasion of
ランキング,ランキング,ranking
気になる,きになる,to be on one's mind
ない,ない,not
一つ,ひとつ,one
総合的,そうごうてき,synthetic
閲覧,えつらん,inspection
その,その,that
人気,にんき,popularity
元,もと,origin
数,すう,several
作成,さくせい,drawing up
今回,こんかい,now
兵庫県,ひょうごけん,Hyogo prefecture
ホテル,ホテル,hotel
