Script,Meaning
こまを回す,Spin a wheel
回り道,Make a detour
回答する,Answer a question
回数券,Coupon
次回,Next time
刀で刺す,Stab with a knife
ナイフが刺さる,Knife stab
刺身,Stab
名刺,Business card
刺激が強い,Irritating
針で突く,Poke with a needle
つえを突いて歩く,Walking with a stick
車に衝突する,Crashing into a car
突然の出来事,Sudden event
封鎖を突破する,Breaking through a blockade
グラスを取る,Take a glass
書類を受け取る,Receiving Documents
ビザを取得する,Getting a visa
取材する,Interviewing
有利な取引,Make a lucrative deal
草が伸びる,Make the grass grow
学力を伸ばす,Improve your academic performance
背伸びをする,grow taller
伸縮する,stretch
伸び率,rate of growth
欠伸,lack of stretch
病気に急ぐ,Hurry to sickness
急いで学校へ行く,Hurrying to school
急な用事,Urgent business
急病,Sudden illness
急行,Express
特急,Express
椅子に座る,Sit on a chair
座布団に座る,Sitting on a cushion
座席,Sitting in a seat
正座する,Sitting upright
座談会,Sitting
小石が坂を転がる,A pebble rolls down a hill
たるを転がす,Rolling down a slope
雪道で滑って転ぶ,Slipping and falling on a snowy road
回転する,Spinning
転勤する,Transferring to a new job
運転する,Drive
転校生,Transfer student
自転車,Bicycle
転々する,Move from place to place
移転する,Move
転落する,Falling down
逆転する,Turn around
転換する,Turn
木が倒れる,Fall down a tree
敵を倒す,Defeat the enemy
転倒する,Fall down
会社が倒産する,The company will go bankrupt
倒立する,Fall down
舞台に出る,Go on stage
病院に見舞いに行く,Go to the hospital to visit
仕舞う,Put away
仕舞う,Shut it down
歌舞伎,Kabuki
ダンスを踊る,Dancing
盆踊り,Bon dance
階段の踊り場,Stairway Dance
日本舞踊,Japanese dance
踊り子,Dancer
痛みを感じる,Feeling the pain
感心な子供,An impressed child
映画に感動する,Moved by a movie
感謝する,Gratitude
感情を表現する,Expressing emotions
人の情けを知る,Knowing the compassion of others
感情を表す,Expressing feelings
情報を集まる,Gathering Information
同情する,Feel sympathy
真剣な表情,Serious expression
そよ風が快い,A gentle breeze is pleasant
愉快な友達,Pleasant friends
快晴,Fine weather
快適な温度,Comfortable temperature
エンジンは快調だ,Engine running well
生活が苦しい,Life is hard
苦い薬,Bitter medicine
苦手,Bitter
苦労する,Struggling
苦情受け付け係,Complaint taker
苦心,Struggling
歯が痛む,Toothache
胸を痛める,Chest pain
頭痛,Headache
苦痛を感じる,Feel pain
痛感する,Feel pain
体が弱くて困る,Feeling weak and in trouble
お金に困る,Having trouble with money
困難をのり越える,Overcome difficulties
貧困家庭,Poor family
困惑,Confused
試合に勝って喜ぶ,Happy to win a game
喜びを感じる,Feel joy
喜劇,Comedy
喜ばしい出来事,A joyful event
歓喜して,Rejoice
悲しい知らせ,Sad news
父の死を悲しむ,Saddened by the death of his father
悲劇,Tragedy
悲鳴をあげる,Scream
悲惨な結末,Tragic end
病気に悩む,Distressed by illness
悩みがある,Have a problem
問題の解決に苦悩する,Struggling to solve a problem
悩ましい女性,A distressed woman
煩悩が生じる,Affliction arises
辛いカレー,Spicy curry
香辛料を入れる,To add spices
辛口,To have a spicy taste
辛抱する,To have patience
つらい修行,Painful training
甘いお菓子,Sweet treats
親に甘える,Spoil the parents
子供を甘やかす,Spoil a child
甘口,Sweet talk
甘味料,Sweeteners
作品に触らないでください,Please don't touch my work
髪がほおに触れる,Hair touching your cheek
感触がいい,Good touch
接触する,Make contact
抵触する,Conflict
触発する,Touching
触媒,Catalyst
柔らかな布団,Soft bedding
体が柔らかい,Soft body
柔道,Judo
柔和な性格の人,Mild-mannered
柔軟な考え方,Flexible thinking
硬い石,Hard stone
硬い土,Hard soil
顔の表情が硬い,Hard facial expression
100円硬貨,100 yen coin
強硬な意見,Hard opinions
硬直した価値観,Rigid values
息が荒い,Rough breathing
海が荒れる,The sea is rough
荒れ地,Wasteland
荒天,Rough weather
戦争で荒廃した国土,War-torn land
体の動きが鈍い,Sluggish body movement
頭の働きが鈍る,The head is slow to work
鈍感な人,Blunt
鈍器 ,Blunt 
鈍行,Slow to move
鈍化する,To slow down
美しい景色,Beautiful scenery
美しい話,Beautiful story
美人,Beautiful people
美男美女,Beautiful men and women
美容院,Beauty Parlor
美術品,Artwork
汚れた服,Dirty clothes
シャツを汚す,Dirty shirt
汚い手,Dirty hands
心が汚れる,Dirty mind
汚水,Dirty water
汚染される,Be contaminated
入学を希望する,Seeking Admission
平和を希求する,Seeking peace
ダイヤモンドは希少価値がある,Diamonds are rare and valuable
希薄溶液,Dilute solution
熱意が希薄だ,Enthusiasm is rare
希望者,Hopeful
大きな望みを持つ,Have great hopes
失望する,Disappointed.
切望する,Longing
望遠鏡,Telescope
大望をいだく,Have great hopes
スターを夢見る,Dreaming of a Star
初夢,First dream
夢物語,Dreaming stories
テレビゲームに夢中になる,Becoming obsessed with video games
悪夢,Nightmare
恋する,Falling in love
恋人,Lover
母が恋しい,I miss my mother
家を恋しがる,I miss my home
失恋する,I miss my heart
初恋,First love
恋文,Love letters
子供を愛する,Love for a child
母の愛,Mother's love
愛情,Affection
恋愛する,Fall in love
恋愛小説,Love novels
愛読書,Love reading books
愛用する,Love to use
愛用のカメラ,Love cameras
世の中の不正を憎む,Hate the injustice in the world
憎しみを持つ,Have hatred
憎らしい雨,Hateful rain
犯人を憎悪する,Hate the criminal
生憎,Raw hatred
感想を述べる,Give your opinion
予想する,Predict
思想,Thought
空想する,Fantasize
愛想がいい,Amiable
理想 ,Ideal 
連想する,Associating
想像する,Imagine
可哀想,Pity
発想する,To imagine
構想する,Conceive
回想する,Recall
幻想 ,Fantasy 
想定する,Assumption
予想外,Unexpected
仏像,Buddha statue
石像,stone statue
映像,Image
座像,Seated image
写真を現像する,Developing a photograph
想像する,Imagine
画像,image
実像,Real image
子供はおもちゃを欲しがる,A child desires a toy
欲望,Desire
食欲がある,A person has an appetite
病人は水を欲している,A sick person wants water
欲張り,Greed
意欲 ,Willingness 
平和を求める,Desire for peace
求人する,Seek a job
求職する,Seeking a job
要求する,Demand
追求する,Pursue
欲求する,Desire
探求する,Explore
請求する,Request
請求書 ,Invoice 
無事を祈る,Pray for safety
お祈りをする,Say a prayer
合格を祈願する,Pray for success
祈念する,pray for success
祈り,Pray
祈祷する,Pray
子の幸せを願う,Pray for the happiness of your child
願いがかなう,to have a wish come true
強い願望を持つ,have a strong desire
入学願書,Application for admission
お願いします ,I beg you 
請願する,To petition
志願する,Apply
悲願する,Make a plea
出願する,Apply
神を信じる,Trust God
人を信用する,Trust in People
自信を持つ,Have Confidence
信頼する,Trust
信号,Signal
迷信する,Superstitious
通信する,To communicate
確信する,Confidence
人を疑う,Doubting People
疑わしい話,Suspicious talk
疑問を持つ,Have doubts
事件の容疑者,Suspect in a case
疑問符,Question mark
ばらの花が香る,Smell of roses
お茶の香りがする,Smells like tea
香水,Perfume
お線香,Incense
香辛料,Spices
香ばしい,Fragrant
優しい性質,Gentle nature
優れた作品,Excellent work
優越感,Superiority
優秀な学生,Excellent student
優勝する,Winners
優先席,Preferred seat
俳優,Actors
優美な舞踊,Graceful Dance
頭が良い,Good head
気分が良くない,Not feeling well
良書,Good book
良心が咎める,My conscience is troubled
結果は良好,Good results
仲良し,good friends
良識,good sense
良し悪し,Good or bad
天気が悪い,Weather is bad
悪口を言う,Saying bad things
悪人,Bad people
悪寒がする,I get chills
憎悪を感じる,Feel hatred
悪魔,Demon
悪い,Bad
悪戯,Mischief
意地悪,Mean
悪化,Evil
悪夢,Nightmares
幸いにけがはなかった,"Fortunately, no one was injured."
海の幸,Seafood
幸せな家庭,Happy family
幸運,Good luck
不幸,Unhappiness
幸福 ,Good Fortune 
幸い,Happiness
幸福な人生,Happy Life
結婚を祝福する,Blessing Marriage
社員のための福利厚生説,Welfare theory for employees
福祉 ,Welfare 
裕福,Wealth
社会福祉,Social Welfare
至福 ,Bliss 
風が和らぐ,Ease of the wind
和やかな雰囲気,Harmonious atmosphere
心が和む,Peace of mind
平和,Peace
和服,Japanese clothes
和尚,Harmony
調和する,Harmonize
声を和らげる,Soothes the voice
温和な気候,Mild Climate
中和曲線,Neutralizing curve
和解する,Reconcile
和牛,Wagyu
和室,Japanese Room
父と別れる,Separation from Father
別れ,Farewell
特別,Special
区別,Separation
送別会,Farewell party
別々,Separation
差別,Discrimination
別荘,Separate Villa
別に,Separate
格別,Separate
個別,Individual
別居,Separate
別人,Separate people
識別,Identification
別問題,Different problems
選別する,Sort out
大別する,Sort by major
戸別訪問,Go door to door
決別する,Break up
別館,Separate building
分別する,Separate
予定が決まる,Make a plan
決心する,Make up your mind
決勝戦,Final
決定する,Decide
決して負けない,Never lose
解決する,Resolve
判決する,Decide
決断する,Decide
多数決,Majority rule
決まり,Decide
可決する,Pass
決意する,Decide
対決する,Vote
議決する,Vote
決算する,Settle
否決する,Vote No
採決する,Vote
私事,Private affairs
私立大学,Private University
私鉄,Private railway
私用,Private
私物,Private property
私有財産,Private property
講師の別,By Lecturer
一個,One piece
数個,Several
個人の自由,Personal freedom
個々の問題,Individual issues
個性がある,Individuality
他人,Others
他方,Other side
他界する,"Other world, to pass away"
他さんの石,Other's stone
彼の死は他殺だ,His death was another man's death
他の本,Other's book
彼はプロ野球の人気チームの四番打者だ,He's the number four hitter on a popular professional baseball team
