Kanji,Core,Onyomi,Kunyomi,Words,Meaning
心,HEART,SHIN,"kokoro, gokoro",安心する,"feel at ease, be relieved"
心,HEART,SHIN,"kokoro, gokoro",熱心,"enthusiasm, zeal, fervor, earnestness"
心,HEART,SHIN,"kokoro, gokoro",感心する,"admire, be deeply impressed"
心,HEART,SHIN,"kokoro, gokoro",初心,"original intention, initial resolution​"
心,HEART,SHIN,"kokoro, gokoro",良心,conscience
心,HEART,SHIN,"kokoro, gokoro",決心する,"make up one’s mind, decide"
心,HEART,SHIN,"kokoro, gokoro",苦心,"pains, efforts, hard work"
心,HEART,SHIN,"kokoro, gokoro",以心伝心,"silent understanding, empathy, thought transference"
心,HEART,SHIN,"kokoro, gokoro",好奇心,"curiosity, inquisitiveness"
心,HEART,SHIN,"kokoro, gokoro",心臓,heart
心,HEART,SHIN,"kokoro, gokoro",心電図,electrocardiogram
心,HEART,SHIN,"kokoro, gokoro",心不全,heart failure
心,HEART,SHIN,"kokoro, gokoro",脂肪心,fatty heart​
心,HEART,SHIN,"kokoro, gokoro",中心,"center, middle"
心,HEART,SHIN,"kokoro, gokoro",都心,heart of the city
心,HEART,SHIN,"kokoro, gokoro",核心,"core, heart (of the matter)"
心,HEART,SHIN,"kokoro, gokoro",重心,"center of the gravity, centroid"
心,HEART,SHIN,"kokoro, gokoro",遠心力,centrifugal force
心,HEART,SHIN,"kokoro, gokoro",肝心な,"vital, essential, main"
心,HEART,SHIN,"kokoro, gokoro",心から,from the bottom of one’s heart
心,HEART,SHIN,"kokoro, gokoro",心構え,"mental attitude, preparation"
心,HEART,SHIN,"kokoro, gokoro",心当たりがある,have an idea(a clue)
心,HEART,SHIN,"kokoro, gokoro",真心,"sincerity, true heart"
心,HEART,SHIN,"kokoro, gokoro",子供心,child’s naive mind
心,HEART,SHIN,"kokoro, gokoro",心を配る,give attention
心,HEART,SHIN,"kokoro, gokoro",心掛ける,"bear in mind, keep in mind, to try to aim, to endeavour"
心,HEART,SHIN,"kokoro, gokoro",心を動かす,"move one’s heart, impress"
心,HEART,SHIN,"kokoro, gokoro",心細い,"helpless, forlorn, lonely"
心,HEART,SHIN,"kokoro, gokoro",心持ち,"feeling, mood"
心,HEART,SHIN,"kokoro, gokoro",心強い,"heartening, reassuring​"
心,HEART,SHIN,"kokoro, gokoro",気心,"temper, disposition​"
心,HEART,SHIN,"kokoro, gokoro",心尽くし,"kindness, consideration​"
心,HEART,SHIN,"kokoro, gokoro",心遣いする,"consideration, thoughtfulness, sympathy, care"
心,HEART,SHIN,"kokoro, gokoro",心地,"feeling, sensation, mood​, sensation of doing(suffix)"
心,HEART,SHIN,"kokoro, gokoro",心地よい,"comfortable, pleasant​"
旧,FORMER,KYUU,⁃,旧居,former residence
旧,FORMER,KYUU,⁃,旧軍人,ex-soldier
旧,FORMER,KYUU,⁃,旧制,"old system, old style"
旧,FORMER,KYUU,⁃,旧株,old stock
旧,FORMER,KYUU,⁃,旧弊な,"old fashioned, outdated, outmoded"
旧,FORMER,KYUU,⁃,旧式,"old type, old style"
旧,FORMER,KYUU,⁃,新旧の,old and new
旧,FORMER,KYUU,⁃,復旧する,"restoration, restitution, rehabilitation​, to restore"
旧,FORMER,KYUU,⁃,懐旧,"reminiscence, nostalgia, thinking fondly of the past"
旧,FORMER,KYUU,⁃,旧に復する,to be restored to former state
必,WITHOUT FAIL,HITSU,kanara,必須,"indispensable, essential, required, requisite"
必,WITHOUT FAIL,HITSU,kanara,必要,"need, necessity, necessary"
必,WITHOUT FAIL,HITSU,kanara,不必要,"unnecessary, needless​"
必,WITHOUT FAIL,HITSU,kanara,必死,"desperate, frantic, inevitable death"
必,WITHOUT FAIL,HITSU,kanara,必需,necessary
必,WITHOUT FAIL,HITSU,kanara,必需品,"necessities, necessary article"
必,WITHOUT FAIL,HITSU,kanara,必然,"inevitable, necessary, certain, sure"
必,WITHOUT FAIL,HITSU,kanara,必然的 ,"inevitable, necessary​"
必,WITHOUT FAIL,HITSU,kanara,必至,"inevitable, necessary, foregone​"
必,WITHOUT FAIL,HITSU,kanara,必勝,certain victory
必,WITHOUT FAIL,HITSU,kanara,必修,required (subject)​
必,WITHOUT FAIL,HITSU,kanara,必読書,"must-read, required reading​"
必,WITHOUT FAIL,HITSU,kanara,必着,"must arrive, must be received, to be delivered without fail"
必,WITHOUT FAIL,HITSU,kanara,必ず,"without fail, certainly, surely, always, without exception"
必,WITHOUT FAIL,HITSU,kanara,必ずしも,"(not) always, (not) necessarily, (not) entirely, (not) all​"
