Word,Reading ,Meaning
スロー,すろー,
深々,ふかぶか,
露骨,ろこつ,
抜群,ばつぐん,
定か,さだか,
控えめ,ひかえめ,
明快,めいかい,
多彩,たさい,
希薄,きはく,
旺盛,おうせい,
巨額,きょがく,
存分,ぞんぶん,
着実,ちゃくじつ,
細か,こまか,
多大,ただい,
良質,りょうしつ,
唐突,とうとつ,
クール,くーる,
質的,しつてき,
大まか,おおまか,
強硬,きょうこう,
無残,むざん,
裕福,ゆうふく,
大嫌い,だいきらい,
愕然,がくぜん,
謙虚,けんきょ,
濃厚,のうこう,
強固,きょうこ,
暢気,のんき,
悪質,あくしつ,
ロマンチック,ろまんちっく,
不可解,ふかかい,
パブリック,ぱぶりっく,
大きめ,おおきめ,
あからさま,あからさま,
まめ,まめ,
窮屈,きゅうくつ,
確固,かっこ,
朧,おぼろ,
多め,おおめ,
緊密,きんみつ,
無闇,むやみ,
早急,さっきゅう,
冷ややか,ひややか,
怪訝,けげん,
大雑把,おおざっぱ,
物的,ぶってき,
頑丈,がんじょう,
切実,せつじつ,
勇敢,ゆうかん,
格段,かくだん,
気掛かり,きがかり,
盛大,せいだい,
別個,べっこ,
長閑,のどか,
量的,りょうてき,
裏腹,うらはら,
整然,せいぜん,
下品,げひん,
可憐,かれん,
黙々,もくもく,
小まめ,こまめ,
茫然,ぼうぜん,
手頃,てごろ,
混沌,こんとん,
唖然,あぜん,
虚ろ,うつろ,
繁華,はんか,
丹念,たんねん,
高め,たかめ,
天晴,あっぱれ,
簡素,かんそ,
劣等,れっとう,
悠々,ゆうゆう,
大々,だいだい,
美妙,びみょう,
寛大,かんだい,
しなやか,しなやか,
にこやか,にこやか,
利口,りこう,
有数,ゆうすう,
安らか,やすらか,
クリーン,くりーん,
心的,しんてき,
零細,れいさい,
周到,しゅうとう,
