Script,Meaning
なんでだ？,Why is that?
（木村(きむら)） ねえ　いいこと教えてやろっか？,Want to know something cool?
（木村）“人”って文字を カッコで くくると…,"If you put parentheses around the word ""people""..."
フッフッ…　なんと…　フッ…,it will...
お尻に見えるんだぜ,look like a butt!
（高尾(たかお)） おお！　すっげえ！　やっべえ！,That's so cool! Wow!
（桜井）天才だな （木村）見えるだろう？,-You're a genius! -Right?
（桜井）見える見える！ （高尾）天才だな　おい！,-It looks like it! -A total genius!
（木村） 天才なんだよ　ヘヘヘヘッ…,I know.
（西片） いつもどおりだよな…,Everything seems normal.
でも 何だ？　この違和感,But what is this... weird feeling?
（桜井） なに 高木さん見つめてんだよ,Why are you staring at Takagi-san?
ウッ！　い… いや 全然 見てないから！,Hey! I totally wasn't!
ホントかよ？,-Really? -Yeah!
（西片）ホントだって！ （高尾）あ〜 見てない 見てない,-Really? -Yeah! Wasn't looking!
（西片）ク〜ッ… （高尾）見てない 見てない〜 （木村）増やしてみたぜ,"Look, I made more!"
（高尾） ウワッ！　すげえ！ お尻の神じゃん　お前 創造主だな,You're the god of butts!
（ミサエ）だよね〜,Right?
じゃあね　西片,"See ya, Nishikata."
（西片） くそ…　結局 渡せなかったな,Jeez. I couldn't even give this to her.
なんか 今日 変な気がしたんだけどな,She was acting all weird today.
思い過ごしか？,Maybe I'm overthinking it.
あれ？　そういえば 今日 １回も からかわれてないぞ,Wait a minute. She didn't tease me even once today.
やっぱり おかしい…,This is really strange...
高木さんの自転車…,Takagi-san's bike.
うん？　西片…,Nishikata.
（高木）なんで？,What is it?
（西片）自転車あったから （高木）あっ…　そっか,I saw your bike. I see.
あの… 何してんの？　こんなとこで,What are you doing here?
ちょっと ボ〜ッと…,Just spacing out a little.
（西片） 俺 ジャマかな…　もしかして,Am I bothering her? Maybe...
帰ったほうが…,I should leave.
なに？　これ,What's this?
あっ いや　それは その… あっ…,That's just...
えっと…,just...
なに これ　綿？,"What is this, cotton?"
私を脅かすために作ったの？,You made this to scare me?
（西片）ンッ… （高木）驚かないよ　こんなんじゃ,This wouldn't work on me.
なんだ　これ見せたくて来たんだね,I see. You came here to show me this.
（西片）いや… （高木）うん？,Well...
なんか 今日 変だなと思って,I thought you were acting a bit off today.
俺 １回も からかわれなかったし,You didn't even tease me once.
（高木）なに？　その判断基準 （西片）えっ？,So that's your reasoning?
（高木）あのね… （西片）ンッ…,Well...
（高木） 実は 今朝 お母さんとケンカしちゃって—,"I got into an argument with my mom this morning, and..."
ちょっと落ち込んでたんだ,I was a bit blue.
そうなんだ…,I see.
でも なんか元気出たよ,But... I feel better now.
ありがとね,Thanks.
いや　その… 良かった,Well... I'm glad.
じゃ 俺 そろそろ…,I'd better get going.
西片,Nishikata.
もうちょっと いてよ,Stay a bit longer.
（高木）ねえ 西片,"Hey, Nishikata."
（高木）からかっていい？,Can I tease you?
（西片） はぁ？　ダメだよ！　やめてよ！,No! Don't!
（西片）ハァ… またしても失敗か,Another failure.
でも…,But...
作った甲斐(かい) ちょっとは あったのかも,maybe there was some worth in making this.
（立ち上がる音）,NEW MESSAGE
何だ？　木村から？,A message from Kimura?
（木村）これなーんだ？ （西片）ウワッ！,Guess what this is.
な… なに送ってきてんだ？,Why is he sending me this?
（通知音） （木村）〝うででした 〞,It's my arm!
なんて くだらないことを…,How silly.
いや　でも これ 高木さんを からかうのに使えるんじゃ…,But maybe... I could use this to tease Takagi-san.
あっ でも 今は…,But right now...
（高木） 〝今 何してる？ 〞 （西片）高木さん…,-What are you doing right now? -Takagi-san...
（高木） 〝お母さんと 仲なおりできたよ 〞,I made up with my mom.
（高木） 〝家族旅行の 日にちのことで— 〞 〝けんかしていたの 〞,We were arguing over the date of our family trip.
（西片）家族旅行？,Family trip?
（高木） 〝でも もう大丈夫 〞,But it's all good now.
よし　これで 心おきなく 高木さんを からかえるぞ,Yes! Now I can tease her without holding back!
さっきの画像で ビックリ箱･改の 無念を晴らしてやる,I'll tease her with that photo so I can feel better about that surprise box.
送信！,Send! WHAT IS THIS?
“それ しってるよ”っと,I know what that is.
（高木） 〝それ しってるよ うででしょ 〞,"I know what that is. It's an arm, right?"
（西片） クッ…　さすが高木さんだ,"Well done, Takagi-san."
さて どうやって からかおうか…,How should I tease her now?
そうだ！　木村なら 何か ほかにも知ってるかも,Maybe Kimura knows another trick I could use.
あっ…　また高木さん,Takagi-san again?
（高木） 〝ステーキすき？ きらい？ 〞,Do you like steak?
ンッ…　ステーキ？　う〜ん…,Steak?
いや そりゃ…,"Well, of course..."
“好きだよ”っと,I like it.
そうし…,Send...
アッ…　待て待て,Wait!
これだけだと なんか 告白してるみたいになってないか？,Won't this look like I'm confessing my love?
危ないところだった,That was close.
よし！,How's this?
（通知音） （西片）“好きだよ（ステーキ）”,I like it. Steak.
アハハハッ… やっぱり こう返してきた,I knew he'd say that!
じゃ 次は…,Next is...
“ハートマークは すき？”と,Do you like hearts?
ハートマーク!?,Hearts?
別に好きではないけど…,It's not like I love them...
〝きらいじゃないよ （ハートマーク） 〞,I don't hate them. Hearts.
なんか 最後に ハートマーク つけてるみたいになってる！,This looks like I'm putting a heart emoji at the end!
危ねえ！,That was close!
引っ掛からなかったかぁ,He didn't fall for that.
そりゃそうだよね,"Oh, well."
あっ じゃ 次は…,Next is...
（西片） 何か… 何かないか…,There has to be... something.
高木さんを からかえるような…,Something to tease Takagi-san with. Jeez.
くそ…　木村は何してるんだ？,What is Kimura doing?
いける！　これは いけるぞ！,Yes! That should work!
（西片）“キスって好き？” （高木）あっ…,How about a kiss?
あ〜あ…　先にやられちゃったか,He did it before me.
どうだい？　高木さん フフフフッ…,"How's that, Takagi-san?"
もちろん キスってのは魚のことさ,Of course I'm talking about the type of fish.
勘違いして慌てるがいい,But you'll misunderstand and get all flustered.
遅いな,No reply yet.
さては 相当 慌ててるな？,She must be freaking out.
もしかして 魚のことって 分かってなくて 引かれてる？,Maybe... she doesn't realize it's a kind of fish... and she's creeped out!
だとしたら 俺 すごく恥ずかしいことをしたのか？,If that's the case... I've just totally embarrassed myself!
いや　そうでないことを祈る,I just have to pray that's not the case.
高木さん　お願いだ どうか早く… 早く返事を！,"Takagi-san, please! Reply! Right now!"
（通知音） 来たー！,There it is!
来た！　今度こそ 高木さんだ！,This must be Takagi-san!
うん？　動画？,A video?
好きだよ,I like it.
えっ？ あ… 〝赤くないよ 〞,I'm not blushing.
（高木） “ホントかなー”　フフッ…,Are you sure?
“じゃあ 今 写真とってみてよ”,"Take a photo of yourself, then."
アア…　や… やられた,She got me.
完璧(かんぺき)に…,She totally got me...
（高木） …とか思ってるかなぁ　今ごろ,...is probably exactly what he's thinking right now.
フフフッ…　顔見たかったなぁ,I wish I could've seen his face.
まあ 大体 想像つくけど,"Although, I can easily imagine it."
（母親）ねえ ちょっと　手伝って,"Hey, could you give me a hand?"
（高木）は〜い,Coming!
（高木） 西片の顔 真っ赤になってるかな,I wonder if he's blushing.
まあ…,Well...
私も人のこと言えないけど,not that I'm one to talk.
