Kanji,Base.Meaning,Sentences,w2,w3,w4,w5,t1,t2,t3,t4,t5
般,"carrier, carry, all, general, sort, kind",一般,全般,一般的,一般に,一般人,,,,,
普,"universal, wide(ly), generally",普通,普段,普及,普段着,普遍的,,,,,
及,"reach out, exert, exercise, cause",及ぼす,普及,及ぶ,追及,言及,,,,,
詳,"detailed, full, minute, accurate, well-informed",詳しい,詳細,詳述,詳報,詳報,,,,,
細,"dainty, get thin, taper, slender, narrow, detailed, precise",細い,細かい,細胞,詳細,細菌,,,,,
要,"need, main point, essence, pivot, key to",要る,要る,要る,要求,要望,,,,,
需,"demand, request, need",需要,必需品,需給,実需,必需,,,,,
素,"elementary, principle, naked, uncovered",酸素,水素,炭素,元素,要素,,,,,
激,"violent, get excited, enraged, chafe, incite",激しい,刺激,急激,感激,激励,,,,,
刺,"thorn, pierce, stab, prick, sting, calling card",刺身,名刺,刺す, 刺さる,刺激,,,,,
異,"uncommon, different, queerness, strangeness, wonderful, curious, unusual",異常,驚異,差異,異論,異性,,,,,
端,"edge, origin, end, point, border, verge, cape",途端,先端,半端,道端,端末,,,,,
常,"usual, ordinary, normal, common, regular, continually, always, long-lasting",常識,異常,常に,非常,日常,,,,,
経,"sutra, longitude, pass thru, expire, warp",経済,経験,経つ,経る,経由,,,,,
倍,"double, twice, times, fold",倍増,倍額,倍率,二倍,数倍,,,,,
増,"increase, add, augment, gain, promote",増える,増加,増やす,増す,増大,,,,,
節,"node, season, period, occasion, verse, joint, knuckle, knob, knot, tune, melody",季節,節約,調節,関節,音節,,,,,
訳,"translate, reason, circumstance, case",翻訳,通訳,訳す,言い訳,内訳,,,,,
視,"inspection, regard as, see, look at",視野,視覚,近視,無視,監視,,,,,
沿,"run alongside, follow along, run along, lie along",沿岸,沿う,川沿い,沿海,沿道,,,,,
