Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
野外活動サークル,Outdoor Activity Circle,私も載せてって！ありがとう、お姉ちゃん,"Take me with you! Thanks, Sis.",部長、キャンプご飯は何にしますか。,"Boss, what kind of food do you want for camp?",私も向こうに着いたら、絶対温泉入る！温泉、温泉、温泉！,"I'm definitely going to take a hot spring bath when I get there! Hot springs, hot springs, hot springs!",リン、朝ご飯は,"Lin, what about breakfast?",心配は心配だけど、父さんみたいに年中走り回ってる訳じゃないから,"I'm worried about him, but he's not running around all the time like my dad.",待ってたぞ、いぬこ,"I've been waiting for you, doggy.",南部町にある川辺のキャンプ場なんだけど,There's a riverside campground in Nanbu Town.,バイト終わった,I finished my part-time job.,先生もキャンプ楽しんでください,"Have fun at camp, Sensei.",ありがとう,Thank you.
ここの学校はアウトドア系の部活が二つあって,We have two outdoor clubs here at school.,受付そこじゃない？,Isn't the reception there?,それもきめるぞ！,We'll decide that too!,やっぱりいい景色だね,It's a nice view after all.,ぎりぎりだから今日はいいよ,"It's a last-minute thing, so I'm good for today.",お正月はどうする？,What about New Year's?,これを見ろ！,Look at this!,自転車で行ける距離のとこ,It's within biking distance.,あおいちゃんだ,It's Aoi!,あなたたち・・・,You guys...,いつものことだよ,I always do.
登山部は体育会系だけど,The mountaineering club is more athletic.,行ってくる,I'll go there.,落ち着け！,Calm down!,だな,Yeah.,仕方ないわね,I don't have a choice.,うん、わかったわ。,"Yeah, okay.",バーン！,Bang!,いいね,That's nice.,お仕事お疲れさまー,Thanks for your work!,受付行ってきます,I'm off to the reception.,昔からどこ行くのもバイクだったし,I've always used a bike to get everywhere.
こっちはまったり系って聞いたんだよねー,I've heard that this one is more laid-back.,お姉ちゃん,"Hey, sis.",部長、おやつは・・・お前、ちょっと黙ってろよ！,"Boss, what about snacks... Shut up!",冬の温泉、たまらんわ,I love hot springs in winter.,はい、お弁当,Here's your lunch.,気を付けてよ。じゃ、またね。,Take care. I'll see you later.,「ばーん」言うても準備しとるん丸見えやったし,"Even though I said ""bang,"" you could see me setting up.",この近くにもキャンプ場あったんだ,I didn't know there was a campground near here.,ありがとうー。風邪大丈夫なん？,Thank you. Are you okay with your cold?,風もなくていい天気ね,"It's a beautiful day, no wind.",千明、顔真っ赤じゃない,"Chiaki, you're all red."
まったりアウトドア,Mellow outdoor activities,お金掛かるんだって,It costs money.,部長！,Sir!,あきちゃん、ここからキャンプ場までどのくらいあるの？,"Aki-chan, how far is it from here to the campground?",ありがとう,Thank you.,娘としては、もう少し落ち着いて欲しいんだけどなぁ。,"As for my daughter, I'd like her to be a little more relaxed.",ミニテーブルと木の食器とスキレットか,"A miniature table, some wooden dishes and a skillet.",川辺のキャンプ場か,A riverside campground.,もう治りました！,I'm over it!,6名様、朝まで一泊ですね,Six of you will stay overnight until morning.,いつから飲んでるのよ？,How long have you been drinking?
みんなでテント張ったり,We put up tents together.,よいしょ,There we go.,リン、今日もバイト？,"Lin, are you working today?",うーん、1キロぐらいだろうな,"Well, it's about a kilometer.",それと、あなた宛に何か届いてたわよ,And there was something in the mail for you.,ここからがキャンプサイトか,So this is the camp site.,急にどうしたん？,What's wrong with you all of a sudden?,楽しみだな,I'm looking forward to it.,よかった、強い子なでしこや,"Thank goodness you're a strong girl, Nadeshiko.",ではこちらにお名前と連絡先をご記入ください,Please fill in your names and contact information here.,にゃー（いや）、まだグラス半分ずら,I'm still halfway through my glass.
料理作ったり,Cooking,りんちゃん！今からお鍋やろう,Rin-chan! Let's do hot pot now,来週までにもう少し稼ごうと思って,I'm trying to make some more money before next week.,管理人さんには昼過ぎに行くって連絡してあるから、まだまだここでのんびりできるぞ,"I've informed the janitor that I'll be there after lunch, so we can still relax here.",おぉ、行ってきます,"Oh, I'm off.",他のキャンパーは一組だけ,There was only one other group of campers.,この前キャンプしたとき私らの下にキャンパーいたろ？,"Last time we were camping, there were campers below us, right?",リンちゃん、風邪ひいた,"Lin, I caught a cold.",そんであきちゃんと今クリスマスキャンプの作戦会議しているよ,And Akiko and I are having a strategy meeting for the Christmas camp.,えっと、大垣千明、犬山あおい、各務原なでしこ、鳥羽先生,"Chiaki Ogaki, Aoi Inuyama, Nadeshiko Kakamigahara, Professor Toba.",なでしこはまだなんだ,I didn't see Nadeshiko yet.
焚き火して夜更かししたり,We make bonfires and stay up late.,鍋,Hot pot,次は長野だっけ？攻めるね,"Nagano's next, right? I'm going to attack.",そっか,I see.,行ってらっしゃい,Have a good day.,ほぼ貸し切り状態,Almost completely rented out.,うん、おったな,"Yeah, there were.",大丈夫？,Are you okay?,風邪引きなでしこにほうとう食らわせてやったぜ！,I fed her a Houtou!,それ、名前と違うで,That's not your name.,今会社出たって連絡あったよ,I just got a call that she left the office.
こんにちは,Hello.,うん、餃子鍋！冬はお鍋が一番だよ,"Yes, dumpling hot pot! Hot pot is the best in winter.",まあ、免許も取ったしな,"Well, I got my license now.",あかんわ、悪魔のささやきや,"Oh no, it's a devil's whisper.",あぁ！朝、お母さんから受け取って、そのまま持ってきちゃったのか,Oh! Your mother gave it to you this morning and you just took it.,人がほとんどいない,There's hardly anyone here.,彼らはおしゃれなテーブルや椅子でくつろぎ、オフを満喫していた,"They were relaxing on fancy tables and chairs, enjoying their time off.",ごめん,I'm sorry.,何や、あき料理できたん？,"What, you can cook, Aki?",斎藤ってしたの名前何だっけ？,"What's your name again, Saito?",そっか,I see.
狭い,Small,外で食べたらきっとすっごくおいしいよ！,I bet it's really good when you eat it outside!,じゃあ、持ってくもののチェック始めるで,Let's start checking what to bring.,りんちゃん今頃どうしているかな,I wonder how Rin is doing now.,なんで出掛けに渡すかな？,Why would she give it to you on the way out?,電灯もないよ,Not even an electric light.,それに引き換え、私らはレジャーシート1枚,"We, on the other hand, had only a leisure sheet.",謝らなくていいって,Don't apologize.,せや、今度のキャンプええもん持っていけるかもしれんで！,"Well, I might be able to bring something good to camp this time!",恵那やで,Ena.,すごいよね、なでしこちゃん,"It's amazing, isn't it, Nadeshiko?"
うなぎの寝床だ,Eel bed.,白菜、ねぎ、にら、豆腐、もやし、餃子,"Chinese cabbage, spring onions, chives, tofu, bean sprouts, dumplings.",おー！,Oh!,寒い,It's cold,で、何だっけこれ？,And what's this?,あんなのただの都市伝説だって,That's just an urban legend.,あまりにもじゃねえか,It's too much.,キャンプはまた今度にすればいいじゃん,Why don't we go camping another time?,何っ？新しいキャンプ道具買ったのか！？,What? Did you buy new camping gear?,しまリンって何て名字だっけ？,"What's your last name again, Shimarine?",大学在学中に起こしたキャンプギアメーカーが急成長,The camping gear company I started while I was in college has grown rapidly.
アウトドアの本,Outdoor books,何か手伝おうか？,Do you need help?,キャンプに必要なものと言えば・・・,Speaking of things you need for camping...,極楽極楽,I'm so happy,お！これか,"Oh! Oh, this.",心配なら丑三つ時より前に寝ればいいんだよ,"If you're worried, sleep before the third Ox.",いや、もっと楽しそうにしとったやろう,"No, they looked like they were having more fun.",私に構わずキャンプ行って,Don't worry about me. Go camping.,道具ではないんよねー,It's not a tool.,上半分が名字や,The top half is her last name.,今やアメリカに本社を構える大企業のCEOやもん,And now you're the CEO of a major corporation headquartered in the U.S.
薪,firewood,いいよ！リンちゃんはゆっくりしてて,"Sure! Take it easy, Lin.",最低限、こんなとこやな,"That's about it, at least.",いいお風呂やったわ,I had a nice bath,長野に行く前に注文したんだっけ,I ordered it before I went to Nagano.,その手があったか,That's a good idea.,ほんで一式揃えてみたんか,So you got a whole set?,私の屍を乗り越えて,You're gonna have to get over my dead body.,なになに？,What is it?,2時現地集合だったのに,We were supposed to meet there at 2:00.,変わっちまったよな,"You've changed, haven't you?"
まつぼっくり,Pine cones,でも...,But...,結構あるね,That's a lot.,暑くて上着いらんな,"It's so hot, I don't need a jacket.",思っていたより小さいんだな,It's smaller than I thought it would be.,わーい、貸し切りだ,It's a private party!,そうだ、私を舐めるなよ小僧,"Yeah, don't underestimate me, kid.",おい、死ぬな！私の屍を乗り越えて,"Hey, don't die! Get over my dead body.",詳しくは休み明けに教えるわ楽しみにしとってな,"I'll tell you more about it after the vacations, so look forward to it.",ちょっと早く着きすぎたな,We got there a little too early.,いや、変わってないよ、なでしこは,"No, you haven't changed at all, Nadeshiko."
こんにちは,Hello.,大丈夫、切ってぶち込んで煮るだけだもん,"Don't worry, I'll just cut it up, throw it in and cook it.",テントは９８０円のがあるから、よし,"I have a 980 yen tent, so that's good.",ここでご飯も食べれるみたいだね,I heard you can eat here.,単行本くらい,About the size of a book.,バカな女だぜ,What a stupid girl.,どのタイミングで切れとんねん,At what point do you run out?,おい、死ぬな！,"Hey, don't die!",寒い,It's cold.,急にはよ行きたい言い出したのあきやないの,You're the one who suddenly said you wanted to go early.,ただ誰よりもキャンプが好きってだけでさ,She just loves camping more than anyone else.
ツナ缶？非常食かな,Canned tuna? I think it's emergency rations.,すげー不安,I'm so nervous!,えっと、カセットコンロは,Cassette stove...,ほんまや,That's right.,コンパクト焚き火グリル,Compact fire grill.,場所、どこにしようか,Where should we go?,"でも全部で7,8000円したんやないの、これ","But the whole thing cost 7,800 yen, didn't it?",ソロキャン行けってことか,You want me to go camping solo?,肉まん買って帰ろう,Let's get some buns and go home.,だって早く富士山見たかったんだもん,I just wanted to see Mt. Fuji.,来たみたいだよ,I think she's here.
なんだこれ？,What's this?,ね、まさかここまで自転車で来たの？,Didn't you ride your bike all the way here?,はい、うちにあるよ！,"Yes, we have one!",私月見蕎麦,I'll have tsukimi-soba.,勝ちだ,It's a winner.,直火OKなグリーンサイトってところにしない,Maybe we can find a green site with an open fire.,週末ぼうふのホムセンで買ったらこんなもんだった,That's what I paid for it at the weekend.,風邪でお見舞い行くのも大げさだし、,It's too much to go visit someone with a cold.,あと500メートル,500 meters to go.,なでしこちゃんの真似やめや,"Stop imitating me, Nadeshiko-chan!",みんな、お待たせ,"Hey, guys."
えっと...私は...あのー...,Well... I'm... Um...,南部町から40キロはあるけど,It's about 40 kilometers from Nanbu town.,リンちゃんとキャンプで使った、信頼と実績があります！,"I've used it camping with Rin, and it's reliable and proven!",私は月見うどん,I'll have tsukimi udon.,これで直火禁止のキャンプ場で焚き火とか,I'll be able to use this to build bonfires in campgrounds that don't allow open fires.,Roger,Roger.,安っ,Cheap!,気を遣ってキャンプしないのもなんだかな,And it's not like I'm not camping out to take care of her.,ここ道なりに突き当たりを右に行けば、キャンプ場,"At the end of the road here, take a right and you'll find the campground.",2時までどうすっか？,What should we do until 2:00?,十年経ったら,After ten years.
あき、ビバークの新刊借りてきたでー,"Aki, I borrowed your new book on bivouac.",ううん、お姉ちゃんに車で送ってもらったんだよ,"No, my sister gave me a ride.",じゃ、それもオッケー。,"Okay, that's fine, too.",私は・・・って、ここで食べたら、キャンプご飯食べれんくなるわ！,"If I eat here, I won't be able to eat camp food!",炭火を使っておいしい料理とか,You can use it to cook delicious food over charcoal.,さてと,Well...,つーかこれ、キッチンラックだしな,"I mean, this is a kitchen rack, right?",まあいいや,Oh well.,まじか,Seriously?,せや！すぐ近くにじゅかいの牧場ってあったやん？,Yeah! Isn't there a farm near here?,こんな感じになってたりして,I wonder if I'll look like this.
何やってるの？,What are you doing?,ああ、キウイのお姉さん,"Oh, Kiwi sister!",ランタンは防災用のがうちにあったな。,We have a lantern for disaster prevention.,温泉気持ちを過ぎて、思考停止しちゃってたよ,I was so excited about the hot spring that I stopped thinking about it.,肉・・・,Meat...,リンちゃんのテントって、よく見ると変わってるね,"If you look closely at your tent, you'll notice that it's very different.",ほんまや,Really.,気になるキャンプ場もあったし,There's a campground I'm interested in.,リンちゃん。そろそろキャンプ場に着いたかな,Lin. I think we're almost at the campground.,そこに牧場スイーツ食べに行かへん？,Why don't we go there to eat farm sweets?,あ、戻ってきたで,"Oh, he's back."
なんだ空き巣じゃないんか,You're not a burglar?,今回は私も明日までちゃんとキャンプするからね,"This time, I'll be camping until tomorrow.",ランプ類もオッケーっと,Lamps are also okay.,せやな、温泉恐ろしいわ,"Oh well, hot springs are horrible!",キャンプで焼き肉,Grilled meat at camp.,野クルのテントみたいに、袖にポールを通してないし,It doesn't have poles up the sleeves like the Wildcat tent.,ぶっちゃけ、木皿と鉄鍋とネイティブ柄の布があれば、おしゃれキャンプなんだと思う,"To be honest, if you have a wooden plate, an iron pot, and a native-patterned cloth, you're camping in style!",一人で行ってくるか,I'll just go alone.,こんなに真っ暗で大丈夫かな,I wonder if we'll be okay in the dark.,おー、いいね！先生に車出してもらうぜ,"Oh, that sounds great! I'll get the doctor to drive us there.",リンちゃん,"Hey, Lin."
うん、本栖湖で行き倒れたら謎のキャンプ少女に助けられラーメンまでご馳走になったと,"I collapsed at Lake Motosu, and a mysterious camp girl rescued me and treated me to ramen.",でもテント持ってないから車で寝るんだけどね,"But I don't have a tent, so I'll sleep in the car.",焚き火用の着火剤とか火ばさみはお店で買うとして、問題は・・・,"I'll buy igniters and fire scissors for the fire at the store, but the problem is...",温玉揚げ、おいしいよ。買ってって,The fried egg is delicious. You should buy some.,あ！またにやにやしている？,Oh! Are you smirking again?,吊り下げ式のこと？,You mean the hanging type?,ざっくりしとるな,That's a bit rough.,片道150キロ,150 km one way.,確かに、これはヤバいな,Surely this is a bad idea.,も、もう始めとる,I've already started.,おかえり,Welcome back.
夜の富士山がすごいきれいだったんだよ。,Mt. Fuji was so beautiful at night.,布団を持ってきたし,And I brought a futon.,他の持ち物はほぼオッケーなんだが,But the problem is... I'm almost ready for everything else.,温玉揚げだけ買ってこう,I'll just buy the fried egg.,あれ、何これ？メタル賽銭箱？,"Hey, what's this? A metal money box?",テントには主に本体をフレームに吊るして設営する吊り下げ式と,"There are two main types of tents: hanging tents, which are set up by hanging the main body from the frame, and sleeve tents, which are set up by putting poles through the main body.",それにな、スキレットで焼いた肉ってめっちゃうまいんだぜ,"Besides, meat cooked in a skillet is really good.",高ボッチのときと同じぐらい,It's the same distance as Takabocchi.,リンちゃんが遭難しちゃったらどうしよう？,What if Rin-chan gets lost?,いってらっしゃい,Have a good day!,楽しかったよ、ちくわ,"It was fun, Chikuwa."
それでアウトバーに興味出てうちらのサークル来てくれたんや,That's how she became interested in the Outback and came to our circle.,そうなんだ,"Oh, right.",シュラフは夏用のこれしか持っとらんしね,The only shrug I have is this one for summer.,せやな！,That's right!,ちがうわ！,"No, it's not!",本体にポールを通して設営するスリーブ式の２つがあります,"There are two types of tents: the hanging type, which is set up by hanging the tent from the frame, and the sleeve type, which is set up by putting poles through the body.",肉、食うかい？,Do you want some meat?,遠いなー,It's so far.,落ち着け、なでしこ,"Calm down, Nadeshiko.",思ったより早く着いてしまった,I got here earlier than I thought.,また遊ぼうね,Let's play again.
うんうん,"Yeah, yeah.",あれ、車で寝たらちゃんとキャンプじゃないのかな,"If I sleep in the car, I'm not camping properly.",夏用だとどうなるの？,What happens if I use the summer one?,いただきます!,Bon appétit!,焚き火ってこういうのでやるんだ,That's how you make a bonfire.,細かい違いはありますが、普通のキャンプで使うものなら、あまり差はありません,"There are some minor differences, but for normal camping, there is not much difference.",それだれなん？,Who's that?,直線距離なら近いのに,"If it was a straight line distance, it would be closer.",あれもしかしたら,That could be it.,ま、本読んでのんびりしてるか,I guess I'll just relax and read a book.,もう聞こえとらんで、なでしこちゃん,"I can't hear you anymore, Nadeshiko."
でもせっかく来てもらって悪いんだけどうち部員募集してないんだよねー,"But I'm sorry to ask you to come, but we're not looking for members.",いいんじゃない,It's fine.,低体温症で死ぬ,I'll die of hypothermia.,うまーい,It's so good!,それは小さいやつだけどね,"It's a small one, though.",慣れれば、設営の手間も大体同じです,"Once you get used to it, setting up is pretty much the same.",そう言えば、今日、なでしこは？,"Speaking of which, where's Nadeshiko today?",山梨と長野南部の間には南アルプスが南北に伸びているので,"Between Yamanashi and southern Nagano, the Southern Alps stretch from north to south.",迂回したら、キャンプ場まで29キロ,"If we take a detour, it'll be 29 kilometers to the campground.",もう来ているんですか？,They're already here?,チワワって寒いの苦手だったんだね,"Chihuahuas don't like the cold, do they?"
あ,Oh.,あっちの人たちみたいにオートキャンプだと車中泊結構いるよ,There are a lot of people who sleep in their cars when they go auto camping like the people over there.,最悪の場合だけどな,That's the worst case scenario.,卵あげただけなのに、うますぎるぞ、これ,"I just fried an egg, but this is too good!",たまにこういうの使う焼肉屋さんあるよね,Some yakiniku restaurants use these sometimes.,ものによっては片側からポールを入れるだけで反対側が固定されるスリーブ式テントや、,Some tents are sleeve-type tents where you only need to insert the poles from one side to fix the other side.,テスト前やで,It's before the test.,伊那方面へ行くには諏訪まで迂回する必要があるのです,"To get to Ina, we had to detour to Suwa!",所要時間、3時間って,That'll take three hours.,ええ、つい先程2人で受け付けに来られましたよ,"Yes, they just arrived at the reception.",うん、だから一晩泊まるのはちょっとね,"Yeah, that's why I didn't want to stay the night."
そなんだ,I see.,本当だ,That's true.,キャンプ道具の本読む？,Do you read camping books?,黄身がとろける,The yolk melts!,そうなの,"Yes, they do.",フック箇所を減らして速く設営できる吊り下げ式テントなどもあります,There are also hanging tents that require fewer hooks and can be set up faster.,私も帰ってテス勉するし,I'm going home to study for my test.,おっ、こんな所に道が120キロ,"Oh, there's a road 120 kilometers long in this place!",思い切り９時すぎるぞ,It's way past 9:00.,大垣と犬山さんか,Ogaki and Inuyama-san?,冷てえー,It's cold!
ちょっとなんで断るんよ？,Why are you saying no?,で、お姉さんは？,"So, where's your sister?",シュラフ特集のやつ,The one with the sleeping bags?,これ、湯上がりに食ったらあかんやつや,This is the kind of thing you shouldn't eat after a hot bath.,これも一応鉄板使って焼肉できるよ,"You can use a griddle to cook meat, too.",お高いですが,They are expensive.,とか話してたらなでしこだ,But then I saw Nadeshiko.,すごい、30キロも近道できる,"Wow, we can take a shortcut of 30 kilometers!",大垣,Ogaki.,うまい,It's good.,水飛ばすなよ,Don't skip the water.
だって部室超狭くなるじゃん,Because it'll make the club room super small.,富士宮の方に行ってるよ。友達と遊ぶんだって,She's going to Fujinomiya. She's hanging out with her friends.,読む！,I do!,あかんやつや,It's not good!,あ、やっぱりそうなんだ,"Oh, so that's what it is.",この下に敷いてあるの何？,What's that underneath?,ていうか、あきもテス勉せな,"I mean, Aki should study for the test too.",山越えだけど,It's over the mountains.,もしもし,Hello?,暖房効いてる店内で食うアイス、うまい,"Ice cream in a heated room, good.",な、お風呂の順番どうする？,What's your turn for a bath?
人が増えたら部に昇格して大きな部室もらえるやん,"If we get more people, we'll be promoted to a club and get a bigger room.",9時ぐらいに戻ってくる,She'll be back around 9:00.,へえ、色んな種類があるんだね,"Wow, there are so many different kinds.",あかん、あかん,"No, no, no!",外で一人焼肉か,Yakiniku alone outside.,それはグラウンドシート。敷いておくと汚れないし、片付けるの楽だよ。あと、テントの破れ防止,"It's a ground sheet. If you put it down, it won't get dirty and it's easy to clean up. Also, it prevents the tent from tearing.",まあ、ダメダメ、前日にならんと尻に火が着かんタイプなんだ、私,"Well, no, no, no. I'm the type of person who doesn't get fired up until the day before.",よし、この道にしよう,"Okay, let's take this road.",しまリン、電話つながってよかったもしもし,"Shimarine, good to hear from you.",動きたくなくなってきたわ,I don't want to move.,私は後でいいよ,I'll do it later.
何人になったら昇格するんだっけ？,How many people do we have to have to get promoted?,やっぱり寒いね,It's still cold.,うちらのシュラフは封筒型やね,Our shrugs are envelope-shaped.,あかんて,It's not good!,りん、初めに何焼く？,"Rin, what should I cook first?",あ、確かに、野クルでキャンプしたときテントの裏結構汚れてた,"Oh, that's right, the back of the tent got pretty dirty when we were camping in the field.",知らんよ、後で慌てても,I don't care if I panic later.,後は観光スポットも調べて,Then we can check out the tourist spots.,しまリン、電話つながってよかった,"Shimalin, good to hear from you.",こっちにはいないな,They're not here.,私も,Me too.
確か4人以上,"Four or more, I think.",貼るカイロあるけど、使う？,I've got some body warmers if you want to use them.,リンちゃんはマミー型だった,Rin's was a mummy type.,あかん,I can't!,とりあえずタン塩かな,I think I'll start with tanshio.,これもお高いんですか？,"Are these expensive, too?",テスト直前に最大限のパフォーマンスを爆発させる,I'll maximize my performance right before the test.,行き当たりばったりも旅の楽しみ方っておじいちゃんも言ってたし,My grandpa said that randomness is the best way to enjoy traveling.,そこの通行止めそのまま通れると思うぞしまリン、電話つながってよかった,I think we can get through that roadblock.,あれは違うか,Not that one.,先生は？,Where's the doctor?
うっひょー！ラジオ体操余裕！はっはっは！,Whoo-hoo! There's room for radio gymnastics! Ha-ha-ha!,ありがとう,Thank you.,冬用は大体これやからな,That's what we use for most of the winter.,ついに、ここまで来た。,"Finally, we came to this point.",いいね！,Good idea!,ちゃんとしたものはそこそこするけど、５００円ぐらいのレジャーシートで十分だよ,"A good one costs a lot, but a 500 yen leisure sheet will do.",それがあたしのやり方だ,That's what I do.,もう、寝よう,Let's go to bed.,そこの通行止めそのまま通れると思うぞ,I think we can get through that roadblock.,どこにもいないぞ,They're nowhere to be seen.,酔い醒ましてからお風呂入るって飲みながら言ってた,He said he'd take a bath after he sobered up.
