Words,Reading,Meaning
解ける,とける,to be solved
下り,くだり,down-train
解決,かいけつ,settlement
金属,きんぞく,metal
金銭,きんせん,money
くださる,くださる,to give
要するに,ようするに,in a word
場,ば,place
製品,せいひん,manufactured goods
会計,かいけい,account
愛する,あいする,to love
城,しろ,castle
時刻,じこく,instant
用心,ようじん,care
基づく,もとづく,to be grounded on
貢献,こうけん,contribution
建設,けんせつ,construction
できれば,できれば,if possible
会員,かいいん,member
操作,そうさ,operation
瞬間,しゅんかん,moment
大統領,だいとうりょう,president
用いる,もちいる,to use
膝,ひざ,knee
大戦,たいせん,great war
行動,こうどう,action
冗談,じょうだん,jest
時期,じき,time
製造,せいぞう,manufacture
会合,かいごう,meeting
崖,がけ,cliff
体つき,からだつき,body build
成熟,せいじゅく,maturity
振り,ふり,"swing,  shake, wave"
概念,がいねん,general idea
概説,がいせつ,general statement
好ましい,このましい,"nice, likeable, desirable"
軌範,きはん,"model, standard, pattern, norm, criterion"
垢,あか,dirt
体力,たいりょく,"stamina, endurance, physical strength"
いい加減,いいかげん,"irresponsible, lukewarm, half-baked"
政権,せいけん,"political administration, political power"
気まぐれ,きまぐれ,whim
成年,せいねん,adult age
概略,がいりゃく,outline
熱量,ねつりょう,calorific value
そっぽ,そっぽ,the other way
体裁,ていさい,"appearance, format, form, style"
隠居,いんきょ,retirement
体験,たいけん,personal experience
来る,きたる,next
傷つく,きずつく,to be wounded
汚れる,けがれる,"to be violated, to be corrupted"
喜劇,きげき,comedy
外来,がいらい,foreign
器,うつわ,"bowl, vessel, container"
平方,へいほう,square
起源,きげん,origin
兆し,きざし,signs
向上,こうじょう,elevation
成り立つ,なりたつ,to consist of
レッスン,レッスン,lesson
山岳,さんがく,mountains
なるたけ,なるたけ,as much as possible
成果,せいか,fruits
器官,きかん,organ
レディー,レディー,lady
当て,あて,aim
効き目,ききめ,effect
婉曲,えんきょく,euphemistic
ふさわしい,ふさわしい,appropriate
トランジスタ,トランジスタ,electrical transistor
相応,そうおう,suitability
しなやか,しなやか,"supple, flexible, elastic"
参上,さんじょう,calling on
コントロール,コントロール,control
参照,さんしょう,reference
当たり,あたり,hit
体格,たいかく,physique
下火,したび,"burning low, waning, declining"
コントラスト,コントラスト,contrast
向き,むき,direction
明朗,めいろう,cheerful
売り出す,うりだす,to put on the market
明瞭,めいりょう,clarity
勢力,せいりょく,"influence, power, might"
専修,せんしゅう,specialization
駄作,ださく,poor piece of work
検事,けんじ,public prosecutor
降伏,こうふく,capitulation
陰気,いんき,gloomy
治安,ちあん,public order
吟味,ぎんみ,close examination
治まる,おさまる,to be at peace
潤う,うるおう,to be moist
よほど,よほど,very
もっぱら,もっぱら,wholly
よって,よって,therefore
梅干し,うめぼし,umeboshi
体,てい,appearance
危ぶむ,あやぶむ,to fear
危害,きがい,injury
危機,きき,crisis
治療,ちりょう,medical treatment
磁気,じき,magnetism
磁器,じき,porcelain
盾,たて,shield
釣鐘,つりがね,temple bell
平常,へいじょう,normal
養護,ようご,nursing
姓名,せいめい,full name
征服,せいふく,conquest
世,よ,world
盗み,ぬすみ,stealing
企画,きかく,planning
コンタクト,コンタクト,contact
準じる,じゅんじる,to follow
準ずる,じゅんずる,to apply correspondingly
倍率,ばいりつ,magnification
準急,じゅんきゅう,semi-express train
はるか,はるか,far
宣言,せんげん,declaration
こぐ,こぐ,to row
まくる,まくる,to turn up
争い,あらそい,dispute
憂鬱,ゆううつ,depression
要請,ようせい,appeal
会談,かいだん,conversation
降水,こうすい,rainfall
要望,ようぼう,demand for
明くる,あくる,next
蕾,つぼみ,(flower) bud
明かす,あかす,to pass
占領,せんりょう,occupying
宣教,せんきょう,religious mission
大幅,おおはば,big
次いで,ついで,next
大部,たいぶ,lengthy
下位,かい,low rank
要因,よういん,main cause
配布,はいふ,distribution
命中,めいちゅう,a hit
配置,はいち,arrangement
ゆとり,ゆとり,elbowroom
鉱業,こうぎょう,mining industry
鉱山,こうざん,mine (ore)
屋敷,やしき,residence
大柄,おおがら,large build
エアメール,エアメール,air mail
遺跡,いせき,historic ruins
差別,さべつ,discrimination
差別反対,さべつはんたい,anti-discrimination
差別関税,さべつかんぜい,differential duties
特別会計,とくべつかいけい,special account
特別番組,とくべつばんぐみ,special program
性別,せいべつ,"gender, distinction of sex"
送別,そうべつ,"farewell, send-off"
使用,しよう,"use, application, employment utilization"
引用,いんよう,"quotation, citation, reference"
