Meaning,Kanji,Reading
to continue (vt),続ける,tsuzukeru
to control (vt),管制する,kansei suru
to cook (dinner),料理をする,ryōri wo suru
to cost (vt),かかる,kakaru
to count (add up),計算する,keisan suru
to count on …,…を頼りにする,… wo tayori ni suru
to create (vt),創造する,sōzō suru
to cry (weep),泣く,naku
"to deceive (vi, vt)",だます,damasu
"to decorate (tree, street)",飾る,kazaru
"to defend (a country, etc)",防衛する,bōei suru
to demand (request firmly),要求する,yōkyū suru
to dig (vt),掘る,horu
to discuss (vt),討議する,tōgi suru
to do (vt),する,suru
to doubt (have doubts),疑う,utagau
to drop (let fall),落とす,otosu
to excuse (forgive),許す,yurusu
to exist (vi),存在する,sonzai suru
to expect (foresee),見越す,mikosu
to explain (vt),説明する,setsumei suru
to fall (vi),落ちる,ochiru
to find (vt),見つける,mitsukeru
to finish (vt),終える,oeru
to fly (vi),飛ぶ,tobu
to follow … (come after),…について行く,… ni tsuiteiku
"to forget (vi, vt)",忘れる,wasureru
to forgive (vt),許す,yurusu
to give (vt),手渡す,tewatasu
to give a hint,暗示する,anji suru
to go (on foot),行く,iku
to go for a swim,海水浴をする,kaisuiyoku wo suru
to go out (from …),出る,deru
to guess right,言い当てる,īateru
to have (vt),持つ,motsu
to have breakfast,朝食をとる,chōshoku wo toru
to have dinner,夕食をとる,yūshoku wo toru
to have lunch,昼食をとる,chūshoku wo toru
to hear (vt),聞く,kiku
to help (vt),手伝う,tetsudau
to hide (vt),隠す,kakusu
"to hope (vi, vt)",希望する,kibō suru
"to hunt (vi, vt)",狩る,karu
to hurry (vi),急ぐ,isogu
to inform (vt),知らせる,shiraseru
"to insist (vi, vt)",主張する,shuchō suru
to insult (vt),侮辱する,bujoku suru
to invite (vt),招待する,shōtai suru
to joke (vi),冗談を言う,jōdan wo iu
to keep (vt),保つ,tamotsu
to keep silent,沈黙を守る,chinmoku wo mamoru
to kill (vt),殺す,korosu
to know (sb),知っている,shitte iru
to know (sth),知る,shiru
to laugh (vi),笑う,warau
"to liberate (city, etc.)",解放する,kaihō suru
to like (I like ...),好む,konomu
to look for … (search),探す,sagasu
to love (sb),愛する,aisuru
to make a mistake,誤りをする,ayamari wo suru
"to manage, to run",管理する,kanri suru
to mean (signify),意味する,imi suru
to mention (talk about),言及する,genkyū suru
"to miss (school, etc.)",欠席する,kesseki suru
to notice (see),見掛ける,mikakeru
"to object (vi, vt)",反対する,hantai suru
to observe (see),監視する,kanshi suru
to open (vt),開ける,akeru
"to order (meal, etc.)",注文する,chūmon suru
to order (mil.),命令する,meirei suru
to own (possess),所有する,shoyū suru
to participate (vi),参加する,sanka suru
"to pay (vi, vt)",払う,harau
to permit (vt),許可する,kyoka suru
to plan (vt),計画する,keikaku suru
to play (children),遊ぶ,asobu
"to pray (vi, vt)",祈る,inoru
to prefer (vt),好む,konomu
to promise (vt),約束する,yakusoku suru
to pronounce (vt),発音する,hatsuon suru
to propose (vt),提案する,teian suru
to punish (vt),罰する,bassuru
"to read (vi, vt)",読む,yomu
to recommend (vt),推薦する,suisen suru
"to refuse (vi, vt)",拒絶する,kyozetsu suru
to regret (be sorry),後悔する,kōkai suru
to rent (sth from sb),借りる,kariru
to repeat (say again),復唱する,fukushō suru
"to reserve, to book",予約する,yoyaku suru
to run (vi),走る,hashiru
to save (rescue),救出する,kyūshutsu suru
to say (~ thank you),言う,iu
to scold (vt),叱る［しかる］,shikaru
to see (vt),見る,miru
to sell (vt),売る,uru
to send (vt),送る,okuru
to shoot (vi),撃つ,utsu
to shout (vi),叫ぶ,sakebu
to show (vt),見せる,miseru
to sign (document),署名する,shomei suru
to sit down (vi),座る,suwaru
to smile (vi),ほほえむ［微笑む］,hohoemu
"to speak (vi, vt)",話す,hanasu
"to steal (money, etc.)",盗む,nusumu
to stop (please ~ calling me),止める,tomeru
"to stop (for pause, etc.)",止まる,tomaru
to study (vt),勉強する,benkyō suru
to swim (vi),泳ぐ,oyogu
to take (vt),取る,toru
"to think (vi, vt)",思う,omō
to threaten (vt),脅す,odosu
to touch (with hands),触れる,fureru
to translate (vt),翻訳する,honyaku suru
to trust (vt),信用する,shinyō suru
to try (attempt),試みる,kokoromiru
to turn (~ to the left),曲がる,magaru
to underestimate (vt),甘く見る,amaku miru
to understand (vt),理解する,rikai suru
to unite (vt),合体させる,gattai saseru
to wait (vt),待つ,matsu
"to want (wish, desire)",欲する,hossuru
to warn (vt),警告する,keikoku suru
to work (vi),働く,hataraku
to write (vt),書く,kaku
to write down,書き留める,kakitomeru
color,色,iro
shade (tint),色合い,iroai
hue,色相,shikisō
rainbow,虹,niji
white (adj),白い,shiroi
black (adj),黒い,kuroi
gray (adj),灰色の,haīro no
green (adj),緑の,midori no
yellow (adj),黄色い,kīroi
red (adj),赤い,akai
blue (adj),青い,aoi
light blue (adj),水色の,mizu iro no
pink (adj),ピンクの,pinku no
orange (adj),オレンジの,orenji no
violet (adj),紫色の,murasaki iro no
brown (adj),茶色の,chairo no
golden (adj),金色の,kiniro no
silvery (adj),銀色の,giniro no
beige (adj),ベージュの,bēju no
cream (adj),クリームの,kurīmu no
turquoise (adj),ターコイズブルーの,tākoizuburū no
cherry red (adj),チェリーレッドの,cherī reddo no
lilac (adj),ライラックの,rairakku no
crimson (adj),クリムゾンの,kurimuzon no
light (adj),薄い,usui
dark (adj),濃い,koi
"bright, vivid (adj)",鮮やかな,azayaka na
colored (pencils),色の,iro no
"color (e.g., ~ film)",カラー…,karā…
black-and-white (adj),白黒の,shirokuro no
plain (one-colored),単色の,tanshoku no
multicolored (adj),色とりどりの,irotoridori no
Who?,誰？,dare ?
What?,何？,nani ?
"Where? (at, in)",どこに？,doko ni ?
Where (to)?,どちらへ？,dochira he ?
From where?,どこから？,doko kara ?
When?,いつ？,itsu ?
Why? (What for?),なんで？,nande ?
Why? (reason),どうして？,dōshite ?
What for?,何のために？,nan no tame ni ?
How? (in what way),どうやって？,dō yatte?
What? (What kind of …?),どんな ？,donna?
Which?,どちらの…？,dochira no … ?
To whom?,誰に？,dare ni ?
About whom?,誰のこと？,dare no koto ?
About what?,何のこと？,nannokoto ?
With whom?,誰と？,dare to ?
How many?,いくつ？,ikutsu ?
How much?,いくら？,ikura ?
Whose?,誰のもの？,Dare no mono ?
"Where? (at, in)",どこに？,doko ni ?
here (adv),ここで,kokode
there (adv),そこで,sokode
somewhere (to be),どこかで,doko ka de
nowhere (not anywhere),どこにも,doko ni mo
"by (near, beside)",近くで,chikaku de
by the window,窓辺に,mado beni
Where (to)?,どちらへ？,dochira he ?
"here (e.g., come ~!)",こちらへ,kochira he
"there (e.g., to go ~)",そこへ,soko he
from here (adv),ここから,koko kara
from there (adv),そこから,soko kara
close (adv),そばに,soba ni
far (adv),遠くに,tōku ni
"near (e.g., ~ Paris)",近く,chikaku
nearby (adv),近くに,chikaku ni
not far (adv),遠くない,tōku nai
left (adj),左の,hidari no
on the left,左に,hidari ni
to the left,左へ,hidari he
right (adj),右の,migi no
on the right,右に,migi ni
to the right,右へ,migi he
in front (adv),前に,mae ni
front (as adj),前の,mae no
ahead (look ~),前方へ,zenpō he
behind (adv),後ろに,ushiro ni
from behind,後ろから,ushiro kara
back (towards the rear),後ろへ,ushiro he
middle,中央,chūō
in the middle,中央に,chūō ni
at the side,側面から,sokumen kara
everywhere (adv),どこでも,doko demo
around (in all directions),…の周りを,… no mawari wo
from inside,中から,naka kara
somewhere (to go),どこかへ,dokoka he
straight (directly),真っ直ぐに,massugu ni
"back (e.g., come ~)",戻って,modotte
from anywhere,どこからでも,doko kara demo
from somewhere,どこからか,doko kara ka
firstly (adv),第一に,dai ichi ni
secondly (adv),第二に,dai ni ni
thirdly (adv),第三に,dai san ni
suddenly (adv),急に,kyū ni
at first (adv),初めは,hajime wa
for the first time,初めて,hajimete
long before ...,...かなり前に,...kanari mae ni
anew (over again),新たに,arata ni
for good (adv),永遠に,eien ni
never (adv),一度も,ichi do mo
again (adv),再び,futatabi
now (adv),今,ima
often (adv),よく,yoku
then (adv),あのとき,ano toki
urgently (quickly),至急に,shikyū ni
usually (adv),普通は,futsū wa
"by the way, ...",ところで、...,"tokorode, ..."
possible (that is ~),可能な,kanō na
probably (adv),恐らく[おそらく],osoraku
maybe (adv),ことによると,kotoni yoru to
besides ...,それに,soreni
that's why ...,従って,shitagatte
in spite of ...,...にもかかわらず,... ni mo kakawara zu
thanks to ...,...のおかげで,... no okage de
what (pron.),何,nani
that (conj.),...ということ,... toyuu koto
something,何か,nani ka
anything (something),何か,nani ka
nothing,何もない,nani mo nai
who (pron.),誰,dare
someone,ある人,aru hito
somebody,誰か,dare ka
nobody,誰も…ない,dare mo … nai
nowhere (a voyage to ~),どこへも,doko he mo
nobody's,誰の…でもない,dare no … de mo nai
somebody's,誰かの,dare ka no
so (I'm ~ glad),とても,totemo
also (as well),また,mata
too (as well),も,mo
Why?,どうして？,dōshite ?
for some reason,なぜか［何故か］,naze ka
because …,なぜなら,nazenara
for some purpose,何らかの理由で,nanrakano riyū de
and,と,to
or,または,matawa
but,でも,demo
"for (e.g., ~ me)",…のために,... no tame ni
too (~ many people),…すぎる,... sugiru
only (exclusively),もっぱら,moppara
exactly (adv),正確に,seikaku ni
about (more or less),約,yaku
approximately (adv),おおよそ,ōyoso
approximate (adj),おおよその,ōyosono
almost (adv),ほとんど,hotondo
the rest,残り,nokori
the other (second),もう一方の,mōippōno
other (different),他の,hokano
each (adj),各,kaku
any (no matter which),どれでも,dore demo
many (adv),多くの,ōku no
much (adv),多量の,taryō no
many people,多くの人々,ōku no hitobito
all (everyone),あらゆる人,arayuru hito
in return for …,…の返礼として, no henrei toshite
in exchange (adv),引き換えに,hikikae ni
by hand (made),手で,te de
hardly (negative opinion),ほとんど…ない,hotondo ... nai
probably (adv),恐らく［おそらく］,osoraku
on purpose (adv),わざと,wazato
by accident (adv),偶然に,gūzen ni
very (adv),非常に,hijō ni
for example (adv),例えば,tatoeba
between,間,kan
among,…の間で,... no мade
so much (such a lot),たくさん,takusan
especially (adv),特に,tokuni
Monday,月曜日,getsuyōbi
Tuesday,火曜日,kayōbi
Wednesday,水曜日,suiyōbi
Thursday,木曜日,mokuyōbi
Friday,金曜日,kinyōbi
Saturday,土曜日,doyōbi
Sunday,日曜日,nichiyōbi
today (adv),今日,kyō
tomorrow (adv),明日,ashita
the day after tomorrow,明後日［あさって］,asatte
yesterday (adv),昨日,kinō
the day before yesterday,一昨日［おととい］,ototoi
day,日,nichi
working day,営業日,eigyōbi
public holiday,公休,kōkyū
day off,休み,yasumi
weekend,週末,shūmatsu
all day long,一日中,ichi nichi chū
next day (adv),翌日,yokujitsu
two days ago,2日前に,futsu ka mae ni
the day before,その前日に,sono zenjitsu ni
daily (adj),毎日の,mainichi no
every day (adv),毎日,mainichi
week,週,shū
last week (adv),先週,senshū
next week (adv),来週,raishū
weekly (adj),毎週の,maishū no
every week (adv),毎週,maishū
twice a week,週に2回,shūni nikai
every Tuesday,毎週火曜日,maishū kayōbi
morning,朝,asa
in the morning,朝に,asa ni
"noon, midday",正午,shōgo
in the afternoon,午後に,gogo ni
evening,夕方,yūgata
in the evening,夕方に,yūgata ni
night,夜,yoru
at night,夜に,yoru ni
midnight,真夜中,mayonaka
minute,分,"fun, pun"
hour,時間,jikan
half an hour ,30分,san jū fun
quarter of an hour,15分,jū go fun
fifteen minutes,15分,jū go fun
24 hours,一昼夜,icchūya
sunrise,日の出,hinode
dawn,夜明け,yoake
early morning ,早朝,sōchō
sunset,夕日,yūhi
early in the morning ,早朝に,sōchō ni
this morning ,今朝,kesa
tomorrow morning,明日の朝,ashita no asa
this afternoon,今日の午後,kyō no gogo
in the afternoon,午後,gogo
tomorrow afternoon,明日の午後,ashita no gogo
tonight (this evening),今夜,konya
tomorrow night,明日の夜,ashita no yoru
at 3 o'clock sharp,3時ちょうどに,sanji chōdo ni
about 4 o'clock,4時頃,yoji goro
by 12 o'clock,12時までに,jūniji made ni
in 20 minutes,20分後,nijuppungo
in an hour,一時間後,ichi jikan go
on time (adv),予定通りに,yotei dōri ni
a quarter of …,…時15分,... ji jyūgo fun
within an hour,1時間で,ichi jikan de
every 15 minutes,15分ごとに,jyūgo fun goto ni
round the clock,昼も夜も,hiru mo yoru mo
January,一月,ichigatsu
February,二月,nigatsu
March,三月,sangatsu
April,四月,shigatsu
May,五月,gogatsu
June,六月,rokugatsu
July,七月,shichigatsu
August,八月,hachigatsu
September,九月,kugatsu
October,十月,jūgatsu
November,十一月,jūichigatsu
December,十二月,jūnigatsu
spring,春,haru
in spring,春に,haru ni
spring (as adj),春の,haru no
fall,秋,aki
in fall,秋に,aki ni
fall (as adj),秋の,aki no
winter,冬,fuyu
in winter,冬に,fuyu ni
winter (as adj),冬の,fuyu no
month,月,tsuki
this month,今月,kongetsu
next month,来月,raigetsu
last month,先月,sengetsu
a month ago,一ヶ月前,ichi kagetsu mae
in a month,一ヶ月後,ichi kagetsu go
in two months,二ヶ月後,ni kagetsu go
the whole month,丸一ヶ月,maru ichi kagetsu
all month long,一ヶ月間ずっと,ichi kagetsu kan zutto
monthly (~ magazine),月刊の,gekkan no
monthly (adv),毎月,maitsuki
every month,月1回,tsuki ichi kai
twice a month,月に2回,tsuki ni ni kai
year,年,nen
this year,今年,kotoshi
next year,来年,rainen
last year,去年,kyonen
a year ago,一年前,ichi nen mae
in a year,一年後,ichi nen go
in two years,二年後,ni nen go
the whole year,丸一年,maru ichi nen
all year long,通年,tsūnen
every year,毎年,maitoshi
annual (adj),毎年の,maitoshi no
annually (adv),年1回,toshi ichi kai
4 times a year,年に4回,toshi ni yon kai
"date (e.g., today's ~)",日付,hizuke
"date (e.g., ~ of birth)",年月日,nengappi
calendar,カレンダー,karendā
half a year,半年,hantoshi
six months,6ヶ月,roku kagetsu
"season (summer, etc.)",季節,kisetsu
century,世紀,seiki
weight,重さ,omo sa
length,長さ,naga sa
width,幅,haba
height,高さ,taka sa
depth,深さ,fuka sa
volume,体積,taiseki
area,面積,menseki
gram,グラム,guramu
milligram,ミリグラム,miriguramu
kilogram,キログラム,kiroguramu
ton,トン,ton
pound,ポンド,pondo
ounce,オンス,onsu
meter,メートル,mētoru
millimeter,ミリメートル,mirimētoru
centimeter,センチメートル,senchimētoru
kilometer,キロメートル,kiromētoru
mile,マイル,mairu
inch,インチ,inchi
foot,フィート,fīto
yard,ヤード,yādo
square meter,平方メートル,heihō mētoru
hectare,ヘクタール,hekutāru
liter,リットル,rittoru
degree,度,do
volt,ボルト,boruto
ampere,アンペア,anpea
horsepower,馬力,bariki
quantity,数量,sūryō
a little bit of …,少し,sukoshi
half,半分,hanbun
dozen,ダース,dāsu
piece (item),一個,ikko
size,大きさ,ōki sa
scale (map ~),縮尺,shukushaku
minimal (adj),極小の,kyokushō no
the smallest (adj),最小の,saishō no
medium (adj),中位の,chūi no
maximal (adj),極大の,kyokudai no
the largest (adj),最大の,saidai no
jar (glass),ジャー、瓶,"jā, bin"
can,缶,kan
bucket,バケツ,baketsu
barrel,樽,taru
basin (for washing),たらい［盥］,tarai
"tank (for liquid, gas)",タンク,tanku
hip flask,スキットル,sukittoru
jerrycan,ジェリカン,jerikan
cistern (tank),積荷タンク,tsumini tanku
mug,マグカップ,magukappu
"cup (of coffee, etc.)",カップ,kappu
saucer,ソーサー,sōsā
glass (tumbler),ガラスのコップ,garasu no koppu
wineglass,ワイングラス,wain gurasu
saucepan,両手鍋,ryō tenabe
bottle (~ of wine),ボトル,botoru
neck (of the bottle),ネック,nekku
carafe,デキャンター,dekyanta
pitcher (earthenware),水差し,mizusashi
vessel (container),器,utsuwa
pot (crock),鉢,hachi
vase,花瓶,kabin
bottle (~ of perfume),瓶,bin
"vial, small bottle",バイアル,bai aru
tube (of toothpaste),チューブ,chūbu
sack (bag),南京袋,nankinbukuro
"bag (paper , plastic )",袋,fukuro
"pack (of cigarettes, etc.)",箱,hako
"box (e.g., shoebox)",箱,hako
crate,木箱,ki bako
basket,かご［籠］,kago
