Item,Meaning,Definition,Pattern,Sentence,Translation
が欲しい,自分の物にしたい、得たいという気持ちを表す言葉。,A word that expresses a desire to own or obtain something.,N+ga ＋ hoshii,・あと１０分でテストが終わる。もっと時間が欲しいなあ。,The test will be over in ten minutes. I wish I had more time.
から,理由や原因を言う時に使う表現。,An expression used to describe a reason or cause.,Sentence + kara,・後で使いますから、そのままでけっこうです。,"We'll use it later, so leave it as it is."
から〜まで,開始と終わりを表す。,Indicates the beginning and end.,N+kara + N+made,・昼休みは１２時から1時までです。,Lunch break is from 12:00 to 1:00.
ことがある,いつもではないが、ときどき〜する。,"Not all the time, but sometimes - I do.",Vdict・Vnai + koto ga aru,・時々、海外へ出張することがある。,"Occasionally, I travel overseas."
ことができる,可能の表現。能力について言う場合と、状況について言う場合の２種類ある。,"An expression of possibility.
There are two types: when talking about abilities and when talking about situations.",Vdict + koto ga dekiru,・私は日本語と英語と中国語を話すことができます。,"I can speak Japanese, English, and Chinese."
ことにする,自分の意志で何かをする、あるいはしないと決めたことを言うときに使う。,It is used to say that you have decided to do or not do something of your own volition.,Vdict・Vnai + koto ni suru,・今日は体調がよくないので、早く寝ることにします。,"I'm not feeling well today, so I'm going to bed early."
ことになる,予定や計画などが自分の意志に関係なく決まること。,A schedule or plan is decided without regard to one's will.,Vdict・Vnai + koto ni naru,・次の会議では私が発表することになりました。,"At the next meeting, I was to give a presentation."
せてください,相手に許可を求める表現。,A phrase used to ask someone's permission.,Vsasete + kudasai,・それについては、私に説明させてください。,Let me explain about that.
し〜し,理由を複数並べて言う時に使う。,Used to say multiple reasons in a row.,Vplain・I-Adj・ Na-Adj+da・N+da ＋ shi,・日本は便利だし、綺麗だし、いつか住んでみたいです。,"Japan is convenient and beautiful, and I would like to live there someday."
しか〜ない,だけ。,Only.,N + shika… nai,・この話は君しか知らないから、内緒だよ。,"You're the only one who knows about this, so don't tell anyone."
すぎる,とても〜。非常に〜。,Very much. Very much~.,Vmasu＋ sugiru,・ちょっと飲みすぎて頭が痛いです。,I drank a little too much and my head hurts.
すぎる,とても〜。非常に〜。,Very much. Very much~.,I-Adj-i＋ sugiru,・今日のテスト難しすぎて、全然わからなかった。,Today's test was so difficult that I couldn't understand it at all.
すぎる,とても〜。非常に〜。,Very much. Very much~.,Na-Adj＋ sugiru,・昨日のテストは簡単すぎて、３０分も時間が余ったよ。,Yesterday's test was so easy that I had half an hour extra time.
そうです,見たり聞いたりした情報を他の人に伝えるとに使う表現。,Expressions used to convey information that you have seen or heard to others.,Vplain ＋ sou desu,・天気予報によると、午後から雨が降るそうです。,"According to the weather forecast, it was going to rain in the afternoon."
そうです,見たり聞いたりした情報を他の人に伝えるとに使う表現。,Expressions used to convey information that you have seen or heard to others.,I-Adj＋ sou desu,・新しく公開された映画、面白いそうですよ。,I heard that the newly released movie is very interesting.
そうです,見たり聞いたりした情報を他の人に伝えるとに使う表現。,Expressions used to convey information that you have seen or heard to others.,Na-Adj+da・N+da ＋ sou desu,・明日、学校は休みだそうです。,I heard that the school is closed tomorrow.
そうです,話し手が見た様子や印象を言うときに使う表現。,An expression used to describe the appearance or impression the speaker has seen.,I-Adj-i＋ sou desu,・このケーキは美味しそうですね。,This cake looks delicious.
そうです,話し手が見た様子や印象を言うときに使う表現。,An expression used to describe the appearance or impression the speaker has seen.,I-Adj+kuna + sa sou desu,・この新しい映画はあまり面白くなさそうだな。,The new movie doesn't seem to be very interesting.
そうです,話し手が見た様子や印象を言うときに使う表現。,An expression used to describe the appearance or impression the speaker has seen.,Na-Adj＋ sou desu,・うわぁ、とっても辛そうなカレーですね。,The curry looks very spicy.
そうです,話し手が見た様子や印象を言うときに使う表現。,An expression used to describe the appearance or impression the speaker has seen.,Na-Adj+jana＋ sa sou desu,・ジェームスさん、なんだか元気じゃなさそうですね。,"Mr. James, you don't seem to be well."
そうです,話し手が見た様子や印象を言うときに使う表現。,An expression used to describe the appearance or impression the speaker has seen.,Vmasu + sou desu,・雨が降りそうだ,It looks it’s going to rain
たい,話し手の行為の欲求や希望を表す。,To express the speaker's desire or wish for an action,Vmasu＋ tai,・寒い日はやっぱり鍋が食べたいね。,I want to eat hot pot on a cold day.
たことがある,経験を表す。,Indicates experience.,Vta + koto ga aru,・富士山に３回登ったことがあります。,I have climbed Mount Fuji three times.
だす,動作の開始を表す。,Indicates the start of an operation.,Vmasu＋ dasu,・まだ信号は赤なのに、急に車が走り出した。,"The light was still red, but suddenly a car started driving."
ために,〜という目的を達成するために・・・する。,"In order to achieve this goal, we must....",Vdict・N+no + tameni,・日本で働くために、一生懸命日本語を勉強しています。,I am studying Japanese very hard in order to work in Japan.
たら,条件を表す表現。仮定条件。,An expression expressing a condition. Hypothetical situation.,Vta + ra,・もし早く終わったら、間違いがないか見直しをしてください。,"If you finish early, review your work to make sure there are no mistakes."
たら,"条件を表す表現。確定条件。
",An expression expressing a condition. Fixed condition.,Vta + ra,・大学を卒業したら、国へ帰って働きます。,"After graduating from university, I will return to my country to work."
たら,条件を表す表現。,An expression expressing a condition.,I-Adj+katta + ra,・明日、天気がよかったら、出かけます。,"Tomorrow, if the weather is good, I will go out."
たら,条件を表す表現。,An expression expressing a condition.,Na-Adj+datta・N+datta + ra,・もしかれが正直だったら、彼らは雇ったのだが。,"If he had been honest, they would have hired him."
たらどうですか,相手にある行動をするように提案する言い方。,A way of suggesting that the other person do a certain action.,Vta + ra dou desu ka,・いい天気なんだから、外で遊んだらどう？,It's a beautiful day. Why don't you go outside and play?
たり〜たりする,複数ある行動の中から代表的な物を取り上げて、表現するときに使う。,It is used to take a representative object from among several actions and express it.,Vta + ri + Vta + ri suru,・昨日は家でゲームをしたり、本を読んだりしました。,"Yesterday, I played games and read books at home."
続ける,動作や習慣などを継続することを表す。,"Indicates the continuation of an action, habit, etc.",Vmasu＋ tsuzukeru,・昨日の夜からずっと雨が降り続いている。,It's been raining since last night.
って,主題を示す。相手が知らない物や人などの名前を言う時に使う。,State the subject. Used to say the name of an object or person that the other person does not know.,N + tte,・肉じゃがってどうやって作るの？,How do you make meat and potatoes?
つもりだ,話し手の意志・予定などを表す。,"Expresses the speaker's intentions, plans, etc.",Vdict・Vnai + tsumori da,・夏休みは国へ帰るつもりです。,I'm going back to my country for the summer vacation.
てある,人が何か目的があってその行為を行い、その行為の結果が残っていることを表す。,It indicates that a person performs an action with a purpose and the result of that action remains.,Vte + aru,・教室の壁には、色々な日本のポスターが貼ってあります。,The walls of the classroom are covered with various Japanese posters.
ていただけませんか,話し手が聞き手に対して、丁寧にお願いするときに使う。,It is used when a speaker makes a polite request to a listener.,Vte + itadakemasen ka,・もう少しゆっくり話していただけませんか。,Could you please speak a little more slowly?
てみる,いいかどうかわからないので、試しに〜する,"I don't know if it's a good idea, so I'll give it a try.",Vte + miru,・わぁ、美味しそう。一口食べてみてもいい？,"Wow, that looks good. Can I try a bite?"
ても,前件の条件が成立すると、当然、後件の条件も成立するはずなのに、成立しないという時に使う。,"It is used when the condition of the previous case is satisfied, the condition of the subsequent case should also be satisfied, but is not.",Vte + mo,・雨が降っても、コンサートは行う予定です。,The concert will be held even if it rains.
ても,前件の条件が成立すると、当然、後件の条件も成立するはずなのに、成立しないという時に使う。,"It is used when the condition of the previous case is satisfied, the condition of the subsequent case should also be satisfied, but is not.",I-Adj-i＋ kute + mo,・必要じゃないものは、安くても買いません。,"I don't buy things I don't need, even if they are cheap."
ても,前件の条件が成立すると、当然、後件の条件も成立するはずなのに、成立しないという時に使う。,"It is used when the condition of the previous case is satisfied, the condition of the subsequent case should also be satisfied, but is not.",Na-Adj+de・N+de + mo,・この問題は子供でもわかります。,Even a child can understand this problem.
てもいいですか,〜しても問題がないか、「許可」を求める時に使う表現。,"An expression used to ask for ""permission"" to do something.",Vte + mo ii desu ka,・可愛い犬ですね。写真を撮ってもいいですか。,It's a cute dog. Can I take a picture of it?
と,ある動作を行うと、必ず、別の事柄や作用が続いて起こることを示す,Indicates that performing an action is always followed by another thing or action.,Vdict・Vnai・I-Adj・Na-Adj+da・N+da + to,・このボタンを押すと、音が大きくなりますよ。,"If you press this button, the sound will become louder."
