Words,Hiragana,Meaning
すっきりする,すっきりする,to understand clearly and thoroughly 
基本を押さえる,きほんをおさえる,to check basics; to understand (points of) basics 
はっきりさせる,はっきりさせる,to make it clear
単純に,たんじゅんに,simply
知識,ちしき,knowledge
情報,じょうほう,information
中華料理,ちゅうかりょうり,Chinese cuisine; Chinese food
ガッツリ,ガッツリ,plentifully; with all one's might 
話 が盛り上がる,はなしがもりあがる,conversation gets fun and exciting; to have a lively conversation 
まるで~,まるで~,as if; as though; just like
関心がない,かんしんがない,not interested
"まさか~ないよね 
","まさか~ないよね 
",Don’t tell me ~
参加する,さんかする,to participate; to join
巻き込まれる,まきこまれる,to be involved; to get dragged into 
強め,つよめ,a little stronger (one); strong-ish 
匂いを嗅ぐ,においをかぐ,to sniff a smell
ドロドロ,ドロドロ,mushy; thick and heavy
お腹を壊す,おなかをこわす,to have diarrhea
交通事故に遭う,こうつうじこにあう,"to have a traffic (car, motorcycle, bicycle, etc.) accident "
運び込まれる,はこびこまれる,to be carried in; to be brought in 
幸い,さいわい,luckily; fortunately; happiness
むむっ!?,むむっ!?,"Used to express a range of emotions, including surprise, etc）"
なんてこった,なんてこった,Oh no!; What the heck!
記憶喪失,きおくそうしつ,loss of memory
トラウマ,トラウマ,trauma
恥,はじ,shame; embarrassment; disgrace 
知ったかぶり,しったかぶり,pretending to know something one has no idea
注意深く,ちゅういぶか,carefully
微妙に,びみょう,subtly
盛りだくさん,もりだくさん,many; a lot
こそこそ,こそこそ,[onomatopoeia] sneakily; secretly
結果,けっか,result
予測通り,よそくどおり,as expected; as guessed; as thought
くやしい!,くやしい!,"expression of mortifying such as ""dang!"" and ""shoot!"""
しつこい,しつこい,persistent; too much
前言撤回,ぜんげんてっかい,"taking back what one just said; negating one's previous comment, opinion, etc."
取り消す,とりけす,"to take back (words, etc.)"
コロコロ変わる,コロコロかわる,"to change frequently (e.g., plans, opinions)"
エビフライ,エビフライ,deep-fried shrimp 
定食,ていしょく,set meal; special (of the day)​
食後,しょくご,after a meal
前菜,ぜんさい,appetizer
注文内容,ちゅうもんないよう,contents of order
残業,ざんぎょう,overtime (work)
もったいない,もったいない,wasteful; a waste
賛成,さんせい,I agree with your opinion
さらに,さらに,further; even more
後悔する,こうかいかい,to regret
よくよく,よくよく,very thoroughly
元カノ,もとカノ,ex-girlfriend
試す,ためす,to test; to try out
経験する,けいけんする,to experience
元に戻る,もとにもどる,to return to the starting point; to go back to the original idea
グルメ,グルメ,gourmet
故郷,ふるさと,hometown
飯,めし,"meal(casual, somewhat macho way of expression)"
地元の,じもとの,local; hometown's
迷ったあげく,まよったあげく,after a long hesitation; at the end of a long consideration
