Sentence,Translation
・そう？じゃあ、頑張って５分にするよ。,Really? Then I'll do my best to make it five minutes.
・先生、箸の使い方を勉強したいです。,I want to learn how to use chopsticks.
・「バラ」の漢字の書き方を教えていただけませんか。,"Can you teach me how to write the Chinese character for ""rose""?"
・駅への行き方を教えていただけませんか。,Can you teach me how to get to the station?
・初めて見るので・・・すみませんが、食べ方を教えていただけませんか。,"I'm sorry, I've never seen it before, but can you teach me how to eat it?"
・田中先生の教え方は上手で、とてもおもしろいです。,Tanaka-sensei's teaching style is very good and very interesting.
・ジョンさんの踊り方はちょっと変ですね。,Mr. John's dancing style is a little strange.
・このソフトの使い方がわからなくて困っているんです。,"I don't know how to use this software, so I'm having trouble."
・今、料理教室で日本料理の作り方を習っています。,I'm learning how to make Japanese dishes at a cooking class.
・日本人への日本語の教え方と外国人への日本語の教え方は異なります。,How to teach Japanese to a Japanese person is different from how to teach Japanese to a foreigner.
・こっちから見たときと、あっちから見たときで、見え方は異なります。,"When looking from this side and that side, the way you see is different."
・履歴書の書き方がわからなくて、インターネットで調べました。,"I didn't know how to write a resume, so I looked it up on the Internet."
・このコースでは簡単なシステムの作り方を学びます。,"In this course, you will learn how to create a simple system."
・着物の着方を教えて欲しいです。,I want you to teach me how to wear a kimono.
・このゲームの遊び方を知っていますか。,Do you know how to play this game?
・これは上手なプレゼンのし方の本です。読んでおくと役に立ちますよ。,This is a book about how to give a good presentation. It's useful to read.
・毎日、忙しくて遊ぶ時間もないよ。あ〜、休みが欲しいなぁ。,"I'm so busy every day, I don't have time to play. Oh, I wish I had a day off."
・新しいi-phone、かっこいいよね。欲しいなぁ。,"The new i-phone is so cool, isn't it? I want one."
・私は将来、大きな家が欲しいです。,I want a big house in the future.
・外国人の彼氏が欲しいなぁ。,I want to have a foreign boyfriend.
・子供は少なくても３人は欲しいですね。,I want to have at least three children.
・今度、娘の誕生日なんだけど、何が欲しいんだろう。,"It's my daughter's birthday, but I wonder what she wants."
・今、何が欲しいですか。,What do you want now?
・お金がたくさんあったら、何が欲しいですか。,"If you had a lot of money, what would you like to have?"
・もし夢が叶うなら、たくさんのお金と永遠の命とどちらが欲しいですか。,"If your dream came true, what would you want: lots of money or eternal life?"
・あと10分でテストが終わる。もっと時間が欲しいなあ。,I have a test in 10 minutes. I want more time.
・ミルクティーが大好きだから、毎日飲みます。,"I love milk tea, so I drink it every day."
・５時になりましたから、帰りましょう。,"It's 5 o'clock, let's go home."
・お酒が飲めないのに、みんなと同じ値段を払わなければいけないから飲み会が嫌いです。,I don't like drinking parties because I have to pay the same price as everyone else even though I don't drink alcohol.
・後で使いますから、そのままでけっこうです。,"We'll use it later, so leave it as it is."
・新しく公開された映画、面白いから絶対に見たほうがいいよ。,You should definitely see the newly released movie because it's interesting.
・この音楽、本当にいいから聞いてみてよ。,"This music is really good, you should listen to it."
・ここは人が多いから、別の店にしない？,"There are so many people here, why don't we go to another restaurant?"
・納豆は臭いから、嫌いです。,I don't like natto because it smells bad.
・明日、テストがありますから、今晩しっかり復習してください。,"We have a test tomorrow, so please review well tonight."
・ちょっと疲れたから、休みましょう。,"I'm a little tired, so let's take a rest."
・昼休みは１２時から1時までです。,Lunch break is from 12:00 to 1:00.
・こちらの営業時間は朝の１０時から夜１１時までです。,Our office hours are from 10:00 in the morning to 11:00 at night.
・テストは９時から１０時までです。,Tests are from 9:00 to 10:00.
・毎週、月曜日から金曜日まで勉強します。,"I study every week, Monday through Friday."
・明日は１０時から働きます。,I'll be working from 10:00 tomorrow.
・図書館は朝９時から夕方５時までです。,The library is open from 9:00 a.m. to 5:00 p.m.
・コンサート会場には夕方５時から入場できます。,The concert hall is open from 5:00 p.m.
・学校を卒業した後も、先生に会うことがある。,I sometimes see my teachers even after I graduate from school.
・酔っ払って帰った時はお風呂に入らないで寝てしまうことがあります。,"When I get home drunk, I sometimes fall asleep without taking a bath."
・忙しいと、メールの返信が遅くなってしまうことがあります。,"When I'm busy, I sometimes take a long time to reply to e-mails."
・時々、海外へ出張することがある。,I sometimes go abroad on business trips.
・時々、テレビをつけたまま寝てしまうことがあります。,Sometimes I fall asleep with the TV on.
・海外のトイレではトイレットペーパーがないことがあるから持ち歩いていた方が良いよ。,"Sometimes there is no toilet paper in foreign toilets, so it is better to carry some with you."
・このマンションでは時々、変な音が聞こえることがある。,Sometimes I hear strange noises in this apartment.
・私はたいてい自転車で駅まで行くが、歩いて行くこともある。,"I usually ride my bicycle to the station, but sometimes I walk."
・彼はいつも明るく振舞っていますが、落ち込むこともあります。,"He is always cheerful, but sometimes he is depressed."
・海外に住んでいると、国へ帰りたいと思うこともあります。,He is always cheerful but sometimes depressed.
・ゲームに夢中になっていると、つい時間を忘れてしまうことがある。,"When he is absorbed in a game, he sometimes forgets about time."
・田中さんは授業中に寝てしまうことがある。,Mr. Tanaka sometimes falls asleep in class.
・トムさんはパーティーが好きだが、もちろん参加しないこともあります。,"Tom likes to party, but of course he sometimes doesn't participate."
・プロでも失敗することもある。,Even professionals sometimes make mistakes.
・私だって泣きたいこともあるよ。,"There are times when I want to cry, too."
・私は日本語と英語と中国語を話すことができます。,"I can speak Japanese, English, and Chinese."
・田中さんは１０km以上、泳ぐことができます。,Mr. Tanaka can swim more than 10km.
・皆さんはいくつ漢字を書くことができますか。,How many kanji can you write?
・私は子供のとき、人前で話すことができませんでした。,"When I was a child, I could not speak in public."
・最後の最後まで告白することができず、学校を卒業してしまいました。,I graduated from school without being able to confess until the very end.
・このレストランではクレジットカードで支払うことができますか。,Can I pay with a credit card at this restaurant?
・どれだけ前の彼女を忘れようとしても、忘れることができません。,"No matter how hard I try to forget my ex-girlfriend, I can't."
・館内では携帯電話を使用することができません。,Can I use my cell phone in the hotel?
・ただ今、留守にしております。電話にでることができません。,I'm not at home at the moment. I can't answer the phone.
・この飛行機ではWi-Fiを使うことができます。,You can use Wi-Fi on this plane.
・この先は工事中なので、通ることができません。,You cannot go through this area because it is under construction.
