Kanji,Core,Words,Hiragana,Meaning
行,go、perform、carry out,行事,ぎょうじ,"event, function"
行,go、perform、carry out,行間,ぎょうかん,space between lines
行,go、perform、carry out,一行,いちぎょう,(one) line
行,go、perform、carry out,一行,いっこう,"party, group, troop"
行,go、perform、carry out,飛行場,ひこうじょう,"airfield, airport"
二,two,二,に,two
二,two,二つ,ふたつ,two
二,two,二人,ふたり,two person
二,two,二人ずつ,ふたりずつ,"two by two, as a couple"
二,two,二つずつ,ふたつずつ,"two at a time, in twos"
二,two,二人とも,ふたりとも,both (people)
二,two,二時,にじ,two o'clock
二,two,二月,にがつ,February
二,two,二日,ふつか,"2nd day of the month, 2 days"
二,two,二日間,ふつかかん,period of two days
二,two,二十日,はつか,"20th day of the month, 20 days"
二,two,二十歳,はたち,20 years old
二,two,二番,にばん,"second, number 2"
二,two,二階,にかい,"second floor, upstairs"
二,two,二つ目,ふたつめ,"one after next, second"
二,two,二割,にわり,20 percent
間,space、interval、between,間,あいだ,between
間,space、interval、between,時間,じかん,time、hour
間,space、interval、between,中間,ちゅうかん,"middle, intermediate"
間,space、interval、between,人間,にんげん,human being
間,space、interval、between,間もなく,まもなく,"soon, in a while"
間,space、interval、between,間に合う,まにあう,to be in time
間,space、interval、between,間違い,まちがい,mistake
間,space、interval、between,世間,せけん,"world, society"
間,space、interval、between,週間,しゅうかん,week
間,space、interval、between,間,ま,"time, pause, space, room"
間,space、interval、between,間食,かんしょく,eating between meals
間,space、interval、between,間接的,かんせつてき,indirect
間,space、interval、between,瞬間,しゅんかん,"moment, second, instant"
間,space、interval、between,仲間,なかま,colleague
間,space、interval、between,昼間,ひるま,daytime
間,space、interval、between,期間,きかん,period
時,time、hour,一時,いちじ,"one o’clock, for a time"
時,time、hour,時々,ときどき,sometimes
時,time、hour,日時,にちじ,date and time
時,time、hour,その時,そのとき,that time
時,time、hour,時計,とけい,clock、watch
時,time、hour,時代,じだい,"age, era"
時,time、hour,時間,じかん,"time, hour"
時,time、hour,時,とき,"time, hour, moment"
時,time、hour,時間割,じかんわり,"timetable, schedule"
時,time、hour,時刻表,じこくひょう,"timetable, schedule"
時,time、hour,時刻,じこく,"time, hour, chance"
時,time、hour,当時,とうじ,"at that time, in those days"
時,time、hour,時期,じき,time、season
時,time、hour,時差,じさ,time difference
時,time、hour,同時,どうじ,same time
時,time、hour,何時,なんじ,what time
気,spirit、soul、mood,気,き,"spirit, mind, heart"
気,spirit、soul、mood,人気,にんき,popularity
気,spirit、soul、mood,元気,げんき,"lively, full of spirit"
気,spirit、soul、mood,病気,びょうき,illness
気,spirit、soul、mood,電気,でんき,electricity
気,spirit、soul、mood,天気,てんき,weather
気,spirit、soul、mood,本気,ほんき,"seriousness, earnest"
気,spirit、soul、mood,空気,くうき,"air,  atmosphere"
気,spirit、soul、mood,気持ち,きもち,"feeling, sensation"
気,spirit、soul、mood,気体,きたい,"a gas, vapour"
気,spirit、soul、mood,気圧,きあつ,atmospheric pressure
気,spirit、soul、mood,気分,きぶん,"feeling, mood"
気,spirit、soul、mood,気候,きこう,climate
気,spirit、soul、mood,吐き気,はきけ,nausea
気,spirit、soul、mood,気に入る,きにいる,"to fond of, to like"
気,spirit、soul、mood,気をつけて,きをつけて,to be careful
十,ten,十,じゅう,ten
十,ten,十分,じゅうぶん,enough
十,ten,十字路,じゅうじろ,crossroads
十,ten,十日,とおか,"10th day of the month, 10 days"
十,ten,二十日,はつか,"20th day of the month, 20 days"
十,ten,二十歳,はたち,20 yeas old
十,ten,十四日,じゅうよっか,"14th day of the month, 14 days"
十,ten,十八日,じゅうはちにち,"18th day of the month, 18 days"
十,ten,十月,じゅうがつ,October
十,ten,十一,じゅういち,eleven
十,ten,不十分,ふじゅうぶん,insufficient
十,ten,十年,じゅうねん,ten years
十,ten,十時,じゅうじ,10 o’clock
十,ten,十字に,じゅうじに,crosswise
十,ten,何十,なんじゅう,several tens
十,ten,十代,じゅうだい,the teens
女,woman、feminine,女,おんあ,"female, women"
女,woman、feminine,女の子,おんあのこ,girl
女,woman、feminine,女の人,おんあのひと,woman
女,woman、feminine,女らしい,おんならしい,womanly
女,woman、feminine,女性,じょせい,"women, female"
女,woman、feminine,少女,しょうじょ,little girl
女,woman、feminine,女子,じょし,"woman, girl"
女,woman、feminine,彼女,かのじょ,"she, her, girlfriend"
女,woman、feminine,女優,じょゆう,actress
女,woman、feminine,王女,おうじょ,princess
女,woman、feminine,女神,めがみ,goddess
女,woman、feminine,長女,ちょうじょ,eldest daughter
女,woman、feminine,男女,だんじょ,men and women
女,woman、feminine,魔女,まじょ,witch
女,woman、feminine,美女,びじょ,beautiful woman
女,woman、feminine,女学生,じょがくせい,schoolgirl
三,three,三,さん,three
三,three,三人,さんにん,three people
三,three,三つ,みっつ,three
三,three,三日,みっか,"3rd day of the month, 3 days"
三,three,再三,さいさん,"again & again, repeatedly"
三,three,三枚,さんまい,three flat objects
三,three,三日月,みかづき,"new moon, cresent moon"
三,three,三種,さんしゅ,"three kinds, three varieties"
三,three,三度,さんど,"three times, thrice"
三,three,三月,さんがつ,March
三,three,三角,さんかく,triangle
三,three,三本,さんぼん,3 cylindrical object
三,three,三時,さんじ,3 o’clock
三,three,第三者,だいさんしゃ,"third party, third person"
三,three,三振,さんしん,strikeout
三,three,三食,さんしょく,three meals
前,before、in front of、earlier,前,まえ,"before, in front of"
前,before、in front of、earlier,以前,いぜん,"ago, previously"
前,before、in front of、earlier,前もって,まえもって,"beforehand, in advance"
前,before、in front of、earlier,人前,ひとまえ,"before others, in public"
前,before、in front of、earlier,名前,なまえ,name
前,before、in front of、earlier,午前,ごぜん,"morning, a.m."
前,before、in front of、earlier,手前,てまえ,"before oneself, this side"
前,before、in front of、earlier,前提,ぜんてい,"prerequisite, intention"
前,before、in front of、earlier,前進,ぜんしん,"advance, moving forward"
前,before、in front of、earlier,当たり前,あたりまえ,"natural, usual, reasonable"
前,before、in front of、earlier,前後,ぜんご,front and rear
前,before、in front of、earlier,直前,ちょくぜん,just before
前,before、in front of、earlier,腕前,うでまえ,"ability, skill, facility"
前,before、in front of、earlier,前途,ぜんと,"future, prospects"
前,before、in front of、earlier,事前,じぜん,"prior, beforehand"
前,before、in front of、earlier,建前,たてまえ,official stance
入,put in、get in、enter,入り,いり,"entering, containing"
入,put in、get in、enter,入る,いる,"to get in, to go in"
入,put in、get in、enter,入る,はいる,"to enter, to contain"
入,put in、get in、enter,入れる,いれる,"to put in, to let in"
入,put in、get in、enter,入学,にゅうがく,entry to school
入,put in、get in、enter,入院,にゅういん,hospitalization
入,put in、get in、enter,入浴,にゅうよく,"bathing, to bathe"
入,put in、get in、enter,入場,にゅうじょう,"entrance, admission"
入,put in、get in、enter,入手,にゅうしゅ,"acquisition, obtaining"
入,put in、get in、enter,入賞,にゅうしょう,winning a price
入,put in、get in、enter,入力,にゅうりょく,"input, data entry"
入,put in、get in、enter,入念,にゅうねん,"careful, elaborate"
入,put in、get in、enter,入会,にゅうかい,"admission, joining"
入,put in、get in、enter,入場券,にゅうじょうけん,admission ticket
入,put in、get in、enter,入れ物,いれもの,container
入,put in、get in、enter,入口,いりぐち,entrance
小,little、small,小さい,ちいさい,"small, little, tiny"
小,little、small,小さな,ちいさな,"small, little, tiny"
小,little、small,小人,しょうにん,"child, small person"
小,little、small,大小,だいしょう,"size, various sizes"
小,little、small,小説,しょうせつ,"novel, short story"
小,little、small,小学校,しょうがっこう,primary school
小,little、small,小屋,こや,"hut, small cabin, shed"
小,little、small,小鳥,ことり,little bird
小,little、small,小売,こうり,retail
小,little、small,小金,こがね,small fortune
小,little、small,小麦,こむぎ,wheat
小,little、small,小包,こづつみ,"a package, a parcel"
小,little、small,小切手,こぎって,cheque
小,little、small,小柄,こがら,small build
小,little、small,小銭,こぜに,"small money, small change"
小,little、small,小川,おがわ,"a creek, stream"
後,after、later、behind、back,後,あと,"behind, rear, later, after"
後,after、later、behind、back,後,のち,"later, afterwards"
後,after、later、behind、back,後ろ,うしろ,"back, behind, rear"
後,after、later、behind、back,以後,いご,"after this, from now on"
後,after、later、behind、back,前後,ぜんご,front and rear
後,after、later、behind、back,後者,こうしゃ,the latter
後,after、later、behind、back,後輩,こうはい,junior
後,after、later、behind、back,後悔,こうかい,"regret, remorse"
後,after、later、behind、back,最後,さいご,"the last, end"
後,after、later、behind、back,後半,こうはん,second half
後,after、later、behind、back,後部,こうぶ,"rear, stern"
後,after、later、behind、back,午後,ごご,"afternoon, p.m."
後,after、later、behind、back,後期,こうき,"latter period, second half"
後,after、later、behind、back,後日,ごじつ,"in the future, another day"
後,after、later、behind、back,今後,こんご,"from now on, hereafter"
後,after、later、behind、back,後れ,おくれ,delay
長,long、chief (head),長い,ながい,long
長,long、chief (head),校長,こうちょう,"principal, headmaster"
長,long、chief (head),議長,ぎちょう,chairman
長,long、chief (head),社長,しゃちょう,company president
長,long、chief (head),部長,ぶちょう,head of section or department
長,long、chief (head),課長,かちょう,section manager
長,long、chief (head),成長,せいちょう,"growth, development"
長,long、chief (head),身長,しんちょう,height
長,long、chief (head),長所,ちょうしょ,"strong point, merit"
長,long、chief (head),延長,えんちょう,"extension, elongation"
長,long、chief (head),長男,ちょうなん,eldest son
長,long、chief (head),長女,ちょうじょ,eldest daughter
長,long、chief (head),生長,せいちょう,growth
長,long、chief (head),長期,ちょうき,long term
長,long、chief (head),長さ,ながさ,length
長,long、chief (head),長引く,ながびく,"to be prolonged, to drag on"
下,lower、below、down、get off、give,下,した,"below, down, under"
下,lower、below、down、get off、give,下,もと,under
下,lower、below、down、get off、give,下さい,ください,please
下,lower、below、down、get off、give,下りる,おりる,"descend, alight"
下,lower、below、down、get off、give,下がる,さがる,"come down, go down, hang"
下,lower、below、down、get off、give,下げる,さげる,"to hang, suspend, lower"
下,lower、below、down、get off、give,下さる,くださる,"to give, to confer"
下,lower、below、down、get off、give,地下鉄,ちかてつ,subway
下,lower、below、down、get off、give,靴下,くつした,socks
下,lower、below、down、get off、give,地下,ちか,"underground, basement"
下,lower、below、down、get off、give,廊下,ろうか,"corridor, hallway"
下,lower、below、down、get off、give,以下,いか,"not exceeding, below, under"
下,lower、below、down、get off、give,低下,ていか,"fall, decline, deterioration"
下,lower、below、down、get off、give,下宿,げしゅく,"boarding, lodging"
下,lower、below、down、get off、give,下痢,げり,diarrhea
下,lower、below、down、get off、give,下手,へた,"unskillful, poor at"
学,learn、study,学ぶ,まなぶ,to study
学,learn、study,学校,がっこう,school
学,learn、study,大学,だいがく,"university, college"
学,learn、study,数学,すうがく,mathematics
学,learn、study,科学,かがく,science
学,learn、study,化学,かがく,chemistry
学,learn、study,医学,いがく,medical science
学,learn、study,学者,がくしゃ,scholar
学,learn、study,留学,りゅうがく,studying abroad
学,learn、study,通学する,つうがくする,commute to school
学,learn、study,学習する,がくしゅうする,"to study, learning"
学,learn、study,学期,がっき,school term
学,learn、study,学生,がくせい,student
学,learn、study,文学,ぶんがく,literature
学,learn、study,入学,にゅうがく,entry to school
学,learn、study,語学,ごがく,foreign language study
月,month、moon,月,つき,moon
月,month、moon,先月,せんげつ,last month
月,month、moon,来月,らいげつ,next month
月,month、moon,今月,こんげつ,this month
月,month、moon,満月,まんげつ,fullmoon
月,month、moon,月末,げつまつ,end of the month
月,month、moon,毎月,まいつき,every month
月,month、moon,月曜日,げつようび,monday
月,month、moon,一月,ひとつき,one month
月,month、moon,正月,しょうがつ,the new year
月,month、moon,月賦,げっぷ,monthly installment
月,month、moon,月謝,げっしゃ,monthly tuition fee
月,month、moon,月給,げっきゅう,monthly salary
月,month、moon,年月,としつき,months and years
月,month、moon,月並み,つきなみ,every month
月,month、moon,再来月,さらいげつ,month after next
何,what,何,なに,what
何,what,何事,なにごと,"what, whatever"
何,what,何曜日,なんようび,what day of the week
何,what,何も,なにも,(not) anything
何,what,何で,なんで,"why, what for, how"
何,what,何だが,まえ,"(a) little, somewhat"
何,what,何より,まえ,above anything
何,what,何でもない,まえなんでもない,"harmless, nothing"
何,what,何とも,なんとも,"really, very, extremely"
何,what,何しろ,なにしろ,"at any rate, anyhow"
何,what,何分,なんぶん,"some, any"
何,what,何となく,なんとなく,somehow or other
何,what,何か,なにか,something
何,what,何やら,なにやら,"something, some kind of"
何,what,何者,なにもの,"who, what kind of person"
何,what,何もない,なにもない,there is nothing
来,come、bring about,来る,くる,come
来,come、bring about,将来,しょうらい,"future, prospect"
来,come、bring about,本来,ほんらい,"originally, primarily"
来,come、bring about,以来,いらい,"since, henceforth"
来,come、bring about,未来,みらい,the future
来,come、bring about,来年,らいねん,next year
来,come、bring about,来月,らいげつ,next month
来,come、bring about,来日,らいにち,come to Japan
来,come、bring about,来週,らいしゅう,next week
来,come、bring about,従来,じゅうらい,"up to now, so far"
来,come、bring about,元来,がんらい,"originally, essentially"
来,come、bring about,外来,がいらい,"foreign, imported"
来,come、bring about,来客,らいきゃく,"visitor, caller"
来,come、bring about,到来,とうらい,"arrival, coming"
来,come、bring about,来す,きたす,"to bring about, to cause"
来,come、bring about,来る,きたる,"next, forthcoming"
話,speak、talk、conversation,話,はなし,"conversation, story"
話,speak、talk、conversation,話す,はなす,"to talk, speak, tell, converse"
話,speak、talk、conversation,会話,かいわ,conversation
話,speak、talk、conversation,電話,でんわ,telephone call
話,speak、talk、conversation,話題,わだい,"topic, subject"
話,speak、talk、conversation,神話,しんわ,"myth, legend"
話,speak、talk、conversation,童話,どうわ,children’s story
話,speak、talk、conversation,世話,せわ,"looking after, help, aid"
話,speak、talk、conversation,対話,たいわ,dialogue
話,speak、talk、conversation,手話,しゅわ,sign language
話,speak、talk、conversation,話し中,はなしちゅう,"in talk, discussion"
話,speak、talk、conversation,立ち話し,たちばなし,talk while standing
話,speak、talk、conversation,話し手,はなして,speaker
話,speak、talk、conversation,話し合い,はなしあい,"discussion, talk"
話,speak、talk、conversation,話し合う,はなしあう,"to discuss, to talk"
話,speak、talk、conversation,話しかける,はなしかける,to address
山,mountain,山,やま,mountain
山,mountain,火山,かざん,volcano
山,mountain,下山,げざん,descent from a mountain
山,mountain,登山,とざん,mountain climbing
山,mountain,沢山,たくさん,a lot
山,mountain,鉱山,こうざん,mine (ore)
山,mountain,氷山,ひょうざん,iceberg
山,mountain,小山,こやま,hill
山,mountain,山々,やまやま,mountains
山,mountain,山道,やまみち,mountain road
山,mountain,野山,のやま,hills and fields
山,mountain,閉山,へいやま,end of climbing season
山,mountain,山林,さんりん,forest mountain
山,mountain,岩山,いわやま,rocky mountain
山,mountain,山脈,さんみゃく,mountain range
山,mountain,富士山,ふじさん,mt. Fuji
高,"tall, high, expensive",高い,たかい,"tall, expensive"
高,"tall, high, expensive",高校,こうこう,senior high school
高,"tall, high, expensive",最高,さいこう,"most, highest"
高,"tall, high, expensive",高価,こうか,highly priced
高,"tall, high, expensive",高速,こうそく,"high speed, rapid, highway"
高,"tall, high, expensive",高度,こうど,"altitude, height"
高,"tall, high, expensive",高める,たかめる,"to raise, to lift, to boost"
高,"tall, high, expensive",高まる,たかまる,"to rise, swell, to be promoted "
高,"tall, high, expensive",高級,こうきゅう,"high class, high grade"
高,"tall, high, expensive",高等,こうとう,"high class, high grade"
高,"tall, high, expensive",高原,こうげん,"plateau, heights"
高,"tall, high, expensive",高齢,こうれい,old age
高,"tall, high, expensive",高熱,こうねつ,high fever
高,"tall, high, expensive",高さ,たかさ,"height, altitude"
高,"tall, high, expensive",残高,ざんだか,"balance (bank), remainder"
高,"tall, high, expensive",名高い,なだかい,"famous, renowned"
今,now,今,いま,now
今,now,今日,きょう,today
今,now,今週,こんしゅう,this week
今,now,今月,こんげつ,this month
今,now,今年,ことし,this year
今,now,今後,こんご,"after this, from now on"
今,now,今頃,いまごろ,about this time
今,now,今度,こんど,"this time, now"
今,now,今朝,けさ,this morning
今,now,今晩,こんばん,"this evening, tonight"
今,now,今夜,こにゃ,"this evening, tonight"
今,now,今回,こんかい,"this time, now"
今,now,今に,いまに,"before long, even now "
今,now,今にも,いまにも,at any moment
今,now,今まで,いままで,"until now, so far"
今,now,今でも,いまでも,"even now, still, as yet "
書,write,書く,かく,to write
書,write,書き取り,かきとり,"transcription, dictation"
書,write,前書き,まえがき,foreword
書,write,書物,しょもつ,book
書,write,読書,どくしょ,reading (books)
書,write,教科書,きょうかしょ,textbook
書,write,図書館,としょかん,library
書,write,文書,ぶんしょ,"document, notes, writing"
書,write,書店,しょてん,book store
書,write,秘書,ひしょ,"secretary, secret book"
書,write,書類,しょるい,"documents, official papers"
書,write,書評,しょひょう,book review
書,write,辞書,じしょ,dictionary
書,write,書籍,しょせき,"book, publication"
書,write,書道,しょどう,calligraphy
書,write,書斎,しょさい,"study (room), den, home office"
五,five,五,ご,five
五,five,五つ,いつつ,five
五,five,五日,いつか,"5th day of the month, 5 days"
五,five,五人,ごにん,five person
五,five,五感,ごかん,the five senses
五,five,十五,じゅうご,fifteen
五,five,五月,ごがつ,May
五,five,五輪,ごりん,olympic
五,five,五分,ごぶん,five minutes
五,five,五分,ごぶ,"half, 50%, tie, 5 parts, 5%"
